"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of commercial storage roots per plant harvested|CO_331:2000036","Storage roots yield in kg per plant harvested|CO_331:0000681","Vine weight in kg per plant harvested|CO_331:0000990","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003"
"","","GHP2018NYK-OT03","","","","","","","","","GHP2018NYK-OT03-00115","","","","1","1","3","3","3","3","3","3","1","3","3","7","1","0.34","0.22","0.28","0.56","0.84","6","0.113333333","0.073333333","0.093333333","2","1","0.186666667","0.093333333","50","66.66666667","3.777777778","6.222222222","3.111111111","9.333333333","2","1","0.186666667","0.093333333","100","3.777777778","6.222222222","3.111111111","9.333333333"
"","","GHP2018NYK-OT03","","","","","","","","","GHP2018NYK-OT03-00116","","","","1","1","3","3","3","3","1","11","1","1","5","7","1","0.12","0.54","0.22","0.66","0.88","12","0.12","0.049090909","0.055","4","0.333333333","0.22","0.073333333","8.333333333","75","1.333333333","7.333333333","2.444444444","9.777777778","4","0.333333333","0.22","0.073333333","100","1.333333333","7.333333333","2.444444444","9.777777778"
"","","GHP2018NYK-OT03","","","","","","","","","GHP2018NYK-OT03-00117","","","","1","1","3","3","3","3","1","9","1","1","3","7","1","0.14","0.28","0.34","0.42","0.76","10","0.14","0.031111111","0.042","3.333333333","0.333333333","0.14","0.113333333","10","55.26315789","1.555555556","4.666666667","3.777777778","8.444444444","3.333333333","0.333333333","0.14","0.113333333","100","1.555555556","4.666666667","3.777777778","8.444444444"
"","","GHP2018NYK-OT03","","","","","","","","","GHP2018NYK-OT03-00118","","","","1","1","3","3","3","3","2","4","7","5","5","7","1","0.24","0.14","0.12","0.38","0.5","6","0.12","0.035","0.063333333","2","0.666666667","0.126666667","0.04","33.33333333","76","2.666666667","4.222222222","1.333333333","5.555555556","2","0.666666667","0.126666667","0.04","100","2.666666667","4.222222222","1.333333333","5.555555556"
"","","GHP2018NYK-OT03","","","","","","","","","GHP2018NYK-OT03-00119","","","","1","1","3","3","3","3","2","7","1","5","5","7","1","0.2","0.18","0.14","0.38","0.52","9","0.1","0.025714286","0.042222222","3","0.666666667","0.126666667","0.046666667","22.22222222","73.07692308","2.222222222","4.222222222","1.555555556","5.777777778","3","0.666666667","0.126666667","0.046666667","100","2.222222222","4.222222222","1.555555556","5.777777778"
"","","GHP2018NYK-OT03","","","","","","","","","GHP2018NYK-OT03-00120","","","","1","1","3","3","3","3","2","6","1","1","5","6","1","0.26","0.3","0.14","0.56","0.7","8","0.13","0.05","0.07","2.666666667","0.666666667","0.186666667","0.046666667","25","80","2.888888889","6.222222222","1.555555556","7.777777778","2.666666667","0.666666667","0.186666667","0.046666667","100","2.888888889","6.222222222","1.555555556","7.777777778"
"","","GHP2018NYK-OT03","","","","","","","","","GHP2018NYK-OT03-00121","","","","1","1","3","3","3","3","1","4","1","5","5","7","1","0.16","0.18","0.16","0.34","0.5","5","0.16","0.045","0.068","1.666666667","0.333333333","0.113333333","0.053333333","20","68","1.777777778","3.777777778","1.777777778","5.555555556","1.666666667","0.333333333","0.113333333","0.053333333","100","1.777777778","3.777777778","1.777777778","5.555555556"
"","","GHP2018NYK-OT03","","","","","","","","","GHP2018NYK-OT03-00122","","","","1","5","3","2","2","2","0","9","1","5","5","7","1","0","0.4","0.2","0.4","0.6","9","","0.044444444","0.044444444","4.5","0","0.2","0.1","0","66.66666667","0","6.666666667","3.333333333","10","3","0","0.133333333","0.066666667","66.66666667","0","4.444444444","2.222222222","6.666666667"
"","","GHP2018NYK-OT03","","","","","","","","","GHP2018NYK-OT03-00123","","","","1","3","3","3","3","3","1","4","1","5","5","7","1","0.22","0.12","0.08","0.34","0.42","5","0.22","0.03","0.068","1.666666667","0.333333333","0.113333333","0.026666667","20","80.95238095","2.444444444","3.777777778","0.888888889","4.666666667","1.666666667","0.333333333","0.113333333","0.026666667","100","2.444444444","3.777777778","0.888888889","4.666666667"
"","","GHP2018NYK-OT03","","","","","","","","","GHP2018NYK-OT03-00124","","","","7","1","3","3","3","3","0","10","5","5","5","7","1","0","0.44","0.12","0.44","0.56","10","","0.044","0.044","3.333333333","0","0.146666667","0.04","0","78.57142857","0","4.888888889","1.333333333","6.222222222","3.333333333","0","0.146666667","0.04","100","0","4.888888889","1.333333333","6.222222222"
