"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Biomass yield in tons per ha|CO_331:0001003","Total foliage yield in tons per ha|CO_331:0000684","Harvest index computing percent|CO_331:0000302","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Percentage of commercial storage root|CO_331:0000682","Storage root size estimating 1-9|CO_331:0000184","Commercial storage root yield tons per ha|CO_331:0000809","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Total storage root weight per NET plot in kg|CO_331:0000237","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage roots yield computation tons per ha|CO_331:0000296","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2018BWK-AT01","","","","","","","","","GHP2018BWK-AT01-00033","","","","5","16.06666667","8.133333333","49.37759336","1","59","37","30","26","30","26","1","1","61.45833333","5","7","96","3.692307692","7.14","6","2","2","6.3","0.84","7.32","7.933333333","14.46","0.106779661","0.022702703","0.074375","3.2","2.269230769","1.966666667","0.274615385","0.238","0.281538462","0.244","86.66666667","8.076923077","9.153846154","9.384615385","18.53846154"
"","","GHP2018BWK-AT01","","","","","","","","","GHP2018BWK-AT01-00034","","","","3","17.22222222","10.46666667","39.22580645","1","31","32","30","18","30","18","1","3","49.20634921","3","5.622222222","63","3.5","6.08","7","2","1","5.06","1.02","9.42","6.755555556","15.5","0.163225806","0.031875","0.096507937","2.1","1.722222222","1.033333333","0.337777778","0.202666667","0.523333333","0.314","60","9.37037037","11.25925926","17.44444444","28.7037037"
"","","GHP2018BWK-AT01","","","","","","","","","GHP2018BWK-AT01-00035","","","","5","13.4","6.733333333","49.75124378","1","31","10","27","17","30","11","5","7","75.6097561","1","6.377777778","41","2.411764706","6","7","2","2","5.74","0.26","6.06","6.666666667","12.06","0.18516129","0.026","0.146341463","1.366666667","1.823529412","1.033333333","0.352941176","0.2","0.356470588","0.202","56.66666667","11.25490196","11.76470588","11.88235294","23.64705882"
"","","GHP2018BWK-AT01","","","","","","","","","GHP2018BWK-AT01-00036","","","","3","38.06666667","14.11111111","62.93053123","1","106","23","30","26","30","26","1","1","82.17054264","3","23","129","4.961538462","21.56","7","1","1","20.7","0.86","12.7","23.95555556","34.26","0.195283019","0.037391304","0.167131783","4.3","4.076923077","3.533333333","0.829230769","0.718666667","0.488461538","0.423333333","86.66666667","26.53846154","27.64102564","16.28205128","43.92307692"
"","","GHP2018BWK-AT01","","","","","","","","","GHP2018BWK-AT01-00037","","","","5","18.95555556","10.22222222","46.07268464","1","34","15","28","22","30","19","1","1","69.3877551","3","8.2","49","2.227272727","7.86","6","1","1","7.38","0.48","9.2","8.733333333","17.06","0.217058824","0.032","0.160408163","1.633333333","1.545454545","1.133333333","0.357272727","0.262","0.418181818","0.306666667","73.33333333","11.18181818","11.90909091","13.93939394","25.84848485"
"","","GHP2018BWK-AT01","","","","","","","","","GHP2018BWK-AT01-00038","","","","5","30.71111111","13.55555556","55.86107091","3","61","15","24","23","30","23","5","3","80.26315789","1","16.68888889","76","3.304347826","15.44","8","1","1","15.02","0.42","12.2","17.15555556","27.64","0.246229508","0.028","0.203157895","2.533333333","2.652173913","2.033333333","0.671304348","0.514666667","0.530434783","0.406666667","76.66666667","21.76811594","22.37681159","17.68115942","40.05797101"
"","","GHP2018BWK-AT01","","","","","","","","","GHP2018BWK-AT01-00039","","","","3","20.33333333","13.22222222","34.9726776","1","28","16","23","12","30","12","1","5","63.63636364","3","6.666666667","44","3.666666667","6.4","8","2","1","6","0.4","11.9","7.111111111","18.3","0.214285714","0.025","0.145454545","1.466666667","2.333333333","0.933333333","0.533333333","0.213333333","0.991666667","0.396666667","40","16.66666667","17.77777778","33.05555556","50.83333333"
"","","GHP2018BWK-AT01","","","","","","","","","GHP2018BWK-AT01-00004","","","","3","20.33333333","10.6","47.86885246","3","28","24","24","20","30","20","3","1","53.84615385","1","8.688888889","52","2.6","8.76","6","2","1","7.82","0.94","9.54","9.733333333","18.3","0.279285714","0.039166667","0.168461538","1.733333333","1.4","0.933333333","0.438","0.292","0.477","0.318","66.66666667","13.03333333","14.6","15.9","30.5"
"","","GHP2018BWK-AT01","","","","","","","","","GHP2018BWK-AT01-00005","","","","1","22.51111111","12.84444444","42.94175716","1","37","26","28","24","30","22","1","3","58.73015873","3","8.422222222","63","2.625","8.7","7","1","1","7.58","1.12","11.56","9.666666667","20.26","0.204864865","0.043076923","0.138095238","2.1","1.541666667","1.233333333","0.3625","0.29","0.481666667","0.385333333","80","10.52777778","12.08333333","16.05555556","28.13888889"
"","","GHP2018BWK-AT01","","","","","","","","","GHP2018BWK-AT01-00006","","","","7","23.44444444","8.466666667","63.88625592","3","53","35","28","28","30","20","5","1","60.22727273","1","13.51111111","88","3.142857143","13.48","7","1","1","12.16","1.32","7.62","14.97777778","21.1","0.229433962","0.037714286","0.153181818","2.933333333","1.892857143","1.766666667","0.481428571","0.449333333","0.272142857","0.254","93.33333333","14.47619048","16.04761905","9.071428571","25.11904762"
"","","GHP2018BWK-AT01","","","","","","","","","GHP2018BWK-AT01-00007","","","","3","16.64444444","7.488888889","55.00667557","1","31","20","22","17","30","17","3","1","60.78431373","3","8.311111111","51","3","8.24","7","2","1","7.48","0.76","6.74","9.155555556","14.98","0.241290323","0.038","0.161568627","1.7","1.823529412","1.033333333","0.484705882","0.274666667","0.396470588","0.224666667","56.66666667","14.66666667","16.15686275","13.21568627","29.37254902"
"","","GHP2018BWK-AT01","","","","","","","","","GHP2018BWK-AT01-00008","","","","5","15.08888889","8.288888889","45.06627393","1","40","48","28","21","30","21","1","1","45.45454545","5","5.044444444","88","4.19047619","6.12","6","1","2","4.54","1.58","7.46","6.8","13.58","0.1135","0.032916667","0.069545455","2.933333333","1.904761905","1.333333333","0.291428571","0.204","0.355238095","0.248666667","70","7.206349206","9.714285714","11.84126984","21.55555556"
"","","GHP2018BWK-AT01","","","","","","","","","GHP2018BWK-AT01-00009","","","","3","23.2","10.8","53.44827586","1","40","34","22","14","30","13","3","1","54.05405405","3","10.71111111","74","5.285714286","11.16","7","1","1","9.64","1.52","9.72","12.4","20.88","0.241","0.044705882","0.150810811","2.466666667","2.857142857","1.333333333","0.797142857","0.372","0.694285714","0.324","46.66666667","22.95238095","26.57142857","23.14285714","49.71428571"
