"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001046","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001048","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of maltose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001052","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Content of starch in dry weight basis in boiled storage roots measuring percentage|CO_331:2000027","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001050","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2017NYK-AT01","","","","","","","","","GHP2017NYK-AT01-00024","","","","1","0","1.81","0.99","16.41","50.33","1.17","1.77","4.65","3.62","16.03","2","22","42","30","25","30","25","5","6","3.7","1","1","45.98","70.25","2","32.60480827","4","2","22.21","10.31","9","2","3","5.6","3.74","15.3","9.34","24.64","64","0.254545455","0.089047619","0.1459375","2.56","2.133333333","0.88","0.733333333","0.3736","0.311333333","0.612","0.51","34.375","37.90584416","83.33333333","3.045289092","6.222222222","7.466666667","10.37777778","12.45333333","17","20.4","3.383654547","4.060385456","27.37777778","32.85333333"
"","","GHP2017NYK-AT01","","","","","","","","","GHP2017NYK-AT01-00025","","","","2","","","","","","0.89","","1.76","","20.47","1","22","20","30","20","30","20","","","","1","1","56.79","","","","2","3","16.2","","9","","1","6.92","2.9","23.6","9.82","33.42","42","0.314545455","0.145","0.233809524","2.1","1.4","1.1","0.733333333","0.491","0.327333333","1.18","0.786666667","52.38095238","29.38360263","66.66666667","","7.688888889","11.53333333","10.91111111","16.36666667","26.22222222","39.33333333","","","37.13333333","55.7"
"","","GHP2017NYK-AT01","","","","","","","","","GHP2017NYK-AT01-00026","","","","","","","","","","","","","","","","","","0","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2017NYK-AT01","","","","","","","","","GHP2017NYK-AT01-00027","","","","3","","","","","","1.09","","2.58","","11.45","1","23","53","30","27","30","27","","","","1","1","51.05","","","","3","3","18.41","","8","1","1","5.8","4.04","15.96","9.84","25.8","76","0.252173913","0.076226415","0.129473684","2.814814815","2.533333333","0.851851852","0.766666667","0.364444444","0.328","0.591111111","0.532","30.26315789","38.13953488","90","","6.444444444","7.160493827","10.93333333","12.14814815","17.73333333","19.7037037","","","28.66666667","31.85185185"
"","","GHP2017NYK-AT01","","","","","","","","","GHP2017NYK-AT01-00003","","","","3","0","1.88","0.92","18.21","50.75","1.17","1.68","2.18","2.74","23.84","3","21","28","30","23","30","23","3","6","3.17","2","2","56.66","71.3","2","35.8817734","3","3","15.53","8.85","7","1","1","6.26","1.94","18.52","8.2","26.72","49","0.298095238","0.069285714","0.167346939","2.130434783","1.633333333","0.913043478","0.7","0.356521739","0.273333333","0.805217391","0.617333333","42.85714286","30.68862275","76.66666667","2.942305419","6.955555556","9.072463768","9.111111111","11.88405797","20.57777778","26.84057971","3.269228243","4.264210752","29.68888889","38.72463768"
"","","GHP2017NYK-AT01","","","","","","","","","GHP2017NYK-AT01-00004","","","","1","6.6689625","2.03","0.96","14.36","50.54","1.37","2.75","2.43","4.07","18.65","1","0","23","30","22","30","13","5","5","3.08","1","1","51.11","61.37","3","28.41313811","3","5","17.23","13.38","7","1","2","0","1.1","19.28","1.1","20.38","23","","0.047826087","0.047826087","1.045454545","0.766666667","0","0","0.05","0.036666667","0.876363636","0.642666667","0","5.397448479","73.33333333","0.312544519","0","0","1.222222222","1.666666667","21.42222222","29.21212121","0.347271688","0.473552302","22.64444444","30.87878788"
"","","GHP2017NYK-AT01","","","","","","","","","GHP2017NYK-AT01-00005","","","","3","0","1.81","1.07","14.67","50.79","1.59","1.92","1.76","3.54","4.69","3","28","35","30","29","30","27","4","5","2.98","2","2","61.05","69.86","2","28.88363851","3","2","14.45","11.72","9","1","1","8.32","2.92","21.72","11.24","32.96","63","0.297142857","0.083428571","0.178412698","2.172413793","2.1","0.965517241","0.933333333","0.387586207","0.374666667","0.748965517","0.724","44.44444444","34.10194175","96.66666667","3.246520969","9.244444444","9.563218391","12.48888889","12.91954023","24.13333333","24.96551724","3.607245521","3.731633297","36.62222222","37.88505747"
"","","GHP2017NYK-AT01","","","","","","","","","GHP2017NYK-AT01-00006","","","","1","9.8651695","2.32","1.19","13.39","50.88","1.04","1.6","3.04","3.16","23.51","3","13","48","29","22","30","22","6","7","5.2","4","4","49.68","65.5","2","26.3168239","3","3","18.06","11.87","6","1","1","3.52","3.22","16.58","6.74","23.32","61","0.270769231","0.067083333","0.110491803","2.772727273","2.033333333","0.590909091","0.433333333","0.306363636","0.224666667","0.753636364","0.552666667","21.31147541","28.90222985","73.33333333","1.773753931","3.911111111","5.333333333","7.488888889","10.21212121","18.42222222","25.12121212","1.970837701","2.687505956","25.91111111","35.33333333"
"","","GHP2017NYK-AT01","","","","","","","","","GHP2017NYK-AT01-00007","","","","1","3.1836357","2.08","1.07","14.65","50.5","1.31","2.24","2.63","3.72","14.66","2","20","44","30","27","30","26","4","7","3.71","2","2","54.22","64.33","2","29.00990099","4","3","15.76","14.22","7","3","1","5.83","3.76","23.32","9.59","32.91","64","0.2915","0.085454545","0.14984375","2.37037037","2.133333333","0.740740741","0.666666667","0.355185185","0.319666667","0.863703704","0.777333333","31.25","29.140079","90","2.782049505","6.477777778","7.197530864","10.65555556","11.83950617","25.91111111","28.79012346","3.091166117","3.434629018","36.56666667","40.62962963"
"","","GHP2017NYK-AT01","","","","","","","","","GHP2017NYK-AT01-00008","","","","1","0","2","0.98","15.66","50.28","0.98","1.13","2.32","2.22","29.84","1","31","11","30","26","30","26","5","5","3.86","1","1","52.62","69.1","2","31.14558473","4","2","18.25","10.87","9","1","1","10.16","0.96","21.46","11.12","32.58","42","0.327741935","0.087272727","0.264761905","1.615384615","1.4","1.192307692","1.033333333","0.427692308","0.370666667","0.825384615","0.715333333","73.80952381","34.13136894","86.66666667","3.463389021","11.28888889","13.02564103","12.35555556","14.25641026","23.84444444","27.51282051","3.848210024","4.440242335","36.2","41.76923077"
"","","GHP2017NYK-AT01","","","","","","","","","GHP2017NYK-AT01-00009","","","","4","35.0855026","2.38","1.36","11.45","50.38","1.59","6.02","5.33","9.23","19.58","3","15","20","30","19","30","19","7","6","3.77","3","3","42.35","52.75","3","22.72727273","4","2","24.57","14.21","8","4","1","4.58","1.36","10.7","5.94","16.64","35","0.305333333","0.068","0.169714286","1.842105263","1.166666667","0.789473684","0.5","0.312631579","0.198","0.563157895","0.356666667","42.85714286","35.69711538","63.33333333","1.35","5.088888889","8.035087719","6.6","10.42105263","11.88888889","18.77192982","1.5","2.368421053","18.48888889","29.19298246"
