"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2014EJR-AT03","","","","","","","","","GHP2014EJR-AT03-00027","","","","2","0","1.69","0.96","17.68","50.3","2.09","3.52","2","206","134","30","30","30","30","4","8","4.36","3","69.08","5","35.14910537","6","9","6.67","8","1","1","51.9","11","22.2","62.9","85.1","340","0.251941748","0.082089552","0.185","11.33333333","11.33333333","6.866666667","6.866666667","2.096666667","2.096666667","0.74","0.74","60.58823529","73.91304348","100","22.10878728","57.66666667","57.66666667","69.88888889","69.88888889","24.66666667","24.66666667","24.5653192","24.5653192","94.55555556","94.55555556"
"","","GHP2014EJR-AT03","","","","","","","","","GHP2014EJR-AT03-00028","","","","2","0","1.63","1.04","18.9","50.74","1.47","2.54","1","40","110","30","30","30","29","1","6","4.19","2","69.63","5","37.24871896","4","5","5.82","8","3","3","10.3","9.5","40.8","19.8","60.6","150","0.2575","0.086363636","0.132","5","5","1.333333333","1.333333333","0.66","0.66","1.36","1.36","26.66666667","32.67326733","100","7.375246354","11.44444444","11.44444444","22","22","45.33333333","45.33333333","8.194718171","8.194718171","67.33333333","67.33333333"
"","","GHP2014EJR-AT03","","","","","","","","","GHP2014EJR-AT03-00029","","","","3","0","2.15","1.16","16.8","50.89","1.83","3.15","1","44","111","30","30","30","30","1","8","5.17","2","67.34","3","33.01237964","5","7","8.51","9","3","3","13","10","76","23","99","155","0.295454545","0.09009009","0.148387097","5.166666667","5.166666667","1.466666667","1.466666667","0.766666667","0.766666667","2.533333333","2.533333333","28.38709677","23.23232323","100","7.592847318","14.44444444","14.44444444","25.55555556","25.55555556","84.44444444","84.44444444","8.43649702","8.43649702","110","110"
"","","GHP2014EJR-AT03","","","","","","","","","GHP2014EJR-AT03-00003","","","","5","0","1.42","0.75","20.45","50.58","2.62","4.46","1","16","70","30","30","30","29","4","9","2.37","1","70.85","2","40.4310004","4","4","5.75","6","4","4","2.3","4.2","14.6","6.5","21.1","86","0.14375","0.06","0.075581395","2.866666667","2.866666667","0.533333333","0.533333333","0.216666667","0.216666667","0.486666667","0.486666667","18.60465116","30.8056872","100","2.628015026","2.555555556","2.555555556","7.222222222","7.222222222","16.22222222","16.22222222","2.920016695","2.920016695","23.44444444","23.44444444"
"","","GHP2014EJR-AT03","","","","","","","","","GHP2014EJR-AT03-00030","","","","2","0","2.01","1.09","18.91","50.59","3.16","4.76","1","2","112","30","20","30","20","4","6","4.83","1","65.16","3","37.37892864","5","4","6.86","8","1","1","1.2","6.6","63.2","7.8","71","114","0.6","0.058928571","0.068421053","5.7","3.8","0.1","0.066666667","0.39","0.26","3.16","2.106666667","1.754385965","10.98591549","66.66666667","2.915556434","1.333333333","2","8.666666667","13","70.22222222","105.3333333","3.239507149","4.859260723","78.88888889","118.3333333"
"","","GHP2014EJR-AT03","","","","","","","","","GHP2014EJR-AT03-00004","","","","3","","2.32","1.32","11.2","50.9","5.85","8.52","2","80","122","30","30","30","30","7","6","3.42","5","47.97","3","22.00392927","4","8","18.34","6","3","4","23","14.6","9.8","37.6","47.4","202","0.2875","0.119672131","0.186138614","6.733333333","6.733333333","2.666666667","2.666666667","1.253333333","1.253333333","0.326666667","0.326666667","39.6039604","79.32489451","100","8.273477407","25.55555556","25.55555556","41.77777778","41.77777778","10.88888889","10.88888889","9.192752674","9.192752674","52.66666667","52.66666667"
"","","GHP2014EJR-AT03","","","","","","","","","GHP2014EJR-AT03-00005","","","","3","0","1.57","0.97","17.7","50.22","1.54","2.52","2","35","119","30","30","30","26","1","8","3.54","3","69.32","3","35.24492234","5","6","7.87","7","3","3","5.1","6.9","27","12","39","154","0.145714286","0.057983193","0.077922078","5.133333333","5.133333333","1.166666667","1.166666667","0.4","0.4","0.9","0.9","22.72727273","30.76923077","100","4.229390681","5.666666667","5.666666667","13.33333333","13.33333333","30","30","4.699322979","4.699322979","43.33333333","43.33333333"
"","","GHP2014EJR-AT03","","","","","","","","","GHP2014EJR-AT03-00006","","","","2","0","1.55","0.84","16.16","50.47","2.74","4.21","2","146","234","30","30","30","30","4","8","3.16","3","66.92","5","32.0190212","5","7","8.82","8","3","3","32.7","2","9.6","34.7","44.3","380","0.223972603","0.008547009","0.091315789","12.66666667","12.66666667","4.866666667","4.866666667","1.156666667","1.156666667","0.32","0.32","38.42105263","78.32957111","100","11.11060036","36.33333333","36.33333333","38.55555556","38.55555556","10.66666667","10.66666667","12.34511151","12.34511151","49.22222222","49.22222222"
"","","GHP2014EJR-AT03","","","","","","","","","GHP2014EJR-AT03-00007","","","","3","0","1.58","0.87","17.84","50.73","2.41","3.75","2","10","66","30","20","30","13","5","3","3.2","2","69.61","3","35.16656811","5","5","4.79","7","4","3","1.6","4.1","44.4","5.7","50.1","76","0.16","0.062121212","0.075","3.8","2.533333333","0.5","0.333333333","0.285","0.19","2.22","1.48","13.15789474","11.37724551","66.66666667","2.004494382","1.777777778","2.666666667","6.333333333","9.5","49.33333333","74","2.22721598","3.34082397","55.66666667","83.5"
"","","GHP2014EJR-AT03","","","","","","","","","GHP2014EJR-AT03-00008","","","","2","0","1.72","0.85","20.58","50.36","3.4","4.95","2","25","140","30","30","30","30","4","6","3.64","3","69.97","3","40.86576648","4","6","1.59","8","1","1","6.7","8","30.4","14.7","45.1","165","0.268","0.057142857","0.089090909","5.5","5.5","0.833333333","0.833333333","0.49","0.49","1.013333333","1.013333333","15.15151515","32.59423503","100","6.007267673","7.444444444","7.444444444","16.33333333","16.33333333","33.77777778","33.77777778","6.674741859","6.674741859","50.11111111","50.11111111"
"","","GHP2014EJR-AT03","","","","","","","","","GHP2014EJR-AT03-00009","","","","2","0","1.71","1.08","18.8","50.09","1.64","2.71","2","84","72","30","30","30","30","5","3","5.07","2","68.2","3","37.53244161","6","7","6.08","6","6","6","32.1","7.2","11.2","39.3","50.5","156","0.382142857","0.1","0.251923077","5.2","5.2","2.8","2.8","1.31","1.31","0.373333333","0.373333333","53.84615385","77.82178218","100","14.75024955","35.66666667","35.66666667","43.66666667","43.66666667","12.44444444","12.44444444","16.38916617","16.38916617","56.11111111","56.11111111"
