"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of commercial storage roots per plant harvested|CO_331:2000036","Storage roots yield in kg per plant harvested|CO_331:0000681","Vine weight in kg per plant harvested|CO_331:0000990","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003"
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00013","","","","3","1","4","","3","3","3","2","1","5","7","5","4","4","0.4","","1","","","","0.1","","","","1.333333333","","0.333333333","","","4.444444444","","11.11111111","","","1.333333333","","0.333333333","100","4.444444444","","11.11111111",""
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00130","","","","3","1","6","5","3","3","2","1","3","3","3","8","1","5","1.4","0.4","1.2","1.8","3","11","0.233333333","0.08","0.163636364","5.5","3","0.9","0.6","54.54545455","60","23.33333333","30","20","50","3.666666667","2","0.6","0.4","66.66666667","15.55555556","20","13.33333333","33.33333333"
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00131","","","","3","1","2","1","3","3","3","3","1","3","1","6","3","6","1.2","0.3","3.4","1.5","4.9","3","0.6","0.3","0.5","1","0.666666667","0.5","1.133333333","66.66666667","30.6122449","13.33333333","16.66666667","37.77777778","54.44444444","1","0.666666667","0.5","1.133333333","100","13.33333333","16.66666667","37.77777778","54.44444444"
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00132","","","","","","","","3","3","3","2","","","","6","3","7","","","3.74","","","","","","","","","","1.246666667","","","","","41.55555556","","","","","1.246666667","100","","","41.55555556",""
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00133","","","","1","1","1","","3","2","2","","1","5","7","5","7","7","0.3","","2.8","","","","0.3","","","","0.5","","1.4","","","5","","46.66666667","","","0.333333333","","0.933333333","66.66666667","3.333333333","","31.11111111",""
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00134","","","","1","1","1","1","3","3","3","2","1","3","5","7","1","5","0.4","0.3","8.9","0.7","9.6","2","0.4","0.3","0.35","0.666666667","0.333333333","0.233333333","2.966666667","50","7.291666667","4.444444444","7.777777778","98.88888889","106.6666667","0.666666667","0.333333333","0.233333333","2.966666667","100","4.444444444","7.777777778","98.88888889","106.6666667"
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00135","","","","","","","","3","3","1","","","","","6","2","5","","","3","","","","","","","","","","3","","","","","100","","","","","1","33.33333333","","","33.33333333",""
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00136","","","","1","1","4","","3","3","3","2","1","1","1","7","3","6","1","","1.76","","","","0.25","","","","1.333333333","","0.586666667","","","11.11111111","","19.55555556","","","1.333333333","","0.586666667","100","11.11111111","","19.55555556",""
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00137","","","","3","1","1","1","3","3","3","1","1","1","1","7","3","5","0.7","0.4","3.3","1.1","4.4","2","0.7","0.4","0.55","0.666666667","0.333333333","0.366666667","1.1","50","25","7.777777778","12.22222222","36.66666667","48.88888889","0.666666667","0.333333333","0.366666667","1.1","100","7.777777778","12.22222222","36.66666667","48.88888889"
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00138","","","","","","","","3","3","1","","","","","","3","","","","2.4","","","","","","","","","","2.4","","","","","80","","","","","0.8","33.33333333","","","26.66666667",""
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00139","","","","1","1","1","1","3","3","3","1","1","3","1","8","1","3","1.1","0.5","5.3","1.6","6.9","2","1.1","0.5","0.8","0.666666667","0.333333333","0.533333333","1.766666667","50","23.1884058","12.22222222","17.77777778","58.88888889","76.66666667","0.666666667","0.333333333","0.533333333","1.766666667","100","12.22222222","17.77777778","58.88888889","76.66666667"
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00014","","","","","","5","","3","3","2","","","","","7","2","3","0.95","","2.5","","","","0.19","","","","2.5","","1.25","","","15.83333333","","41.66666667","","","1.666666667","","0.833333333","66.66666667","10.55555556","","27.77777778",""
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00140","","","","","","","","3","3","2","","","","","4","6","7","","","0.3","","","","","","","","","","0.15","","","","","5","","","","","0.1","66.66666667","","","3.333333333",""
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00141","","","","3","1","6","5","3","3","3","3","3","3","1","5","4","6","1.4","0.6","1.4","2","3.4","11","0.233333333","0.12","0.181818182","3.666666667","2","0.666666667","0.466666667","54.54545455","58.82352941","15.55555556","22.22222222","15.55555556","37.77777778","3.666666667","2","0.666666667","0.466666667","100","15.55555556","22.22222222","15.55555556","37.77777778"
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00142","","","","1","1","1","","3","2","1","1","1","3","5","4","7","7","0.6","","0.4","","","","0.6","","","","1","","0.4","","","20","","13.33333333","","","0.333333333","","0.133333333","33.33333333","6.666666667","","4.444444444",""
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00143","","","","1","1","3","1","3","3","3","2","1","3","3","7","3","5","0.4","0.1","3.5","0.5","4","4","0.133333333","0.1","0.125","1.333333333","1","0.166666667","1.166666667","75","12.5","4.444444444","5.555555556","38.88888889","44.44444444","1.333333333","1","0.166666667","1.166666667","100","4.444444444","5.555555556","38.88888889","44.44444444"
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00144","","","","1","1","3","1","3","3","3","1","1","3","3","6","3","6","0.4","0.1","4.3","0.5","4.8","4","0.133333333","0.1","0.125","1.333333333","1","0.166666667","1.433333333","75","10.41666667","4.444444444","5.555555556","47.77777778","53.33333333","1.333333333","1","0.166666667","1.433333333","100","4.444444444","5.555555556","47.77777778","53.33333333"
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00145","","","","","","","","3","3","2","","","","","6","3","5","","","1.3","","","","","","","","","","0.65","","","","","21.66666667","","","","","0.433333333","66.66666667","","","14.44444444",""
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00146","","","","1","1","8","4","3","3","3","3","1","5","3","6","5","5","1.1","0.2","4.1","1.3","5.4","12","0.1375","0.05","0.108333333","4","2.666666667","0.433333333","1.366666667","66.66666667","24.07407407","12.22222222","14.44444444","45.55555556","60","4","2.666666667","0.433333333","1.366666667","100","12.22222222","14.44444444","45.55555556","60"
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00147","","","","1","1","5","1","3","3","2","2","1","5","1","6","3","4","1.2","0.1","1.3","1.3","2.6","6","0.24","0.1","0.216666667","3","2.5","0.65","0.65","83.33333333","50","20","21.66666667","21.66666667","43.33333333","2","1.666666667","0.433333333","0.433333333","66.66666667","13.33333333","14.44444444","14.44444444","28.88888889"
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00148","","","","1","1","2","3","3","2","3","2","3","3","5","6","3","5","0.3","0.1","2.9","0.4","3.3","5","0.15","0.033333333","0.08","1.666666667","0.666666667","0.133333333","0.966666667","40","12.12121212","3.333333333","4.444444444","32.22222222","36.66666667","1.666666667","0.666666667","0.133333333","0.966666667","100","3.333333333","4.444444444","32.22222222","36.66666667"
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00149","","","","1","1","2","4","3","3","3","2","1","3","3","7","3","5","0.5","0.2","2.1","0.7","2.8","6","0.25","0.05","0.116666667","2","0.666666667","0.233333333","0.7","33.33333333","25","5.555555556","7.777777778","23.33333333","31.11111111","2","0.666666667","0.233333333","0.7","100","5.555555556","7.777777778","23.33333333","31.11111111"
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00015","","","","3","1","","","3","3","3","3","3","3","3","6","3","4","","","2","","","","","","","","","","0.666666667","","","","","22.22222222","","","","","0.666666667","100","","","22.22222222",""
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00150","","","","3","1","3","","3","3","2","2","1","3","1","6","2","5","1.6","","1.7","","","","0.533333333","","","","1.5","","0.85","","","26.66666667","","28.33333333","","","1","","0.566666667","66.66666667","17.77777778","","18.88888889",""
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00151","","","","","","","","3","3","2","1","","","","6","6","7","","","1.5","","","","","","","","","","0.75","","","","","25","","","","","0.5","66.66666667","","","16.66666667",""
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00152","","","","1","1","1","","3","3","2","1","1","5","7","7","6","6","0.2","","3.75","","","","0.2","","","","0.5","","1.875","","","3.333333333","","62.5","","","0.333333333","","1.25","66.66666667","2.222222222","","41.66666667",""
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00153","","","","1","1","3","","3","3","3","","3","5","5","7","3","5","0.4","","3.3","","","","0.133333333","","","","1","","1.1","","","4.444444444","","36.66666667","","","1","","1.1","100","4.444444444","","36.66666667",""
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00154","","","","1","1","1","2","3","3","3","2","1","3","3","7","1","3","0.5","0.2","4.3","0.7","5","3","0.5","0.1","0.233333333","1","0.333333333","0.233333333","1.433333333","33.33333333","14","5.555555556","7.777777778","47.77777778","55.55555556","1","0.333333333","0.233333333","1.433333333","100","5.555555556","7.777777778","47.77777778","55.55555556"
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00155","","","","3","1","2","1","3","3","3","1","3","5","3","6","2","5","0.6","0.1","3","0.7","3.7","3","0.3","0.1","0.233333333","1","0.666666667","0.233333333","1","66.66666667","18.91891892","6.666666667","7.777777778","33.33333333","41.11111111","1","0.666666667","0.233333333","1","100","6.666666667","7.777777778","33.33333333","41.11111111"
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00156","","","","3","1","1","","3","3","1","2","1","5","5","6","2","6","0.2","","3.1","","","","0.2","","","","1","","3.1","","","6.666666667","","103.3333333","","","0.333333333","","1.033333333","33.33333333","2.222222222","","34.44444444",""
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00157","","","","1","1","3","","3","2","2","2","1","3","5","5","6","6","0.4","","1","","","","0.133333333","","","","1.5","","0.5","","","6.666666667","","16.66666667","","","1","","0.333333333","66.66666667","4.444444444","","11.11111111",""
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00158","","","","1","1","1","4","3","3","3","1","1","1","5","6","6","6","0.2","0.2","0.3","0.4","0.7","5","0.2","0.05","0.08","1.666666667","0.333333333","0.133333333","0.1","20","57.14285714","2.222222222","4.444444444","3.333333333","7.777777778","1.666666667","0.333333333","0.133333333","0.1","100","2.222222222","4.444444444","3.333333333","7.777777778"
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00159","","","","","","","","3","3","2","1","","","","5","4","6","","","1.3","","","","","","","","","","0.65","","","","","21.66666667","","","","","0.433333333","66.66666667","","","14.44444444",""
"","","GHP2016OHW-OT01","","","","","","","","","GHP2016OHW-OT01-00016","","","","","","2","","3","2","2","","","","","6","5","4","0.7","","1.6","","","","0.35","","","","1","","0.8","","","11.66666667","","26.66666667","","","0.666666667","","0.533333333","66.66666667","7.777777778","","17.77777778",""
