"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2015FMS-AT02","","","","","","","","","GHP2015FMS-AT02-00019","","","","3","1.481624961","0.94896698","19.23","50.7","1.202208996","2.264448881","2","22","42","30","23","30","23","5","3","4.107205868","2","75.24397278","2","37.92899408","5","2","0.293359011","6","3","3","3.8","1.8","9.8","5.6","15.4","64","0.172727273","0.042857143","0.0875","2.782608696","2.133333333","0.956521739","0.733333333","0.243478261","0.186666667","0.426086957","0.326666667","34.375","36.36363636","76.66666667","2.124023669","4.222222222","5.507246377","6.222222222","8.115942029","10.88888889","14.20289855","2.360026298","3.078295172","17.11111111","22.31884058"
"","","GHP2015FMS-AT02","","","","","","","","","GHP2015FMS-AT02-00002","","","","5","1.438271046","0.997811019","20.86","50.1","0.26978901","1.414055943","1","10","24","30","27","30","22","1","8","3.47172904","2","77.54864502","3","41.63672655","3","1","0.071044996","7","4","4","1.2","0.9","17.5","2.1","19.6","34","0.12","0.0375","0.061764706","1.259259259","1.133333333","0.37037037","0.333333333","0.077777778","0.07","0.648148148","0.583333333","29.41176471","10.71428571","90","0.874371257","1.333333333","1.481481481","2.333333333","2.592592593","19.44444444","21.60493827","0.971523619","1.079470688","21.77777778","24.19753086"
"","","GHP2015FMS-AT02","","","","","","","","","GHP2015FMS-AT02-00020","","","","2","1.675644994","1.000496984","18.26","45.9","1.54557097","2.805143118","2","24","15","30","23","30","23","5","9","4.87635994","2","73.39698029","3","39.78213508","5","1","0.180849999","4","4","4","3.1","1.2","5.7","4.3","10","39","0.129166667","0.08","0.11025641","1.695652174","1.3","1.043478261","0.8","0.186956522","0.143333333","0.247826087","0.19","61.53846154","43","76.66666667","1.710631808","3.444444444","4.492753623","4.777777778","6.231884058","6.333333333","8.260869565","1.900702009","2.479176534","11.11111111","14.49275362"
"","","GHP2015FMS-AT02","","","","","","","","","GHP2015FMS-AT02-00021","","","","3","1.510890007","0.924962997","17.06","50.3","3.558465958","5.466856956","3","31","48","30","25","30","25","5","8","3.840045929","3","71.29685211","2","33.91650099","5","1","0","4","3","3","3.7","2","7.7","5.7","13.4","79","0.119354839","0.041666667","0.072151899","3.16","2.633333333","1.24","1.033333333","0.228","0.19","0.308","0.256666667","39.24050633","42.53731343","83.33333333","1.933240557","4.111111111","4.933333333","6.333333333","7.6","8.555555556","10.26666667","2.148045063","2.577654076","14.88888889","17.86666667"
"","","GHP2015FMS-AT02","","","","","","","","","GHP2015FMS-AT02-00022","","","","1","1.591228008","0.951031029","19.96","50.8","0.909224987","2.148374081","2","40","34","30","28","30","28","4","9","4.424074173","2","73.45241547","3","39.29133858","6","2","3.220892906","5","1","1","6.7","1.8","15","8.5","23.5","74","0.1675","0.052941176","0.114864865","2.642857143","2.466666667","1.428571429","1.333333333","0.303571429","0.283333333","0.535714286","0.5","54.05405405","36.17021277","93.33333333","3.33976378","7.444444444","7.976190476","9.444444444","10.11904762","16.66666667","17.85714286","3.710848644","3.975909261","26.11111111","27.97619048"
"","","GHP2015FMS-AT02","","","","","","","","","GHP2015FMS-AT02-00023","","","","4","2.749047041","1.654289961","9.12","50.69","5.236100197","7.719585896","3","50","60","30","26","30","25","8","6","5.054576874","4","38.61614227","2","17.99171434","7","3","25.77690506","5","3","4","11.1","0.7","13","11.8","24.8","110","0.222","0.011666667","0.107272727","4.230769231","3.666666667","1.923076923","1.666666667","0.453846154","0.393333333","0.5","0.433333333","45.45454545","47.58064516","86.66666667","2.123022292","12.33333333","14.23076923","13.11111111","15.12820513","14.44444444","16.66666667","2.358913658","2.721823452","27.55555556","31.79487179"
"","","GHP2015FMS-AT02","","","","","","","","","GHP2015FMS-AT02-00024","","","","2","1.552378058","0.930245996","20.07","50.86","1.54390502","2.62329793","1","20","28","30","28","30","26","5","3","3.739115","1","76.10801697","2","39.46126622","4","1","0","5","3","3","2.5","1.1","9.5","3.6","13.1","48","0.125","0.039285714","0.075","1.714285714","1.6","0.714285714","0.666666667","0.128571429","0.12","0.339285714","0.316666667","41.66666667","27.48091603","93.33333333","1.420605584","2.777777778","2.976190476","4","4.285714286","10.55555556","11.30952381","1.578450649","1.691197124","14.55555556","15.5952381"
"","","GHP2015FMS-AT02","","","","","","","","","GHP2015FMS-AT02-00025","","","","2","1.76","1.15","21.13","50.28","0.78","2.07","1","20","33","30","29","30","29","5","2","5.46","2","74.89","3","42.02466189","4","1","0.65","4","1","3","2.2","1.4","7.4","3.6","11","53","0.11","0.042424242","0.067924528","1.827586207","1.766666667","0.689655172","0.666666667","0.124137931","0.12","0.255172414","0.246666667","37.73584906","32.72727273","96.66666667","1.512887828","2.444444444","2.528735632","4","4.137931034","8.222222222","8.505747126","1.680986476","1.738951527","12.22222222","12.64367816"
"","","GHP2015FMS-AT02","","","","","","","","","GHP2015FMS-AT02-00026","","","","2","1.935075045","1.171218038","19.62","50.31","2.002043009","3.634032965","2","18","60","30","23","30","23","7","6","4.711575031","3","72.10647583","3","38.99821109","4","1","0.90775001","4","1","3","2.1","2.2","4.5","4.3","8.8","78","0.116666667","0.036666667","0.055128205","3.391304348","2.6","0.782608696","0.6","0.186956522","0.143333333","0.195652174","0.15","23.07692308","48.86363636","76.66666667","1.676923077","2.333333333","3.043478261","4.777777778","6.231884058","5","6.52173913","1.863247863","2.4303233","9.777777778","12.75362319"
"","","GHP2015FMS-AT02","","","","","","","","","GHP2015FMS-AT02-00027","","","","3","1.926512003","0.89914","14.44","50.17","5.587369919","7.130714893","2","26","33","30","25","30","25","8","7","4.451276779","4","62.48651886","3","28.78214072","7","2","4.25170517","5","3","4","5.7","1.9","11","7.6","18.6","59","0.219230769","0.057575758","0.128813559","2.36","1.966666667","1.04","0.866666667","0.304","0.253333333","0.44","0.366666667","44.06779661","40.86021505","83.33333333","2.187442695","6.333333333","7.6","8.444444444","10.13333333","12.22222222","14.66666667","2.430491883","2.91659026","20.66666667","24.8"
