"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2012OHW-AT01","","","","","","","","","GHP2012OHW-AT01-00001","","","","4","0.76","2.36","0.74","18.6","50.18","0.1","","1","13","34","34","27","34","23","2","9","4.32","4","69.53","3","3","11.84","5","4","4","1.9","1.5","2.5","3.4","5.9","47","0.146153846","0.044117647","0.072340426","1.740740741","1.382352941","0.481481481","0.382352941","0.125925926","0.1","0.092592593","0.073529412","27.65957447","57.62711864","79.41176471","37.06656038","1.260263053","1.862745098","2.345679012","3.333333333","4.197530864","2.450980392","3.086419753","1.235552013","1.555880312","5.784313725","7.283950617"
"","","GHP2012OHW-AT01","","","","","","","","","GHP2012OHW-AT01-00010","","","","2","1.03","1.85","0.6","17.7","50.06","","","1","33","121","34","27","34","27","2","8","1.84","3","72.69","3","4","9.97","5","5","6","4.5","4.1","17","8.6","25.6","154","0.136363636","0.033884298","0.055844156","5.703703704","4.529411765","1.222222222","0.970588235","0.318518519","0.252941176","0.62962963","0.5","21.42857143","33.59375","79.41176471","35.35757091","3.040751099","4.411764706","5.555555556","8.431372549","10.61728395","16.66666667","20.98765432","2.981128528","3.754013702","25.09803922","31.60493827"
"","","GHP2012OHW-AT01","","","","","","","","","GHP2012OHW-AT01-00011","","","","2","","","","","","","","1","0","27","34","21","34","10","","","","2","","4","1","","4","5","5","0","1.2","10","1.2","11.2","27","","0.044444444","0.044444444","1.285714286","0.794117647","0","0","0.057142857","0.035294118","0.476190476","0.294117647","0","10.71428571","61.76470588","","","0","0","1.176470588","1.904761905","9.803921569","15.87301587","","","10.98039216","17.77777778"
"","","GHP2012OHW-AT01","","","","","","","","","GHP2012OHW-AT01-00012","","","","2","","","","18.7","50.5","","","1","5","14","33","24","34","8","","","","1","","3","2","","4","6","7","0.7","0.6","11.5","1.3","12.8","19","0.14","0.042857143","0.068421053","0.791666667","0.558823529","0.208333333","0.147058824","0.054166667","0.038235294","0.479166667","0.338235294","26.31578947","10.15625","70.58823529","37.02970297","0.481386139","0.68627451","0.972222222","1.274509804","1.805555556","11.2745098","15.97222222","0.471947195","0.668591859","12.54901961","17.77777778"
"","","GHP2012OHW-AT01","","","","","","","","","GHP2012OHW-AT01-00013","","","","2","","","","","","","","1","0","16","33","25","34","4","","","","1","","2","1","","4","6","8","0","0.6","6","0.6","6.6","16","","0.0375","0.0375","0.64","0.470588235","0","0","0.024","0.017647059","0.24","0.176470588","0","9.090909091","73.52941176","","","0","0","0.588235294","0.8","5.882352941","8","","","6.470588235","8.8"
"","","GHP2012OHW-AT01","","","","","","","","","GHP2012OHW-AT01-00014","","","","3","0.28","2.25","0.58","18.6","50.28","0.05","","1","17","48","34","27","34","18","2","5","3.47","3","69.58","5","4","9.33","4","4","7","2.8","2.1","10.5","4.9","15.4","65","0.164705882","0.04375","0.075384615","2.407407407","1.911764706","0.62962963","0.5","0.181481481","0.144117647","0.388888889","0.308823529","26.15384615","31.81818182","79.41176471","36.9928401","1.812649165","2.745098039","3.456790123","4.803921569","6.049382716","10.29411765","12.96296296","1.777107024","2.237838475","15.09803922","19.01234568"
"","","GHP2012OHW-AT01","","","","","","","","","GHP2012OHW-AT01-00015","","","","3","","","","","","","","1","3","17","33","20","34","4","","","","3","","3","1","","3","5","5","0.4","0.5","6.5","0.9","7.4","20","0.133333333","0.029411765","0.045","1","0.588235294","0.15","0.088235294","0.045","0.026470588","0.325","0.191176471","15","12.16216216","58.82352941","","","0.392156863","0.666666667","0.882352941","1.5","6.37254902","10.83333333","","","7.254901961","12.33333333"
"","","GHP2012OHW-AT01","","","","","","","","","GHP2012OHW-AT01-00016","","","","4","4.03","2.26","0.69","19.7","50.47","","","1","8","47","34","26","34","20","1","6","2.54","2","70.43","5","3","12.53","4","5","6","1.3","1.9","10.5","3.2","13.7","55","0.1625","0.040425532","0.058181818","2.115384615","1.617647059","0.307692308","0.235294118","0.123076923","0.094117647","0.403846154","0.308823529","14.54545455","23.35766423","76.47058824","39.03308896","1.249058847","1.274509804","1.666666667","3.137254902","4.102564103","10.29411765","13.46153846","1.224567497","1.601357496","13.43137255","17.56410256"
"","","GHP2012OHW-AT01","","","","","","","","","GHP2012OHW-AT01-00017","","","","3","","","","","","","","1","2","27","34","26","34","6","","","","2","","3","1","","4","3","5","0.2","0.9","10.5","1.1","11.6","29","0.1","0.033333333","0.037931034","1.115384615","0.852941176","0.076923077","0.058823529","0.042307692","0.032352941","0.403846154","0.308823529","6.896551724","9.482758621","76.47058824","","","0.196078431","0.256410256","1.078431373","1.41025641","10.29411765","13.46153846","","","11.37254902","14.87179487"
"","","GHP2012OHW-AT01","","","","","","","","","GHP2012OHW-AT01-00018","","","","2","2.86","2","0.8","19.8","50.47","","","1","15","61","34","25","34","17","1","6","1.8","1","70.38","4","3","9.5","6","3","5","2.1","2.3","13","4.4","17.4","76","0.14","0.037704918","0.057894737","3.04","2.235294118","0.6","0.441176471","0.176","0.129411765","0.52","0.382352941","19.73684211","25.28735632","73.52941176","39.23122647","1.726173965","2.058823529","2.8","4.31372549","5.866666667","12.74509804","17.33333333","1.692327416","2.301565286","17.05882353","23.2"
"","","GHP2012OHW-AT01","","","","","","","","","GHP2012OHW-AT01-00019","","","","3","","","","","","","","","0","0","34","27","34","0","","","","","","","","","5","5","5","0","0","11.5","0","11.5","0","","","","0","0","0","0","0","0","0.425925926","0.338235294","","0","79.41176471","","","0","0","0","0","11.2745098","14.19753086","","","11.2745098","14.19753086"
"","","GHP2012OHW-AT01","","","","","","","","","GHP2012OHW-AT01-00002","","","","5","","","","","","","","1","0","14","30","12","34","7","","","","3","","2","1","","2","8","9","0","0.6","0.5","0.6","1.1","14","","0.042857143","0.042857143","1.166666667","0.411764706","0","0","0.05","0.017647059","0.041666667","0.014705882","0","54.54545455","35.29411765","","","0","0","0.588235294","1.666666667","0.490196078","1.388888889","","","1.078431373","3.055555556"
"","","GHP2012OHW-AT01","","","","","","","","","GHP2012OHW-AT01-00020","","","","4","1.01","2.27","0.53","19.4","50.01","1.64","0.34","1","14","53","34","28","34","27","1","9","2.41","4","71.82","4","3","7.3","5","5","5","2.5","4","11.5","6.5","18","67","0.178571429","0.075471698","0.097014925","2.392857143","1.970588235","0.5","0.411764706","0.232142857","0.191176471","0.410714286","0.338235294","20.89552239","36.11111111","82.35294118","38.79224155","2.521495701","2.450980392","2.976190476","6.37254902","7.738095238","11.2745098","13.69047619","2.472054609","3.001780596","17.64705882","21.42857143"
"","","GHP2012OHW-AT01","","","","","","","","","GHP2012OHW-AT01-00021","","","","2","2.02","1.96","0.41","19.3","50.6","0.53","","1","31","66","34","29","34","28","2","3","2.44","2","71.7","6","5","10.62","4","2","4","6","4","4","10","14","97","0.193548387","0.060606061","0.103092784","3.344827586","2.852941176","1.068965517","0.911764706","0.344827586","0.294117647","0.137931034","0.117647059","31.95876289","71.42857143","85.29411765","38.14229249","3.814229249","5.882352941","6.896551724","9.803921569","11.49425287","3.921568627","4.597701149","3.73944044","4.384171551","13.7254902","16.09195402"
"","","GHP2012OHW-AT01","","","","","","","","","GHP2012OHW-AT01-00022","","","","3","0.3","1.89","0.52","18.99","50.33","","","1","13","44","33","27","34","26","2","9","1.8","3","70.25","4","3","12.27","4","5","5","2.3","2","3","4.3","7.3","57","0.176923077","0.045454545","0.075438596","2.111111111","1.676470588","0.481481481","0.382352941","0.159259259","0.126470588","0.111111111","0.088235294","22.80701754","58.90410959","79.41176471","37.73097556","1.622431949","2.254901961","2.839506173","4.215686275","5.308641975","2.941176471","3.703703704","1.590619558","2.003002406","7.156862745","9.012345679"
