"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Virus symptoms estimating 1-9|CO_331:0000193","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2012TON-AT01","","","","","","","","","GHP2012TON-AT01-00018","","","","5","","","1","0","5","34","30","34","2","2","","2","2","1","4","0","0.2","9.5","0.2","9.7","5","","0.04","0.04","0.166666667","0.147058824","0","0","0.006666667","0.005882353","0.316666667","0.279411765","0","2.06185567","88.23529412","","","0","0","0.196078431","0.222222222","9.31372549","10.55555556","","","9.509803922","10.77777778"
"","","GHP2012TON-AT01","","","","","","","","","GHP2012TON-AT01-00019","","","","4","","","1","0","0","32","21","34","0","2","","","","","7","0","0","10","0","10","0","","","","0","0","0","0","0","0","0.476190476","0.294117647","","0","61.76470588","","","0","0","0","0","9.803921569","15.87301587","","","9.803921569","15.87301587"
"","","GHP2012TON-AT01","","","","","","","","","GHP2012TON-AT01-00020","","","","6","","","1","0","0","34","23","34","0","","","","","","7","0","0","7","0","7","0","","","","0","0","0","0","0","0","0.304347826","0.205882353","","0","67.64705882","","","0","0","0","0","6.862745098","10.14492754","","","6.862745098","10.14492754"
"","","GHP2012TON-AT01","","","","","","","","","GHP2012TON-AT01-00021","","","","4","20","50.4","1","17","39","29","28","34","26","3","6","2","4","5","4","2.8","2.1","6","4.9","10.9","56","0.164705882","0.053846154","0.0875","2","1.647058824","0.607142857","0.5","0.175","0.144117647","0.214285714","0.176470588","30.35714286","44.95412844","82.35294118","39.68253968","1.944444444","2.745098039","3.333333333","4.803921569","5.833333333","5.882352941","7.142857143","1.906318083","2.314814815","10.68627451","12.97619048"
"","","GHP2012TON-AT01","","","","","","","","","GHP2012TON-AT01-00022","","","","7","18.34","50.07","1","4","16","34","29","34","6","3","8","3","4","3","6","0.5","0.7","7","1.2","8.2","20","0.125","0.04375","0.06","0.689655172","0.588235294","0.137931034","0.117647059","0.04137931","0.035294118","0.24137931","0.205882353","20","14.63414634","85.29411765","36.62871979","0.439544638","0.490196078","0.574712644","1.176470588","1.379310345","6.862745098","8.045977011","0.430926115","0.505223721","8.039215686","9.425287356"
"","","GHP2012TON-AT01","","","","","","","","","GHP2012TON-AT01-00023","","","","5","","","1","2","31","30","24","34","12","3","","3","4","3","4","0.4","1.7","5.5","2.1","7.6","33","0.2","0.05483871","0.063636364","1.375","0.970588235","0.083333333","0.058823529","0.0875","0.061764706","0.229166667","0.161764706","6.060606061","27.63157895","70.58823529","","","0.392156863","0.555555556","2.058823529","2.916666667","5.392156863","7.638888889","","","7.450980392","10.55555556"
"","","GHP2012TON-AT01","","","","","","","","","GHP2012TON-AT01-00024","","","","6","13.38","50.87","1","14","57","33","24","34","20","6","2","3","4","4","6","2.1","1.7","7","3.8","10.8","71","0.15","0.029824561","0.053521127","2.958333333","2.088235294","0.583333333","0.411764706","0.158333333","0.111764706","0.291666667","0.205882353","19.71830986","35.18518519","70.58823529","26.3023393","0.999488893","2.058823529","2.916666667","3.725490196","5.277777778","6.862745098","9.722222222","0.979891072","1.388179018","10.58823529","15"
"","","GHP2012TON-AT01","","","","","","","","","GHP2012TON-AT01-00025","","","","7","","","1","0","8","33","28","34","4","","","1","2","1","4","0","0.4","6.5","0.4","6.9","8","","0.05","0.05","0.285714286","0.235294118","0","0","0.014285714","0.011764706","0.232142857","0.191176471","0","5.797101449","82.35294118","","","0","0","0.392156863","0.476190476","6.37254902","7.738095238","","","6.764705882","8.214285714"
"","","GHP2012TON-AT01","","","","","","","","","GHP2012TON-AT01-00026","","","","4","16.04","50.61","1","6","18","23","17","34","9","2","8","2","4","5","4","0.9","0.8","6","1.7","7.7","24","0.15","0.044444444","0.070833333","1.411764706","0.705882353","0.352941176","0.176470588","0.1","0.05","0.352941176","0.176470588","25","22.07792208","50","31.69334124","0.538786801","0.882352941","1.764705882","1.666666667","3.333333333","5.882352941","11.76470588","0.528222354","1.056444708","7.549019608","15.09803922"
"","","GHP2012TON-AT01","","","","","","","","","GHP2012TON-AT01-00027","","","","5","","","1","0","6","32","25","34","3","2","","2","3","2","6","0","0.4","8","0.4","8.4","6","","0.066666667","0.066666667","0.24","0.176470588","0","0","0.016","0.011764706","0.32","0.235294118","0","4.761904762","73.52941176","","","0","0","0.392156863","0.533333333","7.843137255","10.66666667","","","8.235294118","11.2"
