"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root secondary defects estimating 1-18| CO_331:0000810","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of commercial storage roots per plant harvested|CO_331:2000036","Storage roots yield in kg per plant harvested|CO_331:0000681","Vine weight in kg per plant harvested|CO_331:0000990","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield adjusted in tons per ha|CO_331:0001004","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Biomass yield in tons per ha|CO_331:0001003"
"","","GHP2017FMS-PT02","","","","","","","","","GHP2017FMS-PT02-00023","","","","0","1.659223","0.857754","0.30571","1.23318","3","3","10","10","10","10","17","10","5","3","3.1322651","5","73.0126572","6","44.21512205","3","5","12.6834736","5","1","3","2.1","0.3","10.5","2.4","12.9","27","0.123529412","0.03","0.088888889","2.7","1.7","0.24","1.05","62.96296296","18.60465116","1.061162929","7","8","35","3.537209764","43","2.7","1.7","0.24","1.05","100","7","8","35","3.537209764","43"
"","","GHP2017FMS-PT02","","","","","","","","","GHP2017FMS-PT02-00024","","","","","","","","","3","1","10","10","6","2","","","","","","4","","6","","3","5","","7","3","3","","","5","","","","","","","","","","0.833333333","","","","","","27.77777778","","","","","","0.5","60","","","16.66666667","",""
"","","GHP2017FMS-PT02","","","","","","","","","GHP2017FMS-PT02-00025","","","","0","1.66144","0.714812","1.890883","3.318851","5","5","10","10","9","9","18","12","3","5","2.710741","5","73.973732","8","42.79225908","5","5","10.9182339","6","3","3","2.1","0.4","6","2.5","8.5","30","0.116666667","0.033333333","0.083333333","3.333333333","2","0.277777778","0.666666667","60","29.41176471","1.069806477","7.777777778","9.259259259","22.22222222","3.962246211","31.48148148","3","1.8","0.25","0.6","90","7","8.333333333","20","3.56602159","28.33333333"
"","","GHP2017FMS-PT02","","","","","","","","","GHP2017FMS-PT02-00026","","","","25.0520744","1.597771","0.545886","7.498776","10.2842922","3","3","10","10","10","10","19","6","6","6","1.0262491","4","62.422554","7","24.13517297","3","5","8.0639563","5","3","3","4.1","0.4","6","4.5","10.5","25","0.215789474","0.066666667","0.18","2.5","1.9","0.45","0.6","76","42.85714286","1.086082784","13.66666667","15","20","3.620275946","35","2.5","1.9","0.45","0.6","100","13.66666667","15","20","3.620275946","35"
"","","GHP2017FMS-PT02","","","","","","","","","GHP2017FMS-PT02-00027","","","","0","1.515051","0.701107","2.718075","4.2258749","3","5","10","10","10","10","34","17","5","5","3.5112669","5","72.9752808","7","38.57142857","3","3","7.1058698","6","3","3","8.1","0.7","11","8.8","19.8","51","0.238235294","0.041176471","0.17254902","5.1","3.4","0.88","1.1","66.66666667","44.44444444","3.394285714","27","29.33333333","36.66666667","11.31428571","66","5.1","3.4","0.88","1.1","100","27","29.33333333","36.66666667","11.31428571","66"
"","","GHP2017FMS-PT02","","","","","","","","","GHP2017FMS-PT02-00028","","","","0","1.816685","0.866536","0.119265","1.063977","3","3","10","10","10","10","19","19","2","8","3.8352871","4","73.9369049","5","44.03560831","5","5","12.2390823","7","1","3","3.6","0.7","10","4.3","14.3","38","0.189473684","0.036842105","0.113157895","3.8","1.9","0.43","1","50","30.06993007","1.893531157","12","14.33333333","33.33333333","6.311770524","47.66666667","3.8","1.9","0.43","1","100","12","14.33333333","33.33333333","6.311770524","47.66666667"
"","","GHP2017FMS-PT02","","","","","","","","","GHP2017FMS-PT02-00029","","","","0.4580803","2.097481","0.920005","0.353076","1.100294","3","1","10","10","10","10","4","8","2","8","2.4131601","4","70.4841537","9","43.47484277","3","7","13.7626438","8","3","3","0.4","0.3","7","0.7","7.7","12","0.1","0.0375","0.058333333","1.2","0.4","0.07","0.7","33.33333333","9.090909091","0.304323899","1.333333333","2.333333333","23.33333333","1.014412998","25.66666667","1.2","0.4","0.07","0.7","100","1.333333333","2.333333333","23.33333333","1.014412998","25.66666667"
"","","GHP2017FMS-PT02","","","","","","","","","GHP2017FMS-PT02-00003","","","","0","1.8636709","0.981268","0","0.765563","3","3","10","10","7","7","5","4","2","8","3.3204689","4","73.4428787","9","44.15274463","3","5","12.3694897","8","3","3","0.9","0.2","9","1.1","10.1","9","0.18","0.05","0.122222222","1.285714286","0.714285714","0.157142857","1.285714286","55.55555556","10.89108911","0.485680191","4.285714286","5.238095238","42.85714286","2.312762814","48.0952381","0.9","0.5","0.11","0.9","70","3","3.666666667","30","1.61893397","33.66666667"
"","","GHP2017FMS-PT02","","","","","","","","","GHP2017FMS-PT02-00030","","","","","2.3241069","1.243333","2.6626389","4.4966021","5","5","10","10","10","10","22","17","7","6","3.9236031","6","56.9745483","7","25.78016299","3","3","17.0763569","5","3","3","5.3","0.6","5","5.9","10.9","39","0.240909091","0.035294118","0.151282051","3.9","2.2","0.59","0.5","56.41025641","54.12844037","1.521029616","17.66666667","19.66666667","16.66666667","5.070098721","36.33333333","3.9","2.2","0.59","0.5","100","17.66666667","19.66666667","16.66666667","5.070098721","36.33333333"
"","","GHP2017FMS-PT02","","","","","","","","","GHP2017FMS-PT02-00031","","","","0","1.722432","0.714424","1.502128","2.49491","5","5","10","10","10","10","26","8","3","4","3.2485139","5","73.2656708","6","41.66335848","5","5","9.4318581","6","1","3","5.5","0.5","5","6","11","34","0.211538462","0.0625","0.176470588","3.4","2.6","0.6","0.5","76.47058824","54.54545455","2.499801509","18.33333333","20","16.66666667","8.332671696","36.66666667","3.4","2.6","0.6","0.5","100","18.33333333","20","16.66666667","8.332671696","36.66666667"
"","","GHP2017FMS-PT02","","","","","","","","","GHP2017FMS-PT02-00032","","","","2.2550449","2.1062479","0.875705","1.5920171","3.1288171","3","5","10","10","10","10","36","23","4","7","2.434134","6","69.4438095","5","34.46977205","3","5","14.5045614","6","1","4","6.1","0.7","12","6.8","18.8","59","0.169444444","0.030434783","0.115254237","5.9","3.6","0.68","1.2","61.01694915","36.17021277","2.343944499","20.33333333","22.66666667","40","7.813148331","62.66666667","5.9","3.6","0.68","1.2","100","20.33333333","22.66666667","40","7.813148331","62.66666667"
"","","GHP2017FMS-PT02","","","","","","","","","GHP2017FMS-PT02-00004","","","","0","1.871351","0.854458","0.22388","1.217838","3","5","10","10","10","10","15","11","2","8","3.5939789","5","72.5577621","5","41.14240064","3","3","13.9265356","6","1","3","4.1","0.4","7.5","4.5","12","26","0.273333333","0.036363636","0.173076923","2.6","1.5","0.45","0.75","57.69230769","37.5","1.851408029","13.66666667","15","25","6.171360096","40","2.6","1.5","0.45","0.75","100","13.66666667","15","25","6.171360096","40"
"","","GHP2017FMS-PT02","","","","","","","","","GHP2017FMS-PT02-00005","","","","","","","","","5","1","10","10","6","4","3","3","","","","4","","6","","3","5","","5","4","3","0.3","0.1","4","0.4","4.4","6","0.1","0.033333333","0.066666667","1","0.5","0.066666667","0.666666667","50","9.090909091","","1.666666667","2.222222222","22.22222222","","24.44444444","0.6","0.3","0.04","0.4","60","1","1.333333333","13.33333333","","14.66666667"
"","","GHP2017FMS-PT02","","","","","","","","","GHP2017FMS-PT02-00006","","","","0","1.540643","0.695322","1.980106","3.160615","3","5","10","10","10","9","22","14","3","5","2.066416","5","72.6078796","6","39.58","3","5","10.8426228","6","3","3","3.5","0.6","6.5","4.1","10.6","36","0.159090909","0.042857143","0.113888889","3.6","2.2","0.41","0.65","61.11111111","38.67924528","1.62278","11.66666667","13.66666667","21.66666667","5.409266667","35.33333333","3.6","2.2","0.41","0.65","100","11.66666667","13.66666667","21.66666667","5.409266667","35.33333333"
"","","GHP2017FMS-PT02","","","","","","","","","GHP2017FMS-PT02-00007","","","","0","1.532815","0.725245","1.045936","1.986776","3","5","10","10","9","9","21","16","4","5","2.7552681","5","74.310112","7","37.63676149","3","3","11.8744402","6","3","3","4.4","0.8","6","5.2","11.2","37","0.20952381","0.05","0.140540541","4.111111111","2.333333333","0.577777778","0.666666667","56.75675676","46.42857143","1.957111597","16.2962963","19.25925926","22.22222222","7.248561472","41.48148148","3.7","2.1","0.52","0.6","90","14.66666667","17.33333333","20","6.523705325","37.33333333"
"","","GHP2017FMS-PT02","","","","","","","","","GHP2017FMS-PT02-00008","","","","19.1806946","1.546144","0.503513","6.278316","8.3271894","5","5","10","10","9","9","28","5","6","5","1.557825","5","64.8175735","7","30.09323547","3","5","6.4342041","6","1","1","6.5","0.2","8","6.7","14.7","33","0.232142857","0.04","0.203030303","3.666666667","3.111111111","0.744444444","0.888888889","84.84848485","45.57823129","2.016246776","24.07407407","24.81481481","29.62962963","7.467580654","54.44444444","3.3","2.8","0.67","0.8","90","21.66666667","22.33333333","26.66666667","6.720822588","49"
"","","GHP2017FMS-PT02","","","","","","","","","GHP2017FMS-PT02-00009","","","","0","2.0854061","0.882652","1.274664","2.457011","5","5","10","10","7","7","7","6","3","7","3.378937","5","72.5683594","6","42.38553743","5","5","12.229579","6","4","1","1.3","0.3","3.5","1.6","5.1","13","0.185714286","0.05","0.123076923","1.857142857","1","0.228571429","0.5","53.84615385","31.37254902","0.678168599","6.19047619","7.619047619","16.66666667","3.22937428","24.28571429","1.3","0.7","0.16","0.35","70","4.333333333","5.333333333","11.66666667","2.260561996","17"
