"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Content of fructose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001046","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001048","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of maltose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001052","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Content of starch in dry weight basis in boiled storage roots measuring percentage|CO_331:2000027","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001050","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2017NYK-AT05","","","","","","","","","GHP2017NYK-AT05-00025","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2017NYK-AT05","","","","","","","","","GHP2017NYK-AT05-00026","","","","1","0","1.86","1","16.52","0.84","0.91","1.97","2.39","19.5","1","18","22","30","21","30","21","5","6","3.87","1","1","56.54","71.92","2","32.93460925","2","3","16.74","10.16","9","1","1","5.78","2.96","19.74","8.74","28.48","40","0.321111111","0.134545455","0.2185","1.904761905","1.333333333","0.857142857","0.6","0.416190476","0.291333333","0.94","0.658","45","30.68820225","70","2.878484848","6.422222222","9.174603175","9.711111111","13.87301587","21.93333333","31.33333333","3.198316498","4.569023569","31.64444444","45.20634921"
"","","GHP2017NYK-AT05","","","","","","","","","GHP2017NYK-AT05-00027","","","","3","15.7158775","1.72","0.79","13.78","2.63","6.49","5.79","9.15","20.92","1","19","40","30","27","30","25","6","6","2.35","1","1","44.23","63.11","2","27.48852982","3","3","19.42","7.51","9","1","1","6.84","4.32","23.48","11.16","34.64","59","0.36","0.108","0.189152542","2.185185185","1.966666667","0.703703704","0.633333333","0.413333333","0.372","0.86962963","0.782666667","32.20338983","32.21709007","90","3.067719928","7.6","8.444444444","12.4","13.77777778","26.08888889","28.98765432","3.408577698","3.787308553","38.48888889","42.7654321"
"","","GHP2017NYK-AT05","","","","","","","","","GHP2017NYK-AT05-00003","","","","3","0","2.09","1.18","16.1","1.17","1.69","1.98","3.32","22.41","3","22","36","30","25","30","25","5","5","4.74","4","4","53.43","68.44","2","32.06532563","3","3","17.8","10.38","7","1","1","5.52","0.72","14.52","6.24","20.76","58","0.250909091","0.02","0.107586207","2.32","1.933333333","0.88","0.733333333","0.2496","0.208","0.5808","0.484","37.93103448","30.05780347","83.33333333","2.000876319","6.133333333","7.36","6.933333333","8.32","16.13333333","19.36","2.22319591","2.667835092","23.06666667","27.68"
"","","GHP2017NYK-AT05","","","","","","","","","GHP2017NYK-AT05-00004","","","","2","13.8107758","3.07","1.79","11.77","1.63","2.92","3.65","4.48","17.99","2","19","64","30","25","30","25","6","7","7.73","2","2","48.47","57.11","2","23.38100914","3","3","18.78","13.56","6","2","1","5.2","5.1","11.58","10.3","21.88","83","0.273684211","0.0796875","0.124096386","3.32","2.766666667","0.76","0.633333333","0.412","0.343333333","0.4632","0.386","22.89156627","47.0749543","83.33333333","2.408243941","5.777777778","6.933333333","11.44444444","13.73333333","12.86666667","15.44","2.675826602","3.210991922","24.31111111","29.17333333"
"","","GHP2017NYK-AT05","","","","","","","","","GHP2017NYK-AT05-00005","","","","1","1.2905712","2.22","1.12","15.35","1.58","1.46","2.49","2.64","16.13","2","0","15","30","26","30","9","5","5","4.63","3","3","51","64.06","3","30.3960396","3","6","16.68","11.91","6","2","2","0","0.62","20.52","0.62","21.14","15","","0.041333333","0.041333333","0.576923077","0.5","0","0","0.023846154","0.020666667","0.789230769","0.684","0","2.932828761","86.66666667","0.188455446","0","0","0.688888889","0.794871795","22.8","26.30769231","0.209394939","0.241609546","23.48888889","27.1025641"
"","","GHP2017NYK-AT05","","","","","","","","","GHP2017NYK-AT05-00006","","","","1","16.8968658","1.7","0.86","14.97","2.55","5.87","4.91","8.41","20.54","2","30","33","30","25","30","24","6","6","2.32","3","3","46.01","63.85","2","29.61424332","3","2","17.47","8.55","9","1","1","8.12","2.44","21.74","10.56","32.3","63","0.270666667","0.073939394","0.167619048","2.52","2.1","1.2","1","0.4224","0.352","0.8696","0.724666667","47.61904762","32.69349845","83.33333333","3.127264095","9.022222222","10.82666667","11.73333333","14.08","24.15555556","28.98666667","3.474737883","4.169685459","35.88888889","43.06666667"
"","","GHP2017NYK-AT05","","","","","","","","","GHP2017NYK-AT05-00007","","","","1","30.2766151","2.54","1.44","13.4","2.98","2.68","7.21","5.5","22.46","2","12","36","30","20","30","20","6","6","4.19","2","2","39.32","59.76","3","26.41955836","4","4","24.32","18.78","7","1","4","2.64","1.98","12.28","4.62","16.9","48","0.22","0.055","0.09625","2.4","1.6","0.6","0.4","0.231","0.154","0.614","0.409333333","25","27.33727811","66.66666667","1.220583596","2.933333333","4.4","5.133333333","7.7","13.64444444","20.46666667","1.356203996","2.034305994","18.77777778","28.16666667"
"","","GHP2017NYK-AT05","","","","","","","","","GHP2017NYK-AT05-00008","","","","1","0","1.53","0.72","16.43","1.23","1.91","1.96","2.76","20.82","2","14","11","30","18","30","17","5","5","2.61","1","1","57.81","70.92","2","32.31707317","3","2","16.52","9.17","8","1","1","4.42","1.98","12.42","6.4","18.82","25","0.315714286","0.18","0.256","1.388888889","0.833333333","0.777777778","0.466666667","0.355555556","0.213333333","0.69","0.414","56","34.0063762","60","2.068292683","4.911111111","8.185185185","7.111111111","11.85185185","13.8","23","2.298102981","3.830171635","20.91111111","34.85185185"
"","","GHP2017NYK-AT05","","","","","","","","","GHP2017NYK-AT05-00009","","","","2","0","1.64","0.93","16.89","1.1","1.38","1.91","2.53","20.23","1","20","20","30","28","30","28","3","6","3.37","1","1","60.41","73.27","2","33.3662584","3","3","14.52","9.09","7","1","1","5.36","1.98","16.66","7.34","24","40","0.268","0.099","0.1835","1.428571429","1.333333333","0.714285714","0.666666667","0.262142857","0.244666667","0.595","0.555333333","50","30.58333333","93.33333333","2.449083367","5.955555556","6.380952381","8.155555556","8.738095238","18.51111111","19.83333333","2.721203741","2.915575436","26.66666667","28.57142857"
