"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of plants planted per NET plot|CO_331:0000678","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root secondary defects estimating 1-18| CO_331:0000810","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of commercial storage roots per plant harvested|CO_331:2000036","Storage roots yield in kg per plant harvested|CO_331:0000681","Vine weight in kg per plant harvested|CO_331:0000990","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield adjusted in tons per ha|CO_331:0001004","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Biomass yield in tons per ha|CO_331:0001003"
"","","GHP2017KMD-AT01","","","","","","","","","GHP2017KMD-AT01-00033","","","","","","","50.54","17.71","","","3","1","30","10","12","29","17","11","4","3","","4","","6","35.04155125","3","7","","4","6","6","0.6","0.3","3","0.9","3.9","22","0.06","0.025","0.040909091","1.294117647","0.588235294","0.052941176","0.176470588","45.45454545","23.07692308","0.315373961","1.176470588","1.764705882","5.882352941","0.618380316","7.647058824","0.733333333","0.333333333","0.03","0.1","56.66666667","0.666666667","1","3.333333333","0.350415512","4.333333333"
"","","GHP2017KMD-AT01","","","","","","","","","GHP2017KMD-AT01-00034","","","","","","","50.19","16.49","","","5","1","30","34","14","30","20","20","5","5","","5","","7","32.85515043","3","3","","7","3","4","8.2","0.5","20.5","8.7","29.2","48","0.241176471","0.035714286","0.18125","2.4","1.7","0.435","1.025","70.83333333","29.79452055","2.858398087","13.66666667","14.5","34.16666667","4.763996812","48.66666667","1.6","1.133333333","0.29","0.683333333","66.66666667","9.111111111","9.666666667","22.77777778","3.175997875","32.44444444"
"","","GHP2017KMD-AT01","","","","","","","","","GHP2017KMD-AT01-00035","","","","","","","50.52","14.63","","","3","1","30","29","20","30","16","15","3","4","","5","","7","28.95882819","3","3","","6","4","5","5.5","0.7","20","6.2","26.2","49","0.189655172","0.035","0.126530612","3.0625","1.8125","0.3875","1.25","59.18367347","23.66412214","1.795447348","11.45833333","12.91666667","41.66666667","3.740515307","54.58333333","1.633333333","0.966666667","0.206666667","0.666666667","53.33333333","6.111111111","6.888888889","22.22222222","1.994941497","29.11111111"
"","","GHP2017KMD-AT01","","","","","","","","","GHP2017KMD-AT01-00036","","","","","","","50.23","14.09","","","5","3","30","67","26","30","23","23","3","8","","5","","6","28.05096556","3","3","","7","1","3","11.1","0.9","20.5","12","32.5","93","0.165671642","0.034615385","0.129032258","4.043478261","2.913043478","0.52173913","0.891304348","72.04301075","36.92307692","3.366115867","16.08695652","17.39130435","29.71014493","4.878428793","47.10144928","3.1","2.233333333","0.4","0.683333333","76.66666667","12.33333333","13.33333333","22.77777778","3.740128741","36.11111111"
"","","GHP2017KMD-AT01","","","","","","","","","GHP2017KMD-AT01-00037","","","","","","","50.28","18.06","","","5","1","30","9","11","28","10","10","5","2","","5","","5","35.91885442","3","5","","6","4","5","2.9","0.5","12.5","3.4","15.9","20","0.322222222","0.045454545","0.17","2","0.9","0.34","1.25","45","21.3836478","1.22124105","9.666666667","11.33333333","41.66666667","4.0708035","53","0.666666667","0.3","0.113333333","0.416666667","33.33333333","3.222222222","3.777777778","13.88888889","1.3569345","17.66666667"
"","","GHP2017KMD-AT01","","","","","","","","","GHP2017KMD-AT01-00038","","","","","","","50.08","9.64","","","5","1","30","19","16","28","17","17","8","5","","5","","5","19.24920128","3","5","","6","6","5","3.4","0.7","14","4.1","18.1","35","0.178947368","0.04375","0.117142857","2.058823529","1.117647059","0.241176471","0.823529412","54.28571429","22.6519337","0.789217252","6.666666667","8.039215686","27.45098039","1.547484809","35.49019608","1.166666667","0.633333333","0.136666667","0.466666667","56.66666667","3.777777778","4.555555556","15.55555556","0.876908058","20.11111111"
"","","GHP2017KMD-AT01","","","","","","","","","GHP2017KMD-AT01-00039","","","","","","","50.73","12.99","","","3","1","30","41","41","30","14","14","6","5","","5","","5","25.60615021","3","3","","6","3","4","12.4","2","20.5","14.4","34.9","82","0.302439024","0.048780488","0.175609756","5.857142857","2.928571429","1.028571429","1.464285714","50","41.26074499","3.68728563","29.52380952","34.28571429","48.80952381","8.7792515","83.0952381","2.733333333","1.366666667","0.48","0.683333333","46.66666667","13.77777778","16","22.77777778","4.096984033","38.77777778"
"","","GHP2017KMD-AT01","","","","","","","","","GHP2017KMD-AT01-00004","","","","1.173418","2.0056691","1.104875","50.38","17.88","0.726772","2.380533","5","3","30","75","62","30","20","20","2","6","4.1568642","5","71.9517059","6","35.49027392","3","3","13.7462349","7","3","5","12.1","2.6","10","14.7","24.7","137","0.161333333","0.041935484","0.10729927","6.85","3.75","0.735","0.5","54.74452555","59.51417004","5.217070266","20.16666667","24.5","16.66666667","8.69511711","41.16666667","4.566666667","2.5","0.49","0.333333333","66.66666667","13.44444444","16.33333333","11.11111111","5.79674474","27.44444444"
"","","GHP2017KMD-AT01","","","","","","","","","GHP2017KMD-AT01-00040","","","","","","","50.03","9.81","","","5","3","30","87","65","30","27","27","7","6","","6","","7","19.60823506","3","3","","6","3","5","20.2","3.3","13","23.5","36.5","152","0.232183908","0.050769231","0.154605263","5.62962963","3.222222222","0.87037037","0.481481481","57.23684211","64.38356164","4.607935239","24.9382716","29.01234568","16.04938272","5.688808937","45.0617284","5.066666667","2.9","0.783333333","0.433333333","90","22.44444444","26.11111111","14.44444444","5.119928043","40.55555556"
"","","GHP2017KMD-AT01","","","","","","","","","GHP2017KMD-AT01-00041","","","","","","","50.45","14.86","","","5","5","30","17","21","17","16","16","7","5","","6","","8","29.45490585","3","5","","6","6","6","2.2","0.9","5","3.1","8.1","38","0.129411765","0.042857143","0.081578947","2.375","1.0625","0.19375","0.3125","44.73684211","38.27160494","0.913102081","4.583333333","6.458333333","10.41666667","1.902296003","16.875","1.266666667","0.566666667","0.103333333","0.166666667","53.33333333","2.444444444","3.444444444","5.555555556","1.014557868","9"
"","","GHP2017KMD-AT01","","","","","","","","","GHP2017KMD-AT01-00042","","","","","","","50.46","16.19","","","3","3","30","95","51","30","22","22","2","8","","5","","6","32.08481966","3","3","","7","3","3","17.6","2.5","16.5","20.1","36.6","146","0.185263158","0.049019608","0.137671233","6.636363636","4.318181818","0.913636364","0.75","65.06849315","54.91803279","6.449048751","26.66666667","30.45454545","25","9.771285987","55.45454545","4.866666667","3.166666667","0.67","0.55","73.33333333","19.55555556","22.33333333","18.33333333","7.165609724","40.66666667"
"","","GHP2017KMD-AT01","","","","","","","","","GHP2017KMD-AT01-00005","","","","5.4480915","1.870518","0.926877","50.21","16.28","2.2264819","4.059083","3","3","30","24","6","30","17","14","5","4","4.3878779","5","69.7963562","8","32.42381996","4","3","12.3375282","7","3","5","6.5","0.6","9.5","7.1","16.6","30","0.270833333","0.1","0.236666667","1.764705882","1.411764706","0.417647059","0.558823529","80","42.77108434","2.302091217","12.74509804","13.92156863","18.62745098","4.513904347","32.54901961","1","0.8","0.236666667","0.316666667","56.66666667","7.222222222","7.888888889","10.55555556","2.55787913","18.44444444"
"","","GHP2017KMD-AT01","","","","","","","","","GHP2017KMD-AT01-00006","","","","","","","","","","","3","1","30","3","9","22","11","5","","","","4","","14","","4","5","","5","5","6","0.8","0.5","1.5","1.3","2.8","12","0.266666667","0.055555556","0.108333333","1.090909091","0.272727273","0.118181818","0.136363636","25","46.42857143","","2.424242424","3.939393939","4.545454545","","8.484848485","0.4","0.1","0.043333333","0.05","36.66666667","0.888888889","1.444444444","1.666666667","","3.111111111"
"","","GHP2017KMD-AT01","","","","","","","","","GHP2017KMD-AT01-00007","","","","1.0684109","1.73013","0.811244","50.27","18.07","2.1678929","3.751873","3","1","30","9","10","30","20","12","2","6","4.1670399","4","73.7676849","6","35.94589218","4","5","9.9931021","4","5","7","1","0.6","4.5","1.6","6.1","19","0.111111111","0.06","0.084210526","0.95","0.45","0.08","0.225","47.36842105","26.2295082","0.575134275","1.666666667","2.666666667","7.5","0.958557125","10.16666667","0.633333333","0.3","0.053333333","0.15","66.66666667","1.111111111","1.777777778","5","0.639038083","6.777777778"
"","","GHP2017KMD-AT01","","","","","","","","","GHP2017KMD-AT01-00008","","","","0","2.342613","1.670118","50.58","13.48","0","1.21687","3","1","30","7","12","30","13","10","4","3","6.6560078","4","64.475174","6","26.65085014","3","5","17.781538","5","4","6","1.2","0.7","1.5","1.9","3.4","19","0.171428571","0.058333333","0.1","1.461538462","0.538461538","0.146153846","0.115384615","36.84210526","55.88235294","0.506366153","3.076923077","4.871794872","3.846153846","1.29837475","8.717948718","0.633333333","0.233333333","0.063333333","0.05","43.33333333","1.333333333","2.111111111","1.666666667","0.562629058","3.777777778"
"","","GHP2017KMD-AT01","","","","","","","","","GHP2017KMD-AT01-00009","","","","36.0216827","2.3485041","1.542676","50.36","10.17","5.782537","8.975173","5","3","30","26","25","30","14","14","7","5","4.9240341","6","45.2735138","7","20.19459889","3","5","22.116724","6","3","5","3.1","1","4.5","4.1","8.6","51","0.119230769","0.04","0.080392157","3.642857143","1.857142857","0.292857143","0.321428571","50.98039216","47.6744186","0.827978554","7.380952381","9.761904762","10.71428571","1.97137751","20.47619048","1.7","0.866666667","0.136666667","0.15","46.66666667","3.444444444","4.555555556","5","0.919976172","9.555555556"
