"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Dry weight of storage root samples measuring g|CO_331:0000247","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Virus symptoms estimating 1-9|CO_331:0000193","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2015FMS-OT01","","","","","","","","","GHP2015FMS-OT01-00001","","","","","","","","","0","0","3","0","3","0","","","","","","","","","6","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2015FMS-OT01","","","","","","","","","GHP2015FMS-OT01-00010","","","","17.1","3","44.3","1.149279952","1.976806998","5","0","3","3","3","3","1","1","5","8","1","5","5","4","3","0.2","0","2.1","0.2","2.3","5","0.04","","0.04","1.666666667","1.666666667","1.666666667","1.666666667","0.066666667","0.066666667","0.7","0.7","100","8.695652174","100","38.60045147","0.077200903","2.222222222","2.222222222","2.222222222","2.222222222","23.33333333","23.33333333","0.85778781","0.85778781","25.55555556","25.55555556"
"","","GHP2015FMS-OT01","","","","","","","","","GHP2015FMS-OT01-00100","","","","17.35","3","50.32","8.594252586","11.23690224","5","3","3","2","3","2","1","1","5","8","3","5","8","4","3","2.4","0.3","2","2.7","4.7","8","0.48","0.1","0.3375","4","2.666666667","2.5","1.666666667","1.35","0.9","1","0.666666667","62.5","57.44680851","66.66666667","34.47933227","0.930941971","26.66666667","40","30","45","22.22222222","33.33333333","10.34379968","15.51569952","52.22222222","78.33333333"
"","","GHP2015FMS-OT01","","","","","","","","","GHP2015FMS-OT01-00101","","","","","","","","","0","0","3","0","3","0","","","","","","","","","3","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2015FMS-OT01","","","","","","","","","GHP2015FMS-OT01-00102","","","","","","","","","0","0","3","0","3","0","","","","","","","","","3","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2015FMS-OT01","","","","","","","","","GHP2015FMS-OT01-00103","","","","","","","","","0","0","3","0","3","0","","","","","","","","","3","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2015FMS-OT01","","","","","","","","","GHP2015FMS-OT01-00104","","","","","","","","","0","0","3","0","3","0","","","","","","","","","3","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2015FMS-OT01","","","","","","","","","GHP2015FMS-OT01-00105","","","","","","","","","0","0","3","0","3","0","","","","","","","","","3","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2015FMS-OT01","","","","","","","","","GHP2015FMS-OT01-00106","","","","","","","","","0","0","3","0","3","0","","","","","","","","","3","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2015FMS-OT01","","","","","","","","","GHP2015FMS-OT01-00107","","","","","","","","","0","0","3","0","3","0","","","","","","","","","3","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2015FMS-OT01","","","","","","","","","GHP2015FMS-OT01-00108","","","","11.8","3","50.28","1.578153014","2.495378971","5","2","3","3","3","3","1","1","8","6","1","6","7","4","3","1.3","0.1","0.8","1.4","2.2","7","0.26","0.05","0.2","2.333333333","2.333333333","1.666666667","1.666666667","0.466666667","0.466666667","0.266666667","0.266666667","71.42857143","63.63636364","100","23.46857597","0.328560064","14.44444444","14.44444444","15.55555556","15.55555556","8.888888889","8.888888889","3.650667374","3.650667374","24.44444444","24.44444444"
"","","GHP2015FMS-OT01","","","","","","","","","GHP2015FMS-OT01-00109","","","","","","","","","0","0","3","0","3","0","","","","","","","","","6","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2015FMS-OT01","","","","","","","","","GHP2015FMS-OT01-00011","","","","","","","","","0","0","2","0","3","0","","","","","","","","","3","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2015FMS-OT01","","","","","","","","","GHP2015FMS-OT01-00110","","","","","","","","","0","0","3","0","3","0","","","","","","","","","6","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2015FMS-OT01","","","","","","","","","GHP2015FMS-OT01-00111","","","","","","","","","0","0","3","0","3","0","","","","","","","","","3","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2015FMS-OT01","","","","","","","","","GHP2015FMS-OT01-00112","","","","","","","","","0","0","3","0","3","0","","","","","","","","","1","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2015FMS-OT01","","","","","","","","","GHP2015FMS-OT01-00113","","","","","","","","","0","0","3","0","3","0","","","","","","","","","9","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2015FMS-OT01","","","","","","","","","GHP2015FMS-OT01-00114","","","","","","","","","0","0","3","0","3","0","","","","","","","","","3","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2015FMS-OT01","","","","","","","","","GHP2015FMS-OT01-00115","","","","","","","","","0","0","3","0","3","0","","","","","","","","","6","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2015FMS-OT01","","","","","","","","","GHP2015FMS-OT01-00116","","","","","","","","","0","0","3","0","3","0","","","","","","","","","3","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2015FMS-OT01","","","","","","","","","GHP2015FMS-OT01-00117","","","","","","","","","0","0","3","0","3","0","","","","","","","","","3","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2015FMS-OT01","","","","","","","","","GHP2015FMS-OT01-00118","","","","","","","","","0","0","3","0","3","0","","","","","","","","","1","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2015FMS-OT01","","","","","","","","","GHP2015FMS-OT01-00119","","","","","","","","","0","0","3","0","3","0","","","","","","","","","6","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2015FMS-OT01","","","","","","","","","GHP2015FMS-OT01-00012","","","","","","","","","0","0","3","0","3","0","","","","","","","","","6","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2015FMS-OT01","","","","","","","","","GHP2015FMS-OT01-00120","","","","","","","","","0","0","3","0","3","0","","","","","","","","","3","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2015FMS-OT01","","","","","","","","","GHP2015FMS-OT01-00121","","","","","","","","","0","0","3","0","3","0","","","","","","","","","9","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2015FMS-OT01","","","","","","","","","GHP2015FMS-OT01-00122","","","","","","","","","0","0","3","0","3","0","","","","","","","","","3","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2015FMS-OT01","","","","","","","","","GHP2015FMS-OT01-00123","","","","","","","","","0","0","3","0","3","0","","","","","","","","","3","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2015FMS-OT01","","","","","","","","","GHP2015FMS-OT01-00124","","","","","","","","","0","0","3","0","3","0","","","","","","","","","3","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2015FMS-OT01","","","","","","","","","GHP2015FMS-OT01-00125","","","","","","","","","0","0","3","0","3","0","","","","","","","","","3","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2015FMS-OT01","","","","","","","","","GHP2015FMS-OT01-00126","","","","","","","","","0","0","1","0","3","0","","","","","","","","","6","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2015FMS-OT01","","","","","","","","","GHP2015FMS-OT01-00127","","","","","","","","","0","0","3","0","3","0","","","","","","","","","6","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2015FMS-OT01","","","","","","","","","GHP2015FMS-OT01-00128","","","","","","","","","0","0","3","0","3","0","","","","","","","","","6","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
"","","GHP2015FMS-OT01","","","","","","","","","GHP2015FMS-OT01-00129","","","","","","","","","0","0","3","0","3","0","","","","","","","","","6","0","0","0","0","0","0","","","","","0","","0","","0","","0","","","0","","","0","","0","","0","","","","0",""
