"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Storage root dry matter content computing percent|CO_331:0000297","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of commercial storage roots per plant harvested|CO_331:2000036","Storage roots yield in kg per plant harvested|CO_331:0000681","Vine weight in kg per plant harvested|CO_331:0000990","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Biomass yield in tons per ha|CO_331:0001003","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2018CHL-MT01","","","","","","","","","MZP2018CHL-MT01-00031","","","","39","28","28","17","64","37","22.6","1.6","57.6","1","3","3","25.97","3.9","2.21","1.24","60.7","1.38","2.74","13.02","24.2","81.8","101","0.353125","0.043243243","0.23960396","3.607142857","2.285714286","0.864285714","2.057142857","63.36633663","29.58435208","6.28474","21.46248813","22.98195632","54.7008547","5.968414055","77.68281102","2.58974359","1.641025641","0.620512821","1.476923077","71.79487179","29.89417989","32.01058201","76.19047619","8.313148148","108.2010582"
"","","MZP2018CHL-MT01","","","","","","","","","MZP2018CHL-MT01-00032","","","","39","31","31","8","53","30","6.7","1.8","34","1","3","3","20.39","5.27","2.76","1.42","58.76","3.05","4.89","12.9","8.5","42.5","83","0.126415094","0.06","0.102409639","2.677419355","1.709677419","0.274193548","1.096774194","63.85542169","20","1.73315","6.362773029","8.072174739","32.28869896","1.645916429","40.36087369","2.128205128","1.358974359","0.217948718","0.871794872","79.48717949","8.004778973","10.15531661","40.62126643","2.070669056","50.77658303"
"","","MZP2018CHL-MT01","","","","","","","","","MZP2018CHL-MT01-00033","","","","39","27","27","11","8","6","1.2","0.2","36","1","3","3","29.84","4.93","2.39","1.26","63.4","0.85","2.33","11.23","1.4","37.4","14","0.15","0.033333333","0.1","0.518518519","0.296296296","0.051851852","1.333333333","57.14285714","3.743315508","0.41776","1.13960114","1.329534663","34.18803419","0.396733143","35.51756885","0.358974359","0.205128205","0.035897436","0.923076923","69.23076923","1.646090535","1.920438957","49.38271605","0.573058985","51.30315501"
"","","MZP2018CHL-MT01","","","","","","","","","MZP2018CHL-MT01-00034","","","","39","34","34","10","11","6","1.6","0.6","50.6","1","3","3","25.19","4.56","2.47","1.3","55.32","2.75","4.67","14.37","2.2","52.8","17","0.145454545","0.1","0.129411765","0.5","0.323529412","0.064705882","1.488235294","64.70588235","4.166666667","0.55418","1.519468186","2.089268756","48.05318139","0.5262868","50.14245014","0.435897436","0.282051282","0.056410256","1.297435897","87.17948718","1.74291939","2.396514161","55.11982571","0.603681917","57.51633987"
"","","MZP2018CHL-MT01","","","","","","","","","MZP2018CHL-MT01-00035","","","","39","34","34","8","22","20","3.8","0.8","70.2","1","3","3","19.57","6.17","3.12","1.55","51.19","3.38","5.91","14.06","4.6","74.8","42","0.172727273","0.04","0.10952381","1.235294118","0.647058824","0.135294118","2.064705882","52.38095238","6.14973262","0.90022","3.608736942","4.368471035","66.66666667","0.854909782","71.0351377","1.076923077","0.564102564","0.117948718","1.8","87.17948718","4.139433551","5.010893246","76.47058824","0.980631808","81.48148148"
"","","MZP2018CHL-MT01","","","","","","","","","MZP2018CHL-MT01-00036","","","","39","35","35","27","38","31","5","1.6","57.8","1","3","3","24.13","4.25","2.15","1.18","61.87","2.07","3.83","12.08","6.6","64.4","69","0.131578947","0.051612903","0.095652174","1.971428571","1.085714286","0.188571429","1.651428571","55.07246377","10.2484472","1.59258","4.748338082","6.267806268","54.89078822","1.512421652","61.15859449","1.769230769","0.974358974","0.169230769","1.482051282","89.74358974","5.291005291","6.984126984","61.16402116","1.685269841","68.14814815"
"","","MZP2018CHL-MT01","","","","","","","","","MZP2018CHL-MT01-00037","","","","39","38","38","20","87","37","23.8","2.4","63","1","3","3","29.06","4.02","2.1","1.09","65.67","0.94","2.47","9.25","26.2","89.2","124","0.273563218","0.064864865","0.211290323","3.263157895","2.289473684","0.689473684","1.657894737","70.16129032","29.37219731","7.61372","22.60208927","24.88129155","59.82905983","7.230503324","84.71035138","3.179487179","2.230769231","0.671794872","1.615384615","97.43589744","23.19688109","25.53606238","61.40350877","7.420779727","86.93957115"
"","","MZP2018CHL-MT01","","","","","","","","","MZP2018CHL-MT01-00038","","","","39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","MZP2018CHL-MT01","","","","","","","","","MZP2018CHL-MT01-00039","","","","39","39","39","21","65","22","14.8","1.4","81","1","5","5","","","","","","","","","16.2","97.2","87","0.227692308","0.063636364","0.186206897","2.230769231","1.666666667","0.415384615","2.076923077","74.71264368","16.66666667","","14.05508072","15.38461538","76.92307692","","92.30769231","2.230769231","1.666666667","0.415384615","2.076923077","100","14.05508072","15.38461538","76.92307692","","92.30769231"
"","","MZP2018CHL-MT01","","","","","","","","","MZP2018CHL-MT01-00040","","","","39","39","39","7","12","5","2.2","0.4","76.6","1","5","5","","","","","","","","","2.6","79.2","17","0.183333333","0.08","0.152941176","0.435897436","0.307692308","0.066666667","1.964102564","70.58823529","3.282828283","","2.089268756","2.469135802","72.74453941","","75.21367521","0.435897436","0.307692308","0.066666667","1.964102564","100","2.089268756","2.469135802","72.74453941","","75.21367521"
"","","MZP2018CHL-MT01","","","","","","","","","MZP2018CHL-MT01-00041","","","","39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","MZP2018CHL-MT01","","","","","","","","","MZP2018CHL-MT01-00042","","","","39","39","39","27","110","29","16.4","1.7","60.6","1","1","1","26.62","2.79","1.92","0.94","61.39","2.05","3.29","14.93","18.1","78.7","139","0.149090909","0.05862069","0.130215827","3.564102564","2.820512821","0.464102564","1.553846154","79.13669065","22.99872935","4.81822","15.57454891","17.18898386","57.54985755","4.575707502","74.73884141","3.564102564","2.820512821","0.464102564","1.553846154","100","15.57454891","17.18898386","57.54985755","4.575707502","74.73884141"
"","","MZP2018CHL-MT01","","","","","","","","","MZP2018CHL-MT01-00043","","","","39","38","38","20","190","250","24.4","14.8","70","1","3","3","26.67","3.84","2.11","1.03","60.26","3.04","4.82","11.4","39.2","109.2","440","0.128421053","0.0592","0.089090909","11.57894737","5","1.031578947","1.842105263","43.18181818","35.8974359","10.45464","23.17188984","37.22697056","66.47673314","9.928433048","103.7037037","11.28205128","4.871794872","1.005128205","1.794871795","97.43589744","23.78167641","38.20662768","68.22612086","10.1897076","106.4327485"
"","","MZP2018CHL-MT01","","","","","","","","","MZP2018CHL-MT01-00044","","","","39","29","29","18","120","170","20.6","8.2","49.8","1","1","1","30.24","4.04","2","1.13","66.26","0.84","2.24","9.63","28.8","78.6","290","0.171666667","0.048235294","0.099310345","10","4.137931034","0.993103448","1.717241379","41.37931034","36.64122137","8.70912","19.5631529","27.35042735","47.29344729","8.270769231","74.64387464","7.435897436","3.076923077","0.738461538","1.276923077","74.35897436","26.30906769","36.7816092","63.60153257","11.12275862","100.3831418"
"","","MZP2018CHL-MT01","","","","","","","","","MZP2018CHL-MT01-00045","","","","39","39","39","19","85","150","13.6","7.2","53.2","3","1","1","23.51","4.69","2.38","1.26","60.5","2.29","3.88","11.63","20.8","74","235","0.16","0.048","0.088510638","6.025641026","2.179487179","0.533333333","1.364102564","36.17021277","28.10810811","4.89008","12.91547958","19.75308642","50.52231719","4.643950617","70.27540361","6.025641026","2.179487179","0.533333333","1.364102564","100","12.91547958","19.75308642","50.52231719","4.643950617","70.27540361"
"","","MZP2018CHL-MT01","","","","","","","","","MZP2018CHL-MT01-00046","","","","39","24","24","13","18","40","3","2","22.6","1","3","3","21.19","6.22","2.48","1.57","56.7","2.02","3.98","11.69","5","27.6","58","0.166666667","0.05","0.086206897","2.416666667","0.75","0.208333333","0.941666667","31.03448276","18.11594203","1.0595","2.849002849","4.748338082","21.46248813","1.00617284","26.21082621","1.487179487","0.461538462","0.128205128","0.579487179","61.53846154","4.62962963","7.716049383","34.87654321","1.635030864","42.59259259"
"","","MZP2018CHL-MT01","","","","","","","","","MZP2018CHL-MT01-00047","","","","39","28","28","18","14","65","2","2.6","28.4","3","3","3","27.03","4.89","2.38","1.26","63.49","1.15","2.53","8.96","4.6","33","79","0.142857143","0.04","0.058227848","2.821428571","0.5","0.164285714","1.014285714","17.72151899","13.93939394","1.24338","1.899335233","4.368471035","26.9705603","1.180797721","31.33903134","2.025641026","0.358974359","0.117948718","0.728205128","71.79487179","2.645502646","6.084656085","37.56613757","1.64468254","43.65079365"
"","","MZP2018CHL-MT01","","","","","","","","","MZP2018CHL-MT01-00048","","","","39","15","15","0","0","0","0","0","19.4","","","","","","","","","","","","0","19.4","0","","","","0","0","0","1.293333333","","0","","0","0","18.42355176","","18.42355176","0","0","0","0.497435897","38.46153846","0","0","47.90123457","","47.90123457"
"","","MZP2018CHL-MT01","","","","","","","","","MZP2018CHL-MT01-00049","","","","39","29","29","10","16","10","2.8","1.4","38.2","1","3","3","18.78","4.83","2.71","1.36","54.01","4.68","6.87","14.1","4.2","42.4","26","0.175","0.14","0.161538462","0.896551724","0.551724138","0.144827586","1.317241379","61.53846154","9.905660377","0.78876","2.659069326","3.988603989","36.27730294","0.749059829","40.26590693","0.666666667","0.41025641","0.107692308","0.979487179","74.35897436","3.575989783","5.363984674","48.78671775","1.007356322","54.15070243"
"","","MZP2018CHL-MT01","","","","","","","","","MZP2018CHL-MT01-00050","","","","39","39","39","17","43","23","9","1.2","69.8","1","1","1","28.15","4.49","2.37","1.32","62.95","2.04","4.2","14.72","10.2","80","66","0.209302326","0.052173913","0.154545455","1.692307692","1.102564103","0.261538462","1.78974359","65.15151515","12.75","2.8713","8.547008547","9.686609687","66.28679962","2.726780627","75.97340931","1.692307692","1.102564103","0.261538462","1.78974359","100","8.547008547","9.686609687","66.28679962","2.726780627","75.97340931"
"","","MZP2018CHL-MT01","","","","","","","","","MZP2018CHL-MT01-00051","","","","39","39","39","13","20","15","5.8","1.2","75","1","3","3","21.73","4.84","2.82","1.34","56.14","3.17","5.12","16.72","7","82","35","0.29","0.08","0.2","0.897435897","0.512820513","0.179487179","1.923076923","57.14285714","8.536585366","1.5211","5.508072175","6.647673314","71.22507123","1.444539411","77.87274454","0.897435897","0.512820513","0.179487179","1.923076923","100","5.508072175","6.647673314","71.22507123","1.444539411","77.87274454"
"","","MZP2018CHL-MT01","","","","","","","","","MZP2018CHL-MT01-00052","","","","39","39","39","2","4","4","0.4","0.2","82.8","1","3","3","24.16","4.74","2.61","1.32","56.75","2.85","4.35","17.88","0.6","83.4","8","0.1","0.05","0.075","0.205128205","0.102564103","0.015384615","2.123076923","50","0.71942446","0.14496","0.379867047","0.56980057","78.63247863","0.137663818","79.2022792","0.205128205","0.102564103","0.015384615","2.123076923","100","0.379867047","0.56980057","78.63247863","0.137663818","79.2022792"
"","","MZP2018CHL-MT01","","","","","","","","","MZP2018CHL-MT01-00053","","","","39","38","38","38","220","230","40.8","11.6","71","1","1","1","24.59","3.9","2.06","1.04","68.57","1.84","3.4","6.04","52.4","123.4","450","0.185454545","0.050434783","0.116444444","11.84210526","5.789473684","1.378947368","1.868421053","48.88888889","42.46353323","12.88516","38.74643875","49.7625831","67.42640076","12.23661918","117.1889839","11.53846154","5.641025641","1.343589744","1.820512821","97.43589744","39.76608187","51.07212476","69.20077973","12.55863548","120.2729045"
"","","MZP2018CHL-MT01","","","","","","","","","MZP2018CHL-MT01-00054","","","","39","39","39","39","200","210","45.4","15.8","94","1","1","1","27.25","3.77","2.15","1.07","64.83","1.16","2.29","11.21","61.2","155.2","410","0.227","0.075238095","0.149268293","10.51282051","5.128205128","1.569230769","2.41025641","48.7804878","39.43298969","16.677","43.11490978","58.11965812","89.26875594","15.83760684","147.3884141","10.51282051","5.128205128","1.569230769","2.41025641","100","43.11490978","58.11965812","89.26875594","15.83760684","147.3884141"
"","","MZP2018CHL-MT01","","","","","","","","","MZP2018CHL-MT01-00055","","","","39","28","28","13","54","34","11","1.4","23","1","3","3","20.8","5.57","2.71","1.52","59.44","2.2","4.33","12.35","12.4","35.4","88","0.203703704","0.041176471","0.140909091","3.142857143","1.928571429","0.442857143","0.821428571","61.36363636","35.02824859","2.5792","10.44634378","11.77587844","21.84235518","2.449382716","33.61823362","2.256410256","1.384615385","0.317948718","0.58974359","71.79487179","14.55026455","16.4021164","30.42328042","3.411640212","46.82539683"
"","","MZP2018CHL-MT01","","","","","","","","","MZP2018CHL-MT01-00056","","","","39","29","29","18","13","35","2","2.2","58","1","3","3","33.71","4.3","2.43","1.2","61.67","1.41","3.46","15.27","4.2","62.2","48","0.153846154","0.062857143","0.0875","1.655172414","0.448275862","0.144827586","2","27.08333333","6.752411576","1.41582","1.899335233","3.988603989","55.08072175","1.344558405","59.06932574","1.230769231","0.333333333","0.107692308","1.487179487","74.35897436","2.554278416","5.363984674","74.07407407","1.808199234","79.43805875"
"","","MZP2018CHL-MT01","","","","","","","","","MZP2018CHL-MT01-00057","","","","39","20","20","6","4","5","0.6","0.2","39.4","1","3","3","34.6","3.83","2.02","1","65.45","1.33","2.8","11.19","0.8","40.2","9","0.15","0.04","0.088888889","0.45","0.2","0.04","1.97","44.44444444","1.990049751","0.2768","0.56980057","0.759734093","37.41690408","0.262867996","38.17663818","0.230769231","0.102564103","0.020512821","1.01025641","51.28205128","1.111111111","1.481481481","72.96296296","0.512592593","74.44444444"
"","","MZP2018CHL-MT01","","","","","","","","","MZP2018CHL-MT01-00058","","","","39","35","35","23","40","150","5.8","5.6","64.2","5","3","3","33.74","5.49","2.42","1.27","60.32","1.27","3.7","13.3","11.4","75.6","190","0.145","0.037333333","0.06","5.428571429","1.142857143","0.325714286","1.834285714","21.05263158","15.07936508","3.84636","5.508072175","10.82621083","60.96866097","3.652763533","71.79487179","4.871794872","1.025641026","0.292307692","1.646153846","89.74358974","6.137566138","12.06349206","67.93650794","4.070222222","80"
"","","MZP2018CHL-MT01","","","","","","","","","MZP2018CHL-MT01-00059","","","","39","33","33","28","150","240","23.6","11.4","40.4","1","1","1","32.98","5.34","2.27","1.38","69.77","0.72","2.67","4.52","35","75.4","390","0.157333333","0.0475","0.08974359","11.81818182","4.545454545","1.060606061","1.224242424","38.46153846","46.41909814","11.543","22.41215575","33.23836657","38.3665717","10.9620133","71.60493827","10","3.846153846","0.897435897","1.035897436","84.61538462","26.48709315","39.28170595","45.34231201","12.95510662","84.62401796"
"","","MZP2018CHL-MT01","","","","","","","","","MZP2018CHL-MT01-00060","","","","39","36","36","28","135","210","22.6","11.8","31.2","3","1","1","","","","","","","","","34.4","65.6","345","0.167407407","0.056190476","0.099710145","9.583333333","3.75","0.955555556","0.866666667","39.13043478","52.43902439","","21.46248813","32.668566","29.62962963","","62.29819563","8.846153846","3.461538462","0.882051282","0.8","92.30769231","23.25102881","35.3909465","32.09876543","","67.48971193"
"","","MZP2018CHL-MT01","","","","","","","","","MZP2018CHL-MT01-00061","","","","39","33","33","17","14","35","2","1.2","32","1","3","1","","","","","","","","","3.2","35.2","49","0.142857143","0.034285714","0.065306122","1.484848485","0.424242424","0.096969697","0.96969697","28.57142857","9.090909091","","1.899335233","3.038936372","30.38936372","","33.42830009","1.256410256","0.358974359","0.082051282","0.820512821","84.61538462","2.244668911","3.591470258","35.91470258","","39.50617284"
"","","MZP2018CHL-MT01","","","","","","","","","MZP2018CHL-MT01-00062","","","","39","34","34","30","100","60","29.2","5.6","45","1","3","3","","","","","","","","","34.8","79.8","160","0.292","0.093333333","0.2175","4.705882353","2.941176471","1.023529412","1.323529412","62.5","43.60902256","","27.7302944","33.04843305","42.73504274","","75.78347578","4.102564103","2.564102564","0.892307692","1.153846154","87.17948718","31.80827887","37.90849673","49.01960784","","86.92810458"
"","","MZP2018CHL-MT01","","","","","","","","","MZP2018CHL-MT01-00063","","","","39","22","22","5","19","12","3.5","0.8","43","1","3","3","23.23","5.09","2.67","1.34","57.18","2.71","4.07","15.22","4.3","47.3","31","0.184210526","0.066666667","0.138709677","1.409090909","0.863636364","0.195454545","1.954545455","61.29032258","9.090909091","0.99889","3.323836657","4.08357075","40.8357075","0.948613485","44.91927825","0.794871795","0.487179487","0.11025641","1.102564103","56.41025641","5.892255892","7.239057239","72.39057239","1.681632997","79.62962963"
"","","MZP2018CHL-MT01","","","","","","","","","MZP2018CHL-MT01-00064","","","","39","36","36","16","20","24","6.4","1.8","58.2","1","1","1","25.01","3.94","1.66","0.88","64.66","2.94","4.46","8.1","8.2","66.4","44","0.32","0.075","0.186363636","1.222222222","0.555555556","0.227777778","1.616666667","45.45454545","12.34939759","2.05082","6.077872745","7.787274454","55.27065527","1.947597341","63.05792972","1.128205128","0.512820513","0.21025641","1.492307692","92.30769231","6.58436214","8.436213992","59.87654321","2.109897119","68.3127572"
"","","MZP2018CHL-MT01","","","","","","","","","MZP2018CHL-MT01-00065","","","","39","35","35","14","37","34","12.6","3.2","90","1","3","3","26.42","4.84","2.47","1.29","63.43","1.11","2.82","11.28","15.8","105.8","71","0.340540541","0.094117647","0.222535211","2.028571429","1.057142857","0.451428571","2.571428571","52.11267606","14.93383743","4.17436","11.96581197","15.00474834","85.47008547","3.964254511","100.4748338","1.820512821","0.948717949","0.405128205","2.307692308","89.74358974","13.33333333","16.71957672","95.23809524","4.417312169","111.957672"
"","","MZP2018CHL-MT01","","","","","","","","","MZP2018CHL-MT01-00066","","","","39","13","13","0","0","0","0","0","8.2","","","","","","","","","","","","0","8.2","0","","","","0","0","0","0.630769231","","0","","0","0","7.787274454","","7.787274454","0","0","0","0.21025641","33.33333333","0","0","23.36182336","","23.36182336"
"","","MZP2018CHL-MT01","","","","","","","","","MZP2018CHL-MT01-00067","","","","39","37","37","7","10","13","2","1.2","74.6","1","5","5","24.62","3.73","1.86","0.88","65.28","3.39","4.81","8.64","3.2","77.8","23","0.2","0.092307692","0.139130435","0.621621622","0.27027027","0.086486486","2.016216216","43.47826087","4.11311054","0.78784","1.899335233","3.038936372","70.84520418","0.748186135","73.88414055","0.58974359","0.256410256","0.082051282","1.912820513","94.87179487","2.002002002","3.203203203","74.67467467","0.788628629","77.87787788"
"","","MZP2018CHL-MT01","","","","","","","","","MZP2018CHL-MT01-00068","","","","39","33","33","19","51","78","9","4.6","42","1","3","3","24.37","3.49","1.76","0.99","68","2.07","3.64","5.46","13.6","55.6","129","0.176470588","0.058974359","0.105426357","3.909090909","1.545454545","0.412121212","1.272727273","39.53488372","24.46043165","3.31432","8.547008547","12.91547958","39.88603989","3.147502374","52.80151947","3.307692308","1.307692308","0.348717949","1.076923077","84.61538462","10.1010101","15.2637486","47.13804714","3.719775533","62.40179574"
