"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Storage root dry matter content computing percent|CO_331:0000297","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of commercial storage roots per plant harvested|CO_331:2000036","Storage roots yield in kg per plant harvested|CO_331:0000681","Vine weight in kg per plant harvested|CO_331:0000990","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Biomass yield in tons per ha|CO_331:0001003","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2018CHL-MT01","","","","","","","","","MZP2018CHL-MT01-00011","","","","39","19","19","9","12","26","2","0.6","24.6","1","3","3","31.91","3.53","1.96","1","65.52","1.92","3.29","11.82","2.6","27.2","38","0.166666667","0.023076923","0.068421053","2","0.631578947","0.136842105","1.294736842","31.57894737","9.558823529","0.82966","1.899335233","2.469135802","23.36182336","0.787901235","25.83095916","0.974358974","0.307692308","0.066666667","0.630769231","48.71794872","3.898635478","5.068226121","47.95321637","1.617270955","53.0214425"
"","","MZP2018CHL-MT01","","","","","","","","","MZP2018CHL-MT01-00012","","","","39","33","33","22","43","46","4.8","1.8","50.6","1","3","3","32.89","3.62","2.07","1.24","63.43","1.73","3.5","16.2","6.6","57.2","89","0.111627907","0.039130435","0.074157303","2.696969697","1.303030303","0.2","1.533333333","48.31460674","11.53846154","2.17074","4.558404558","6.267806268","48.05318139","2.061481481","54.32098765","2.282051282","1.102564103","0.169230769","1.297435897","84.61538462","5.387205387","7.407407407","56.79012346","2.436296296","64.19753086"
"","","MZP2018CHL-MT01","","","","","","","","","MZP2018CHL-MT01-00013","","","","39","37","37","20","140","100","12.6","4","51.6","3","3","3","30.7","2.77","1.47","0.95","69.58","2.04","3.8","6.71","16.6","68.2","240","0.09","0.04","0.069166667","6.486486486","3.783783784","0.448648649","1.394594595","58.33333333","24.34017595","5.0962","11.96581197","15.76448243","49.002849","4.839696106","64.76733143","6.153846154","3.58974359","0.425641026","1.323076923","94.87179487","12.61261261","16.61661662","51.65165165","5.101301301","68.26826827"
"","","MZP2018CHL-MT01","","","","","","","","","MZP2018CHL-MT01-00014","","","","39","37","37","36","248","275","33.2","13.4","41.2","1","1","1","32.58","4.12","2.08","1.21","63.46","1.54","2.95","14","46.6","87.8","523","0.133870968","0.048727273","0.089101338","14.13513514","6.702702703","1.259459459","1.113513514","47.41873805","53.07517084","15.18228","31.52896486","44.25451092","39.12630579","14.41811966","83.38081671","13.41025641","6.358974359","1.194871795","1.056410256","94.87179487","33.23323323","46.64664665","41.24124124","15.19747748","87.88788789"
"","","MZP2018CHL-MT01","","","","","","","","","MZP2018CHL-MT01-00015","","","","39","30","30","21","65","40","15.8","2.2","29.2","1","3","3","","","","","","","","","18","47.2","105","0.243076923","0.055","0.171428571","3.5","2.166666667","0.6","0.973333333","61.9047619","38.13559322","","15.00474834","17.09401709","27.7302944","","44.82431149","2.692307692","1.666666667","0.461538462","0.748717949","76.92307692","19.50617284","22.22222222","36.04938272","","58.27160494"
"","","MZP2018CHL-MT01","","","","","","","","","MZP2018CHL-MT01-00016","","","","39","21","21","1","0","1","0","0.1","21","1","5","5","","","","","","","","","0.1","21.1","1","","0.1","0.1","0.047619048","0","0.004761905","1","0","0.473933649","","0","0.094966762","19.94301994","","20.0379867","0.025641026","0","0.002564103","0.538461538","53.84615385","0","0.176366843","37.03703704","","37.21340388"
"","","MZP2018CHL-MT01","","","","","","","","","MZP2018CHL-MT01-00017","","","","39","32","32","15","19","26","5","1.2","24.2","1","3","3","29.1","4.82","2.56","1.41","59.68","1.6","3.16","14.95","6.2","30.4","45","0.263157895","0.046153846","0.137777778","1.40625","0.59375","0.19375","0.75625","42.22222222","20.39473684","1.8042","4.748338082","5.887939221","22.98195632","1.713390313","28.86989554","1.153846154","0.487179487","0.158974359","0.620512821","82.05128205","5.787037037","7.175925926","28.00925926","2.088194444","35.18518519"
"","","MZP2018CHL-MT01","","","","","","","","","MZP2018CHL-MT01-00018","","","","39","37","37","1","1","0","0.2","0","47.4","","","","","","","","","","","","0.2","47.6","1","0.2","","0.2","0.027027027","0.027027027","0.005405405","1.281081081","100","0.420168067","","0.189933523","0.189933523","45.01424501","","45.20417854","0.025641026","0.025641026","0.005128205","1.215384615","94.87179487","0.2002002","0.2002002","47.44744745","","47.64764765"
"","","MZP2018CHL-MT01","","","","","","","","","MZP2018CHL-MT01-00019","","","","39","29","29","1","4","0","0.6","0","65.2","1","3","3","","","","","","","","","0.6","65.8","4","0.15","","0.15","0.137931034","0.137931034","0.020689655","2.248275862","100","0.911854103","","0.56980057","0.56980057","61.91832858","","62.48812915","0.102564103","0.102564103","0.015384615","1.671794872","74.35897436","0.766283525","0.766283525","83.26947637","","84.0357599"
"","","MZP2018CHL-MT01","","","","","","","","","MZP2018CHL-MT01-00020","","","","39","33","33","17","30","29","2.6","1.2","57.7","1","3","3","22.64","6.59","2.78","1.46","59.17","1.47","3.21","12.69","3.8","61.5","59","0.086666667","0.04137931","0.06440678","1.787878788","0.909090909","0.115151515","1.748484848","50.84745763","6.178861789","0.86032","2.469135802","3.608736942","54.79582146","0.817018044","58.4045584","1.512820513","0.769230769","0.097435897","1.479487179","84.61538462","2.918069585","4.264870932","64.75869809","0.965566779","69.02356902"
