"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2009GUR-AT01","","","","","","","","","MZP2009GUR-AT01-00011","","","","39","38","1","2","4","23","20","7","52","1.6","4.9","19.5","5","6.5","26","59","0.228571429","0.094230769","0.110169492","2.565217391","1.512820513","0.304347826","0.179487179","0.282608696","0.166666667","0.847826087","0.5","11.86440678","25","58.97435897","1.519468186","2.576489533","6.172839506","10.46698873","18.51851852","31.40096618","24.69135802","41.86795491"
"","","MZP2009GUR-AT01","","","","","","","","","MZP2009GUR-AT01-00012","","","","39","35","4","5","3","19","19","16","59","8.1","5","3","6","13.1","16.1","75","0.50625","0.084745763","0.174666667","3.947368421","1.923076923","0.842105263","0.41025641","0.689473684","0.335897436","0.157894737","0.076923077","21.33333333","81.36645963","48.71794872","7.692307692","15.78947368","12.44064577","25.53606238","2.849002849","5.847953216","15.28964862","31.38401559"
"","","MZP2009GUR-AT01","","","","","","","","","MZP2009GUR-AT01-00013","","","","39","25","3","3","4","22","21","11","27","3","4","6","6","7","13","38","0.272727273","0.148148148","0.184210526","1.727272727","0.974358974","0.5","0.282051282","0.318181818","0.179487179","0.272727273","0.153846154","28.94736842","53.84615385","56.41025641","2.849002849","5.050505051","6.647673314","11.78451178","5.698005698","10.1010101","12.34567901","21.88552189"
"","","MZP2009GUR-AT01","","","","","","","","","MZP2009GUR-AT01-00014","","","","39","32","3","3","6","20","20","11","40","4.1","4.9","50","2","9","59","51","0.372727273","0.1225","0.176470588","2.55","1.307692308","0.55","0.282051282","0.45","0.230769231","2.5","1.282051282","21.56862745","15.25423729","51.28205128","3.893637227","7.592592593","8.547008547","16.66666667","47.48338082","92.59259259","56.03038936","109.2592593"
"","","MZP2009GUR-AT01","","","","","","","","","MZP2009GUR-AT01-00015","","","","39","32","3","3","5","32","11","3","25","1","1.9","10","5","2.9","12.9","28","0.333333333","0.076","0.103571429","0.875","0.717948718","0.09375","0.076923077","0.090625","0.074358974","0.3125","0.256410256","10.71428571","22.48062016","82.05128205","0.949667616","1.157407407","2.754036087","3.356481481","9.496676163","11.57407407","12.25071225","14.93055556"
"","","MZP2009GUR-AT01","","","","","","","","","MZP2009GUR-AT01-00016","","","","39","35","2","3","5","35","35","33","43","12","4.5","9","6","16.5","25.5","76","0.363636364","0.104651163","0.217105263","2.171428571","1.948717949","0.942857143","0.846153846","0.471428571","0.423076923","0.257142857","0.230769231","43.42105263","64.70588235","89.74358974","11.3960114","12.6984127","15.66951567","17.46031746","8.547008547","9.523809524","24.21652422","26.98412698"
"","","MZP2009GUR-AT01","","","","","","","","","MZP2009GUR-AT01-00017","","","","39","24","3","3","4","24","12","3","20","0.9","1.1","3.1","2","2","5.1","23","0.3","0.055","0.086956522","0.958333333","0.58974359","0.125","0.076923077","0.083333333","0.051282051","0.129166667","0.079487179","13.04347826","39.21568627","61.53846154","0.854700855","1.388888889","1.899335233","3.086419753","2.943969611","4.783950617","4.843304843","7.87037037"
"","","MZP2009GUR-AT01","","","","","","","","","MZP2009GUR-AT01-00018","","","","39","32","3","3","4","32","17","14","13","4","1.2","5.5","6","5.2","10.7","27","0.285714286","0.092307692","0.192592593","0.84375","0.692307692","0.4375","0.358974359","0.1625","0.133333333","0.171875","0.141025641","51.85185185","48.59813084","82.05128205","3.798670465","4.62962963","4.938271605","6.018518519","5.22317189","6.365740741","10.16144349","12.38425926"
"","","MZP2009GUR-AT01","","","","","","","","","MZP2009GUR-AT01-00019","","","","39","39","1","2","6","29","10","0","32","0","2","23.2","5","2","25.2","32","","0.0625","0.0625","1.103448276","0.820512821","0","0","0.068965517","0.051282051","0.8","0.594871795","0","7.936507937","74.35897436","0","0","1.899335233","2.554278416","22.0322887","29.62962963","23.93162393","32.18390805"
"","","MZP2009GUR-AT01","","","","","","","","","MZP2009GUR-AT01-00020","","","","39","38","2","2","5","36","12","0","30","0","2.2","12.1","5","2.2","14.3","30","","0.073333333","0.073333333","0.833333333","0.769230769","0","0","0.061111111","0.056410256","0.336111111","0.31025641","0","15.38461538","92.30769231","0","0","2.089268756","2.263374486","11.49097816","12.44855967","13.58024691","14.71193416"
