"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Weight of vines per NET plot in kg|CO_331:0000227","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Total storage root weight per NET plot in kg|CO_331:0000237","Total storage roots yield computation tons per ha|CO_331:0000296","Commercial storage root yield tons per ha|CO_331:0000809","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in kg per plot|CO_331:0000683","Harvest index computing percent|CO_331:0000302","Storage root dry matter content computing percent|CO_331:0000297","Survival index computing percent|CO_331:0000301","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Percentage of commercial storage root|CO_331:0000682","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2009GUR-MT01","","","","","","","","","MZP2009ANG-MT01-00001","","","","23","19","1","2","5","8","17","16","9","5.4","25","2.3","3","3","4","","5","7.7","12.39935588","8.695652174","12.88244767","15.7","49.04458599","28","73.91304348","34","0.6","0.092","0.226470588","2","1.47826087","0.529411765","0.391304348","0.452941176","0.334782609","26.47058824","2.156","11.76470588","16.77559913","3.471819646","4.697167756","25.28180354","0.470588235","0.347826087","17.4291939","34.20479303"
"","","MZP2009GUR-MT01","","","","","","","","","MZP2009ANG-MT01-00002","","","","23","21","1","2","3","4","19","12","6","2","35","4","3","3","4","0.15","5","6","9.661835749","3.220611916","6.441223833","10","60","32","82.60869565","41","0.333333333","0.114285714","0.146341463","2.157894737","1.782608696","0.315789474","0.260869565","0.315789474","0.260869565","14.63414634","1.92","3.898635478","11.69590643","3.09178744","3.742690058","16.10305958","0.210526316","0.173913043","7.797270955","19.49317739"
"","","MZP2009GUR-MT01","","","","","","","","","MZP2009ANG-MT01-00003","","","","23","18","1","1","5","19","16","10","5","1","28","2.9","2","2","5","10.5","5","3.9","6.280193237","1.610305958","30.5958132","22.9","17.03056769","30","69.56521739","33","0.2","0.103571429","0.118181818","2.0625","1.434782609","0.3125","0.217391304","0.24375","0.169565217","15.15151515","1.17","2.314814815","9.027777778","1.884057971","2.708333333","36.87600644","1.1875","0.826086957","43.98148148","53.00925926"
"","","MZP2009GUR-MT01","","","","","","","","","MZP2009ANG-MT01-00004","","","","23","22","2","4","5","10","22","22","50","23.9","24","3","5","5","3","6.12","5","26.9","43.31723027","38.4863124","16.10305958","36.9","72.899729","34","95.65217391","74","0.478","0.125","0.363513514","3.363636364","3.217391304","2.272727273","2.173913043","1.222727273","1.169565217","67.56756757","9.146","40.23569024","45.28619529","14.72785829","15.3973064","59.42028986","0.454545455","0.434782609","16.83501684","62.12121212"
"","","MZP2009GUR-MT01","","","","","","","","","MZP2009ANG-MT01-00005","","","","23","20","1","2","8","31","16","15","15","8.5","20","3.1","5","5","5","0","5","11.6","18.67954911","13.68760064","49.9194847","42.6","27.23004695","32","69.56521739","35","0.566666667","0.155","0.331428571","2.1875","1.52173913","0.9375","0.652173913","0.725","0.504347826","42.85714286","3.712","19.67592593","26.85185185","5.977455717","8.592592593","68.59903382","1.9375","1.347826087","71.75925926","98.61111111"
"","","MZP2009GUR-MT01","","","","","","","","","MZP2009ANG-MT01-00006","","","","23","23","1","2","5","13","23","23","28","18","40","4.5","4","3","3","4.41","5","22.5","36.23188406","28.98550725","20.93397746","35.5","63.38028169","34","100","68","0.642857143","0.1125","0.330882353","2.956521739","2.956521739","1.217391304","1.217391304","0.97826087","0.97826087","41.17647059","7.65","28.98550725","36.23188406","12.31884058","12.31884058","57.16586151","0.565217391","0.565217391","20.93397746","57.16586151"
"","","MZP2009GUR-MT01","","","","","","","","","MZP2009ANG-MT01-00007","","","","23","19","1","1","7","28","13","8","5","2.9","22","3.2","4","4","4","0.12","5","6.1","9.822866345","4.669887279","45.08856683","34.1","17.88856305","34","56.52173913","27","0.58","0.145454545","0.225925926","2.076923077","1.173913043","0.384615385","0.217391304","0.469230769","0.265217391","18.51851852","2.074","8.262108262","17.37891738","3.339774557","5.908831909","54.91143317","2.153846154","1.217391304","79.77207977","97.15099715"
"","","MZP2009GUR-MT01","","","","","","","","","MZP2009ANG-MT01-00008","","","","23","23","1","2","4","9","18","18","42","15.1","28","5","5","4","3","0.15","5","20.1","32.36714976","24.31561997","14.49275362","29.1","69.07216495","32","78.26086957","70","0.35952381","0.178571429","0.287142857","3.888888889","3.043478261","2.333333333","1.826086957","1.116666667","0.873913043","60","6.432","31.06995885","41.35802469","10.35748792","13.2345679","46.85990338","0.5","0.391304348","18.51851852","59.87654321"
"","","MZP2009GUR-MT01","","","","","","","","","MZP2009ANG-MT01-00009","","","","23","22","1","2","5","20","17","16","23","7.8","17","3.5","4","4","4","0.02","5","11.3","18.19645733","12.56038647","32.20611916","31.3","36.10223642","34","73.91304348","40","0.339130435","0.205882353","0.2825","2.352941176","1.739130435","1.352941176","1","0.664705882","0.491304348","57.5","3.842","16.99346405","24.61873638","6.186795491","8.37037037","50.40257649","1.176470588","0.869565217","43.57298475","68.19172113"
"","","MZP2009GUR-MT01","","","","","","","","","MZP2009ANG-MT01-00010","","","","23","23","1","3","7","42","23","21","20","9.5","27","4","4","4","3","3.76","5","13.5","21.73913043","15.2979066","67.63285024","55.5","24.32432432","34","100","47","0.475","0.148148148","0.287234043","2.043478261","2.043478261","0.869565217","0.869565217","0.586956522","0.586956522","42.55319149","4.59","15.2979066","21.73913043","7.391304348","7.391304348","89.37198068","1.826086957","1.826086957","67.63285024","89.37198068"
