"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2015GUR-MT10","","","","","","","","","MZP2015GUR-MT10-00011","","","","39","29","1","3","5","26","26","15","39","4.9","8.7","9","4","3","5","5","3.31","11.03","51.2","3.69","6.04","17.02","13.6","22.6","54","0.326666667","0.223076923","0.251851852","2.076923077","1.384615385","0.576923077","0.384615385","0.523076923","0.348717949","0.346153846","0.230769231","27.77777778","60.17699115","66.66666667","4.65337132","6.98005698","12.91547958","19.37321937","8.547008547","12.82051282","21.46248813","32.19373219"
"","","MZP2015GUR-MT10","","","","","","","","","MZP2015GUR-MT10-00012","","","","39","32","1","1","7","25","25","12","40","3.9","8.9","9","2","5","5","5","5.5","7.76","47.11","5.67","8.46","14.15","12.8","21.8","52","0.325","0.2225","0.246153846","2.08","1.333333333","0.48","0.307692308","0.512","0.328205128","0.36","0.230769231","23.07692308","58.71559633","64.1025641","3.703703704","5.777777778","12.15574549","18.96296296","8.547008547","13.33333333","20.70275404","32.2962963"
"","","MZP2015GUR-MT10","","","","","","","","","MZP2015GUR-MT10-00013","","","","39","32","1","1","5","12","12","10","35","3.3","8.9","12.5","6","5","5","5","3.23","7.23","57.02","3.67","5.62","11.46","12.2","24.7","45","0.33","0.254285714","0.271111111","3.75","1.153846154","0.833333333","0.256410256","1.016666667","0.312820513","1.041666667","0.320512821","22.22222222","49.39271255","30.76923077","3.133903134","10.18518519","11.58594492","37.65432099","11.8708452","38.58024691","23.45679012","76.2345679"
"","","MZP2015GUR-MT10","","","","","","","","","MZP2015GUR-MT10-00014","","","","39","35","1","1","9","35","10","0","21","0","6","9","6","5","5","5","3.62","6.12","64.64","2.13","3.63","5.98","6","15","21","","0.285714286","0.285714286","0.6","0.538461538","0","0","0.171428571","0.153846154","0.257142857","0.230769231","0","40","89.74358974","0","0","5.698005698","6.349206349","8.547008547","9.523809524","14.24501425","15.87301587"
"","","MZP2015GUR-MT10","","","","","","","","","MZP2015GUR-MT10-00015","","","","39","33","3","5","5","25","12","0","30","0","8.7","16.5","2","7","5","5","3.61","7.23","67.69","1.8","3.13","4.39","8.7","25.2","30","","0.29","0.29","1.2","0.769230769","0","0","0.348","0.223076923","0.66","0.423076923","0","34.52380952","64.1025641","0","0","8.262108262","12.88888889","15.66951567","24.44444444","23.93162393","37.33333333"
"","","MZP2015GUR-MT10","","","","","","","","","MZP2015GUR-MT10-00016","","","","39","30","1","1","7","30","20","10","29","3.3","7.5","1.5","1","5","5","5","3.77","0.02","70.19","1.21","2.67","3.56","10.8","12.3","39","0.33","0.25862069","0.276923077","1.3","1","0.333333333","0.256410256","0.36","0.276923077","0.05","0.038461538","25.64102564","87.80487805","76.92307692","3.133903134","4.074074074","10.25641026","13.33333333","1.424501425","1.851851852","11.68091168","15.18518519"
"","","MZP2015GUR-MT10","","","","","","","","","MZP2015GUR-MT10-00017","","","","39","19","1","3","5","6","6","0","14","0","4.7","6","4","7","7","5","5.09","10.5","70.29","1.69","3.4","0.78","4.7","10.7","14","","0.335714286","0.335714286","2.333333333","0.358974359","0","0","0.783333333","0.120512821","1","0.153846154","0","43.92523364","15.38461538","0","0","4.463437797","29.01234568","5.698005698","37.03703704","10.16144349","66.04938272"
"","","MZP2015GUR-MT10","","","","","","","","","MZP2015GUR-MT10-00018","","","","39","22","1","3","5","13","13","0","19","0","6.5","3","2","5","5","5","3.42","6.12","61.68","3.24","5.15","9.5","6.5","9.5","19","","0.342105263","0.342105263","1.461538462","0.487179487","0","0","0.5","0.166666667","0.230769231","0.076923077","0","68.42105263","33.33333333","0","0","6.172839506","18.51851852","2.849002849","8.547008547","9.021842355","27.06552707"
"","","MZP2015GUR-MT10","","","","","","","","","MZP2015GUR-MT10-00019","","","","39","30","1","1","7","30","30","11","29","3.7","8.7","18","2","5","5","5","","7.76","","","","","12.4","30.4","40","0.336363636","0.3","0.31","1.333333333","1.025641026","0.366666667","0.282051282","0.413333333","0.317948718","0.6","0.461538462","27.5","40.78947368","76.92307692","3.51377018","4.567901235","11.77587844","15.30864198","17.09401709","22.22222222","28.86989554","37.5308642"
"","","MZP2015GUR-MT10","","","","","","","","","MZP2015GUR-MT10-00020","","","","39","24","1","1","5","24","3","0","5","0","0.8","17","2","9","9","9","","7.23","","","","","0.8","17.8","5","","0.16","0.16","0.208333333","0.128205128","0","0","0.033333333","0.020512821","0.708333333","0.435897436","0","4.494382022","61.53846154","0","0","0.759734093","1.234567901","16.14434948","26.2345679","16.90408357","27.4691358"
