"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root size estimating 1-9|CO_331:0000184","Storage root dry matter content computing percent|CO_331:0000297","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2016MAN-ST01","","","","","","","","","MZP2016MAN-ST01-00018","","","","90","42","38","64","55","19","6","60","2","5","39.024","1.37","73.38","0.8","","25","85","119","0.296875","0.109090909","0.210084034","2.833333333","1.322222222","1.523809524","0.711111111","0.595238095","0.277777778","1.428571429","0.666666667","53.78151261","29.41176471","46.66666667","9.756","7.818930041","16.75485009","10.28806584","22.04585538","24.69135802","52.91005291","4.014814815","8.603174603","34.97942387","74.95590829"
"","","MZP2016MAN-ST01","","","","","","","","","MZP2016MAN-ST01-00060","","","","90","32","27","59","55","21","7","36","2","2","38.951","1.38","73.16","0.79","","28","64","114","0.355932203","0.127272727","0.245614035","3.5625","1.266666667","1.84375","0.655555556","0.875","0.311111111","1.125","0.4","51.75438596","43.75","35.55555556","10.90628","8.641975309","24.30555556","11.52263374","32.40740741","14.81481481","41.66666667","4.48818107","12.62300926","26.33744856","74.07407407"
"","","MZP2016MAN-ST01","","","","","","","","","MZP2016MAN-ST01-00012","","","","90","25","8","4","5","1","0.1","21","2","8","","","","","","1.1","22.1","9","0.25","0.02","0.122222222","0.36","0.1","0.16","0.044444444","0.044","0.012222222","0.84","0.233333333","44.44444444","4.977375566","27.77777778","","0.411522634","1.481481481","0.452674897","1.62962963","8.641975309","31.11111111","","","9.094650206","32.74074074"
"","","MZP2016MAN-ST01","","","","","","","","","MZP2016MAN-ST01-00056","","","","90","34","10","5","8","2","1.8","31","2","7","","","","","","3.8","34.8","13","0.4","0.225","0.292307692","0.382352941","0.144444444","0.147058824","0.055555556","0.111764706","0.042222222","0.911764706","0.344444444","38.46153846","10.91954023","37.77777778","","0.823045267","2.178649237","1.563786008","4.139433551","12.75720165","33.76906318","","","14.32098765","37.90849673"
"","","MZP2016MAN-ST01","","","","","","","","","MZP2016MAN-ST01-00015","","","","90","28","19","59","29","8","1.2","24","3","5","32.228","2.27","66.46","1.5","5.94","9.2","33.2","88","0.13559322","0.04137931","0.104545455","3.142857143","0.977777778","2.107142857","0.655555556","0.328571429","0.102222222","0.857142857","0.266666667","67.04545455","27.71084337","31.11111111","2.964976","3.29218107","10.58201058","3.78600823","12.16931217","9.87654321","31.74603175","1.220154733","3.921925926","13.66255144","43.91534392"
"","","MZP2016MAN-ST01","","","","","","","","","MZP2016MAN-ST01-00058","","","","90","26","15","26","23","12","3","18","3","5","","","","","","15","33","49","0.461538462","0.130434783","0.306122449","1.884615385","0.544444444","1","0.288888889","0.576923077","0.166666667","0.692307692","0.2","53.06122449","45.45454545","28.88888889","","4.938271605","17.09401709","6.172839506","21.36752137","7.407407407","25.64102564","","","13.58024691","47.00854701"
"","","MZP2016MAN-ST01","","","","","","","","","MZP2016MAN-ST01-00033","","","","90","24","15","25","30","8","4","17","5","5","31.021","1.67","68.88","0.89","3.78","12","29","55","0.32","0.133333333","0.218181818","2.291666667","0.611111111","1.041666667","0.277777778","0.5","0.133333333","0.708333333","0.188888889","45.45454545","41.37931034","26.66666667","3.72252","3.29218107","12.34567901","4.938271605","18.51851852","6.995884774","26.2345679","1.531901235","5.74462963","11.93415638","44.75308642"
"","","MZP2016MAN-ST01","","","","","","","","","MZP2016MAN-ST01-00061","","","","90","41","10","5","11","2.2","2","48","2","5","","","","","","4.2","52.2","16","0.44","0.181818182","0.2625","0.390243902","0.177777778","0.12195122","0.055555556","0.102439024","0.046666667","1.170731707","0.533333333","31.25","8.045977011","45.55555556","","0.905349794","1.987353207","1.728395062","3.79403794","19.75308642","43.3604336","","","21.48148148","47.15447154"
"","","MZP2016MAN-ST01","","","","","","","","","MZP2016MAN-ST01-00025","","","","90","48","38","68","30","22","3","54","5","5","43.322","1.93","74.3","1.06","1.58","25","79","98","0.323529412","0.1","0.255102041","2.041666667","1.088888889","1.416666667","0.755555556","0.520833333","0.277777778","1.125","0.6","69.3877551","31.64556962","53.33333333","10.8305","9.053497942","16.97530864","10.28806584","19.29012346","22.22222222","41.66666667","4.456995885","8.356867284","32.51028807","60.95679012"
"","","MZP2016MAN-ST01","","","","","","","","","MZP2016MAN-ST01-00036","","","","90","40","35","87","68","25","7","36","4","5","38.283","1.92","71.14","1.07","3.82","32","68","155","0.287356322","0.102941176","0.206451613","3.875","1.722222222","2.175","0.966666667","0.8","0.355555556","0.9","0.4","56.12903226","47.05882353","44.44444444","12.25056","10.28806584","23.14814815","13.16872428","29.62962963","14.81481481","33.33333333","5.041382716","11.34311111","27.98353909","62.96296296"
