"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207"," Content of total sugars estimating 1-9|CO_331:0000766","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Vine dry matter yield per NET plot in tons per ha|CO_331:0001005","Vine dry matter yield adjusted per NET plot in tons per ha|CO_331:0001006","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2011GUR-AT05","","","","","","","","","MZP2011GUR-AT05-00060","","","","39","39","1","3","5","14","9","0","10","0","2.5","8","4","5","7","5","3","7.23","2.5","10.5","10","","0.25","0.25","0.714285714","0.256410256","0","0","0.178571429","0.064102564","0.571428571","0.205128205","0","23.80952381","35.8974359","0","0","2.374169041","6.613756614","7.597340931","21.16402116","38.0952381","106.122449","9.971509972","27.77777778"
"","","MZP2011GUR-AT05","","","","","","","","","MZP2011GUR-AT05-00061","","","","39","34","1","3","5","20","18","0","20","0","8.5","6","4","3","7","5","3","7.23","8.5","14.5","20","","0.425","0.425","1","0.512820513","0","0","0.425","0.217948718","0.3","0.153846154","0","58.62068966","51.28205128","0","0","8.072174739","15.74074074","5.698005698","11.11111111","28.57142857","55.71428571","13.77018044","26.85185185"
"","","MZP2011GUR-AT05","","","","","","","","","MZP2011GUR-AT05-00062","","","","39","26","3","5","5","15","2","0","2","0","0.3","5","6","7","9","1","1","1.04","0.3","5.3","2","","0.15","0.15","0.133333333","0.051282051","0","0","0.02","0.007692308","0.333333333","0.128205128","0","5.660377358","38.46153846","0","0","0.284900285","0.740740741","4.748338082","12.34567901","0.952380952","2.476190476","5.033238367","13.08641975"
"","","MZP2011GUR-AT05","","","","","","","","","MZP2011GUR-AT05-00063","","","","39","24","3","5","5","26","13","0","13","0","3","18","2","3","9","1","1","1.74","3","21","13","","0.230769231","0.230769231","0.5","0.333333333","0","0","0.115384615","0.076923077","0.692307692","0.461538462","0","14.28571429","66.66666667","0","0","2.849002849","4.273504274","17.09401709","25.64102564","3.428571429","5.142857143","19.94301994","29.91452991"
"","","MZP2011GUR-AT05","","","","","","","","","MZP2011GUR-AT05-00064","","","","39","30","1","1","7","20","20","0","23","0","7.8","11","2","3","3","7","5","12.39","7.8","18.8","23","","0.339130435","0.339130435","1.15","0.58974359","0","0","0.39","0.2","0.55","0.282051282","0","41.4893617","51.28205128","0","0","7.407407407","14.44444444","10.44634378","20.37037037","73.33333333","143","17.85375119","34.81481481"
"","","MZP2011GUR-AT05","","","","","","","","","MZP2011GUR-AT05-00065","","","","39","25","1","3","7","18","13","0","16","0","4","4","4","5","7","5","3","5.49","4","8","16","","0.25","0.25","0.888888889","0.41025641","0","0","0.222222222","0.102564103","0.222222222","0.102564103","0","50","46.15384615","0","0","3.798670465","8.230452675","3.798670465","8.230452675","19.04761905","41.26984127","7.597340931","16.46090535"
"","","MZP2011GUR-AT05","","","","","","","","","MZP2011GUR-AT05-00066","","","","39","29","1","3","5","13","5","0","5","0","1","4.5","6","5","7","5","3","7.23","1","5.5","5","","0.2","0.2","0.384615385","0.128205128","0","0","0.076923077","0.025641026","0.346153846","0.115384615","0","18.18181818","33.33333333","0","0","0.949667616","2.849002849","4.273504274","12.82051282","21.42857143","64.28571429","5.22317189","15.66951567"
"","","MZP2011GUR-AT05","","","","","","","","","MZP2011GUR-AT05-00067","","","","39","30","1","3","7","29","21","0","25","0","10","23","2","3","7","5","3","7.76","10","33","25","","0.4","0.4","0.862068966","0.641025641","0","0","0.344827586","0.256410256","0.793103448","0.58974359","0","30.3030303","74.35897436","0","0","9.496676163","12.77139208","21.84235518","29.37420179","109.5238095","147.2906404","31.33903134","42.14559387"
"","","MZP2011GUR-AT05","","","","","","","","","MZP2011GUR-AT05-00068","","","","39","30","1","3","5","30","30","0","33","0","14","9","6","3","7","7","5","11.03","14","23","33","","0.424242424","0.424242424","1.1","0.846153846","0","0","0.466666667","0.358974359","0.3","0.230769231","0","60.86956522","76.92307692","0","0","13.29534663","17.28395062","8.547008547","11.11111111","60","78","21.84235518","28.39506173"
"","","MZP2011GUR-AT05","","","","","","","","","MZP2011GUR-AT05-00069","","","","39","33","1","3","5","33","33","0","5","0","1.7","18","5","3","5","5","1","3.03","1.7","19.7","5","","0.34","0.34","0.151515152","0.128205128","0","0","0.051515152","0.043589744","0.545454545","0.461538462","0","8.629441624","84.61538462","0","0","1.614434948","1.907968575","17.09401709","20.2020202","85.71428571","101.2987013","18.70845204","22.10998878"
