"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207"," Content of total sugars estimating 1-9|CO_331:0000766","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Vine dry matter yield per NET plot in tons per ha|CO_331:0001005","Vine dry matter yield adjusted per NET plot in tons per ha|CO_331:0001006","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2011GUR-AT05","","","","","","","","","MZP2011GUR-AT05-00014","","","","39","32","1","1","7","16","1","0","3","0","0.5","3.5","6","7","3","3","3","5.46","0.5","4","3","","0.166666667","0.166666667","0.1875","0.076923077","0","0","0.03125","0.012820513","0.21875","0.08974359","0","12.5","41.02564103","0","0","0.474833808","1.157407407","3.323836657","8.101851852","10","24.375","3.798670465","9.259259259"
"","","MZP2011GUR-AT05","","","","","","","","","MZP2011GUR-AT05-00015","","","","39","35","1","3","5","12","1","0","1","0","0.2","5.5","4","7","9","5","3","7.23","0.2","5.7","1","","0.2","0.2","0.083333333","0.025641026","0","0","0.016666667","0.005128205","0.458333333","0.141025641","0","3.50877193","30.76923077","0","0","0.189933523","0.617283951","5.22317189","16.97530864","26.19047619","85.11904762","5.413105413","17.59259259"
"","","MZP2011GUR-AT05","","","","","","","","","MZP2011GUR-AT05-00016","","","","39","38","1","3","5","17","4","0","5","0","1","37","5","5","9","1","1","1.32","1","38","5","","0.2","0.2","0.294117647","0.128205128","0","0","0.058823529","0.025641026","2.176470588","0.948717949","0","2.631578947","43.58974359","0","0","0.949667616","2.178649237","35.1377018","80.61002179","5.034013605","11.54861945","36.08736942","82.78867102"
"","","MZP2011GUR-AT05","","","","","","","","","MZP2011GUR-AT05-00017","","","","39","35","1","3","5","24","20","0","25","0","5.6","5","8","3","3","7","5","10.5","5.6","10.6","25","","0.224","0.224","1.041666667","0.641025641","0","0","0.233333333","0.143589744","0.208333333","0.128205128","0","52.83018868","61.53846154","0","0","5.318138651","8.641975309","4.748338082","7.716049383","33.33333333","54.16666667","10.06647673","16.35802469"
"","","MZP2011GUR-AT05","","","","","","","","","MZP2011GUR-AT05-00018","","","","39","30","1","3","5","11","3","0","6","0","1.2","7","5","5","3","5","3","3.96","1.2","8.2","6","","0.2","0.2","0.545454545","0.153846154","0","0","0.109090909","0.030769231","0.636363636","0.179487179","0","14.63414634","28.20512821","0","0","1.13960114","4.04040404","6.647673314","23.56902357","33.33333333","118.1818182","7.787274454","27.60942761"
"","","MZP2011GUR-AT05","","","","","","","","","MZP2011GUR-AT05-00019","","","","39","28","1","3","5","12","3","0","6","0","1.3","4.5","6","5","3","7","5","14.37","1.3","5.8","6","","0.216666667","0.216666667","0.5","0.153846154","0","0","0.108333333","0.033333333","0.375","0.115384615","0","22.4137931","30.76923077","0","0","1.234567901","4.012345679","4.273504274","13.88888889","30","97.5","5.508072175","17.90123457"
"","","MZP2011GUR-AT05","","","","","","","","","MZP2011GUR-AT05-00020","","","","39","29","1","3","5","23","10","0","18","0","7.5","8.5","6","3","7","5","3","4.61","7.5","16","18","","0.416666667","0.416666667","0.782608696","0.461538462","0","0","0.326086957","0.192307692","0.369565217","0.217948718","0","46.875","58.97435897","0","0","7.122507123","12.07729469","8.072174739","13.68760064","40.47619048","68.63354037","15.19468186","25.76489533"
"","","MZP2011GUR-AT05","","","","","","","","","MZP2011GUR-AT05-00021","","","","39","33","3","7","5","17","2","0","5","0","1","4","6","5","9","3","1","0.15","1","5","5","","0.2","0.2","0.294117647","0.128205128","0","0","0.058823529","0.025641026","0.235294118","0.102564103","0","20","43.58974359","0","0","0.949667616","2.178649237","3.798670465","8.71459695","1.632653061","3.745498199","4.748338082","10.89324619"
"","","MZP2011GUR-AT05","","","","","","","","","MZP2011GUR-AT05-00022","","","","39","20","1","3","5","1","1","0","2","0","0.3","2.5","2","7","9","3","3","4.61","0.3","2.8","2","","0.15","0.15","2","0.051282051","0","0","0.3","0.007692308","2.5","0.064102564","0","10.71428571","2.564102564","0","0","0.284900285","11.11111111","2.374169041","92.59259259","7.142857143","278.5714286","2.659069326","103.7037037"
"","","MZP2011GUR-AT05","","","","","","","","","MZP2011GUR-AT05-00023","","","","39","30","5","9","5","16","0","0","0","0","0","8","","","","","","","0","8","0","","","","0","0","0","0","0","0","0.5","0.205128205","","0","41.02564103","0","0","0","0","7.597340931","18.51851852","","","7.597340931","18.51851852"
"","","MZP2011GUR-AT05","","","","","","","","","MZP2011GUR-AT05-00024","","","","39","32","1","3","5","10","0","0","0","0","0","3","","","","","","","0","3","0","","","","0","0","0","0","0","0","0.3","0.076923077","","0","25.64102564","0","0","0","0","2.849002849","11.11111111","","","2.849002849","11.11111111"
"","","MZP2011GUR-AT05","","","","","","","","","MZP2011GUR-AT05-00025","","","","39","23","3","7","5","23","10","0","20","0","5","12.5","2","5","7","1","1","0.15","5","17.5","20","","0.25","0.25","0.869565217","0.512820513","0","0","0.217391304","0.128205128","0.543478261","0.320512821","0","28.57142857","58.97435897","0","0","4.748338082","8.051529791","11.8708452","20.12882448","1.700680272","2.883762201","16.61918329","28.18035427"
"","","MZP2011GUR-AT05","","","","","","","","","MZP2011GUR-AT05-00026","","","","39","27","1","3","5","6","1","0","1","0","0.2","4","4","7","1","5","3","6.12","0.2","4.2","1","","0.2","0.2","0.166666667","0.025641026","0","0","0.033333333","0.005128205","0.666666667","0.102564103","0","4.761904762","15.38461538","0","0","0.189933523","1.234567901","3.798670465","24.69135802","19.04761905","123.8095238","3.988603989","25.92592593"
"","","MZP2011GUR-AT05","","","","","","","","","MZP2011GUR-AT05-00027","","","","39","33","3","7","5","9","0","0","0","0","0","3","","","","","","","0","3","0","","","","0","0","0","0","0","0","0.333333333","0.076923077","","0","23.07692308","0","0","0","0","2.849002849","12.34567901","","","2.849002849","12.34567901"
"","","MZP2011GUR-AT05","","","","","","","","","MZP2011GUR-AT05-00028","","","","39","35","1","3","5","19","6","0","7","0","1.9","13.4","5","5","7","5","3","7.76","1.9","15.3","7","","0.271428571","0.271428571","0.368421053","0.179487179","0","0","0.1","0.048717949","0.705263158","0.343589744","0","12.41830065","48.71794872","0","0","1.804368471","3.703703704","12.72554606","26.1208577","63.80952381","130.9774436","14.52991453","29.8245614"
"","","MZP2011GUR-AT05","","","","","","","","","MZP2011GUR-AT05-00029","","","","39","25","3","5","5","14","0","0","0","0","0","16.5","","","","","","","0","16.5","0","","","","0","0","0","0","0","0","1.178571429","0.423076923","","0","35.8974359","0","0","0","0","15.66951567","43.65079365","","","15.66951567","43.65079365"
"","","MZP2011GUR-AT05","","","","","","","","","MZP2011GUR-AT05-00030","","","","39","10","1","1","7","5","2","0","4","0","0.5","3","6","7","3","5","3","4.92","0.5","3.5","4","","0.125","0.125","0.8","0.102564103","0","0","0.1","0.012820513","0.6","0.076923077","0","14.28571429","12.82051282","0","0","0.474833808","3.703703704","2.849002849","22.22222222","14.28571429","111.4285714","3.323836657","25.92592593"
"","","MZP2011GUR-AT05","","","","","","","","","MZP2011GUR-AT05-00031","","","","39","26","1","1","7","5","2","0","2","0","0.3","3","5","7","5","5","5","7.76","0.3","3.3","2","","0.15","0.15","0.4","0.051282051","0","0","0.06","0.007692308","0.6","0.076923077","0","9.090909091","12.82051282","0","0","0.284900285","2.222222222","2.849002849","22.22222222","14.28571429","111.4285714","3.133903134","24.44444444"
"","","MZP2011GUR-AT05","","","","","","","","","MZP2011GUR-AT05-00032","","","","39","31","1","1","5","19","5","0","7","0","1.3","5","5","5","3","7","5","11.03","1.3","6.3","7","","0.185714286","0.185714286","0.368421053","0.179487179","0","0","0.068421053","0.033333333","0.263157895","0.128205128","0","20.63492063","48.71794872","0","0","1.234567901","2.53411306","4.748338082","9.746588694","33.33333333","68.42105263","5.982905983","12.28070175"
"","","MZP2011GUR-AT05","","","","","","","","","MZP2011GUR-AT05-00033","","","","39","33","1","3","5","21","20","0","24","0","9","7","2","3","9","7","3","7.76","9","16","24","","0.375","0.375","1.142857143","0.615384615","0","0","0.428571429","0.230769231","0.333333333","0.179487179","0","56.25","53.84615385","0","0","8.547008547","15.87301587","6.647673314","12.34567901","46.66666667","86.66666667","15.19468186","28.21869489"
"","","MZP2011GUR-AT05","","","","","","","","","MZP2011GUR-AT05-00034","","","","39","37","1","3","5","26","20","0","37","0","10","10","2","5","7","5","3","7.23","10","20","37","","0.27027027","0.27027027","1.423076923","0.948717949","0","0","0.384615385","0.256410256","0.384615385","0.256410256","0","50","66.66666667","0","0","9.496676163","14.24501425","9.496676163","14.24501425","47.61904762","71.42857143","18.99335233","28.49002849"
"","","MZP2011GUR-AT05","","","","","","","","","MZP2011GUR-AT05-00035","","","","39","21","1","3","5","6","0","0","0","0","0","3.5","","","","","","","0","3.5","0","","","","0","0","0","0","0","0","0.583333333","0.08974359","","0","15.38461538","0","0","0","0","3.323836657","21.60493827","","","3.323836657","21.60493827"
"","","MZP2011GUR-AT05","","","","","","","","","MZP2011GUR-AT05-00036","","","","39","30","1","1","5","10","6","0","6","0","1","10.5","6","5","3","9","5","12.39","1","11.5","6","","0.166666667","0.166666667","0.6","0.153846154","0","0","0.1","0.025641026","1.05","0.269230769","0","8.695652174","25.64102564","0","0","0.949667616","3.703703704","9.971509972","38.88888889","90","351","10.92117759","42.59259259"
"","","MZP2011GUR-AT05","","","","","","","","","MZP2011GUR-AT05-00037","","","","39","29","1","3","5","29","2","0","2","0","0.3","5","6","5","9","7","5","11.03","0.3","5.3","2","","0.15","0.15","0.068965517","0.051282051","0","0","0.010344828","0.007692308","0.172413793","0.128205128","0","5.660377358","74.35897436","0","0","0.284900285","0.383141762","4.748338082","6.385696041","33.33333333","44.82758621","5.033238367","6.768837803"
"","","MZP2011GUR-AT05","","","","","","","","","MZP2011GUR-AT05-00038","","","","39","31","1","3","5","24","2","0","2","0","0.3","13","8","5","9","1","1","","0.3","13.3","2","","0.15","0.15","0.083333333","0.051282051","0","0","0.0125","0.007692308","0.541666667","0.333333333","0","2.255639098","61.53846154","0","0","0.284900285","0.462962963","12.34567901","20.0617284","1.768707483","2.87414966","12.6305793","20.52469136"
"","","MZP2011GUR-AT05","","","","","","","","","MZP2011GUR-AT05-00039","","","","39","32","1","3","5","8","3","0","3","0","0.4","3","5","7","9","5","3","7.76","0.4","3.4","3","","0.133333333","0.133333333","0.375","0.076923077","0","0","0.05","0.01025641","0.375","0.076923077","0","11.76470588","20.51282051","0","0","0.379867047","1.851851852","2.849002849","13.88888889","14.28571429","69.64285714","3.228869896","15.74074074"
"","","MZP2011GUR-AT05","","","","","","","","","MZP2011GUR-AT05-00040","","","","39","29","3","7","5","4","0","0","0","0","0","6.5","","","","","","","0","6.5","0","","","","0","0","0","0","0","0","1.625","0.166666667","","0","10.25641026","0","0","0","0","6.172839506","60.18518519","","","6.172839506","60.18518519"
"","","MZP2011GUR-AT05","","","","","","","","","MZP2011GUR-AT05-00041","","","","39","36","1","1","7","18","5","0","7","0","2","17.5","2","3","7","3","1","3.03","2","19.5","7","","0.285714286","0.285714286","0.388888889","0.179487179","0","0","0.111111111","0.051282051","0.972222222","0.448717949","0","10.25641026","46.15384615","0","0","1.899335233","4.115226337","16.61918329","36.00823045","16.66666667","36.11111111","18.51851852","40.12345679"
"","","MZP2011GUR-AT05","","","","","","","","","MZP2011GUR-AT05-00042","","","","39","33","3","5","5","24","9","0","10","0","1.6","16.5","6","5","9","1","1","1.04","1.6","18.1","10","","0.16","0.16","0.416666667","0.256410256","0","0","0.066666667","0.041025641","0.6875","0.423076923","0","8.839779006","61.53846154","0","0","1.519468186","2.469135802","15.66951567","25.46296296","5.238095238","8.511904762","17.18898386","27.93209877"
"","","MZP2011GUR-AT05","","","","","","","","","MZP2011GUR-AT05-00043","","","","39","32","1","3","5","26","9","0","11","0","2.5","8.5","8","3","5","5","3","7.23","2.5","11","11","","0.227272727","0.227272727","0.423076923","0.282051282","0","0","0.096153846","0.064102564","0.326923077","0.217948718","0","22.72727273","66.66666667","0","0","2.374169041","3.561253561","8.072174739","12.10826211","40.47619048","60.71428571","10.44634378","15.66951567"
"","","MZP2011GUR-AT05","","","","","","","","","MZP2011GUR-AT05-00044","","","","39","21","3","5","5","16","0","0","0","0","0","4.5","","","","","","","0","4.5","0","","","","0","0","0","0","0","0","0.28125","0.115384615","","0","41.02564103","0","0","0","0","4.273504274","10.41666667","","","4.273504274","10.41666667"
"","","MZP2011GUR-AT05","","","","","","","","","MZP2011GUR-AT05-00045","","","","39","12","1","3","5","16","1","0","2","0","0.3","5","6","5","5","5","3","7.23","0.3","5.3","2","","0.15","0.15","0.125","0.051282051","0","0","0.01875","0.007692308","0.3125","0.128205128","0","5.660377358","41.02564103","0","0","0.284900285","0.694444444","4.748338082","11.57407407","23.80952381","58.03571429","5.033238367","12.26851852"
"","","MZP2011GUR-AT05","","","","","","","","","MZP2011GUR-AT05-00046","","","","39","19","1","3","5","14","4","0","4","0","0.7","4","6","5","5","3","1","3.96","0.7","4.7","4","","0.175","0.175","0.285714286","0.102564103","0","0","0.05","0.017948718","0.285714286","0.102564103","0","14.89361702","35.8974359","0","0","0.664767331","1.851851852","3.798670465","10.58201058","11.42857143","31.83673469","4.463437797","12.43386243"
"","","MZP2011GUR-AT05","","","","","","","","","MZP2011GUR-AT05-00047","","","","39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","MZP2011GUR-AT05","","","","","","","","","MZP2011GUR-AT05-00048","","","","39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","MZP2011GUR-AT05","","","","","","","","","MZP2011GUR-AT05-00049","","","","39","35","1","1","7","9","2","0","3","0","0.5","5","6","7","5","5","3","6.12","0.5","5.5","3","","0.166666667","0.166666667","0.333333333","0.076923077","0","0","0.055555556","0.012820513","0.555555556","0.128205128","0","9.090909091","23.07692308","0","0","0.474833808","2.057613169","4.748338082","20.57613169","23.80952381","103.1746032","5.22317189","22.63374486"
