"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Content of total sugars estimating 1-9|CO_331:0000766","Content of starch in raw storage roots estimating 1-9|CO_331:0001055","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2012UMB-AT01","","","","","","","","","MZP2012UMB-AT01-00001","","","","26","14","3","5","6","11","11","16","7","4","1","8.2","3","3","1","3","5","5","5","7.76","5","13.2","23","0.25","0.142857143","0.217391304","2.090909091","0.884615385","1.454545455","0.615384615","0.454545455","0.192307692","0.745454545","0.315384615","69.56521739","37.87878788","42.30769231","5.698005698","13.46801347","7.122507123","16.83501684","11.68091168","27.60942761","18.8034188","44.44444444"
"","","MZP2012UMB-AT01","","","","","","","","","MZP2012UMB-AT01-00002","","","","26","20","4","5","6","12","12","21","25","4.4","2.1","11.8","5","3","6","1","6","6","3","7.76","6.5","18.3","46","0.20952381","0.084","0.141304348","3.833333333","1.769230769","1.75","0.807692308","0.541666667","0.25","0.983333333","0.453846154","45.65217391","35.51912568","46.15384615","6.267806268","13.58024691","9.259259259","20.0617284","16.80911681","36.41975309","26.06837607","56.48148148"
"","","MZP2012UMB-AT01","","","","","","","","","MZP2012UMB-AT01-00003","","","","26","17","3","4","5","12","7","6","5","1.6","1.1","8.4","6","4","4","3","5","7","5","7.76","2.7","11.1","11","0.266666667","0.22","0.245454545","0.916666667","0.423076923","0.5","0.230769231","0.225","0.103846154","0.7","0.323076923","54.54545455","24.32432432","46.15384615","2.279202279","4.938271605","3.846153846","8.333333333","11.96581197","25.92592593","15.81196581","34.25925926"
"","","MZP2012UMB-AT01","","","","","","","","","MZP2012UMB-AT01-00004","","","","26","8","2","4","4","5","5","4","8","1.6","0.2","2.6","3","5","1","1","7","5","3","12.39","1.8","4.4","12","0.4","0.025","0.15","2.4","0.461538462","0.8","0.153846154","0.36","0.069230769","0.52","0.1","33.33333333","40.90909091","19.23076923","2.279202279","11.85185185","2.564102564","13.33333333","3.703703704","19.25925926","6.267806268","32.59259259"
"","","MZP2012UMB-AT01","","","","","","","","","MZP2012UMB-AT01-00005","","","","26","9","3","8","4","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.92307692","","","","","","","",""
"","","MZP2012UMB-AT01","","","","","","","","","MZP2012UMB-AT01-00006","","","","26","16","1","1","4","8","5","0","3","0","0.1","2.2","5","5","4","1","7","7","1","11.03","0.1","2.3","3","","0.033333333","0.033333333","0.375","0.115384615","0","0","0.0125","0.003846154","0.275","0.084615385","0","4.347826087","30.76923077","0","0","0.142450142","0.462962963","3.133903134","10.18518519","3.276353276","10.64814815"
"","","MZP2012UMB-AT01","","","","","","","","","MZP2012UMB-AT01-00007","","","","26","5","1","3","5","3","3","6","7","1","0.2","5.6","3","4","2","3","5","5","3","10.5","1.2","6.8","13","0.166666667","0.028571429","0.092307692","4.333333333","0.5","2","0.230769231","0.4","0.046153846","1.866666667","0.215384615","46.15384615","17.64705882","11.53846154","1.424501425","12.34567901","1.709401709","14.81481481","7.977207977","69.13580247","9.686609687","83.95061728"
"","","MZP2012UMB-AT01","","","","","","","","","MZP2012UMB-AT01-00008","","","","26","12","3","4","5","5","1","3","4","0.8","0.2","8.4","3","3","1","7","6","7","3","10.5","1","9.4","7","0.266666667","0.05","0.142857143","1.4","0.269230769","0.6","0.115384615","0.2","0.038461538","1.68","0.323076923","42.85714286","10.63829787","19.23076923","1.13960114","5.925925926","1.424501425","7.407407407","11.96581197","62.22222222","13.39031339","69.62962963"
"","","MZP2012UMB-AT01","","","","","","","","","MZP2012UMB-AT01-00009","","","","26","19","2","2","5","8","6","8","9","0.6","0.1","8.4","5","5","5","1","7","5","1","4.61","0.7","9.1","17","0.075","0.011111111","0.041176471","2.125","0.653846154","1","0.307692308","0.0875","0.026923077","1.05","0.323076923","47.05882353","7.692307692","30.76923077","0.854700855","2.777777778","0.997150997","3.240740741","11.96581197","38.88888889","12.96296296","42.12962963"
"","","MZP2012UMB-AT01","","","","","","","","","MZP2012UMB-AT01-00010","","","","26","20","2","3","5","11","7","7","5","1.2","0.2","6.7","1","3","5","1","5","7","5","0.02","1.4","8.1","12","0.171428571","0.04","0.116666667","1.090909091","0.461538462","0.636363636","0.269230769","0.127272727","0.053846154","0.609090909","0.257692308","58.33333333","17.28395062","42.30769231","1.709401709","4.04040404","1.994301994","4.713804714","9.544159544","22.55892256","11.53846154","27.27272727"
