"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Content of total sugars estimating 1-9|CO_331:0000766","Content of starch in raw storage roots estimating 1-9|CO_331:0001055","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","treatment_irrigation","treatment_non_irrigation"
"","","MZP2013GUR-ST02","","","","","","","","","MZP2013GUR-ST02-00075","","","","26","26","1","5","5","26","10","0","15","0","5.9","5","5","5","7","1","7","5","3","4.28","2.58","1.81","6.74","73.78","32.52","41.22","2.82","5.41","25.57","5.9","10.9","15","","0.393333333","0.393333333","0.576923077","0.576923077","0","0","0.226923077","0.226923077","0.192307692","0.192307692","0","54.12844037","100","0","0","8.404558405","8.404558405","7.122507123","7.122507123","15.52706553","15.52706553","","1"
"","","MZP2013GUR-ST02","","","","","","","","","MZP2013GUR-ST02-00076","","","","26","25","1","3","5","25","25","8","26","2","6.5","6.5","5","3","7","1","7","5","3","5.03","2.69","1.68","41.51","70.28","23.27","49.23","3.1","6.27","16.17","8.5","15","34","0.25","0.25","0.25","1.36","1.307692308","0.32","0.307692308","0.34","0.326923077","0.26","0.25","23.52941176","56.66666667","96.15384615","2.849002849","2.962962963","12.10826211","12.59259259","9.259259259","9.62962963","21.36752137","22.22222222","","1"
"","","MZP2013GUR-ST02","","","","","","","","","MZP2013GUR-ST02-00077","","","","26","23","1","5","5","23","23","12","45","3","7.5","7.5","5","3","5","1","7","3","5","4.29","2.66","1.72","8.54","72.37","34.37","48.85","2.15","4.69","20.36","10.5","18","57","0.25","0.166666667","0.184210526","2.47826087","2.192307692","0.52173913","0.461538462","0.456521739","0.403846154","0.326086957","0.288461538","21.05263158","58.33333333","88.46153846","4.273504274","4.830917874","14.95726496","16.90821256","10.68376068","12.07729469","25.64102564","28.98550725","","1"
"","","MZP2013GUR-ST02","","","","","","","","","MZP2013GUR-ST02-00078","","","","26","26","1","3","7","26","15","8","12","2","3.6","5","5","7","5","1","5","3","3","3.63","2.47","1.47","0","38.33","37.86","49.16","0.79","2.83","23.83","5.6","10.6","20","0.25","0.3","0.28","0.769230769","0.769230769","0.307692308","0.307692308","0.215384615","0.215384615","0.192307692","0.192307692","40","52.83018868","100","2.849002849","2.849002849","7.977207977","7.977207977","7.122507123","7.122507123","15.0997151","15.0997151","","1"
"","","MZP2013GUR-ST02","","","","","","","","","MZP2013GUR-ST02-00079","","","","26","17","1","3","5","17","13","8","13","2","4","6.1","5","5","5","1","5","5","5","3.12","2.27","1.37","0","54.77","28.76","46.11","2.27","4.53","23.85","6","12.1","21","0.25","0.307692308","0.285714286","1.235294118","0.807692308","0.470588235","0.307692308","0.352941176","0.230769231","0.358823529","0.234615385","38.0952381","49.58677686","65.38461538","2.849002849","4.357298475","8.547008547","13.07189542","8.689458689","13.28976035","17.23646724","26.36165577","","1"
"","","MZP2013GUR-ST02","","","","","","","","","MZP2013GUR-ST02-00080","","","","26","20","1","1","5","14","14","21","30","7","7.9","5","5","5","3","1","7","5","5","5.5","2.97","1.99","111.54","108.05","46.27","42.15","2.14","5.03","24.7","14.9","19.9","51","0.333333333","0.263333333","0.292156863","3.642857143","1.961538462","1.5","0.807692308","1.064285714","0.573076923","0.357142857","0.192307692","41.17647059","74.87437186","53.84615385","9.971509972","18.51851852","21.22507123","39.41798942","7.122507123","13.22751323","28.34757835","52.64550265","","1"
"","","MZP2013GUR-ST02","","","","","","","","","MZP2013GUR-ST02-00081","","","","26","21","1","3","5","13","13","8","15","2.1","3.9","4","5","7","5","1","5","5","5","4.17","2.6","1.63","0","80.91","31.23","44.2","1.75","4.43","27.25","6","10","23","0.2625","0.26","0.260869565","1.769230769","0.884615385","0.615384615","0.307692308","0.461538462","0.230769231","0.307692308","0.153846154","34.7826087","60","50","2.991452991","5.982905983","8.547008547","17.09401709","5.698005698","11.3960114","14.24501425","28.49002849","","1"
"","","MZP2013GUR-ST02","","","","","","","","","MZP2013GUR-ST02-00082","","","","26","19","1","3","5","11","11","28","17","8.5","5.7","9.5","3","3","5","1","5","3","5","4.17","2.56","1.52","0","52.11","42.11","43.31","1.18","3.26","25.67","14.2","23.7","45","0.303571429","0.335294118","0.315555556","4.090909091","1.730769231","2.545454545","1.076923077","1.290909091","0.546153846","0.863636364","0.365384615","62.22222222","59.91561181","42.30769231","12.10826211","28.61952862","20.22792023","47.81144781","13.53276353","31.98653199","33.76068376","79.7979798","","1"
"","","MZP2013GUR-ST02","","","","","","","","","MZP2013GUR-ST02-00083","","","","26","12","1","3","5","12","12","8","17","2","6.5","4.5","5","5","5","3","3","5","3","5.13","2.57","1.6","0","50.97","14.82","52.16","0.62","2.72","18.58","8.5","13","25","0.25","0.382352941","0.34","2.083333333","0.961538462","0.666666667","0.307692308","0.708333333","0.326923077","0.375","0.173076923","32","65.38461538","46.15384615","2.849002849","6.172839506","12.10826211","26.2345679","6.41025641","13.88888889","18.51851852","40.12345679","","1"
"","","MZP2013GUR-ST02","","","","","","","","","MZP2013GUR-ST02-00084","","","","26","21","1","3","5","21","21","12","32","4","3.3","5","5","5","3","1","7","3","5","5.59","3.02","1.87","0","71.9","40.62","38.44","1.35","3.51","28.25","7.3","12.3","44","0.333333333","0.103125","0.165909091","2.095238095","1.692307692","0.571428571","0.461538462","0.347619048","0.280769231","0.238095238","0.192307692","27.27272727","59.3495935","80.76923077","5.698005698","7.054673721","10.3988604","12.87477954","7.122507123","8.818342152","17.52136752","21.69312169","","1"
