"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Storage root texture in boiled samples estimating 1-9 by Gruneberg|CO_331:0000265","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2015GUR-MT03","","","","","","","","","MZP2015GUR-MT03-00011","","","","39","30","1","1","9","30","30","12","39","3.9","7.6","22.5","5","5","3","1","7","5","3","7.76","11.5","34","51","0.325","0.194871795","0.225490196","1.7","1.307692308","0.4","0.307692308","0.383333333","0.294871795","0.75","0.576923077","23.52941176","33.82352941","76.92307692","3.703703704","4.814814815","10.92117759","14.19753086","21.36752137","27.77777778","32.28869896","41.97530864"
"","","MZP2015GUR-MT03","","","","","","","","","MZP2015GUR-MT03-00012","","","","39","23","1","1","5","23","23","11","28","3.1","8.3","15.5","5","3","3","1","7","3","5","11.03","11.4","26.9","39","0.281818182","0.296428571","0.292307692","1.695652174","1","0.47826087","0.282051282","0.495652174","0.292307692","0.673913043","0.397435897","28.20512821","42.37918216","58.97435897","2.943969611","4.99194847","10.82621083","18.35748792","14.71984805","24.95974235","25.54605888","43.31723027"
"","","MZP2015GUR-MT03","","","","","","","","","MZP2015GUR-MT03-00013","","","","39","25","1","1","5","25","25","20","39","6","12.5","7.5","3","3","3","1","5","5","3","6.12","18.5","26","59","0.3","0.320512821","0.313559322","2.36","1.512820513","0.8","0.512820513","0.74","0.474358974","0.3","0.192307692","33.89830508","71.15384615","64.1025641","5.698005698","8.888888889","17.5688509","27.40740741","7.122507123","11.11111111","24.69135802","38.51851852"
"","","MZP2015GUR-MT03","","","","","","","","","MZP2015GUR-MT03-00014","","","","39","13","1","5","5","10","10","0","14","0","3.2","8.5","7","7","7","1","7","3","5","11.03","3.2","11.7","14","","0.228571429","0.228571429","1.4","0.358974359","0","0","0.32","0.082051282","0.85","0.217948718","0","27.35042735","25.64102564","0","0","3.038936372","11.85185185","8.072174739","31.48148148","11.11111111","43.33333333"
"","","MZP2015GUR-MT03","","","","","","","","","MZP2015GUR-MT03-00015","","","","39","19","1","3","5","19","19","13","19","3.3","5","12.5","5","5","3","1","5","7","3","7.76","8.3","20.8","32","0.253846154","0.263157895","0.259375","1.684210526","0.820512821","0.684210526","0.333333333","0.436842105","0.212820513","0.657894737","0.320512821","40.625","39.90384615","48.71794872","3.133903134","6.432748538","7.882241216","16.17933723","11.8708452","24.36647173","19.75308642","40.54580897"
"","","MZP2015GUR-MT03","","","","","","","","","MZP2015GUR-MT03-00016","","","","39","32","1","1","5","32","10","0","15","0","4","11.5","5","5","3","3","3","7","3","","4","15.5","15","","0.266666667","0.266666667","0.46875","0.384615385","0","0","0.125","0.102564103","0.359375","0.294871795","0","25.80645161","82.05128205","0","0","3.798670465","4.62962963","10.92117759","13.31018519","14.71984805","17.93981481"
"","","MZP2015GUR-MT03","","","","","","","","","MZP2015GUR-MT03-00017","","","","39","30","1","5","5","22","10","0","19","0","5.1","15.5","5","5","3","1","5","7","5","7.23","5.1","20.6","19","","0.268421053","0.268421053","0.863636364","0.487179487","0","0","0.231818182","0.130769231","0.704545455","0.397435897","0","24.75728155","56.41025641","0","0","4.843304843","8.585858586","14.71984805","26.09427609","19.5631529","34.68013468"
"","","MZP2015GUR-MT03","","","","","","","","","MZP2015GUR-MT03-00018","","","","39","29","1","3","5","29","12","0","18","0","5","7.8","3","5","3","1","9","1","7","14.37","5","12.8","18","","0.277777778","0.277777778","0.620689655","0.461538462","0","0","0.172413793","0.128205128","0.268965517","0.2","0","39.0625","74.35897436","0","0","4.748338082","6.385696041","7.407407407","9.961685824","12.15574549","16.34738186"
"","","MZP2015GUR-MT03","","","","","","","","","MZP2015GUR-MT03-00019","","","","39","30","1","3","5","30","30","35","41","10","8.6","15","3","1","1","1","7","3","5","12.39","18.6","33.6","76","0.285714286","0.209756098","0.244736842","2.533333333","1.948717949","1.166666667","0.897435897","0.62","0.476923077","0.5","0.384615385","46.05263158","55.35714286","76.92307692","9.496676163","12.34567901","17.66381766","22.96296296","14.24501425","18.51851852","31.90883191","41.48148148"
"","","MZP2015GUR-MT03","","","","","","","","","MZP2015GUR-MT03-00020","","","","39","29","1","5","5","29","20","0","25","0","7","12.5","3","3","7","1","7","3","5","11.03","7","19.5","25","","0.28","0.28","0.862068966","0.641025641","0","0","0.24137931","0.179487179","0.431034483","0.320512821","0","35.8974359","74.35897436","0","0","6.647673314","8.939974457","11.8708452","15.9642401","18.51851852","24.90421456"
