"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root size estimating 1-9|CO_331:0000184","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2017MAS-ST01","","","","","","","","","MZP2017MAS-ST01-00059","","","","120","56","56","55","47","34","10","64","2","4","44","108","102","0.618181818","0.212765957","0.431372549","1.821428571","0.85","0.982142857","0.458333333","0.785714286","0.366666667","1.142857143","0.533333333","53.92156863","40.74074074","46.66666667","10.49382716","22.48677249","13.58024691","29.1005291","19.75308642","42.32804233","33.33333333","71.42857143"
"","","MZP2017MAS-ST01","","","","","","","","","MZP2017MAS-ST01-00033","","","","140","38","38","6","6","2.5","0.5","20","1","2","3","23","12","0.416666667","0.083333333","0.25","0.315789474","0.085714286","0.157894737","0.042857143","0.078947368","0.021428571","0.526315789","0.142857143","50","13.04347826","27.14285714","0.661375661","2.436647173","0.793650794","2.923976608","5.291005291","19.49317739","6.084656085","22.417154"
"","","MZP2017MAS-ST01","","","","","","","","","MZP2017MAS-ST01-00066","","","","100","42","1","1","0","0.5","0","12","1","4","0.5","12.5","1","0.5","","0.5","0.023809524","0.01","0.023809524","0.01","0.011904762","0.005","0.285714286","0.12","100","4","42","0.185185185","0.440917108","0.185185185","0.440917108","4.444444444","10.58201058","4.62962963","11.02292769"
"","","MZP2017MAS-ST01","","","","","","","","","MZP2017MAS-ST01-00023","","","","100","61","61","120","68","51.12","4.19","19.47","2","4","55.31","74.78","188","0.426","0.061617647","0.294202128","3.081967213","1.88","1.967213115","1.2","0.906721311","0.5531","0.319180328","0.1947","63.82978723","73.96362664","61","18.93333333","31.03825137","20.48518519","33.5822708","7.211111111","11.82149362","27.6962963","45.40376442"
"","","MZP2017MAS-ST01","","","","","","","","","MZP2017MAS-ST01-00056","","","","120","80","80","63","38","68","4","37","2","4","72","109","101","1.079365079","0.105263158","0.712871287","1.2625","0.841666667","0.7875","0.525","0.9","0.6","0.4625","0.308333333","62.37623762","66.05504587","66.66666667","20.98765432","31.48148148","22.22222222","33.33333333","11.41975309","17.12962963","33.64197531","50.46296296"
"","","MZP2017MAS-ST01","","","","","","","","","MZP2017MAS-ST01-00010","","","","140","91","91","18","30","5.51","2.1","59.15","1","4","7.61","66.76","48","0.306111111","0.07","0.158541667","0.527472527","0.342857143","0.197802198","0.128571429","0.083626374","0.054357143","0.65","0.4225","37.5","11.39904134","65","1.457671958","2.242572243","2.013227513","3.097273097","15.64814815","24.07407407","17.66137566","27.17134717"
"","","MZP2017MAS-ST01","","","","","","","","","MZP2017MAS-ST01-00043","","","","120","69","69","27","17","11","4","68","2","4","15","83","44","0.407407407","0.235294118","0.340909091","0.637681159","0.366666667","0.391304348","0.225","0.217391304","0.125","0.985507246","0.566666667","61.36363636","18.07228916","57.5","3.395061728","5.90445518","4.62962963","8.051529791","20.98765432","36.50026838","25.61728395","44.55179817"
"","","MZP2017MAS-ST01","","","","","","","","","MZP2017MAS-ST01-00020","","","","140","74","74","29","32","22.4","3.23","24.95","3","2","25.63","50.58","61","0.772413793","0.1009375","0.420163934","0.824324324","0.435714286","0.391891892","0.207142857","0.346351351","0.183071429","0.337162162","0.178214286","47.54098361","50.67220245","52.85714286","5.925925926","11.21121121","6.78042328","12.82782783","6.600529101","12.48748749","13.38095238","25.31531532"
"","","MZP2017MAS-ST01","","","","","","","","","MZP2017MAS-ST01-00053","","","","140","58","58","64","26","32","4","46.5","2","4","36","82.5","90","0.5","0.153846154","0.4","1.551724138","0.642857143","1.103448276","0.457142857","0.620689655","0.257142857","0.801724138","0.332142857","71.11111111","43.63636364","41.42857143","8.465608466","20.43422733","9.523809524","22.98850575","12.3015873","29.69348659","21.82539683","52.68199234"
"","","MZP2017MAS-ST01","","","","","","","","","MZP2017MAS-ST01-00022","","","","140","26","26","40","21","7.66","1.54","11.19","1","2","9.2","20.39","61","0.1915","0.073333333","0.150819672","2.346153846","0.435714286","1.538461538","0.285714286","0.353846154","0.065714286","0.430384615","0.079928571","65.57377049","45.12015694","18.57142857","2.026455026","10.91168091","2.433862434","13.10541311","2.96031746","15.94017094","5.394179894","29.04558405"
