"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2011UMB-AT01","","","","","","","","","MZP2011UMB-AT01-00001","","","","39","25","1","1","8","25","25","47","45","14","4.9","44","6","6","2","50.2","12.8","3.74","1.45","1.23","168.32","104.82","28.65","60.45","2.81","5.01","13.16","18.9","62.9","92","0.29787234","0.108888889","0.205434783","3.68","2.358974359","1.88","1.205128205","0.756","0.484615385","1.76","1.128205128","51.08695652","30.04769475","64.1025641","25.49800797","4.819123506","13.29534663","20.74074074","17.94871795","28","41.78537512","65.18518519","4.576565533","7.139442231","59.73409307","93.18518519"
"","","MZP2011UMB-AT01","","","","","","","","","MZP2011UMB-AT01-00002","","","","39","23","1","1","7","18","17","85","39","29","0.9","16","8","8","1","50","12.8","4.46","1.67","1.3","106.61","77.91","32.48","62.96","3.34","5.45","5.94","29.9","45.9","124","0.341176471","0.023076923","0.241129032","6.888888889","3.179487179","4.722222222","2.179487179","1.661111111","0.766666667","0.888888889","0.41025641","68.5483871","65.1416122","46.15384615","25.6","7.6544","27.54036087","59.67078189","28.39506173","61.52263374","15.19468186","32.9218107","7.269135802","15.74979424","43.58974359","94.44444444"
"","","MZP2011UMB-AT01","","","","","","","","","MZP2011UMB-AT01-00003","","","","39","16","1","4","8","15","12","60","66","21","7","28","7","5","2","50.2","14.7","3.43","1.53","1.35","133.6","87.13","26.93","66.2","2.16","4.18","6.56","28","56","126","0.35","0.106060606","0.222222222","8.4","3.230769231","4","1.538461538","1.866666667","0.717948718","1.866666667","0.717948718","47.61904762","50","38.46153846","29.28286853","8.199203187","19.94301994","51.85185185","26.59069326","69.13580247","26.59069326","69.13580247","7.786517747","20.24494614","53.18138651","138.2716049"
"","","MZP2011UMB-AT01","","","","","","","","","MZP2011UMB-AT01-00004","","","","39","22","1","1","9","20","12","45","23","15","3.2","64","6","4","1","50.3","15.8","6.01","1.64","1.39","80.66","84.7","","68.23","1.64","3.46","4.01","18.2","82.2","68","0.333333333","0.139130435","0.267647059","3.4","1.743589744","2.25","1.153846154","0.91","0.466666667","3.2","1.641025641","66.17647059","22.14111922","51.28205128","31.41153082","5.716898608","14.24501425","27.77777778","17.28395062","33.7037037","60.77872745","118.5185185","5.429153474","10.58684927","78.06267806","152.2222222"
"","","MZP2011UMB-AT01","","","","","","","","","MZP2011UMB-AT01-00005","","","","39","17","3","2","8","14","6","7","4","3","1.2","23","7","4","1","50.3","13.7","7.68","1.74","1.36","73.56","87.48","55.4","59.21","2.31","4.62","11.96","4.2","27.2","11","0.428571429","0.3","0.381818182","0.785714286","0.282051282","0.5","0.179487179","0.3","0.107692308","1.642857143","0.58974359","63.63636364","15.44117647","35.8974359","27.23658052","1.143936382","2.849002849","7.936507937","3.988603989","11.11111111","21.84235518","60.84656085","1.086359337","3.026286724","25.83095916","71.95767196"
"","","MZP2011UMB-AT01","","","","","","","","","MZP2011UMB-AT01-00006","","","","39","24","5","3","9","23","14","25","25","15.3","2.2","33","6","6","2","50.9","12.4","3.83","1.76","1.44","125.97","107.56","29.21","57.49","2.99","5.68","13.05","17.5","50.5","50","0.612","0.088","0.35","2.173913043","1.282051282","1.086956522","0.641025641","0.760869565","0.448717949","1.434782609","0.846153846","50","34.65346535","58.97435897","24.36149312","4.263261297","14.52991453","24.63768116","16.61918329","28.18035427","31.33903134","53.14009662","4.048681193","6.865155067","47.95821462","81.32045089"
"","","MZP2011UMB-AT01","","","","","","","","","MZP2011UMB-AT01-00007","","","","39","10","1","1","4","10","5","8","0","3.5","0","8","6","5","1","50.5","14.7","4.1","1.77","1.49","210.19","106.85","24.36","65.43","4.1","7.04","2.23","3.5","11.5","8","0.4375","","0.4375","0.8","0.205128205","0.8","0.205128205","0.35","0.08974359","0.8","0.205128205","100","30.43478261","25.64102564","29.10891089","1.018811881","3.323836657","12.96296296","3.323836657","12.96296296","7.597340931","29.62962963","0.967532651","3.773377338","10.92117759","42.59259259"
"","","MZP2011UMB-AT01","","","","","","","","","MZP2011UMB-AT01-00008","","","","39","23","1","4","9","19","17","86","33","17","3","65","7","6","1","50.3","12.6","6.66","2.22","1.63","102.75","107.32","21.95","60.54","3.07","5.35","5.21","20","85","119","0.197674419","0.090909091","0.168067227","6.263157895","3.051282051","4.526315789","2.205128205","1.052631579","0.512820513","3.421052632","1.666666667","72.26890756","23.52941176","48.71794872","25.04970179","5.009940358","16.14434948","33.13840156","18.99335233","38.98635478","61.72839506","126.705653","4.757778118","9.76596561","80.72174739","165.6920078"
"","","MZP2011UMB-AT01","","","","","","","","","MZP2011UMB-AT01-00009","","","","39","19","3","3","9","17","10","0","27","0","2","57","4","3","1","50.8","16.7","5.26","1.67","1.35","129.36","94.24","20.1","66.99","2.33","4.86","4.34","2","59","27","","0.074074074","0.074074074","1.588235294","0.692307692","0","0","0.117647059","0.051282051","3.352941176","1.461538462","0","3.389830508","43.58974359","32.87401575","0.657480315","0","0","1.899335233","4.357298475","54.13105413","124.1830065","0.624387763","1.432418987","56.03038936","128.540305"
"","","MZP2011UMB-AT01","","","","","","","","","MZP2011UMB-AT01-00010","","","","39","26","1","2","6","25","25","53","48","15","4","30","7","6","1","50","11.9","5.87","2.07","1.42","119.63","116.63","31.51","56.63","3.82","6.63","9.17","19","49","101","0.283018868","0.083333333","0.188118812","4.04","2.58974359","2.12","1.358974359","0.76","0.487179487","1.2","0.769230769","52.47524752","38.7755102","64.1025641","23.8","4.522","14.24501425","22.22222222","18.04368471","28.14814815","28.49002849","44.44444444","4.294396961","6.699259259","46.5337132","72.59259259"
