"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Storage root texture in boiled samples estimating 1-9 by Gruneberg|CO_331:0000265","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2012UMB-PT01","","","","","","","","","MZP2012UMB-PT01-00011","","","","26","6","1","1","5","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.07692308","","","","","","","","","","","",""
"","","MZP2012UMB-PT01","","","","","","","","","MZP2012UMB-PT01-00012","","","","26","13","1","1","8","13","13","15","7","5","0.4","71.5","6","6","1","","","1","7","7","3","","","","","0.12","","","","","5.4","76.9","22","0.333333333","0.057142857","0.245454545","1.692307692","0.846153846","1.153846154","0.576923077","0.415384615","0.207692308","5.5","2.75","68.18181818","7.022106632","50","","","7.122507123","14.24501425","7.692307692","15.38461538","101.8518519","203.7037037","","","109.5441595","219.0883191"
"","","MZP2012UMB-PT01","","","","","","","","","MZP2012UMB-PT01-00013","","","","26","14","4","1","5","14","6","15","10","3.5","0.2","8","5","5","1","50.9","13.6","1","7","7","3","4.71","1.98","1.32","15.601","3.96","61.17","4.88","7.5","5.91","3.7","11.7","25","0.233333333","0.02","0.148","1.785714286","0.961538462","1.071428571","0.576923077","0.264285714","0.142307692","0.571428571","0.307692308","60","31.62393162","53.84615385","26.71905697","0.988605108","4.985754986","9.259259259","5.270655271","9.788359788","11.3960114","21.16402116","1.408269385","2.615357429","16.66666667","30.95238095"
"","","MZP2012UMB-PT01","","","","","","","","","MZP2012UMB-PT01-00014","","","","26","20","1","1","6","20","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.92307692","","","","","","","","","","","",""
"","","MZP2012UMB-PT01","","","","","","","","","MZP2012UMB-PT01-00015","","","","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","MZP2012UMB-PT01","","","","","","","","","MZP2012UMB-PT01-00016","","","","26","16","2","1","7","16","7","16","11","1","0.2","83","4","4","1","","","3","5","7","5","","","","","","","","","","1.2","84.2","27","0.0625","0.018181818","0.044444444","1.6875","1.038461538","1","0.615384615","0.075","0.046153846","5.1875","3.192307692","59.25925926","1.425178147","61.53846154","","","1.424501425","2.314814815","1.709401709","2.777777778","118.2336182","192.1296296","","","119.9430199","194.9074074"
"","","MZP2012UMB-PT01","","","","","","","","","MZP2012UMB-PT01-00017","","","","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","MZP2012UMB-PT01","","","","","","","","","MZP2012UMB-PT01-00018","","","","26","13","1","1","6","13","6","13","13","2.2","0.8","21.5","3","4","1","50.6","10.8","3","5","5","5","2.78","1.71","1.23","","","52.99","5.39","7.72","15.84","3","24.5","26","0.169230769","0.061538462","0.115384615","2","1","1","0.5","0.230769231","0.115384615","1.653846154","0.826923077","50","12.24489796","50","21.34387352","0.640316206","3.133903134","6.267806268","4.273504274","8.547008547","30.62678063","61.25356125","0.912131347","1.824262694","34.9002849","69.8005698"
"","","MZP2012UMB-PT01","","","","","","","","","MZP2012UMB-PT01-00019","","","","26","16","4","1","7","16","11","15","42","3.2","4","24.5","4","4","1","","","3","5","9","3","","","","","4.61","","","","","7.2","31.7","57","0.213333333","0.095238095","0.126315789","3.5625","2.192307692","0.9375","0.576923077","0.45","0.276923077","1.53125","0.942307692","26.31578947","22.71293375","61.53846154","","","4.558404558","7.407407407","10.25641026","16.66666667","34.9002849","56.71296296","","","45.15669516","73.37962963"
"","","MZP2012UMB-PT01","","","","","","","","","MZP2012UMB-PT01-00020","","","","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","MZP2012UMB-PT01","","","","","","","","","MZP2012UMB-PT01-00021","","","","26","13","1","1","6","13","2","0","8","0","0.1","22.5","8","9","1","","","1","5","5","5","","","","","","","","","","0.1","22.6","8","","0.0125","0.0125","0.615384615","0.307692308","0","0","0.007692308","0.003846154","1.730769231","0.865384615","0","0.442477876","50","","","0","0","0.142450142","0.284900285","32.05128205","64.1025641","","","32.19373219","64.38746439"
"","","MZP2012UMB-PT01","","","","","","","","","MZP2012UMB-PT01-00022","","","","26","15","1","1","9","15","13","7","22","16","3","39.9","6","7","1","","","3","5","7","3","","","","","1.5","","","","","19","58.9","29","2.285714286","0.136363636","0.655172414","1.933333333","1.115384615","0.466666667","0.269230769","1.266666667","0.730769231","2.66","1.534615385","24.13793103","32.25806452","57.69230769","","","22.79202279","39.50617284","27.06552707","46.91358025","56.83760684","98.51851852","","","83.9031339","145.4320988"
