"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Number of plants with storage roots per NET plot|CO_331:0000211","Weight of vines per NET plot in kg|CO_331:0000227","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Commercial storage root yield tons per ha|CO_331:0000809","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207"," Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259"," Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Fiber content in raw storage roots estimating 1-9|CO_331:0001038","Content of total sugars estimating 1-9|CO_331:0000766","Content of starch in raw storage roots estimating 1-9|CO_331:0001055","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Biomass yield in tons per ha|CO_331:0001003"
"","","MZP2011UMB-AT03","","","","","","","","","MZP2011UMB-AT03-00011","","","","25","23","1","7","0.4","21","14","3.5","1","5.185185185","3","3","2","11.03","3","3","5","5","2","4","3","3","3","17.58","4.5","4.9","35","0.166666667","0.071428571","0.128571429","1.4","0.84","0.18","0.016","60","91.83673469","0.7911","6.666666667","0.592592593","1.172","7.259259259"
"","","MZP2011UMB-AT03","","","","","","","","","MZP2011UMB-AT03-00012","","","","25","25","3","20","3.5","47","81","7.5","2.5","11.11111111","3","3","6","1.65","3","3","5","5","4","5","4","4","2","13.94","10","13.5","128","0.159574468","0.030864198","0.078125","5.12","1.88","0.4","0.14","36.71875","74.07407407","1.394","14.81481481","5.185185185","2.065185185","20"
"","","MZP2011UMB-AT03","","","","","","","","","MZP2011UMB-AT03-00013","","","","25","24","1","17","4","39","70","7.5","3.5","11.11111111","5","1","3","6.12","3","3","5","5","2","4","3","3","3","13.47","11","15","109","0.192307692","0.05","0.100917431","4.36","1.56","0.44","0.16","35.77981651","73.33333333","1.4817","16.2962963","5.925925926","2.195111111","22.22222222"
"","","MZP2011UMB-AT03","","","","","","","","","MZP2011UMB-AT03-00014","","","","25","25","2","17","3","25","72","4.5","3","6.666666667","3","2","2","5.46","3","3","5","5","2","3","2","3","3","21.06","7.5","10.5","97","0.18","0.041666667","0.077319588","3.88","1","0.3","0.12","25.77319588","71.42857143","1.5795","11.11111111","4.444444444","2.34","15.55555556"
"","","MZP2011UMB-AT03","","","","","","","","","MZP2011UMB-AT03-00015","","","","25","25","5","18","4","22","64","3.5","1","5.185185185","3","2","1","1.65","3","3","5","5","3","5","3","4","3","9.04","4.5","8.5","86","0.159090909","0.015625","0.052325581","3.44","0.88","0.18","0.16","25.58139535","52.94117647","0.4068","6.666666667","5.925925926","0.602666667","12.59259259"
"","","MZP2011UMB-AT03","","","","","","","","","MZP2011UMB-AT03-00016","","","","25","25","6","19","2.4","35","28","7.5","1.5","11.11111111","4","1","6","1.38","4","3","5","5","3","4","3","4","4","14.58","9","11.4","63","0.214285714","0.053571429","0.142857143","2.52","1.4","0.36","0.096","55.55555556","78.94736842","1.3122","13.33333333","3.555555556","1.944","16.88888889"
"","","MZP2011UMB-AT03","","","","","","","","","MZP2011UMB-AT03-00017","","","","25","24","2","11","3","18","34","3.5","1.5","5.185185185","3","7","4","6.12","3","3","5","5","2","4","4","1","2","23.6","5","8","52","0.194444444","0.044117647","0.096153846","2.08","0.72","0.2","0.12","34.61538462","62.5","1.18","7.407407407","4.444444444","1.748148148","11.85185185"
"","","MZP2011UMB-AT03","","","","","","","","","MZP2011UMB-AT03-00018","","","","25","24","1","8","1.3","24","46","4","1","5.925925926","3","5","2","1.76","3","2","5","5","2","5","4","2","2","10.14","5","6.3","70","0.166666667","0.02173913","0.071428571","2.8","0.96","0.2","0.052","34.28571429","79.36507937","0.507","7.407407407","1.925925926","0.751111111","9.333333333"
"","","MZP2011UMB-AT03","","","","","","","","","MZP2011UMB-AT03-00019","","","","25","25","1","18","2.3","14","25","4","1","5.925925926","3","1","4","4.92","3","3","5","5","3","4","3","1","3","10.3","5","7.3","39","0.285714286","0.04","0.128205128","1.56","0.56","0.2","0.092","35.8974359","68.49315068","0.515","7.407407407","3.407407407","0.762962963","10.81481481"
"","","MZP2011UMB-AT03","","","","","","","","","MZP2011UMB-AT03-00020","","","","25","25","2","17","2","29","60","6","4","8.888888889","3","2","3","5.46","3","3","5","5","3","5","2","5","4","8.25","10","12","89","0.206896552","0.066666667","0.112359551","3.56","1.16","0.4","0.08","32.58426966","83.33333333","0.825","14.81481481","2.962962963","1.222222222","17.77777778"
