"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2019GUR-PT01","","","","","","","","","MZP2019GUR-PT01-00012","","","","26","26","1","1","5","26","26","12","19","4","4.1","10.2","6","5","5","5","8.1","18.3","31","0.333333333","0.215789474","0.261290323","1.192307692","1.192307692","0.461538462","0.461538462","0.311538462","0.311538462","0.392307692","0.392307692","38.70967742","44.26229508","100","5.698005698","5.698005698","11.53846154","11.53846154","14.52991453","14.52991453","26.06837607","26.06837607"
"","","MZP2019GUR-PT01","","","","","","","","","MZP2019GUR-PT01-00013","","","","26","20","1","1","5","20","20","24","37","7","9.5","10.5","2","3","3","1","16.5","27","61","0.291666667","0.256756757","0.270491803","3.05","2.346153846","1.2","0.923076923","0.825","0.634615385","0.525","0.403846154","39.3442623","61.11111111","76.92307692","9.971509972","12.96296296","23.5042735","30.55555556","14.95726496","19.44444444","38.46153846","50"
"","","MZP2019GUR-PT01","","","","","","","","","MZP2019GUR-PT01-00014","","","","26","26","3","5","9","24","24","19","28","5","6","6","7","1","1","1","11","17","47","0.263157895","0.214285714","0.234042553","1.958333333","1.807692308","0.791666667","0.730769231","0.458333333","0.423076923","0.25","0.230769231","40.42553191","64.70588235","92.30769231","7.122507123","7.716049383","15.66951567","16.97530864","8.547008547","9.259259259","24.21652422","26.2345679"
"","","MZP2019GUR-PT01","","","","","","","","","MZP2019GUR-PT01-00015","","","","26","26","1","1","5","26","26","18","25","4.7","5.8","9.5","7","3","1","7","10.5","20","43","0.261111111","0.232","0.244186047","1.653846154","1.653846154","0.692307692","0.692307692","0.403846154","0.403846154","0.365384615","0.365384615","41.86046512","52.5","100","6.695156695","6.695156695","14.95726496","14.95726496","13.53276353","13.53276353","28.49002849","28.49002849"
"","","MZP2019GUR-PT01","","","","","","","","","MZP2019GUR-PT01-00016","","","","26","23","1","1","5","23","23","15","24","4.2","5.7","7.5","2","3","1","1","9.9","17.4","39","0.28","0.2375","0.253846154","1.695652174","1.5","0.652173913","0.576923077","0.430434783","0.380769231","0.326086957","0.288461538","38.46153846","56.89655172","88.46153846","5.982905983","6.763285024","14.1025641","15.94202899","10.68376068","12.07729469","24.78632479","28.01932367"
"","","MZP2019GUR-PT01","","","","","","","","","MZP2019GUR-PT01-00017","","","","26","26","1","1","7","19","19","17","23","5","5.7","6","1","3","1","7","10.7","16.7","40","0.294117647","0.247826087","0.2675","2.105263158","1.538461538","0.894736842","0.653846154","0.563157895","0.411538462","0.315789474","0.230769231","42.5","64.07185629","73.07692308","7.122507123","9.746588694","15.24216524","20.85769981","8.547008547","11.69590643","23.78917379","32.55360624"
"","","MZP2019GUR-PT01","","","","","","","","","MZP2019GUR-PT01-00018","","","","26","24","1","1","7","24","24","14","22","3.7","5.7","5","4","5","1","1","9.4","14.4","36","0.264285714","0.259090909","0.261111111","1.5","1.384615385","0.583333333","0.538461538","0.391666667","0.361538462","0.208333333","0.192307692","38.88888889","65.27777778","92.30769231","5.270655271","5.709876543","13.39031339","14.50617284","7.122507123","7.716049383","20.51282051","22.22222222"
"","","MZP2019GUR-PT01","","","","","","","","","MZP2019GUR-PT01-00019","","","","26","26","5","9","5","24","24","27","40","8.7","10.2","10.5","7","1","3","1","18.9","29.4","67","0.322222222","0.255","0.282089552","2.791666667","2.576923077","1.125","1.038461538","0.7875","0.726923077","0.4375","0.403846154","40.29850746","64.28571429","92.30769231","12.39316239","13.42592593","26.92307692","29.16666667","14.95726496","16.2037037","41.88034188","45.37037037"
"","","MZP2019GUR-PT01","","","","","","","","","MZP2019GUR-PT01-00020","","","","26","25","1","1","9","25","25","13","18","3.7","4.9","7","2","7","7","7","8.6","15.6","31","0.284615385","0.272222222","0.277419355","1.24","1.192307692","0.52","0.5","0.344","0.330769231","0.28","0.269230769","41.93548387","55.12820513","96.15384615","5.270655271","5.481481481","12.25071225","12.74074074","9.971509972","10.37037037","22.22222222","23.11111111"
"","","MZP2019GUR-PT01","","","","","","","","","MZP2019GUR-PT01-00021","","","","26","26","1","1","5","25","25","15","19","4","5","7.5","2","5","5","1","9","16.5","34","0.266666667","0.263157895","0.264705882","1.36","1.307692308","0.6","0.576923077","0.36","0.346153846","0.3","0.288461538","44.11764706","54.54545455","96.15384615","5.698005698","5.925925926","12.82051282","13.33333333","10.68376068","11.11111111","23.5042735","24.44444444"
