"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2011UMB-AT02","","","","","","","","","MZP2011UMB-AT02-00011","","","","39","24","1","2","8","20","18","40","23","8","2","14.5","7","7","4","14.37","10","24.5","63","0.2","0.086956522","0.158730159","3.15","1.615384615","2","1.025641026","0.5","0.256410256","0.725","0.371794872","63.49206349","40.81632653","51.28205128","7.597340931","14.81481481","9.496676163","18.51851852","13.77018044","26.85185185","23.2668566","45.37037037"
"","","MZP2011UMB-AT02","","","","","","","","","MZP2011UMB-AT02-00012","","","","39","23","5","4","8","18","10","17","18","2","1","10.5","6","6","4","4.41","3","13.5","35","0.117647059","0.055555556","0.085714286","1.944444444","0.897435897","0.944444444","0.435897436","0.166666667","0.076923077","0.583333333","0.269230769","48.57142857","22.22222222","46.15384615","1.899335233","4.115226337","2.849002849","6.172839506","9.971509972","21.60493827","12.82051282","27.77777778"
"","","MZP2011UMB-AT02","","","","","","","","","MZP2011UMB-AT02-00013","","","","39","25","1","1","6","18","15","5","15","2.2","1.7","7.5","7","5","6","10.5","3.9","11.4","20","0.44","0.113333333","0.195","1.111111111","0.512820513","0.277777778","0.128205128","0.216666667","0.1","0.416666667","0.192307692","25","34.21052632","46.15384615","2.089268756","4.526748971","3.703703704","8.024691358","7.122507123","15.43209877","10.82621083","23.45679012"
"","","MZP2011UMB-AT02","","","","","","","","","MZP2011UMB-AT02-00014","","","","39","19","1","1","7","16","14","0","58","0","8","12","8","6","9","1.5","8","20","58","","0.137931034","0.137931034","3.625","1.487179487","0","0","0.5","0.205128205","0.75","0.307692308","0","40","41.02564103","0","0","7.597340931","18.51851852","11.3960114","27.77777778","18.99335233","46.2962963"
"","","MZP2011UMB-AT02","","","","","","","","","MZP2011UMB-AT02-00015","","","","39","22","1","2","7","22","16","0","24","0","4.5","19","7","6","7","0.02","4.5","23.5","24","","0.1875","0.1875","1.090909091","0.615384615","0","0","0.204545455","0.115384615","0.863636364","0.487179487","0","19.14893617","56.41025641","0","0","4.273504274","7.575757576","18.04368471","31.98653199","22.31718898","39.56228956"
"","","MZP2011UMB-AT02","","","","","","","","","MZP2011UMB-AT02-00016","","","","39","22","1","1","4","6","","","","","","","","","","","","","","","","","","","","","","","","","","","15.38461538","","","","","","","",""
"","","MZP2011UMB-AT02","","","","","","","","","MZP2011UMB-AT02-00017","","","","39","27","1","1","3","0","0","0","0","0","0","0","","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","","0","","0","","0",""
"","","MZP2011UMB-AT02","","","","","","","","","MZP2011UMB-AT02-00018","","","","39","20","1","1","6","8","7","4","14","1","1.2","0.7","6","6","4","14.37","2.2","2.9","18","0.25","0.085714286","0.122222222","2.25","0.461538462","0.5","0.102564103","0.275","0.056410256","0.0875","0.017948718","22.22222222","75.86206897","20.51282051","0.949667616","4.62962963","2.089268756","10.18518519","0.664767331","3.240740741","2.754036087","13.42592593"
"","","MZP2011UMB-AT02","","","","","","","","","MZP2011UMB-AT02-00019","","","","39","25","1","1","5","7","4","0","3","0","0.1","6","3","6","7","3.76","0.1","6.1","3","","0.033333333","0.033333333","0.428571429","0.076923077","0","0","0.014285714","0.002564103","0.857142857","0.153846154","0","1.639344262","17.94871795","0","0","0.094966762","0.529100529","5.698005698","31.74603175","5.79297246","32.27513228"
"","","MZP2011UMB-AT02","","","","","","","","","MZP2011UMB-AT02-00020","","","","39","28","1","1","5","20","20","0","32","0","2","7.5","5","6","9","14.37","2","9.5","32","","0.0625","0.0625","1.6","0.820512821","0","0","0.1","0.051282051","0.375","0.192307692","0","21.05263158","51.28205128","0","0","1.899335233","3.703703704","7.122507123","13.88888889","9.021842355","17.59259259"
