"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Weight of vines per NET plot in kg|CO_331:0000227","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Content of total sugars estimating 1-9|CO_331:0000766","Content of starch in raw storage roots estimating 1-9|CO_331:0001055","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2010CKE-AT02","","","","","","","","","MZP2010CKE-AT02-00001","","","","39","","1","1","8","18","24","20","15","14","2.2","1.2","4","4","4","14.37","5","3","4","4","3.4","21.4","29","0.146666667","0.085714286","0.117241379","1.208333333","0.743589744","0.625","0.384615385","0.141666667","0.087179487","0.75","0.461538462","51.72413793","15.88785047","61.53846154","2.089268756","3.395061728","3.228869896","5.24691358","17.09401709","27.77777778","20.32288699","33.02469136"
"","","MZP2010CKE-AT02","","","","","","","","","MZP2010CKE-AT02-00002","","","","39","","1","1","9","48","33","4","4","0","0.4","0","3","3","5","0.02","","","","","0.4","48.4","4","0.1","","0.1","0.121212121","0.102564103","0.121212121","0.102564103","0.012121212","0.01025641","1.454545455","1.230769231","100","0.826446281","84.61538462","0.379867047","0.448933782","0.379867047","0.448933782","45.58404558","53.87205387","45.96391263","54.32098765"
"","","MZP2010CKE-AT02","","","","","","","","","MZP2010CKE-AT02-00003","","","","39","","1","1","9","35","25","22","23","100","2","3","4","3","5","5.46","","","","","5","40","123","0.086956522","0.03","0.040650407","4.92","3.153846154","0.92","0.58974359","0.2","0.128205128","1.4","0.897435897","18.69918699","12.5","64.1025641","1.899335233","2.962962963","4.748338082","7.407407407","33.23836657","51.85185185","37.98670465","59.25925926"
"","","MZP2010CKE-AT02","","","","","","","","","MZP2010CKE-AT02-00004","","","","39","","1","1","9","37","32","13","12","47","2.5","2","4","3","5","0.02","4","2","3","4","4.5","41.5","59","0.208333333","0.042553191","0.076271186","1.84375","1.512820513","0.375","0.307692308","0.140625","0.115384615","1.15625","0.948717949","20.33898305","10.84337349","82.05128205","2.374169041","2.893518519","4.273504274","5.208333333","35.1377018","42.82407407","39.41120608","48.03240741"
"","","MZP2010CKE-AT02","","","","","","","","","MZP2010CKE-AT02-00005","","","","39","","1","1","9","60","29","10","5","40","1","1.2","4","2","5","0.02","4","3","4","3","2.2","62.2","45","0.2","0.03","0.048888889","1.551724138","1.153846154","0.172413793","0.128205128","0.075862069","0.056410256","2.068965517","1.538461538","11.11111111","3.536977492","74.35897436","0.949667616","1.277139208","2.089268756","2.809706258","56.98005698","76.62835249","59.06932574","79.43805875"
"","","MZP2010CKE-AT02","","","","","","","","","MZP2010CKE-AT02-00006","","","","39","","1","3","8","16","27","20","10","102","2","2.8","4","3","5","3.03","5","2","4","4","4.8","20.8","112","0.2","0.02745098","0.042857143","4.148148148","2.871794872","0.37037037","0.256410256","0.177777778","0.123076923","0.592592593","0.41025641","8.928571429","23.07692308","69.23076923","1.899335233","2.743484225","4.558404558","6.58436214","15.19468186","21.9478738","19.75308642","28.53223594"
"","","MZP2010CKE-AT02","","","","","","","","","MZP2010CKE-AT02-00007","","","","39","","1","1","8","65","36","15","7","34","1.2","1.5","4","3","5","5.46","5","3","3","3","2.7","67.7","41","0.171428571","0.044117647","0.065853659","1.138888889","1.051282051","0.194444444","0.179487179","0.075","0.069230769","1.805555556","1.666666667","17.07317073","3.988183161","92.30769231","1.13960114","1.234567901","2.564102564","2.777777778","61.72839506","66.87242798","64.29249763","69.65020576"
"","","MZP2010CKE-AT02","","","","","","","","","MZP2010CKE-AT02-00008","","","","39","","1","1","9","36","31","16","11","27","1","1","3","3","5","0.02","5","2","4","4","2","38","38","0.090909091","0.037037037","0.052631579","1.225806452","0.974358974","0.35483871","0.282051282","0.064516129","0.051282051","1.161290323","0.923076923","28.94736842","5.263157895","79.48717949","0.949667616","1.19474313","1.899335233","2.38948626","34.18803419","43.01075269","36.08736942","45.40023895"
"","","MZP2010CKE-AT02","","","","","","","","","MZP2010CKE-AT02-00009","","","","39","","1","1","9","41","28","18","30","66","5.5","2.5","4","3","5","7.76","5","3","4","3","8","49","96","0.183333333","0.037878788","0.083333333","3.428571429","2.461538462","1.071428571","0.769230769","0.285714286","0.205128205","1.464285714","1.051282051","31.25","16.32653061","71.79487179","5.22317189","7.275132275","7.597340931","10.58201058","38.93637227","54.23280423","46.5337132","64.81481481"
"","","MZP2010CKE-AT02","","","","","","","","","MZP2010CKE-AT02-00010","","","","39","","1","1","9","22","31","31","38","211","18","9","4","4","5","0.02","4","2","5","4","27","49","249","0.473684211","0.042654028","0.108433735","8.032258065","6.384615385","1.225806452","0.974358974","0.870967742","0.692307692","0.709677419","0.564102564","15.26104418","55.10204082","79.48717949","17.09401709","21.50537634","25.64102564","32.25806452","20.89268756","26.28434886","46.5337132","58.54241338"
