"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Weight of vines per NET plot in kg|CO_331:0000227","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Content of total sugars estimating 1-9|CO_331:0000766","Content of starch in raw storage roots estimating 1-9|CO_331:0001055","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2010CKE-AT03","","","","","","","","","MZP2010CKE-AT03-00011","","","","23","21","1","1","9","28","12","12","0","29","0","2.5","4","2","5","","","","","2.5","30.5","29","","0.086206897","0.086206897","2.416666667","1.260869565","0","0","0.208333333","0.108695652","2.333333333","1.217391304","0","8.196721311","52.17391304","0","0","4.025764895","7.716049383","45.08856683","86.41975309","49.11433172","94.13580247"
"","","MZP2010CKE-AT03","","","","","","","","","MZP2010CKE-AT03-00012","","","","23","22","1","1","9","20","6","4","1","10","0.3","1","3","3","5","5","2","4","4","1.3","21.3","11","0.3","0.1","0.118181818","1.833333333","0.47826087","0.166666667","0.043478261","0.216666667","0.056521739","3.333333333","0.869565217","9.090909091","6.103286385","26.08695652","0.483091787","1.851851852","2.093397746","8.024691358","32.20611916","123.4567901","34.29951691","131.4814815"
"","","MZP2010CKE-AT03","","","","","","","","","MZP2010CKE-AT03-00013","","","","23","22","1","1","8","19.8","7","7","3","16","1","2","4","4","4","5","2","4","4","3","22.8","19","0.333333333","0.125","0.157894737","2.714285714","0.826086957","0.428571429","0.130434783","0.428571429","0.130434783","2.828571429","0.860869565","15.78947368","13.15789474","30.43478261","1.610305958","5.291005291","4.830917874","15.87301587","31.88405797","104.7619048","36.71497585","120.6349206"
"","","MZP2010CKE-AT03","","","","","","","","","MZP2010CKE-AT03-00014","","","","23","16","1","1","8","24.4","8","8","7","31","1","2","3","3","4","5","2","5","4","3","27.4","38","0.142857143","0.064516129","0.078947368","4.75","1.652173913","0.875","0.304347826","0.375","0.130434783","3.05","1.060869565","18.42105263","10.94890511","34.7826087","1.610305958","4.62962963","4.830917874","13.88888889","39.29146538","112.962963","44.12238325","126.8518519"
"","","MZP2010CKE-AT03","","","","","","","","","MZP2010CKE-AT03-00015","","","","23","19","1","1","6","25.8","9","9","3","23","0.2","1","4","3","3","2","2","4","4","1.2","27","26","0.066666667","0.043478261","0.046153846","2.888888889","1.130434783","0.333333333","0.130434783","0.133333333","0.052173913","2.866666667","1.12173913","11.53846154","4.444444444","39.13043478","0.322061192","0.823045267","1.93236715","4.938271605","41.54589372","106.1728395","43.47826087","111.1111111"
"","","MZP2010CKE-AT03","","","","","","","","","MZP2010CKE-AT03-00016","","","","23","12","1","1","4","2.4","7","7","4","5","1","1.5","4","4","4","","","","","2.5","4.9","9","0.25","0.3","0.277777778","1.285714286","0.391304348","0.571428571","0.173913043","0.357142857","0.108695652","0.342857143","0.104347826","44.44444444","51.02040816","30.43478261","1.610305958","5.291005291","4.025764895","13.22751323","3.8647343","12.6984127","7.890499195","25.92592593"
"","","MZP2010CKE-AT03","","","","","","","","","MZP2010CKE-AT03-00017","","","","23","14","1","1","4","30","14","14","13","27","3","1.5","3","3","3","5","2","3","4","4.5","34.5","40","0.230769231","0.055555556","0.1125","2.857142857","1.739130435","0.928571429","0.565217391","0.321428571","0.195652174","2.142857143","1.304347826","32.5","13.04347826","60.86956522","4.830917874","7.936507937","7.246376812","11.9047619","48.30917874","79.36507937","55.55555556","91.26984127"
"","","MZP2010CKE-AT03","","","","","","","","","MZP2010CKE-AT03-00018","","","","23","23","1","1","9","36","13","13","10","18","4","2","4","3","3","4","2","4","4","6","42","28","0.4","0.111111111","0.214285714","2.153846154","1.217391304","0.769230769","0.434782609","0.461538462","0.260869565","2.769230769","1.565217391","35.71428571","14.28571429","56.52173913","6.441223833","11.3960114","9.661835749","17.09401709","57.97101449","102.5641026","67.63285024","119.6581197"
"","","MZP2010CKE-AT03","","","","","","","","","MZP2010CKE-AT03-00019","","","","23","23","1","1","9","38.2","14","14","0","35","0","13","3","2","2","5","2","4","4","13","51.2","35","","0.371428571","0.371428571","2.5","1.52173913","0","0","0.928571429","0.565217391","2.728571429","1.660869565","0","25.390625","60.86956522","0","0","20.93397746","34.39153439","61.5136876","101.0582011","82.44766506","135.4497354"
"","","MZP2010CKE-AT03","","","","","","","","","MZP2010CKE-AT03-00020","","","","23","23","1","1","9","32.8","11","11","35","44","11","3","4","4","2","5","2","4","4","14","46.8","79","0.314285714","0.068181818","0.17721519","7.181818182","3.434782609","3.181818182","1.52173913","1.272727273","0.608695652","2.981818182","1.426086957","44.30379747","29.91452991","47.82608696","17.71336554","37.03703704","22.54428341","47.13804714","52.81803543","110.4377104","75.36231884","157.5757576"
"","","MZP2010CKE-AT03","","","","","","","","","MZP2010CKE-AT03-00021","","","","23","11","1","1","5","8.6","7","7","15","18","2","0.5","4","4","5","3","2","5","4","2.5","11.1","33","0.133333333","0.027777778","0.075757576","4.714285714","1.434782609","2.142857143","0.652173913","0.357142857","0.108695652","1.228571429","0.373913043","45.45454545","22.52252252","30.43478261","3.220611916","10.58201058","4.025764895","13.22751323","13.84863124","45.5026455","17.87439614","58.73015873"
"","","MZP2010CKE-AT03","","","","","","","","","MZP2010CKE-AT03-00022","","","","23","6","2","1","3","2.5","6","6","4","4","0.5","0.5","4","4","5","5","2","5","4","1","3.5","8","0.125","0.125","0.125","1.333333333","0.347826087","0.666666667","0.173913043","0.166666667","0.043478261","0.416666667","0.108695652","50","28.57142857","26.08695652","0.805152979","3.086419753","1.610305958","6.172839506","4.025764895","15.43209877","5.636070853","21.60493827"
"","","MZP2010CKE-AT03","","","","","","","","","MZP2010CKE-AT03-00023","","","","23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","MZP2010CKE-AT03","","","","","","","","","MZP2010CKE-AT03-00024","","","","23","22","4","2","8","19.8","10","10","3","7","0.5","1.5","4","3","4","5","2","5","5","2","21.8","10","0.166666667","0.214285714","0.2","1","0.434782609","0.3","0.130434783","0.2","0.086956522","1.98","0.860869565","30","9.174311927","43.47826087","0.805152979","1.851851852","3.220611916","7.407407407","31.88405797","73.33333333","35.10466989","80.74074074"
"","","MZP2010CKE-AT03","","","","","","","","","MZP2010CKE-AT03-00025","","","","23","21","1","1","8","22","13","6","38","0","4","0","4","3","5","3","2","4","4","4","26","38","0.105263158","","0.105263158","2.923076923","1.652173913","2.923076923","1.652173913","0.307692308","0.173913043","1.692307692","0.956521739","100","15.38461538","56.52173913","6.441223833","11.3960114","6.441223833","11.3960114","35.42673108","62.67806268","41.86795491","74.07407407"
"","","MZP2010CKE-AT03","","","","","","","","","MZP2010CKE-AT03-00026","","","","23","23","1","1","9","18.5","23","23","7","35","3","5","4","4","5","5","2","4","4","8","26.5","42","0.428571429","0.142857143","0.19047619","1.826086957","1.826086957","0.304347826","0.304347826","0.347826087","0.347826087","0.804347826","0.804347826","16.66666667","30.18867925","100","4.830917874","4.830917874","12.88244767","12.88244767","29.79066023","29.79066023","42.67310789","42.67310789"
"","","MZP2010CKE-AT03","","","","","","","","","MZP2010CKE-AT03-00027","","","","23","23","1","1","9","15.5","13","13","10","32","3","6","4","4","5","4","3","5","3","9","24.5","42","0.3","0.1875","0.214285714","3.230769231","1.826086957","0.769230769","0.434782609","0.692307692","0.391304348","1.192307692","0.673913043","23.80952381","36.73469388","56.52173913","4.830917874","8.547008547","14.49275362","25.64102564","24.95974235","44.15954416","39.45249597","69.8005698"
"","","MZP2010CKE-AT03","","","","","","","","","MZP2010CKE-AT03-00028","","","","23","23","1","1","9","27.8","17","17","42","44","12","10","4","4","5","5","2","3","4","22","49.8","86","0.285714286","0.227272727","0.255813953","5.058823529","3.739130435","2.470588235","1.826086957","1.294117647","0.956521739","1.635294118","1.208695652","48.8372093","44.17670683","73.91304348","19.3236715","26.14379085","35.42673108","47.93028322","44.76650564","60.5664488","80.19323671","108.496732"
"","","MZP2010CKE-AT03","","","","","","","","","MZP2010CKE-AT03-00029","","","","23","23","1","1","9","22.4","10","10","5","15","1","3","4","3","5","5","2","3","4","4","26.4","20","0.2","0.2","0.2","2","0.869565217","0.5","0.217391304","0.4","0.173913043","2.24","0.973913043","25","15.15151515","43.47826087","1.610305958","3.703703704","6.441223833","14.81481481","36.07085346","82.96296296","42.51207729","97.77777778"
"","","MZP2010CKE-AT03","","","","","","","","","MZP2010CKE-AT03-00030","","","","23","23","1","1","9","30","15","15","6","29","1","2","4","4","5","4","3","5","3","3","33","35","0.166666667","0.068965517","0.085714286","2.333333333","1.52173913","0.4","0.260869565","0.2","0.130434783","2","1.304347826","17.14285714","9.090909091","65.2173913","1.610305958","2.469135802","4.830917874","7.407407407","48.30917874","74.07407407","53.14009662","81.48148148"
"","","MZP2010CKE-AT03","","","","","","","","","MZP2010CKE-AT03-00031","","","","23","23","1","1","9","11.6","9","9","7","29","1.5","1","4","2","4","","","","","2.5","14.1","36","0.214285714","0.034482759","0.069444444","4","1.565217391","0.777777778","0.304347826","0.277777778","0.108695652","1.288888889","0.504347826","19.44444444","17.73049645","39.13043478","2.415458937","6.172839506","4.025764895","10.28806584","18.67954911","47.73662551","22.70531401","58.02469136"
"","","MZP2010CKE-AT03","","","","","","","","","MZP2010CKE-AT03-00032","","","","23","21","1","1","9","10.5","10","10","0","37","0","6","4","3","3","4","2","4","4","6","16.5","37","","0.162162162","0.162162162","3.7","1.608695652","0","0","0.6","0.260869565","1.05","0.456521739","0","36.36363636","43.47826087","0","0","9.661835749","22.22222222","16.90821256","38.88888889","26.57004831","61.11111111"
"","","MZP2010CKE-AT03","","","","","","","","","MZP2010CKE-AT03-00033","","","","23","23","1","1","9","11.2","15","15","40","52","10","10","4","4","3","5","2","3","4","20","31.2","92","0.25","0.192307692","0.217391304","6.133333333","4","2.666666667","1.739130435","1.333333333","0.869565217","0.746666667","0.486956522","43.47826087","64.1025641","65.2173913","16.10305958","24.69135802","32.20611916","49.38271605","18.03542673","27.65432099","50.24154589","77.03703704"
"","","MZP2010CKE-AT03","","","","","","","","","MZP2010CKE-AT03-00034","","","","23","23","1","1","9","12.4","12","12","22","18","9","2","4","4","4","5","3","4","4","11","23.4","40","0.409090909","0.111111111","0.275","3.333333333","1.739130435","1.833333333","0.956521739","0.916666667","0.47826087","1.033333333","0.539130435","55","47.00854701","52.17391304","14.49275362","27.77777778","17.71336554","33.95061728","19.96779388","38.27160494","37.68115942","72.22222222"
"","","MZP2010CKE-AT03","","","","","","","","","MZP2010CKE-AT03-00035","","","","23","23","1","1","9","18.2","13","13","5","6","1","1.2","3","3","4","5","2","4","4","2.2","20.4","11","0.2","0.2","0.2","0.846153846","0.47826087","0.384615385","0.217391304","0.169230769","0.095652174","1.4","0.791304348","45.45454545","10.78431373","56.52173913","1.610305958","2.849002849","3.542673108","6.267806268","29.30756844","51.85185185","32.85024155","58.11965812"
