"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Weight of vines per NET plot in kg|CO_331:0000227","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Fiber content in raw storage roots estimating 1-9|CO_331:0001038","Content of total sugars estimating 1-9|CO_331:0000766","Content of starch in raw storage roots estimating 1-9|CO_331:0001055","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2009CKE-AT01","","","","","","","","","MZP2009CKE-AT01-00001","","","","39","39","1","1","9","56","35","23","50","33","3","3","4","4","5","14.37","3","3","3","4","6","62","83","0.06","0.090909091","0.072289157","2.371428571","2.128205128","1.428571429","1.282051282","0.171428571","0.153846154","1.6","1.435897436","60.24096386","9.677419355","89.74358974","2.849002849","3.174603175","5.698005698","6.349206349","53.18138651","59.25925926","58.87939221","65.60846561"
"","","MZP2009CKE-AT01","","","","","","","","","MZP2009CKE-AT01-00002","","","","39","39","1","1","9","45","30","21","15","40","4.5","3","4","4","5","1.65","2","2","5","4","7.5","52.5","55","0.3","0.075","0.136363636","1.833333333","1.41025641","0.5","0.384615385","0.25","0.192307692","1.5","1.153846154","27.27272727","14.28571429","76.92307692","4.273504274","5.555555556","7.122507123","9.259259259","42.73504274","55.55555556","49.85754986","64.81481481"
"","","MZP2009CKE-AT01","","","","","","","","","MZP2009CKE-AT01-00003","","","","39","37","1","1","9","38","28","17","38","60","6","2.5","4","4","5","3.03","2","2","4","4","8.5","46.5","98","0.157894737","0.041666667","0.086734694","3.5","2.512820513","1.357142857","0.974358974","0.303571429","0.217948718","1.357142857","0.974358974","38.7755102","18.27956989","71.79487179","5.698005698","7.936507937","8.072174739","11.24338624","36.08736942","50.26455026","44.15954416","61.50793651"
"","","MZP2009CKE-AT01","","","","","","","","","MZP2009CKE-AT01-00004","","","","39","39","1","1","9","70","33","26","45","48","10","5.5","4","4","5","0","2","3","5","4","15.5","85.5","93","0.222222222","0.114583333","0.166666667","2.818181818","2.384615385","1.363636364","1.153846154","0.46969697","0.397435897","2.121212121","1.794871795","48.38709677","18.12865497","84.61538462","9.496676163","11.22334456","14.71984805","17.39618406","66.47673314","78.5634119","81.1965812","95.95959596"
"","","MZP2009CKE-AT01","","","","","","","","","MZP2009CKE-AT01-00005","","","","39","36","1","1","9","68","28","23","15","94","3","4","4","4","5","0","2","2","4","4","7","75","109","0.2","0.042553191","0.064220183","3.892857143","2.794871795","0.535714286","0.384615385","0.25","0.179487179","2.428571429","1.743589744","13.76146789","9.333333333","71.79487179","2.849002849","3.968253968","6.647673314","9.259259259","64.57739791","89.94708995","71.22507123","99.20634921"
"","","MZP2009CKE-AT01","","","","","","","","","MZP2009CKE-AT01-00006","","","","39","37","1","1","9","37","31","22","46","76","8","6","5","4","5","1.65","","","","","14","51","122","0.173913043","0.078947368","0.114754098","3.935483871","3.128205128","1.483870968","1.179487179","0.451612903","0.358974359","1.193548387","0.948717949","37.70491803","27.45098039","79.48717949","7.597340931","9.557945042","13.29534663","16.72640382","35.1377018","44.20549582","48.43304843","60.93189964"
"","","MZP2009CKE-AT01","","","","","","","","","MZP2009CKE-AT01-00007","","","","39","38","1","1","9","16","34","22","35","35","13","5","4","4","5","12.39","4","2","3","4","18","34","70","0.371428571","0.142857143","0.257142857","2.058823529","1.794871795","1.029411765","0.897435897","0.529411765","0.461538462","0.470588235","0.41025641","50","52.94117647","87.17948718","12.34567901","14.16122004","17.09401709","19.60784314","15.19468186","17.4291939","32.28869896","37.03703704"
"","","MZP2009CKE-AT01","","","","","","","","","MZP2009CKE-AT01-00008","","","","39","39","1","1","9","23","25","19","34","72","12","7.5","4","4","5","10.5","5","2","5","4","19.5","42.5","106","0.352941176","0.104166667","0.183962264","4.24","2.717948718","1.36","0.871794872","0.78","0.5","0.92","0.58974359","32.0754717","45.88235294","64.1025641","11.3960114","17.77777778","18.51851852","28.88888889","21.84235518","34.07407407","40.36087369","62.96296296"
"","","MZP2009CKE-AT01","","","","","","","","","MZP2009CKE-AT01-00009","","","","39","38","1","1","9","17","33","28","80","122","12","6.5","4","4","5","6.12","5","2","3","4","18.5","35.5","202","0.15","0.053278689","0.091584158","6.121212121","5.179487179","2.424242424","2.051282051","0.560606061","0.474358974","0.515151515","0.435897436","39.6039604","52.11267606","84.61538462","11.3960114","13.46801347","17.5688509","20.76318743","16.14434948","19.07968575","33.71320038","39.84287318"
"","","MZP2009CKE-AT01","","","","","","","","","MZP2009CKE-AT01-00010","","","","39","32","1","1","9","25","32","23","52","68","17.8","5.5","5","5","5","0","4","3","4","4","23.3","48.3","120","0.342307692","0.080882353","0.194166667","3.75","3.076923077","1.625","1.333333333","0.728125","0.597435897","0.78125","0.641025641","43.33333333","48.24016563","82.05128205","16.90408357","20.60185185","22.12725546","26.96759259","23.74169041","28.93518519","45.86894587","55.90277778"
