"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root size estimating 1-9|CO_331:0000184","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of commercial storage roots per plant harvested|CO_331:2000036","Storage roots yield in kg per plant harvested|CO_331:0000681","Vine weight in kg per plant harvested|CO_331:0000990","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","treatment_irrigation","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2019CHL-ST01","","","","","","","","","MZP2019CHL-ST01-00011","","","","84","45","45","31","42","142","4.8","4.4","15.4","1","5","9.2","24.6","184","0.114285714","0.030985915","0.05","4.088888889","0.933333333","0.204444444","0.342222222","22.82608696","37.39837398","2.116402116","4.05643739","6.790123457","10.84656085","1","2.19047619","0.5","0.10952381","0.183333333","53.57142857","3.950617284","7.572016461","12.67489712","20.24691358"
"","","MZP2019CHL-ST01","","","","","","","","","MZP2019CHL-ST01-00012","","","","84","45","45","36","38","84","6.2","3.8","29.2","1","3","10","39.2","122","0.163157895","0.045238095","0.081967213","2.711111111","0.844444444","0.222222222","0.648888889","31.14754098","25.51020408","2.733686067","4.409171076","12.87477954","17.28395062","1","1.452380952","0.452380952","0.119047619","0.347619048","53.57142857","5.102880658","8.230452675","24.03292181","32.26337449"
"","","MZP2019CHL-ST01","","","","","","","","","MZP2019CHL-ST01-00013","","","","84","44","44","33","32","104","5.8","3.9","27.8","1","5","9.7","37.5","136","0.18125","0.0375","0.071323529","3.090909091","0.727272727","0.220454545","0.631818182","23.52941176","25.86666667","2.557319224","4.276895944","12.25749559","16.53439153","1","1.619047619","0.380952381","0.11547619","0.330952381","52.38095238","4.882154882","8.164983165","23.4006734","31.56565657"
"","","MZP2019CHL-ST01","","","","","","","","","MZP2019CHL-ST01-00014","","","","84","48","48","32","45","169","3.4","6","43.6","1","3","9.4","53","214","0.075555556","0.035502959","0.043925234","4.458333333","0.9375","0.195833333","0.908333333","21.02803738","17.73584906","1.499118166","4.144620811","19.22398589","23.3686067","1","2.547619048","0.535714286","0.111904762","0.519047619","57.14285714","2.62345679","7.25308642","33.64197531","40.89506173"
"","","MZP2019CHL-ST01","","","","","","","","","MZP2019CHL-ST01-00015","","","","84","40","40","34","72","198","10.6","8","51.2","1","3","18.6","69.8","270","0.147222222","0.04040404","0.068888889","6.75","1.8","0.465","1.28","26.66666667","26.64756447","4.67372134","8.201058201","22.57495591","30.77601411","1","3.214285714","0.857142857","0.221428571","0.60952381","47.61904762","9.814814815","17.22222222","47.40740741","64.62962963"
"","","MZP2019CHL-ST01","","","","","","","","","MZP2019CHL-ST01-00016","","","","84","43","43","29","28","109","7.7","4","34.6","1","3","11.7","46.3","137","0.275","0.036697248","0.08540146","3.186046512","0.651162791","0.272093023","0.804651163","20.4379562","25.2699784","3.395061728","5.158730159","15.25573192","20.41446208","1","1.630952381","0.333333333","0.139285714","0.411904762","51.19047619","6.632213609","10.07751938","29.80189492","39.8794143"
"","","MZP2019CHL-ST01","","","","","","","","","MZP2019CHL-ST01-00017","","","","84","51","51","14","","71","","3","66.6","1","5","","","","","0.042253521","","","","","1.305882353","","","","","29.36507937","","1","","","","0.792857143","60.71428571","","","48.36601307",""
"","","MZP2019CHL-ST01","","","","","","","","","MZP2019CHL-ST01-00018","","","","84","53","53","27","29","96","5.6","3","38.2","1","3","8.6","46.8","125","0.193103448","0.03125","0.0688","2.358490566","0.547169811","0.162264151","0.720754717","23.2","18.37606838","2.469135802","3.791887125","16.84303351","20.63492063","1","1.488095238","0.345238095","0.102380952","0.454761905","63.0952381","3.91334731","6.009783368","26.69461915","32.70440252"
"","","MZP2019CHL-ST01","","","","","","","","","MZP2019CHL-ST01-00019","","","","84","52","52","31","135","244","22.2","8.6","49.4","1","1","30.8","80.2","379","0.164444444","0.035245902","0.081266491","7.288461538","2.596153846","0.592307692","0.95","35.62005277","38.40399002","9.788359788","13.58024691","21.78130511","35.36155203","1","4.511904762","1.607142857","0.366666667","0.588095238","61.9047619","15.81196581","21.93732194","35.18518519","57.12250712"
"","","MZP2019CHL-ST01","","","","","","","","","MZP2019CHL-ST01-00020","","","","84","50","50","42","87","80","22","9.8","30.8","1","3","31.8","62.6","167","0.252873563","0.1225","0.190419162","3.34","1.74","0.636","0.616","52.09580838","50.79872204","9.700176367","14.02116402","13.58024691","27.60141093","1","1.988095238","1.035714286","0.378571429","0.366666667","59.52380952","16.2962963","23.55555556","22.81481481","46.37037037"
