"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Dry weight of storage root samples measuring g|CO_331:0000247","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Storage root texture in boiled samples estimating 1-9 by Gruneberg|CO_331:0000265","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2011UMB-MT01","","","","","","","","","MZP2011UMB-MT01-00001","","","","39","29","2","1","8","23","23","40","44","9.8","5.9","11","3","3","5","17.3","7","5","7","3","2.63","1.44","0.89","34.8","63.95","3.34","4.94","11.35","15.7","26.7","84","0.245","0.134090909","0.186904762","3.652173913","2.153846154","1.739130435","1.025641026","0.682608696","0.402564103","0.47826087","0.282051282","47.61904762","58.80149813","58.97435897","9.30674264","15.78099839","14.90978158","25.28180354","10.44634378","17.71336554","25.35612536","42.99516908"
"","","MZP2011UMB-MT01","","","","","","","","","MZP2011UMB-MT01-00002","","","","39","39","1","1","8","27","25","11","76","3","13.2","15","5","5","3","17.6","7","5","7","3","2.34","1.34","0.83","101.53","65.22","3.54","5.16","11.42","16.2","31.2","87","0.272727273","0.173684211","0.186206897","3.222222222","2.230769231","0.407407407","0.282051282","0.6","0.415384615","0.555555556","0.384615385","12.64367816","51.92307692","69.23076923","2.849002849","4.115226337","15.38461538","22.22222222","14.24501425","20.57613169","29.62962963","42.79835391"
"","","MZP2011UMB-MT01","","","","","","","","","MZP2011UMB-MT01-00003","","","","39","36","1","1","7","29","25","7","54","2.2","6","16","3","5","3","16.7","7","5","7","3","3.01","1.6","0.96","92.84","65.85","2.03","3.28","9.65","8.2","24.2","61","0.314285714","0.111111111","0.13442623","2.103448276","1.564102564","0.24137931","0.179487179","0.282758621","0.21025641","0.551724138","0.41025641","11.47540984","33.88429752","74.35897436","2.089268756","2.809706258","7.787274454","10.47254151","15.19468186","20.43422733","22.98195632","30.90676884"
"","","MZP2011UMB-MT01","","","","","","","","","MZP2011UMB-MT01-00004","","","","39","38","6","1","8","29","12","10","26","2","4","19.8","5","5","5","14.7","7","5","7","3","3.69","2.04","1.23","71.9","54.07","3.66","5.02","16.22","6","25.8","36","0.2","0.153846154","0.166666667","1.24137931","0.923076923","0.344827586","0.256410256","0.206896552","0.153846154","0.682758621","0.507692308","27.77777778","23.25581395","74.35897436","1.899335233","2.554278416","5.698005698","7.662835249","18.8034188","25.28735632","24.5014245","32.95019157"
"","","MZP2011UMB-MT01","","","","","","","","","MZP2011UMB-MT01-00005","","","","39","29","1","1","8","29","20","7","13","1.9","2.1","37.8","7","7","3","9.4","7","1","5","3","3.06","1.8","1.09","96.94","62.35","2.49","3.84","11.45","4","41.8","20","0.271428571","0.161538462","0.2","0.689655172","0.512820513","0.24137931","0.179487179","0.137931034","0.102564103","1.303448276","0.969230769","35","9.56937799","74.35897436","1.804368471","2.426564496","3.798670465","5.108556833","35.8974359","48.27586207","39.69610636","53.3844189"
"","","MZP2011UMB-MT01","","","","","","","","","MZP2011UMB-MT01-00006","","","","39","39","1","1","9","30","0","0","0","0","0","10","","","","","","","","","","","","","","","","","0","10","0","","","","0","0","0","0","0","0","0.333333333","0.256410256","","0","76.92307692","0","0","0","0","9.496676163","12.34567901","9.496676163","12.34567901"
"","","MZP2011UMB-MT01","","","","","","","","","MZP2011UMB-MT01-00007","","","","39","37","2","1","8","24","17","13","25","4.5","5.7","35","5","5","1","16.1","7","5","7","1","3.13","2.02","0.94","106.05","56.32","4.51","6.08","14.65","10.2","45.2","38","0.346153846","0.228","0.268421053","1.583333333","0.974358974","0.541666667","0.333333333","0.425","0.261538462","1.458333333","0.897435897","34.21052632","22.56637168","61.53846154","4.273504274","6.944444444","9.686609687","15.74074074","33.23836657","54.01234568","42.92497626","69.75308642"
"","","MZP2011UMB-MT01","","","","","","","","","MZP2011UMB-MT01-00008","","","","39","39","1","1","9","25","21","28","73","4.9","8.4","45.2","3","3","1","","7","1","7","3","","","","","","","","","13.3","58.5","101","0.175","0.115068493","0.131683168","4.04","2.58974359","1.12","0.717948718","0.532","0.341025641","1.808","1.158974359","27.72277228","22.73504274","64.1025641","4.65337132","7.259259259","12.6305793","19.7037037","42.92497626","66.96296296","55.55555556","86.66666667"
"","","MZP2011UMB-MT01","","","","","","","","","MZP2011UMB-MT01-00009","","","","39","39","1","1","8","39","35","74","145","9.6","8","37.8","5","3","3","21.1","7","1","7","5","3.15","1.53","1.1","107.7","67.71","1.93","3.46","6.22","17.6","55.4","219","0.12972973","0.055172414","0.080365297","5.615384615","5.615384615","1.897435897","1.897435897","0.451282051","0.451282051","0.969230769","0.969230769","33.78995434","31.76895307","100","9.116809117","9.116809117","16.71415005","16.71415005","35.8974359","35.8974359","52.61158594","52.61158594"
"","","MZP2011UMB-MT01","","","","","","","","","MZP2011UMB-MT01-00010","","","","39","36","1","1","9","27","0","0","0","0","0","9","","","","","","","","","","","","","","","","","0","9","0","","","","0","0","0","0","0","0","0.333333333","0.230769231","","0","69.23076923","0","0","0","0","8.547008547","12.34567901","8.547008547","12.34567901"
