"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2012UMB-AT05","","","","","","","","","MZP2012UMB-AT05-00033","","","","39","19","3","5","6","17","16","36","11","13","1.1","11.5","6","6","1","50.21","12.48","4.65","1.88","1.26","67.48","96.61","35.07","46.05","5.74","9.93","20.28","14.1","25.6","47","0.361111111","0.1","0.3","2.764705882","1.205128205","2.117647059","0.923076923","0.829411765","0.361538462","0.676470588","0.294871795","76.59574468","55.078125","43.58974359","24.85560645","3.50464051","12.34567901","28.32244009","13.39031339","30.71895425","10.92117759","25.05446623","3.328243599","7.635382374","24.31149098","55.77342048"
"","","MZP2012UMB-AT05","","","","","","","","","MZP2012UMB-AT05-00034","","","","39","23","4","2","7","23","19","57","37","8.8","1.8","30","6","4","1","","","","","","","","","","","","","10.6","40.6","94","0.154385965","0.048648649","0.112765957","4.086956522","2.41025641","2.47826087","1.461538462","0.460869565","0.271794872","1.304347826","0.769230769","60.63829787","26.10837438","58.97435897","","","8.357075024","14.17069243","10.06647673","17.06924316","28.49002849","48.30917874","","","38.55650522","65.3784219"
"","","MZP2012UMB-AT05","","","","","","","","","MZP2012UMB-AT05-00035","","","","39","24","1","1","8","24","24","54","38","10.5","1.7","18.5","6","6","1","50.4","14.28","2.85","1.61","1.23","122.09","63.61","22.86","57.38","8.23","12.57","2.27","12.2","30.7","92","0.194444444","0.044736842","0.132608696","3.833333333","2.358974359","2.25","1.384615385","0.508333333","0.312820513","0.770833333","0.474358974","58.69565217","39.73941368","61.53846154","28.33333333","3.456666667","9.971509972","16.2037037","11.58594492","18.82716049","17.5688509","28.54938272","3.282684394","5.33436214","29.15479582","47.37654321"
"","","MZP2012UMB-AT05","","","","","","","","","MZP2012UMB-AT05-00036","","","","39","36","3","2","7","20","14","61","30","14.5","1.8","19","5","5","1","50.35","10.58","3.66","1.56","1.09","112.48","61.02","26.29","53.52","7.71","11.18","8.94","16.3","35.3","91","0.237704918","0.06","0.179120879","4.55","2.333333333","3.05","1.564102564","0.815","0.417948718","0.95","0.487179487","67.03296703","46.17563739","51.28205128","21.01290963","3.42510427","13.77018044","26.85185185","15.47958215","30.18518519","18.04368471","35.18518519","3.252710608","6.342785685","33.52326686","65.37037037"
"","","MZP2012UMB-AT05","","","","","","","","","MZP2012UMB-AT05-00037","","","","39","21","2","3","6","19","19","37","17","13","0.6","17.5","6","5","2","50.04","12.25","4.33","1.62","1.18","54.72","74.67","6.26","47.43","10.65","15.84","6.27","13.6","31.1","54","0.351351351","0.035294118","0.251851852","2.842105263","1.384615385","1.947368421","0.948717949","0.715789474","0.348717949","0.921052632","0.448717949","68.51851852","43.72990354","48.71794872","24.48041567","3.329336531","12.34567901","25.3411306","12.91547958","26.51072125","16.61918329","34.11306043","3.161763087","6.489934758","29.53466287","60.62378168"
"","","MZP2012UMB-AT05","","","","","","","","","MZP2012UMB-AT05-00038","","","","39","29","4","1","9","17","17","57","19","20.9","1.6","58","6","6","1","50.44","13.4","3.13","1.54","1.03","63.3","70.46","9.07","51.35","11.66","17.08","1.39","22.5","80.5","76","0.366666667","0.084210526","0.296052632","4.470588235","1.948717949","3.352941176","1.461538462","1.323529412","0.576923077","3.411764706","1.487179487","75","27.95031056","43.58974359","26.56621729","5.97739889","19.84805318","45.53376906","21.36752137","49.01960784","55.08072175","126.3616558","5.676542156","13.02265553","76.44824311","175.3812636"
"","","MZP2012UMB-AT05","","","","","","","","","MZP2012UMB-AT05-00039","","","","39","25","6","4","7","25","14","34","25","5.4","0.8","19","6","6","1","","","","","","","","","","","","","6.2","25.2","59","0.158823529","0.032","0.105084746","2.36","1.512820513","1.36","0.871794872","0.248","0.158974359","0.76","0.487179487","57.62711864","24.6031746","64.1025641","","","5.128205128","8","5.887939221","9.185185185","18.04368471","28.14814815","","","23.93162393","37.33333333"
"","","MZP2012UMB-AT05","","","","","","","","","MZP2012UMB-AT05-00040","","","","39","25","1","3","7","25","25","37","16","10.2","1.5","18.5","6","5","1","50.66","11.41","2.85","1.4","0.95","85.65","80.99","3.98","51.04","8.97","13.46","10.18","11.7","30.2","53","0.275675676","0.09375","0.220754717","2.12","1.358974359","1.48","0.948717949","0.468","0.3","0.74","0.474358974","69.81132075","38.74172185","64.1025641","22.52270036","2.635155942","9.686609687","15.11111111","11.11111111","17.33333333","17.5688509","27.40740741","2.502522262","3.903934728","28.67996201","44.74074074"
"","","MZP2012UMB-AT05","","","","","","","","","MZP2012UMB-AT05-00041","","","","39","22","1","1","6","15","9","21","22","4","1.1","35","6","4","1","","","","","","","","","","","","","5.1","40.1","43","0.19047619","0.05","0.118604651","2.866666667","1.102564103","1.4","0.538461538","0.34","0.130769231","2.333333333","0.897435897","48.8372093","12.71820449","38.46153846","","","3.798670465","9.87654321","4.843304843","12.59259259","33.23836657","86.41975309","","","38.08167142","99.01234568"
"","","MZP2012UMB-AT05","","","","","","","","","MZP2012UMB-AT05-00042","","","","39","25","1","1","7","20","16","55","51","12.5","2.5","15","6","6","2","50.35","13.78","3.21","1.59","1.14","111.24","73.69","19.55","51.82","9.77","14.49","4.22","15","30","106","0.227272727","0.049019608","0.141509434","5.3","2.717948718","2.75","1.41025641","0.75","0.384615385","0.75","0.384615385","51.88679245","50","51.28205128","27.36842105","4.105263158","11.8708452","23.14814815","14.24501425","27.77777778","14.24501425","27.77777778","3.898635478","7.602339181","28.49002849","55.55555556"
"","","MZP2012UMB-AT05","","","","","","","","","MZP2012UMB-AT05-00043","","","","39","21","4","2","7","18","12","15","11","3.8","0.8","23","6","5","1","50.8","11.31","3.01","2.05","1.51","271.44","183.82","28.52","46.66","11.34","17.24","8.53","4.6","27.6","26","0.253333333","0.072727273","0.176923077","1.444444444","0.666666667","0.833333333","0.384615385","0.255555556","0.117948718","1.277777778","0.58974359","57.69230769","16.66666667","46.15384615","22.26377953","1.024133858","3.608736942","7.818930041","4.368471035","9.465020576","21.84235518","47.32510288","0.97258676","2.107271313","26.21082621","56.79012346"
"","","MZP2012UMB-AT05","","","","","","","","","MZP2012UMB-AT05-00044","","","","39","23","1","1","8","17","17","70","37","21","0.2","17.5","7","6","2","50.24","9.84","2.9","1.82","1.12","98.8","84.45","47.78","33.78","18.7","27.12","4.14","21.2","38.7","107","0.3","0.005405405","0.198130841","6.294117647","2.743589744","4.117647059","1.794871795","1.247058824","0.543589744","1.029411765","0.448717949","65.42056075","54.78036176","43.58974359","19.58598726","4.152229299","19.94301994","45.75163399","20.13295347","46.18736383","16.61918329","38.12636166","3.943237701","9.046251197","36.75213675","84.31372549"
"","","MZP2012UMB-AT05","","","","","","","","","MZP2012UMB-AT05-00045","","","","39","28","1","1","8","21","21","42","54","8.6","2.8","25","6","5","1","50.3","12.66","4.32","1.97","1.51","128.81","137.23","44","41.09","6.85","11.18","21.23","11.4","36.4","96","0.204761905","0.051851852","0.11875","4.571428571","2.461538462","2","1.076923077","0.542857143","0.292307692","1.19047619","0.641025641","43.75","31.31868132","53.84615385","25.16898608","2.869264414","8.1671415","15.1675485","10.82621083","20.10582011","23.74169041","44.09171076","2.724847496","5.060431064","34.56790123","64.19753086"
