"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root size estimating 1-9|CO_331:0000184","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","treatment_non_irrigation"
"","","MZP2017GUR-ST03","","","","","","","","","MZP2017GUR-ST03-00024","","","","90","55","55","20","47","17.5","10.1","47.5","3","3","27.6","75.1","67","0.875","0.214893617","0.411940299","1.218181818","0.744444444","0.363636364","0.222222222","0.501818182","0.306666667","0.863636364","0.527777778","29.85074627","36.75099867","61.11111111","7.201646091","11.78451178","11.35802469","18.58585859","19.5473251","31.98653199","30.90534979","50.57239057","1"
"","","MZP2017GUR-ST03","","","","","","","","","MZP2017GUR-ST03-00049","","","","90","60","60","55","80","24.6","14.9","28.9","5","3","39.5","68.4","135","0.447272727","0.18625","0.292592593","2.25","1.5","0.916666667","0.611111111","0.658333333","0.438888889","0.481666667","0.321111111","40.74074074","57.74853801","66.66666667","10.12345679","15.18518519","16.25514403","24.38271605","11.89300412","17.83950617","28.14814815","42.22222222","1"
"","","MZP2017GUR-ST03","","","","","","","","","MZP2017GUR-ST03-00006","","","","90","30","30","25","35","22.3","8.2","22.5","1","7","30.5","53","60","0.892","0.234285714","0.508333333","2","0.666666667","0.833333333","0.277777778","1.016666667","0.338888889","0.75","0.25","41.66666667","57.54716981","33.33333333","9.176954733","27.5308642","12.55144033","37.65432099","9.259259259","27.77777778","21.81069959","65.43209877","1"
"","","MZP2017GUR-ST03","","","","","","","","","MZP2017GUR-ST03-00035","","","","90","42","40","36","52","12.3","11.1","25.6","5","3","23.4","49","88","0.341666667","0.213461538","0.265909091","2.095238095","0.977777778","0.857142857","0.4","0.557142857","0.26","0.60952381","0.284444444","40.90909091","47.75510204","46.66666667","5.061728395","10.84656085","9.62962963","20.63492063","10.53497942","22.57495591","20.16460905","43.20987654","1"
"","","MZP2017GUR-ST03","","","","","","","","","MZP2017GUR-ST03-00025","","","","90","50","45","30","55","21.3","9.5","40.2","3","3","30.8","71","85","0.71","0.172727273","0.362352941","1.7","0.944444444","0.6","0.333333333","0.616","0.342222222","0.804","0.446666667","35.29411765","43.38028169","55.55555556","8.765432099","15.77777778","12.67489712","22.81481481","16.54320988","29.77777778","29.218107","52.59259259","1"
"","","MZP2017GUR-ST03","","","","","","","","","MZP2017GUR-ST03-00041","","","","90","70","70","72","95","22.1","14.6","50.2","3","3","36.7","86.9","167","0.306944444","0.153684211","0.219760479","2.385714286","1.855555556","1.028571429","0.8","0.524285714","0.407777778","0.717142857","0.557777778","43.11377246","42.23245109","77.77777778","9.094650206","11.69312169","15.10288066","19.41798942","20.65843621","26.56084656","35.76131687","45.97883598","1"
"","","MZP2017GUR-ST03","","","","","","","","","MZP2017GUR-ST03-00007","","","","90","40","35","35","59","20","12.9","40.2","3","5","32.9","73.1","94","0.571428571","0.218644068","0.35","2.35","1.044444444","0.875","0.388888889","0.8225","0.365555556","1.005","0.446666667","37.23404255","45.00683995","44.44444444","8.230452675","18.51851852","13.53909465","30.46296296","16.54320988","37.22222222","30.08230453","67.68518519","1"
"","","MZP2017GUR-ST03","","","","","","","","","MZP2017GUR-ST03-00055","","","","90","36","36","39","50","16.2","11.3","30.1","1","5","27.5","57.6","89","0.415384615","0.226","0.308988764","2.472222222","0.988888889","1.083333333","0.433333333","0.763888889","0.305555556","0.836111111","0.334444444","43.82022472","47.74305556","40","6.666666667","16.66666667","11.31687243","28.29218107","12.38683128","30.96707819","23.7037037","59.25925926","1"
"","","MZP2017GUR-ST03","","","","","","","","","MZP2017GUR-ST03-00011","","","","90","50","50","35","70","21.3","12.3","40.2","1","1","33.6","73.8","105","0.608571429","0.175714286","0.32","2.1","1.166666667","0.7","0.388888889","0.672","0.373333333","0.804","0.446666667","33.33333333","45.52845528","55.55555556","8.765432099","15.77777778","13.82716049","24.88888889","16.54320988","29.77777778","30.37037037","54.66666667","1"
"","","MZP2017GUR-ST03","","","","","","","","","MZP2017GUR-ST03-00040","","","","90","50","50","60","65","24","14.9","54.3","1","5","38.9","93.2","125","0.4","0.229230769","0.3112","2.5","1.388888889","1.2","0.666666667","0.778","0.432222222","1.086","0.603333333","48","41.73819742","55.55555556","9.87654321","17.77777778","16.00823045","28.81481481","22.34567901","40.22222222","38.35390947","69.03703704","1"
"","","MZP2017GUR-ST03","","","","","","","","","MZP2017GUR-ST03-00026","","","","90","49","41","25","49","13.5","10.1","24.6","3","5","23.6","48.2","74","0.54","0.206122449","0.318918919","1.510204082","0.822222222","0.510204082","0.277777778","0.481632653","0.262222222","0.502040816","0.273333333","33.78378378","48.9626556","54.44444444","5.555555556","10.20408163","9.711934156","17.83824641","10.12345679","18.59410431","19.83539095","36.43235072","1"
"","","MZP2017GUR-ST03","","","","","","","","","MZP2017GUR-ST03-00060","","","","90","40","40","40","43","11.3","8.6","38.9","1","3","19.9","58.8","83","0.2825","0.2","0.239759036","2.075","0.922222222","1","0.444444444","0.4975","0.221111111","0.9725","0.432222222","48.19277108","33.84353741","44.44444444","4.650205761","10.46296296","8.189300412","18.42592593","16.00823045","36.01851852","24.19753086","54.44444444","1"
"","","MZP2017GUR-ST03","","","","","","","","","MZP2017GUR-ST03-00031","","","","90","35","31","35","50","15.6","10.1","29.5","3","7","25.7","55.2","85","0.445714286","0.202","0.302352941","2.428571429","0.944444444","1","0.388888889","0.734285714","0.285555556","0.842857143","0.327777778","41.17647059","46.55797101","38.88888889","6.419753086","16.50793651","10.57613169","27.1957672","12.1399177","31.21693122","22.71604938","58.41269841","1"
"","","MZP2017GUR-ST03","","","","","","","","","MZP2017GUR-ST03-00052","","","","90","30","30","37","58","13.5","10.3","40.2","3","1","23.8","64","95","0.364864865","0.177586207","0.250526316","3.166666667","1.055555556","1.233333333","0.411111111","0.793333333","0.264444444","1.34","0.446666667","38.94736842","37.1875","33.33333333","5.555555556","16.66666667","9.794238683","29.38271605","16.54320988","49.62962963","26.33744856","79.01234568","1"
"","","MZP2017GUR-ST03","","","","","","","","","MZP2017GUR-ST03-00032","","","","90","78","70","35","71","29.7","11.3","65.1","3","3","41","106.1","106","0.848571429","0.15915493","0.386792453","1.358974359","1.177777778","0.448717949","0.388888889","0.525641026","0.455555556","0.834615385","0.723333333","33.01886792","38.64278982","86.66666667","12.22222222","14.1025641","16.87242798","19.46818613","26.79012346","30.91168091","43.66255144","50.37986705","1"
"","","MZP2017GUR-ST03","","","","","","","","","MZP2017GUR-ST03-00039","","","","90","55","50","45","80","30.4","12.3","50.1","1","5","42.7","92.8","125","0.675555556","0.15375","0.3416","2.272727273","1.388888889","0.818181818","0.5","0.776363636","0.474444444","0.910909091","0.556666667","36","46.01293103","61.11111111","12.51028807","20.47138047","17.57201646","28.75420875","20.61728395","33.73737374","38.18930041","62.49158249","1"
"","","MZP2017GUR-ST03","","","","","","","","","MZP2017GUR-ST03-00033","","","","90","70","60","29","45","18.5","10.5","41.2","1","3","29","70.2","74","0.637931034","0.233333333","0.391891892","1.057142857","0.822222222","0.414285714","0.322222222","0.414285714","0.322222222","0.588571429","0.457777778","39.18918919","41.31054131","77.77777778","7.613168724","9.788359788","11.93415638","15.34391534","16.95473251","21.7989418","28.88888889","37.14285714","1"
"","","MZP2017GUR-ST03","","","","","","","","","MZP2017GUR-ST03-00043","","","","90","60","60","50","72","25.3","14.5","41.2","7","3","39.8","81","122","0.506","0.201388889","0.326229508","2.033333333","1.355555556","0.833333333","0.555555556","0.663333333","0.442222222","0.686666667","0.457777778","40.98360656","49.13580247","66.66666667","10.41152263","15.61728395","16.37860082","24.56790123","16.95473251","25.43209877","33.33333333","50","1"
