"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root size estimating 1-9|CO_331:0000184","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","treatment_non_irrigation"
"","","MZP2017GUR-ST03","","","","","","","","","MZP2017GUR-ST03-00029","","","","90","40","40","30","72","18.9","10.5","36","1","3","29.4","65.4","102","0.63","0.145833333","0.288235294","2.55","1.133333333","0.75","0.333333333","0.735","0.326666667","0.9","0.4","29.41176471","44.95412844","44.44444444","7.777777778","17.5","12.09876543","27.22222222","14.81481481","33.33333333","26.91358025","60.55555556","1"
"","","MZP2017GUR-ST03","","","","","","","","","MZP2017GUR-ST03-00065","","","","90","50","48","46","70","12.1","12.3","47.8","1","5","24.4","72.2","116","0.263043478","0.175714286","0.210344828","2.32","1.288888889","0.92","0.511111111","0.488","0.271111111","0.956","0.531111111","39.65517241","33.79501385","55.55555556","4.979423868","8.962962963","10.04115226","18.07407407","19.67078189","35.40740741","29.71193416","53.48148148","1"
"","","MZP2017GUR-ST03","","","","","","","","","MZP2017GUR-ST03-00001","","","","90","73","72","34","70","28.1","13.2","41.2","1","1","41.3","82.5","104","0.826470588","0.188571429","0.397115385","1.424657534","1.155555556","0.465753425","0.377777778","0.565753425","0.458888889","0.564383562","0.457777778","32.69230769","50.06060606","81.11111111","11.56378601","14.25672248","16.99588477","20.95383054","16.95473251","20.90309488","33.95061728","41.85692542","1"
"","","MZP2017GUR-ST03","","","","","","","","","MZP2017GUR-ST03-00047","","","","90","40","40","40","50","13.5","14.3","50.1","5","3","27.8","77.9","90","0.3375","0.286","0.308888889","2.25","1","1","0.444444444","0.695","0.308888889","1.2525","0.556666667","44.44444444","35.68677792","44.44444444","5.555555556","12.5","11.44032922","25.74074074","20.61728395","46.38888889","32.05761317","72.12962963","1"
"","","MZP2017GUR-ST03","","","","","","","","","MZP2017GUR-ST03-00014","","","","90","40","38","25","40","18.5","6.5","15.6","3","5","25","40.6","65","0.74","0.1625","0.384615385","1.625","0.722222222","0.625","0.277777778","0.625","0.277777778","0.39","0.173333333","38.46153846","61.57635468","44.44444444","7.613168724","17.12962963","10.28806584","23.14814815","6.419753086","14.44444444","16.70781893","37.59259259","1"
"","","MZP2017GUR-ST03","","","","","","","","","MZP2017GUR-ST03-00038","","","","90","56","56","42","60","13.4","11.3","31.2","5","3","24.7","55.9","102","0.319047619","0.188333333","0.242156863","1.821428571","1.133333333","0.75","0.466666667","0.441071429","0.274444444","0.557142857","0.346666667","41.17647059","44.18604651","62.22222222","5.514403292","8.862433862","10.16460905","16.33597884","12.83950617","20.63492063","23.00411523","36.97089947","1"
"","","MZP2017GUR-ST03","","","","","","","","","MZP2017GUR-ST03-00002","","","","90","80","70","36","55","14.9","13.2","40.2","3","3","28.1","68.3","91","0.413888889","0.24","0.308791209","1.1375","1.011111111","0.45","0.4","0.35125","0.312222222","0.5025","0.446666667","39.56043956","41.1420205","88.88888889","6.131687243","6.898148148","11.56378601","13.00925926","16.54320988","18.61111111","28.10699588","31.62037037","1"
"","","MZP2017GUR-ST03","","","","","","","","","MZP2017GUR-ST03-00037","","","","90","40","39","35","62","14.6","12","42.3","1","3","26.6","68.9","97","0.417142857","0.193548387","0.274226804","2.425","1.077777778","0.875","0.388888889","0.665","0.295555556","1.0575","0.47","36.08247423","38.60667634","44.44444444","6.008230453","13.51851852","10.94650206","24.62962963","17.40740741","39.16666667","28.35390947","63.7962963","1"
"","","MZP2017GUR-ST03","","","","","","","","","MZP2017GUR-ST03-00015","","","","90","67","67","45","84","24.6","13.5","42.3","3","1","38.1","80.4","129","0.546666667","0.160714286","0.295348837","1.925373134","1.433333333","0.671641791","0.5","0.568656716","0.423333333","0.631343284","0.47","34.88372093","47.3880597","74.44444444","10.12345679","13.5986733","15.67901235","21.06135987","17.40740741","23.38308458","33.08641975","44.44444444","1"
"","","MZP2017GUR-ST03","","","","","","","","","MZP2017GUR-ST03-00048","","","","90","72","72","50","96","17.5","14","59.8","5","1","31.5","91.3","146","0.35","0.145833333","0.215753425","2.027777778","1.622222222","0.694444444","0.555555556","0.4375","0.35","0.830555556","0.664444444","34.24657534","34.50164294","80","7.201646091","9.002057613","12.96296296","16.2037037","24.6090535","30.76131687","37.57201646","46.96502058","1"
