"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root size estimating 1-9|CO_331:0000184","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2018GUR-ST01","","","","","","","","","MZP2018GUR-ST01-00028","","","","90","75","70","50","85","12.9","13","70.5","5","5","25.9","96.4","135","0.258","0.152941176","0.191851852","1.8","1.5","0.666666667","0.555555556","0.345333333","0.287777778","0.94","0.783333333","37.03703704","26.86721992","83.33333333","5.308641975","6.37037037","10.65843621","12.79012346","29.01234568","34.81481481","39.67078189","47.60493827"
"","","MZP2018GUR-ST01","","","","","","","","","MZP2018GUR-ST01-00037","","","","90","70","60","46","80","13","12","79.5","7","5","25","104.5","126","0.282608696","0.15","0.198412698","1.8","1.4","0.657142857","0.511111111","0.357142857","0.277777778","1.135714286","0.883333333","36.50793651","23.92344498","77.77777778","5.349794239","6.878306878","10.28806584","13.22751323","32.71604938","42.06349206","43.00411523","55.29100529"
"","","MZP2018GUR-ST01","","","","","","","","","MZP2018GUR-ST01-00002","","","","90","80","70","45","87","13.5","12.7","28.5","5","5","26.2","54.7","132","0.3","0.145977011","0.198484848","1.65","1.466666667","0.5625","0.5","0.3275","0.291111111","0.35625","0.316666667","34.09090909","47.8976234","88.88888889","5.555555556","6.25","10.781893","12.12962963","11.72839506","13.19444444","22.51028807","25.32407407"
"","","MZP2018GUR-ST01","","","","","","","","","MZP2018GUR-ST01-00057","","","","90","85","84","55","92","17.5","14.5","62.5","5","3","32","94.5","147","0.318181818","0.157608696","0.217687075","1.729411765","1.633333333","0.647058824","0.611111111","0.376470588","0.355555556","0.735294118","0.694444444","37.41496599","33.86243386","94.44444444","7.201646091","7.625272331","13.16872428","13.94335512","25.72016461","27.23311547","38.88888889","41.17647059"
"","","MZP2018GUR-ST01","","","","","","","","","MZP2018GUR-ST01-00025","","","","90","85","75","49","79","13.5","12.7","25.5","5","5","26.2","51.7","128","0.275510204","0.160759494","0.2046875","1.505882353","1.422222222","0.576470588","0.544444444","0.308235294","0.291111111","0.3","0.283333333","38.28125","50.67698259","94.44444444","5.555555556","5.882352941","10.781893","11.416122","10.49382716","11.11111111","21.27572016","22.52723312"
"","","MZP2018GUR-ST01","","","","","","","","","MZP2018GUR-ST01-00059","","","","90","78","72","55","92","16.5","13","50.1","5","5","29.5","79.6","147","0.3","0.141304348","0.200680272","1.884615385","1.633333333","0.705128205","0.611111111","0.378205128","0.327777778","0.642307692","0.556666667","37.41496599","37.06030151","86.66666667","6.790123457","7.834757835","12.1399177","14.00759734","20.61728395","23.78917379","32.75720165","37.79677113"
"","","MZP2018GUR-ST01","","","","","","","","","MZP2018GUR-ST01-00011","","","","90","75","70","51","92","13.9","12.5","47.5","5","3","26.4","73.9","143","0.27254902","0.135869565","0.184615385","1.906666667","1.588888889","0.68","0.566666667","0.352","0.293333333","0.633333333","0.527777778","35.66433566","35.72395129","83.33333333","5.720164609","6.864197531","10.86419753","13.03703704","19.5473251","23.45679012","30.41152263","36.49382716"
"","","MZP2018GUR-ST01","","","","","","","","","MZP2018GUR-ST01-00034","","","","90","85","80","51","109","18","13","81","3","5","31","112","160","0.352941176","0.119266055","0.19375","1.882352941","1.777777778","0.6","0.566666667","0.364705882","0.344444444","0.952941176","0.9","31.875","27.67857143","94.44444444","7.407407407","7.843137255","12.75720165","13.50762527","33.33333333","35.29411765","46.09053498","48.80174292"
"","","MZP2018GUR-ST01","","","","","","","","","MZP2018GUR-ST01-00022","","","","90","81","80","59","101","15.7","13.9","45.7","7","3","29.6","75.3","160","0.266101695","0.137623762","0.185","1.975308642","1.777777778","0.728395062","0.655555556","0.365432099","0.328888889","0.564197531","0.507777778","36.875","39.30942895","90","6.46090535","7.178783722","12.18106996","13.53452218","18.80658436","20.89620485","30.98765432","34.43072702"
"","","MZP2018GUR-ST01","","","","","","","","","MZP2018GUR-ST01-00044","","","","90","75","74","60","102","17.9","14.5","62.5","7","5","32.4","94.9","162","0.298333333","0.142156863","0.2","2.16","1.8","0.8","0.666666667","0.432","0.36","0.833333333","0.694444444","37.03703704","34.14120126","83.33333333","7.366255144","8.839506173","13.33333333","16","25.72016461","30.86419753","39.05349794","46.86419753"
"","","MZP2018GUR-ST01","","","","","","","","","MZP2018GUR-ST01-00024","","","","90","85","79","52","77","13","13.5","35","5","5","26.5","61.5","129","0.25","0.175324675","0.205426357","1.517647059","1.433333333","0.611764706","0.577777778","0.311764706","0.294444444","0.411764706","0.388888889","40.31007752","43.08943089","94.44444444","5.349794239","5.664488017","10.90534979","11.54684096","14.40329218","15.25054466","25.30864198","26.79738562"
