"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2011UMB-AT04","","","","","","","","","MZP2011UMB-AT04-00001","","","","39","25","1","1","7","24","23","25","12","6","0.3","28","8","7","2","50.1","12.2","3.51","1.73","1.14","121.51","105.68","23.12","54.09","6.4","9.41","8.04","6.3","34.3","37","0.24","0.025","0.17027027","1.541666667","0.948717949","1.041666667","0.641025641","0.2625","0.161538462","1.166666667","0.717948718","67.56756757","18.36734694","61.53846154","24.35129741","1.534131737","5.698005698","9.259259259","5.982905983","9.722222222","26.59069326","43.20987654","1.456915229","2.367487248","32.57359924","52.93209877"
"","","MZP2011UMB-AT04","","","","","","","","","MZP2011UMB-AT04-00002","","","","39","24","1","4","6","24","16","33","16","7","0.5","14","7","7","3","50.4","12.1","3.1","1.68","1.19","146.92","144","43.62","46.55","4.46","6.95","21.18","7.5","21.5","49","0.212121212","0.03125","0.153061224","2.041666667","1.256410256","1.375","0.846153846","0.3125","0.192307692","0.583333333","0.358974359","67.34693878","34.88372093","61.53846154","24.00793651","1.800595238","6.647673314","10.80246914","7.122507123","11.57407407","13.29534663","21.60493827","1.709966988","2.778696355","20.41785375","33.17901235"
"","","MZP2011UMB-AT04","","","","","","","","","MZP2011UMB-AT04-00003","","","","39","25","1","1","5","25","25","174","30","21","3","5","7","8","5","50","13.6","3.65","1.6","1.41","150.69","81.78","31.77","63.15","2.54","4.64","8.09","24","29","204","0.120689655","0.1","0.117647059","8.16","5.230769231","6.96","4.461538462","0.96","0.615384615","0.2","0.128205128","85.29411765","82.75862069","64.1025641","27.2","6.528","19.94301994","31.11111111","22.79202279","35.55555556","4.748338082","7.407407407","6.199430199","9.671111111","27.54036087","42.96296296"
"","","MZP2011UMB-AT04","","","","","","","","","MZP2011UMB-AT04-00004","","","","39","27","1","4","7","27","27","28","176","2.9","4","24","4","7","2","50.1","8.6","4.17","2.48","2.04","268.11","228.62","66.44","31.23","4.23","7.3","31.41","6.9","30.9","204","0.103571429","0.022727273","0.033823529","7.555555556","5.230769231","1.037037037","0.717948718","0.255555556","0.176923077","0.888888889","0.615384615","13.7254902","22.33009709","69.23076923","17.16566866","1.184431138","2.754036087","3.978052126","6.552706553","9.465020576","22.79202279","32.9218107","1.124815895","1.624734071","29.34472934","42.38683128"
"","","MZP2011UMB-AT04","","","","","","","","","MZP2011UMB-AT04-00005","","","","39","25","1","1","6","25","25","78","8","13","3","14","7","7","3","50.3","14.3","3.33","1.45","1.2","33.71","57.4","","62.89","3.49","5.6","6.88","16","30","86","0.166666667","0.375","0.186046512","3.44","2.205128205","3.12","2","0.64","0.41025641","0.56","0.358974359","90.69767442","53.33333333","64.1025641","28.42942346","4.548707753","12.34567901","19.25925926","15.19468186","23.7037037","13.29534663","20.74074074","4.31976045","6.738826301","28.49002849","44.44444444"
"","","MZP2011UMB-AT04","","","","","","","","","MZP2011UMB-AT04-00006","","","","39","28","3","3","7","22","22","83","36","23","2.2","14","7","7","5","50.1","15.3","2.76","1.07","1","35.57","49.75","","66.96","3.05","5.03","6.55","25.2","39.2","119","0.277108434","0.061111111","0.211764706","5.409090909","3.051282051","3.772727273","2.128205128","1.145454545","0.646153846","0.636363636","0.358974359","69.74789916","64.28571429","56.41025641","30.53892216","7.695808383","21.84235518","38.72053872","23.93162393","42.42424242","13.29534663","23.56902357","7.308460003","12.95590637","37.22697056","65.99326599"
"","","MZP2011UMB-AT04","","","","","","","","","MZP2011UMB-AT04-00007","","","","39","27","2","1","7","26","25","68","11","20","0.9","10","8","8","4","","","","","","","","","","","","","20.9","30.9","79","0.294117647","0.081818182","0.264556962","3.038461538","2.025641026","2.615384615","1.743589744","0.803846154","0.535897436","0.384615385","0.256410256","86.07594937","67.63754045","66.66666667","","","18.99335233","28.49002849","19.84805318","29.77207977","9.496676163","14.24501425","","","29.34472934","44.01709402"
"","","MZP2011UMB-AT04","","","","","","","","","MZP2011UMB-AT04-00008","","","","39","25","1","1","6","20","20","92","28","25","2","13","8","8","4","50.7","11.7","2.85","1.73","1.24","91.84","110.74","27.95","50.49","7.05","10.11","9.56","27","40","120","0.27173913","0.071428571","0.225","6","3.076923077","4.6","2.358974359","1.35","0.692307692","0.65","0.333333333","76.66666667","67.5","51.28205128","23.07692308","6.230769231","23.74169041","46.2962963","25.64102564","50","12.34567901","24.07407407","5.917159763","11.53846154","37.98670465","74.07407407"
"","","MZP2011UMB-AT04","","","","","","","","","MZP2011UMB-AT04-00009","","","","39","27","1","1","7","27","24","66","56","9","2","15","6","8","2","50.3","9.2","2.76","1.98","1.48","260.79","161.73","54.18","42.13","6.81","10.06","17.49","11","26","122","0.136363636","0.035714286","0.090163934","4.518518519","3.128205128","2.444444444","1.692307692","0.407407407","0.282051282","0.555555556","0.384615385","54.09836066","42.30769231","69.23076923","18.29025845","2.011928429","8.547008547","12.34567901","10.44634378","15.08916324","14.24501425","20.57613169","1.910663276","2.759846954","24.69135802","35.66529492"
"","","MZP2011UMB-AT04","","","","","","","","","MZP2011UMB-AT04-00010","","","","39","30","1","1","7","30","30","114","234","16","9.4","15","6","8","5","50.5","9.3","4.71","2.35","1.78","256.25","196.27","57.49","34.18","3.56","6.28","32.11","25.4","40.4","348","0.140350877","0.04017094","0.072988506","11.6","8.923076923","3.8","2.923076923","0.846666667","0.651282051","0.5","0.384615385","32.75862069","62.87128713","76.92307692","18.41584158","4.677623762","15.19468186","19.75308642","24.12155745","31.35802469","14.24501425","18.51851852","4.442187809","5.774844151","38.3665717","49.87654321"
