"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of commercial storage roots per plant harvested|CO_331:2000036","Storage roots yield in kg per plant harvested|CO_331:0000681","Vine weight in kg per plant harvested|CO_331:0000990","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2019UMB-PT03","","","","","","","","","MZP2019UMB-PT03-00560","","","","12","3","3","3","10","5","2.2","0.2","3.4","1","3","7","2.4","5.8","15","0.22","0.04","0.16","5","3.333333333","0.8","1.133333333","66.66666667","41.37931034","6.790123457","7.407407407","10.49382716","17.90123457","1.25","0.833333333","0.2","0.283333333","25","27.16049383","29.62962963","41.97530864","71.60493827"
"","","MZP2019UMB-PT03","","","","","","","","","MZP2019UMB-PT03-00561","","","","12","3","3","3","6","1","1.8","0.03","2","1","1","3","1.83","3.83","7","0.3","0.03","0.261428571","2.333333333","2","0.61","0.666666667","85.71428571","47.78067885","5.555555556","5.648148148","6.172839506","11.82098765","0.583333333","0.5","0.1525","0.166666667","25","22.22222222","22.59259259","24.69135802","47.28395062"
"","","MZP2019UMB-PT03","","","","","","","","","MZP2019UMB-PT03-00562","","","","12","3","3","3","7","4","3.8","0.1","2.2","1","5","5","3.9","6.1","11","0.542857143","0.025","0.354545455","3.666666667","2.333333333","1.3","0.733333333","63.63636364","63.93442623","11.72839506","12.03703704","6.790123457","18.82716049","0.916666667","0.583333333","0.325","0.183333333","25","46.91358025","48.14814815","27.16049383","75.30864198"
"","","MZP2019UMB-PT03","","","","","","","","","MZP2019UMB-PT03-00563","","","","12","4","4","4","6","5","2.2","0.4","1.8","1","3","5","2.6","4.4","11","0.366666667","0.08","0.236363636","2.75","1.5","0.65","0.45","54.54545455","59.09090909","6.790123457","8.024691358","5.555555556","13.58024691","0.916666667","0.5","0.216666667","0.15","33.33333333","20.37037037","24.07407407","16.66666667","40.74074074"
"","","MZP2019UMB-PT03","","","","","","","","","MZP2019UMB-PT03-00564","","","","12","4","4","4","17","6","8.6","0.2","7","1","3","3","8.8","15.8","23","0.505882353","0.033333333","0.382608696","5.75","4.25","2.2","1.75","73.91304348","55.69620253","26.54320988","27.16049383","21.60493827","48.7654321","1.916666667","1.416666667","0.733333333","0.583333333","33.33333333","79.62962963","81.48148148","64.81481481","146.2962963"
"","","MZP2019UMB-PT03","","","","","","","","","MZP2019UMB-PT03-00565","","","","12","3","3","2","3","0","1","0","1.6","3","3","3","1","2.6","3","0.333333333","","0.333333333","1","1","0.333333333","0.533333333","100","38.46153846","3.086419753","3.086419753","4.938271605","8.024691358","0.25","0.25","0.083333333","0.133333333","25","12.34567901","12.34567901","19.75308642","32.09876543"
"","","MZP2019UMB-PT03","","","","","","","","","MZP2019UMB-PT03-00566","","","","12","4","4","4","4","4","1.8","0.3","3","1","1","3","2.1","5.1","8","0.45","0.075","0.2625","2","1","0.525","0.75","50","41.17647059","5.555555556","6.481481481","9.259259259","15.74074074","0.666666667","0.333333333","0.175","0.25","33.33333333","16.66666667","19.44444444","27.77777778","47.22222222"
"","","MZP2019UMB-PT03","","","","","","","","","MZP2019UMB-PT03-00567","","","","12","3","3","3","2","8","0.6","0.5","1.6","1","9","9","1.1","2.7","10","0.3","0.0625","0.11","3.333333333","0.666666667","0.366666667","0.533333333","20","40.74074074","1.851851852","3.395061728","4.938271605","8.333333333","0.833333333","0.166666667","0.091666667","0.133333333","25","7.407407407","13.58024691","19.75308642","33.33333333"
"","","MZP2019UMB-PT03","","","","","","","","","MZP2019UMB-PT03-00568","","","","12","3","3","3","12","2","1.4","0.1","4.8","1","5","7","1.5","6.3","14","0.116666667","0.05","0.107142857","4.666666667","4","0.5","1.6","85.71428571","23.80952381","4.320987654","4.62962963","14.81481481","19.44444444","1.166666667","1","0.125","0.4","25","17.28395062","18.51851852","59.25925926","77.77777778"
"","","MZP2019UMB-PT03","","","","","","","","","MZP2019UMB-PT03-00569","","","","12","3","3","2","4","7","0.6","0.3","1","1","5","5","0.9","1.9","11","0.15","0.042857143","0.081818182","3.666666667","1.333333333","0.3","0.333333333","36.36363636","47.36842105","1.851851852","2.777777778","3.086419753","5.864197531","0.916666667","0.333333333","0.075","0.083333333","25","7.407407407","11.11111111","12.34567901","23.45679012"
"","","MZP2019UMB-PT03","","","","","","","","","MZP2019UMB-PT03-00570","","","","12","3","3","2","0","3","0","0.2","3","1","9","9","0.2","3.2","3","","0.066666667","0.066666667","1","0","0.066666667","1","0","6.25","0","0.617283951","9.259259259","9.87654321","0.25","0","0.016666667","0.25","25","0","2.469135802","37.03703704","39.50617284"
"","","MZP2019UMB-PT03","","","","","","","","","MZP2019UMB-PT03-00571","","","","12","3","3","3","10","11","2.4","0.4","3.6","1","3","5","2.8","6.4","21","0.24","0.036363636","0.133333333","7","3.333333333","0.933333333","1.2","47.61904762","43.75","7.407407407","8.641975309","11.11111111","19.75308642","1.75","0.833333333","0.233333333","0.3","25","29.62962963","34.56790123","44.44444444","79.01234568"
"","","MZP2019UMB-PT03","","","","","","","","","MZP2019UMB-PT03-00572","","","","12","3","3","3","10","21","1.2","0.6","1.6","1","5","3","1.8","3.4","31","0.12","0.028571429","0.058064516","10.33333333","3.333333333","0.6","0.533333333","32.25806452","52.94117647","3.703703704","5.555555556","4.938271605","10.49382716","2.583333333","0.833333333","0.15","0.133333333","25","14.81481481","22.22222222","19.75308642","41.97530864"
"","","MZP2019UMB-PT03","","","","","","","","","MZP2019UMB-PT03-00573","","","","12","3","3","2","1","6","0.1","0.3","5.4","1","9","9","0.4","5.8","7","0.1","0.05","0.057142857","2.333333333","0.333333333","0.133333333","1.8","14.28571429","6.896551724","0.308641975","1.234567901","16.66666667","17.90123457","0.583333333","0.083333333","0.033333333","0.45","25","1.234567901","4.938271605","66.66666667","71.60493827"
"","","MZP2019UMB-PT03","","","","","","","","","MZP2019UMB-PT03-00574","","","","12","4","4","4","17","16","6.2","0.6","8.2","1","5","3","6.8","15","33","0.364705882","0.0375","0.206060606","8.25","4.25","1.7","2.05","51.51515152","45.33333333","19.13580247","20.98765432","25.30864198","46.2962963","2.75","1.416666667","0.566666667","0.683333333","33.33333333","57.40740741","62.96296296","75.92592593","138.8888889"
"","","MZP2019UMB-PT03","","","","","","","","","MZP2019UMB-PT03-00575","","","","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","MZP2019UMB-PT03","","","","","","","","","MZP2019UMB-PT03-00576","","","","12","2","2","2","1","6","0.4","1.3","4.4","1","7","3","1.7","6.1","7","0.4","0.216666667","0.242857143","3.5","0.5","0.85","2.2","14.28571429","27.86885246","1.234567901","5.24691358","13.58024691","18.82716049","0.583333333","0.083333333","0.141666667","0.366666667","16.66666667","7.407407407","31.48148148","81.48148148","112.962963"
"","","MZP2019UMB-PT03","","","","","","","","","MZP2019UMB-PT03-00577","","","","12","4","4","4","12","14","4","1.2","4.8","1","3","3","5.2","10","26","0.333333333","0.085714286","0.2","6.5","3","1.3","1.2","46.15384615","52","12.34567901","16.04938272","14.81481481","30.86419753","2.166666667","1","0.433333333","0.4","33.33333333","37.03703704","48.14814815","44.44444444","92.59259259"
"","","MZP2019UMB-PT03","","","","","","","","","MZP2019UMB-PT03-00578","","","","12","3","3","3","16","0","2.5","0","2","1","3","5","2.5","4.5","16","0.15625","","0.15625","5.333333333","5.333333333","0.833333333","0.666666667","100","55.55555556","7.716049383","7.716049383","6.172839506","13.88888889","1.333333333","1.333333333","0.208333333","0.166666667","25","30.86419753","30.86419753","24.69135802","55.55555556"
"","","MZP2019UMB-PT03","","","","","","","","","MZP2019UMB-PT03-00579","","","","12","3","3","3","6","9","2.8","0.4","4.8","1","3","7","3.2","8","15","0.466666667","0.044444444","0.213333333","5","2","1.066666667","1.6","40","40","8.641975309","9.87654321","14.81481481","24.69135802","1.25","0.5","0.266666667","0.4","25","34.56790123","39.50617284","59.25925926","98.7654321"
"","","MZP2019UMB-PT03","","","","","","","","","MZP2019UMB-PT03-00580","","","","12","4","4","4","13","0","4.8","0","9.4","3","3","5","4.8","14.2","13","0.369230769","","0.369230769","3.25","3.25","1.2","2.35","100","33.8028169","14.81481481","14.81481481","29.01234568","43.82716049","1.083333333","1.083333333","0.4","0.783333333","33.33333333","44.44444444","44.44444444","87.03703704","131.4814815"
"","","MZP2019UMB-PT03","","","","","","","","","MZP2019UMB-PT03-00581","","","","12","1","1","1","0","3","0","0.02","0.2","1","9","9","0.02","0.22","3","","0.006666667","0.006666667","3","0","0.02","0.2","0","9.090909091","0","0.061728395","0.617283951","0.679012346","0.25","0","0.001666667","0.016666667","8.333333333","0","0.740740741","7.407407407","8.148148148"
"","","MZP2019UMB-PT03","","","","","","","","","MZP2019UMB-PT03-00582","","","","12","4","4","4","28","7","5.6","0.2","4.2","3","3","5","5.8","10","35","0.2","0.028571429","0.165714286","8.75","7","1.45","1.05","80","58","17.28395062","17.90123457","12.96296296","30.86419753","2.916666667","2.333333333","0.483333333","0.35","33.33333333","51.85185185","53.7037037","38.88888889","92.59259259"
"","","MZP2019UMB-PT03","","","","","","","","","MZP2019UMB-PT03-00583","","","","12","4","4","4","27","0","7.6","0","6.4","3","3","5","7.6","14","27","0.281481481","","0.281481481","6.75","6.75","1.9","1.6","100","54.28571429","23.45679012","23.45679012","19.75308642","43.20987654","2.25","2.25","0.633333333","0.533333333","33.33333333","70.37037037","70.37037037","59.25925926","129.6296296"
"","","MZP2019UMB-PT03","","","","","","","","","MZP2019UMB-PT03-00584","","","","12","5","5","5","20","4","5.6","0.2","4.4","1","3","3","5.8","10.2","24","0.28","0.05","0.241666667","4.8","4","1.16","0.88","83.33333333","56.8627451","17.28395062","17.90123457","13.58024691","31.48148148","2","1.666666667","0.483333333","0.366666667","41.66666667","41.48148148","42.96296296","32.59259259","75.55555556"
"","","MZP2019UMB-PT03","","","","","","","","","MZP2019UMB-PT03-00585","","","","12","5","5","4","8","1","3","0.1","6","3","3","7","3.1","9.1","9","0.375","0.1","0.344444444","1.8","1.6","0.62","1.2","88.88888889","34.06593407","9.259259259","9.567901235","18.51851852","28.08641975","0.75","0.666666667","0.258333333","0.5","41.66666667","22.22222222","22.96296296","44.44444444","67.40740741"
"","","MZP2019UMB-PT03","","","","","","","","","MZP2019UMB-PT03-00586","","","","12","5","5","5","22","4","4.2","1.3","4","1","3","3","5.5","9.5","26","0.190909091","0.325","0.211538462","5.2","4.4","1.1","0.8","84.61538462","57.89473684","12.96296296","16.97530864","12.34567901","29.32098765","2.166666667","1.833333333","0.458333333","0.333333333","41.66666667","31.11111111","40.74074074","29.62962963","70.37037037"
"","","MZP2019UMB-PT03","","","","","","","","","MZP2019UMB-PT03-00587","","","","12","4","4","3","9","4","3.2","1.2","2","1","5","7","4.4","6.4","13","0.355555556","0.3","0.338461538","3.25","2.25","1.1","0.5","69.23076923","68.75","9.87654321","13.58024691","6.172839506","19.75308642","1.083333333","0.75","0.366666667","0.166666667","33.33333333","29.62962963","40.74074074","18.51851852","59.25925926"
"","","MZP2019UMB-PT03","","","","","","","","","MZP2019UMB-PT03-00588","","","","12","6","6","5","11","7","2","0.3","4.8","1","5","3","2.3","7.1","18","0.181818182","0.042857143","0.127777778","3","1.833333333","0.383333333","0.8","61.11111111","32.3943662","6.172839506","7.098765432","14.81481481","21.91358025","1.5","0.916666667","0.191666667","0.4","50","12.34567901","14.19753086","29.62962963","43.82716049"
"","","MZP2019UMB-PT03","","","","","","","","","MZP2019UMB-PT03-00589","","","","12","2","2","2","13","2","4.2","0.2","2","1","3","3","4.4","6.4","15","0.323076923","0.1","0.293333333","7.5","6.5","2.2","1","86.66666667","68.75","12.96296296","13.58024691","6.172839506","19.75308642","1.25","1.083333333","0.366666667","0.166666667","16.66666667","77.77777778","81.48148148","37.03703704","118.5185185"
"","","MZP2019UMB-PT03","","","","","","","","","MZP2019UMB-PT03-00590","","","","12","3","3","2","8","6","2.2","0.5","3.2","3","3","5","2.7","5.9","14","0.275","0.083333333","0.192857143","4.666666667","2.666666667","0.9","1.066666667","57.14285714","45.76271186","6.790123457","8.333333333","9.87654321","18.20987654","1.166666667","0.666666667","0.225","0.266666667","25","27.16049383","33.33333333","39.50617284","72.83950617"
