"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Storage root texture in boiled samples estimating 1-9 by Gruneberg|CO_331:0000265","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of total carotenoids in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000290"," Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2012UMB-AT06","","","","","","","","","MZP2012UMB-AT06-00035","","","","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","MZP2012UMB-AT06","","","","","","","","","MZP2012UMB-AT06-00036","","","","26","20","1","1","6","14","14","51","9","15","2","20","3","2","1","50.9","14.7","1","9","9","1","4.2","1.95","1.37","28.9177475","10.5","60.61","4.16","6.59","6.96","17","37","60","0.294117647","0.222222222","0.283333333","4.285714286","2.307692308","3.642857143","1.961538462","1.214285714","0.653846154","1.428571429","0.769230769","85","45.94594595","53.84615385","28.88015717","4.909626719","21.36752137","39.68253968","24.21652422","44.97354497","28.49002849","52.91005291","6.993770255","12.98843047","52.70655271","97.88359788"
"","","MZP2012UMB-AT06","","","","","","","","","MZP2012UMB-AT06-00037","","","","26","1","1","1","3","1","1","1","1","1.8","0.5","7","7","9","1","50.8","11","3","5","3","5","5.44","2.66","1.83","54.0793114","14.37","46.52","4.97","7.21","15.17","2.3","9.3","2","1.8","0.5","1.15","2","0.076923077","1","0.038461538","2.3","0.088461538","7","0.269230769","50","24.7311828","3.846153846","21.65354331","0.498031496","2.564102564","66.66666667","3.276353276","85.18518519","9.971509972","259.2592593","0.709446576","18.44561097","13.24786325","344.4444444"
"","","MZP2012UMB-AT06","","","","","","","","","MZP2012UMB-AT06-00038","","","","26","16","1","1","6","7","5","9","3","3.5","1.2","30","2","2","1","50.8","14.6","3","9","9","1","4.24","1.71","1.18","26.3840637","7.76","62.32","3.4","5.28","10","4.7","34.7","12","0.388888889","0.4","0.391666667","1.714285714","0.461538462","1.285714286","0.346153846","0.671428571","0.180769231","4.285714286","1.153846154","75","13.54466859","26.92307692","28.74015748","1.350787402","4.985754986","18.51851852","6.695156695","24.86772487","42.73504274","158.7301587","1.924198578","7.147023289","49.43019943","183.5978836"
"","","MZP2012UMB-AT06","","","","","","","","","MZP2012UMB-AT06-00039","","","","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","MZP2012UMB-AT06","","","","","","","","","MZP2012UMB-AT06-00040","","","","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","MZP2012UMB-AT06","","","","","","","","","MZP2012UMB-AT06-00041","","","","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","MZP2012UMB-AT06","","","","","","","","","MZP2012UMB-AT06-00042","","","","26","24","1","1","6","11","11","17","17","6","6.5","13","4","3","1","50.4","13.8","1","7","9","1","4.3","1.85","1.22","32.0829468","4.61","58.11","4.37","6.68","10","12.5","25.5","34","0.352941176","0.382352941","0.367647059","3.090909091","1.307692308","1.545454545","0.653846154","1.136363636","0.480769231","1.181818182","0.5","50","49.01960784","42.30769231","27.38095238","3.422619048","8.547008547","20.2020202","17.80626781","42.08754209","18.51851852","43.77104377","4.875525709","11.52396986","36.32478632","85.85858586"
"","","MZP2012UMB-AT06","","","","","","","","","MZP2012UMB-AT06-00043","","","","26","18","1","1","6","15","15","22","40","8.5","5","25","4","3","1","50.3","12.4","3","9","9","1","2.58","1.45","0.81","31.6321068","12.39","55.12","6.28","9.01","12.47","13.5","38.5","62","0.386363636","0.125","0.217741935","4.133333333","2.384615385","1.466666667","0.846153846","0.9","0.519230769","1.666666667","0.961538462","35.48387097","35.06493506","57.69230769","24.65208748","3.328031809","12.10826211","20.98765432","19.23076923","33.33333333","35.61253561","61.72839506","4.740786053","8.217362492","54.84330484","95.0617284"
"","","MZP2012UMB-AT06","","","","","","","","","MZP2012UMB-AT06-00044","","","","26","20","1","3","7","17","17","35","24","11","4.2","25","5","4","2","50.8","13.6","1","5","9","3","5.26","1.82","1.2","64.6812363","","60.5","3.7","5.55","7.34","15.2","40.2","59","0.314285714","0.175","0.257627119","3.470588235","2.269230769","2.058823529","1.346153846","0.894117647","0.584615385","1.470588235","0.961538462","59.3220339","37.81094527","65.38461538","26.77165354","4.069291339","15.66951567","23.96514161","21.65242165","33.11546841","35.61253561","54.46623094","5.796711309","8.865558472","57.26495726","87.58169935"
