"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Weight of vines per NET plot in kg|CO_331:0000227","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root dry matter content computing percent|CO_331:0000297","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Content of total sugars estimating 1-9|CO_331:0000766","Content of starch in raw storage roots estimating 1-9|CO_331:0001055","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2010UMB-AT05","","","","","","","","","MZP2010UMB-AT05-00001","","","","39","29","1","1","8","19.5","11","8","7","8","1.4","2","3","3","4","","","","","","","3.4","22.9","15","0.2","0.25","0.226666667","1.363636364","0.384615385","0.636363636","0.179487179","0.309090909","0.087179487","1.772727273","0.5","46.66666667","14.84716157","28.20512821","","1.329534663","4.713804714","3.228869896","11.44781145","18.51851852","65.65656566","","","21.74738841","77.1043771"
"","","MZP2010UMB-AT05","","","","","","","","","MZP2010UMB-AT05-00002","","","","39","36","1","1","8","19","25","20","120","70","10","4.5","4","5","4","30.02","10.5","5","2","3","4","14.5","33.5","190","0.083333333","0.064285714","0.076315789","7.6","4.871794872","4.8","3.076923077","0.58","0.371794872","0.76","0.487179487","63.15789474","43.28358209","64.1025641","4.3529","9.496676163","14.81481481","13.77018044","21.48148148","18.04368471","28.14814815","4.133808167","6.448740741","31.81386515","49.62962963"
"","","MZP2010UMB-AT05","","","","","","","","","MZP2010UMB-AT05-00003","","","","39","38","1","1","9","9","23","21","95","32","15","4.5","4","4","4","30.45","7.76","5","2","4","4","19.5","28.5","127","0.157894737","0.140625","0.153543307","5.52173913","3.256410256","4.130434783","2.435897436","0.847826087","0.5","0.391304348","0.230769231","74.80314961","68.42105263","58.97435897","5.93775","14.24501425","24.15458937","18.51851852","31.40096618","8.547008547","14.49275362","5.638888889","9.561594203","27.06552707","45.89371981"
"","","MZP2010UMB-AT05","","","","","","","","","MZP2010UMB-AT05-00004","","","","39","34","1","1","9","6.5","14","12","9","58","1.2","5.5","3","3","3","30.33","","5","2","4","4","6.7","13.2","67","0.133333333","0.094827586","0.1","4.785714286","1.717948718","0.642857143","0.230769231","0.478571429","0.171794872","0.464285714","0.166666667","13.43283582","50.75757576","35.8974359","2.03211","1.13960114","3.174603175","6.362773029","17.72486772","6.172839506","17.1957672","1.92982906","5.375952381","12.53561254","34.92063492"
"","","MZP2010UMB-AT05","","","","","","","","","MZP2010UMB-AT05-00005","","","","39","37","1","1","8","16","15","10","22","29","1.5","4","3","4","4","30.43","14.37","5","2","3","4","5.5","21.5","51","0.068181818","0.137931034","0.107843137","3.4","1.307692308","1.466666667","0.564102564","0.366666667","0.141025641","1.066666667","0.41025641","43.1372549","25.58139535","38.46153846","1.67365","1.424501425","3.703703704","5.22317189","13.58024691","15.19468186","39.50617284","1.589411206","4.132469136","20.41785375","53.08641975"
"","","MZP2010UMB-AT05","","","","","","","","","MZP2010UMB-AT05-00006","","","","39","36","1","1","8","17","15","9","23","25","5","2","4","4","4","30.66","7.76","4","2","4","4","7","24","48","0.217391304","0.08","0.145833333","3.2","1.230769231","1.533333333","0.58974359","0.466666667","0.179487179","1.133333333","0.435897436","47.91666667","29.16666667","38.46153846","2.1462","4.748338082","12.34567901","6.647673314","17.28395062","16.14434948","41.97530864","2.038176638","5.299259259","22.79202279","59.25925926"
"","","MZP2010UMB-AT05","","","","","","","","","MZP2010UMB-AT05-00007","","","","39","35","1","1","7","25","17","6","23","19","4.5","1.5","4","4","4","30.12","14.37","5","2","4","4","6","31","42","0.195652174","0.078947368","0.142857143","2.470588235","1.076923077","1.352941176","0.58974359","0.352941176","0.153846154","1.470588235","0.641025641","54.76190476","19.35483871","43.58974359","1.8072","4.273504274","9.803921569","5.698005698","13.07189542","23.74169041","54.46623094","1.716239316","3.937254902","29.43969611","67.53812636"
"","","MZP2010UMB-AT05","","","","","","","","","MZP2010UMB-AT05-00008","","","","39","35","1","1","8","28","16","8","20","27","3","2","3","3","4","30.15","10.5","5","2","4","4","5","33","47","0.15","0.074074074","0.106382979","2.9375","1.205128205","1.25","0.512820513","0.3125","0.128205128","1.75","0.717948718","42.55319149","15.15151515","41.02564103","1.5075","2.849002849","6.944444444","4.748338082","11.57407407","26.59069326","64.81481481","1.431623932","3.489583333","31.33903134","76.38888889"
"","","MZP2010UMB-AT05","","","","","","","","","MZP2010UMB-AT05-00009","","","","39","37","1","1","9","17","10","3","0","16","0","2","2","2","4","30.44","","","","","","2","19","16","","0.125","0.125","1.6","0.41025641","0","0","0.2","0.051282051","1.7","0.435897436","0","10.52631579","25.64102564","0.6088","0","0","1.899335233","7.407407407","16.14434948","62.96296296","0.578157645","2.254814815","18.04368471","70.37037037"
"","","MZP2010UMB-AT05","","","","","","","","","MZP2010UMB-AT05-00010","","","","39","37","1","1","9","13","13","5","9","14","1.9","1","3","3","4","30.57","7.76","2","2","5","4","2.9","15.9","23","0.211111111","0.071428571","0.126086957","1.769230769","0.58974359","0.692307692","0.230769231","0.223076923","0.074358974","1","0.333333333","39.13043478","18.23899371","33.33333333","0.88653","1.804368471","5.413105413","2.754036087","8.262108262","12.34567901","37.03703704","0.841908832","2.525726496","15.0997151","45.2991453"
