"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root size estimating 1-9|CO_331:0000184","Storage root dry matter content computing percent|CO_331:0000297","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","treatment_non_irrigation"
"","","MZP2017GUR-ST01","","","","","","","","","MZP2017GUR-ST01-00033","","","","90","80","80","40","95","23.5","13.5","50.2","3","1","32.29","1.68","55.41","0.9","18.54","37","87.2","135","0.5875","0.142105263","0.274074074","1.6875","1.5","0.5","0.444444444","0.4625","0.411111111","0.6275","0.557777778","29.62962963","42.43119266","88.88888889","11.9473","9.670781893","10.87962963","15.22633745","17.12962963","20.65843621","23.24074074","4.916584362","5.531157407","35.88477366","40.37037037","1"
"","","MZP2017GUR-ST01","","","","","","","","","MZP2017GUR-ST01-00042","","","","90","70","70","50","100","23.5","14.6","67.8","5","5","28.94","1.84","58.21","1.07","18.6","38.1","105.9","150","0.47","0.146","0.254","2.142857143","1.666666667","0.714285714","0.555555556","0.544285714","0.423333333","0.968571429","0.753333333","33.33333333","35.97733711","77.77777778","11.02614","9.670781893","12.43386243","15.67901235","20.15873016","27.90123457","35.87301587","4.537506173","5.833936508","43.58024691","56.03174603","1"
"","","MZP2017GUR-ST01","","","","","","","","","MZP2017GUR-ST01-00012","","","","90","78","70","50","101","29.5","13.2","70.2","1","1","26.72","2.25","53.38","1.35","24.07","42.7","112.9","151","0.59","0.130693069","0.282781457","1.935897436","1.677777778","0.641025641","0.555555556","0.547435897","0.474444444","0.9","0.78","33.11258278","37.8210806","86.66666667","11.40944","12.1399177","14.00759734","17.57201646","20.27540361","28.88888889","33.33333333","4.695242798","5.417587844","46.46090535","53.60873694","1"
"","","MZP2017GUR-ST01","","","","","","","","","MZP2017GUR-ST01-00043","","","","90","65","65","47","95","28.9","12.4","35.6","7","3","26.21","2.06","51.32","1.04","24.07","41.3","76.9","142","0.614893617","0.130526316","0.29084507","2.184615385","1.577777778","0.723076923","0.522222222","0.635384615","0.458888889","0.547692308","0.395555556","33.09859155","53.70611183","72.22222222","10.82473","11.89300412","16.46723647","16.99588477","23.53276353","14.65020576","20.28490028","4.454621399","6.167937322","31.64609053","43.81766382","1"
"","","MZP2017GUR-ST01","","","","","","","","","MZP2017GUR-ST01-00011","","","","90","65","65","35","82","24.6","11.3","50.3","1","5","","","","","","35.9","86.2","117","0.702857143","0.137804878","0.306837607","1.8","1.3","0.538461538","0.388888889","0.552307692","0.398888889","0.773846154","0.558888889","29.91452991","41.64733179","72.22222222","","10.12345679","14.01709402","14.77366255","20.45584046","20.69958848","28.66096866","","","35.47325103","49.11680912","1"
"","","MZP2017GUR-ST01","","","","","","","","","MZP2017GUR-ST01-00063","","","","90","50","50","55","65","13.2","15.6","50.1","3","5","34.09","2.05","62.71","1.2","35.61","28.8","78.9","120","0.24","0.24","0.24","2.4","1.333333333","1.1","0.611111111","0.576","0.32","1.002","0.556666667","45.83333333","36.50190114","55.55555556","9.81792","5.432098765","9.777777778","11.85185185","21.33333333","20.61728395","37.11111111","4.040296296","7.272533333","32.4691358","58.44444444","1"
"","","MZP2017GUR-ST01","","","","","","","","","MZP2017GUR-ST01-00027","","","","90","70","67","40","99","30.1","13.1","50.2","1","1","30.17","1.97","60.51","1.12","15.27","43.2","93.4","139","0.7525","0.132323232","0.310791367","1.985714286","1.544444444","0.571428571","0.444444444","0.617142857","0.48","0.717142857","0.557777778","28.77697842","46.25267666","77.77777778","13.03344","12.38683128","15.92592593","17.77777778","22.85714286","20.65843621","26.56084656","5.363555556","6.896","38.43621399","49.41798942","1"
"","","MZP2017GUR-ST01","","","","","","","","","MZP2017GUR-ST01-00049","","","","90","60","58","50","82","15.6","14.3","37.5","3","3","31.77","1.83","59.2","0.99","16.45","29.9","67.4","132","0.312","0.174390244","0.226515152","2.2","1.466666667","0.833333333","0.555555556","0.498333333","0.332222222","0.625","0.416666667","37.87878788","44.3620178","66.66666667","9.49923","6.419753086","9.62962963","12.30452675","18.45679012","15.43209877","23.14814815","3.909148148","5.863722222","27.73662551","41.60493827","1"
"","","MZP2017GUR-ST01","","","","","","","","","MZP2017GUR-ST01-00031","","","","90","40","38","30","60","18.5","9.8","22.5","1","5","31.91","1.83","61.76","1.16","12.99","28.3","50.8","90","0.616666667","0.163333333","0.314444444","2.25","1","0.75","0.333333333","0.7075","0.314444444","0.5625","0.25","33.33333333","55.70866142","44.44444444","9.03053","7.613168724","17.12962963","11.64609053","26.2037037","9.259259259","20.83333333","3.71626749","8.361601852","20.90534979","47.03703704","1"
"","","MZP2017GUR-ST01","","","","","","","","","MZP2017GUR-ST01-00057","","","","90","40","40","35","56","13.2","12","40.1","7","3","33.55","1.6","59.48","1.03","9.33","25.2","65.3","91","0.377142857","0.214285714","0.276923077","2.275","1.011111111","0.875","0.388888889","0.63","0.28","1.0025","0.445555556","38.46153846","38.59111792","44.44444444","8.4546","5.432098765","12.22222222","10.37037037","23.33333333","16.50205761","37.12962963","3.479259259","7.828333333","26.87242798","60.46296296","1"
"","","MZP2017GUR-ST01","","","","","","","","","MZP2017GUR-ST01-00008","","","","90","54","53","40","63","29.7","11.3","40.3","1","1","30.92","1.73","60.02","0.98","9.09","41","81.3","103","0.7425","0.179365079","0.398058252","1.907407407","1.144444444","0.740740741","0.444444444","0.759259259","0.455555556","0.746296296","0.447777778","38.83495146","50.43050431","60","12.6772","12.22222222","20.37037037","16.87242798","28.12071331","16.58436214","27.64060357","5.216954733","8.694924554","33.45679012","55.76131687","1"
"","","MZP2017GUR-ST01","","","","","","","","","MZP2017GUR-ST01-00066","","","","90","50","50","35","65","17.3","12.3","36.2","3","3","34.9","1.74","65.55","0.9","10.94","29.6","65.8","100","0.494285714","0.189230769","0.296","2","1.111111111","0.7","0.388888889","0.592","0.328888889","0.724","0.402222222","35","44.98480243","55.55555556","10.3304","7.119341564","12.81481481","12.18106996","21.92592593","14.89711934","26.81481481","4.251193416","7.652148148","27.0781893","48.74074074","1"
"","","MZP2017GUR-ST01","","","","","","","","","MZP2017GUR-ST01-00026","","","","90","60","60","25","59","25.5","8.9","40.2","3","3","32.54","2.21","60.88","1.3","28.61","34.4","74.6","84","1.02","0.150847458","0.40952381","1.4","0.933333333","0.416666667","0.277777778","0.573333333","0.382222222","0.67","0.446666667","29.76190476","46.11260054","66.66666667","11.19376","10.49382716","15.74074074","14.1563786","21.2345679","16.54320988","24.81481481","4.606485597","6.909728395","30.69958848","46.04938272","1"
"","","MZP2017GUR-ST01","","","","","","","","","MZP2017GUR-ST01-00045","","","","90","50","50","43","79","16.8","11.3","48.6","5","1","34.77","2.25","65.45","1.45","26.64","28.1","76.7","122","0.390697674","0.143037975","0.230327869","2.44","1.355555556","0.86","0.477777778","0.562","0.312222222","0.972","0.54","35.24590164","36.63624511","55.55555556","9.77037","6.913580247","12.44444444","11.56378601","20.81481481","20","36","4.020728395","7.237311111","31.56378601","56.81481481","1"
"","","MZP2017GUR-ST01","","","","","","","","","MZP2017GUR-ST01-00010","","","","90","68","60","28","40","19.7","9.9","32","7","5","28.29","2.38","52.51","1.4","16.53","29.6","61.6","68","0.703571429","0.2475","0.435294118","1","0.755555556","0.411764706","0.311111111","0.435294118","0.328888889","0.470588235","0.355555556","41.17647059","48.05194805","75.55555556","8.37384","8.106995885","10.72984749","12.18106996","16.12200436","13.16872428","17.4291939","3.446024691","4.560915033","25.34979424","33.55119826","1"
"","","MZP2017GUR-ST01","","","","","","","","","MZP2017GUR-ST01-00061","","","","90","80","78","42","80","20.4","13.9","40.2","7","5","25.52","2.15","50.12","1.47","21.52","34.3","74.5","122","0.485714286","0.17375","0.281147541","1.525","1.355555556","0.525","0.466666667","0.42875","0.381111111","0.5025","0.446666667","34.42622951","46.04026846","88.88888889","8.75336","8.395061728","9.444444444","14.11522634","15.87962963","16.54320988","18.61111111","3.602205761","4.052481481","30.65843621","34.49074074","1"
"","","MZP2017GUR-ST01","","","","","","","","","MZP2017GUR-ST01-00001","","","","90","45","37","40","76","28.6","11","25.1","3","3","40.99","1.74","68.18","0.96","0.41","39.6","64.7","116","0.715","0.144736842","0.34137931","2.577777778","1.288888889","0.888888889","0.444444444","0.88","0.44","0.557777778","0.278888889","34.48275862","61.20556414","50","16.23204","11.76954733","23.53909465","16.2962963","32.59259259","10.32921811","20.65843621","6.679851852","13.3597037","26.6255144","53.25102881","1"
"","","MZP2017GUR-ST01","","","","","","","","","MZP2017GUR-ST01-00047","","","","90","30","28","31","36","7.9","9.8","33.4","5","3","37.12","2.34","66.16","1.43","22.27","17.7","51.1","67","0.25483871","0.272222222","0.264179104","2.233333333","0.744444444","1.033333333","0.344444444","0.59","0.196666667","1.113333333","0.371111111","46.26865672","34.63796477","33.33333333","6.57024","3.251028807","9.75308642","7.283950617","21.85185185","13.74485597","41.2345679","2.703802469","8.111407407","21.02880658","63.08641975","1"
"","","MZP2017GUR-ST01","","","","","","","","","MZP2017GUR-ST01-00032","","","","90","55","55","20","47","17.5","7.2","47.5","5","5","38.21","2.37","60.06","1.18","27.11","24.7","72.2","67","0.875","0.153191489","0.368656716","1.218181818","0.744444444","0.363636364","0.222222222","0.449090909","0.274444444","0.863636364","0.527777778","29.85074627","34.21052632","61.11111111","9.43787","7.201646091","11.78451178","10.16460905","16.63299663","19.5473251","31.98653199","3.883897119","6.355468013","29.71193416","48.61952862","1"
"","","MZP2017GUR-ST01","","","","","","","","","MZP2017GUR-ST01-00051","","","","90","60","60","55","80","24.6","14.9","59.2","5","3","34.41","1.95","58.09","1.21","25.82","39.5","98.7","135","0.447272727","0.18625","0.292592593","2.25","1.5","0.916666667","0.611111111","0.658333333","0.438888889","0.986666667","0.657777778","40.74074074","40.02026342","66.66666667","13.59195","10.12345679","15.18518519","16.25514403","24.38271605","24.36213992","36.54320988","5.593395062","8.390092593","40.61728395","60.92592593","1"
"","","MZP2017GUR-ST01","","","","","","","","","MZP2017GUR-ST01-00013","","","","90","30","30","25","35","21","8.2","22.5","1","5","40.78","2.47","61.33","1.51","28.03","29.2","51.7","60","0.84","0.234285714","0.486666667","2","0.666666667","0.833333333","0.277777778","0.973333333","0.324444444","0.75","0.25","41.66666667","56.47969052","33.33333333","11.90776","8.641975309","25.92592593","12.01646091","36.04938272","9.259259259","27.77777778","4.900312757","14.70093827","21.27572016","63.82716049","1"
"","","MZP2017GUR-ST01","","","","","","","","","MZP2017GUR-ST01-00044","","","","90","40","40","36","52","12.3","11.1","38.6","3","3","","","","","","23.4","62","88","0.341666667","0.213461538","0.265909091","2.2","0.977777778","0.9","0.4","0.585","0.26","0.965","0.428888889","40.90909091","37.74193548","44.44444444","","5.061728395","11.38888889","9.62962963","21.66666667","15.88477366","35.74074074","","","25.51440329","57.40740741","1"
"","","MZP2017GUR-ST01","","","","","","","","","MZP2017GUR-ST01-00002","","","","90","47","40","30","55","20.4","10.3","35.2","1","3","30.16","2.33","64.5","1.3","33.71","30.7","65.9","85","0.68","0.187272727","0.361176471","1.808510638","0.944444444","0.638297872","0.333333333","0.653191489","0.341111111","0.74893617","0.391111111","35.29411765","46.58573596","52.22222222","9.25912","8.395061728","16.07565012","12.63374486","24.19227738","14.48559671","27.73837667","3.810337449","7.296390859","27.11934156","51.93065406","1"
"","","MZP2017GUR-ST01","","","","","","","","","MZP2017GUR-ST01-00050","","","","90","70","70","70","95","24.5","14.6","50.2","3","3","25.88","2.31","54.93","1.14","31.63","39.1","89.3","165","0.35","0.153684211","0.236969697","2.357142857","1.833333333","1","0.777777778","0.558571429","0.434444444","0.717142857","0.557777778","42.42424242","43.7849944","77.77777778","10.11908","10.08230453","12.96296296","16.09053498","20.68783069","20.65843621","26.56084656","4.164230453","5.354010582","36.74897119","47.24867725","1"
"","","MZP2017GUR-ST01","","","","","","","","","MZP2017GUR-ST01-00029","","","","90","40","35","35","59","20","12.9","40.2","3","5","36.36","2.9","58.74","1.52","31.33","32.9","73.1","94","0.571428571","0.218644068","0.35","2.35","1.044444444","0.875","0.388888889","0.8225","0.365555556","1.005","0.446666667","37.23404255","45.00683995","44.44444444","11.96244","8.230452675","18.51851852","13.53909465","30.46296296","16.54320988","37.22222222","4.922814815","11.07633333","30.08230453","67.68518519","1"
"","","MZP2017GUR-ST01","","","","","","","","","MZP2017GUR-ST01-00037","","","","90","36","36","34","50","16.2","11.3","30.1","1","3","35.64","2.51","61.48","1.51","29","27.5","57.6","84","0.476470588","0.226","0.327380952","2.333333333","0.933333333","0.944444444","0.377777778","0.763888889","0.305555556","0.836111111","0.334444444","40.47619048","47.74305556","40","9.801","6.666666667","16.66666667","11.31687243","28.29218107","12.38683128","30.96707819","4.033333333","10.08333333","23.7037037","59.25925926","1"
"","","MZP2017GUR-ST01","","","","","","","","","MZP2017GUR-ST01-00015","","","","90","50","50","35","70","24.3","12.3","40.2","1","1","40.4","1.45","69.51","0.93","0","36.6","76.8","105","0.694285714","0.175714286","0.348571429","2.1","1.166666667","0.7","0.388888889","0.732","0.406666667","0.804","0.446666667","33.33333333","47.65625","55.55555556","14.7864","10","18","15.0617284","27.11111111","16.54320988","29.77777778","6.084938272","10.95288889","31.60493827","56.88888889","1"
"","","MZP2017GUR-ST01","","","","","","","","","MZP2017GUR-ST01-00054","","","","90","50","50","60","65","24","14.9","54.3","1","5","45.63","1.45","72.46","0.99","0","38.9","93.2","125","0.4","0.229230769","0.3112","2.5","1.388888889","1.2","0.666666667","0.778","0.432222222","1.086","0.603333333","48","41.73819742","55.55555556","17.75007","9.87654321","17.77777778","16.00823045","28.81481481","22.34567901","40.22222222","7.304555556","13.1482","38.35390947","69.03703704","1"
"","","MZP2017GUR-ST01","","","","","","","","","MZP2017GUR-ST01-00016","","","","90","49","41","25","49","14.9","8","40.2","3","5","36.29","2.67","54.64","1.5","39.69","22.9","63.1","74","0.596","0.163265306","0.309459459","1.510204082","0.822222222","0.510204082","0.277777778","0.467346939","0.254444444","0.820408163","0.446666667","33.78378378","36.29160063","54.44444444","8.31041","6.131687243","11.26228269","9.423868313","17.30914588","16.54320988","30.38548753","3.419921811","6.28148904","25.96707819","47.69463341","1"
"","","MZP2017GUR-ST01","","","","","","","","","MZP2017GUR-ST01-00048","","","","90","40","40","35","43","11.3","8.6","38.9","1","3","30.84","2.25","54.85","1.32","37.32","19.9","58.8","78","0.322857143","0.2","0.255128205","1.95","0.866666667","0.875","0.388888889","0.4975","0.221111111","0.9725","0.432222222","44.87179487","33.84353741","44.44444444","6.13716","4.650205761","10.46296296","8.189300412","18.42592593","16.00823045","36.01851852","2.525580247","5.682555556","24.19753086","54.44444444","1"
"","","MZP2017GUR-ST01","","","","","","","","","MZP2017GUR-ST01-00017","","","","90","35","31","35","50","15.6","10.1","29.5","3","5","31.24","2.78","52.76","1.99","37.06","25.7","55.2","85","0.445714286","0.202","0.302352941","2.428571429","0.944444444","1","0.388888889","0.734285714","0.285555556","0.842857143","0.327777778","41.17647059","46.55797101","38.88888889","8.02868","6.419753086","16.50793651","10.57613169","27.1957672","12.1399177","31.21693122","3.303983539","8.495957672","22.71604938","58.41269841","1"
"","","MZP2017GUR-ST01","","","","","","","","","MZP2017GUR-ST01-00041","","","","90","30","30","37","58","13.5","10.3","35.2","3","1","24.25","2.73","51.66","1.83","33.63","23.8","59","95","0.364864865","0.177586207","0.250526316","3.166666667","1.055555556","1.233333333","0.411111111","0.793333333","0.264444444","1.173333333","0.391111111","38.94736842","40.33898305","33.33333333","5.7715","5.555555556","16.66666667","9.794238683","29.38271605","14.48559671","43.45679012","2.375102881","7.125308642","24.27983539","72.83950617","1"
"","","MZP2017GUR-ST01","","","","","","","","","MZP2017GUR-ST01-00009","","","","90","80","70","35","71","29.7","11.3","70.1","1","3","45.2","2.4","67.03","1.31","0","41","111.1","106","0.848571429","0.15915493","0.386792453","1.325","1.177777778","0.4375","0.388888889","0.5125","0.455555556","0.87625","0.778888889","33.01886792","36.90369037","88.88888889","18.532","12.22222222","13.75","16.87242798","18.98148148","28.84773663","32.4537037","7.626337449","8.57962963","45.72016461","51.43518519","1"
"","","MZP2017GUR-ST01","","","","","","","","","MZP2017GUR-ST01-00058","","","","90","55","50","45","80","30.4","12.3","50.1","1","3","37.66","1.67","67.48","1","0","42.7","92.8","125","0.675555556","0.15375","0.3416","2.272727273","1.388888889","0.818181818","0.5","0.776363636","0.474444444","0.910909091","0.556666667","36","46.01293103","61.11111111","16.08082","12.51028807","20.47138047","17.57201646","28.75420875","20.61728395","33.73737374","6.617621399","10.82883502","38.18930041","62.49158249","1"
"","","MZP2017GUR-ST01","","","","","","","","","MZP2017GUR-ST01-00006","","","","90","70","60","29","45","18.5","10.5","50.2","1","3","38.53","2.41","63.48","1.26","0","29","79.2","74","0.637931034","0.233333333","0.391891892","1.057142857","0.822222222","0.414285714","0.322222222","0.414285714","0.322222222","0.717142857","0.557777778","39.18918919","36.61616162","77.77777778","11.1737","7.613168724","9.788359788","11.93415638","15.34391534","20.65843621","26.56084656","4.598230453","5.912010582","32.59259259","41.9047619","1"
"","","MZP2017GUR-ST01","","","","","","","","","MZP2017GUR-ST01-00046","","","","90","60","60","50","72","25.3","15.2","51.6","7","3","39.67","2.05","70.22","1.12","0","40.5","92.1","122","0.506","0.211111111","0.331967213","2.033333333","1.355555556","0.833333333","0.555555556","0.675","0.45","0.86","0.573333333","40.98360656","43.97394137","66.66666667","16.06635","10.41152263","15.61728395","16.66666667","25","21.2345679","31.85185185","6.611666667","9.9175","37.90123457","56.85185185","1"
