"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root size estimating 1-9|CO_331:0000184","Storage root dry matter content computing percent|CO_331:0000297","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","treatment_non_irrigation"
"","","MZP2017GUR-ST01","","","","","","","","","MZP2017GUR-ST01-00022","","","","90","40","40","30","72","18.9","10.5","36","1","3","42.96","2.02","68.64","0.91","","29.4","65.4","102","0.63","0.145833333","0.288235294","2.55","1.133333333","0.75","0.333333333","0.735","0.326666667","0.9","0.4","29.41176471","44.95412844","44.44444444","12.63024","7.777777778","17.5","12.09876543","27.22222222","14.81481481","33.33333333","5.19762963","11.69466667","26.91358025","60.55555556","1"
"","","MZP2017GUR-ST01","","","","","","","","","MZP2017GUR-ST01-00064","","","","90","50","48","46","70","14.3","12.3","47.8","1","3","","","","","","26.6","74.4","116","0.310869565","0.175714286","0.229310345","2.32","1.288888889","0.92","0.511111111","0.532","0.295555556","0.956","0.531111111","39.65517241","35.75268817","55.55555556","","5.884773663","10.59259259","10.94650206","19.7037037","19.67078189","35.40740741","","","30.61728395","55.11111111","1"
"","","MZP2017GUR-ST01","","","","","","","","","MZP2017GUR-ST01-00004","","","","90","80","71","34","70","30.2","12","45.6","1","1","41.3","1.59","68.49","0.95","9.13","42.2","87.8","104","0.888235294","0.171428571","0.405769231","1.3","1.155555556","0.425","0.377777778","0.5275","0.468888889","0.57","0.506666667","32.69230769","48.06378132","88.88888889","17.4286","12.42798354","13.98148148","17.36625514","19.53703704","18.7654321","21.11111111","7.172263374","8.068796296","36.13168724","40.64814815","1"
"","","MZP2017GUR-ST01","","","","","","","","","MZP2017GUR-ST01-00052","","","","90","40","40","40","50","13.5","14.3","50.1","5","3","37.86","2.08","69.75","0.99","15.35","27.8","77.9","90","0.3375","0.286","0.308888889","2.25","1","1","0.444444444","0.695","0.308888889","1.2525","0.556666667","44.44444444","35.68677792","44.44444444","10.52508","5.555555556","12.5","11.44032922","25.74074074","20.61728395","46.38888889","4.331308642","9.745444444","32.05761317","72.12962963","1"
"","","MZP2017GUR-ST01","","","","","","","","","MZP2017GUR-ST01-00003","","","","90","38","38","25","37","18.5","6.5","15.6","3","5","","","","","","25","40.6","62","0.74","0.175675676","0.403225806","1.631578947","0.688888889","0.657894737","0.277777778","0.657894737","0.277777778","0.410526316","0.173333333","40.32258065","61.57635468","42.22222222","","7.613168724","18.03118908","10.28806584","24.36647173","6.419753086","15.20467836","","","16.70781893","39.5711501","1"
"","","MZP2017GUR-ST01","","","","","","","","","MZP2017GUR-ST01-00056","","","","90","56","56","42","63","13.4","11.3","40.2","5","3","","","","","","24.7","64.9","105","0.319047619","0.179365079","0.235238095","1.875","1.166666667","0.75","0.466666667","0.441071429","0.274444444","0.717857143","0.446666667","40","38.05855162","62.22222222","","5.514403292","8.862433862","10.16460905","16.33597884","16.54320988","26.58730159","","","26.70781893","42.92328042","1"
"","","MZP2017GUR-ST01","","","","","","","","","MZP2017GUR-ST01-00023","","","","90","80","70","36","55","14.9","12.5","42.9","1","3","43.99","1.92","63.48","1.2","17.77","27.4","70.3","91","0.413888889","0.227272727","0.301098901","1.1375","1.011111111","0.45","0.4","0.3425","0.304444444","0.53625","0.476666667","39.56043956","38.97581792","88.88888889","12.05326","6.131687243","6.898148148","11.27572016","12.68518519","17.65432099","19.86111111","4.9601893","5.580212963","28.93004115","32.5462963","1"
"","","MZP2017GUR-ST01","","","","","","","","","MZP2017GUR-ST01-00038","","","","90","39","39","35","62","14.6","12","35.1","1","3","","","","","","26.6","61.7","97","0.417142857","0.193548387","0.274226804","2.487179487","1.077777778","0.897435897","0.388888889","0.682051282","0.295555556","0.9","0.39","36.08247423","43.11183144","43.33333333","","6.008230453","13.8651472","10.94650206","25.26115859","14.44444444","33.33333333","","","25.3909465","58.59449193","1"
"","","MZP2017GUR-ST01","","","","","","","","","MZP2017GUR-ST01-00028","","","","90","67","67","45","84","24.6","13.5","50.1","3","1","39.8","2.01","67.69","1.04","12.53","38.1","88.2","129","0.546666667","0.160714286","0.295348837","1.925373134","1.433333333","0.671641791","0.5","0.568656716","0.423333333","0.747761194","0.556666667","34.88372093","43.19727891","74.44444444","15.1638","10.12345679","13.5986733","15.67901235","21.06135987","20.61728395","27.69485904","6.240246914","8.382421227","36.2962963","48.75621891","1"
"","","MZP2017GUR-ST01","","","","","","","","","MZP2017GUR-ST01-00034","","","","90","72","72","50","96","17.5","14","59.8","5","1","31.36","2.33","68.04","1.41","15.64","31.5","91.3","146","0.35","0.145833333","0.215753425","2.027777778","1.622222222","0.694444444","0.555555556","0.4375","0.35","0.830555556","0.664444444","34.24657534","34.50164294","80","9.8784","7.201646091","9.002057613","12.96296296","16.2037037","24.6090535","30.76131687","4.065185185","5.081481481","37.57201646","46.96502058","1"
