"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Storage root texture in boiled samples estimating 1-9 by Gruneberg|CO_331:0000265","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683"
"","","MZP2013UMB-MT02","","","","","","","","","MZP2013UMB-MT02-00011","","","","26","24","1","1","8","14","13","11","17","3","1.8","25","5","5","1","7","3","7","3","6.12","28","0.272727273","0.105882353","0.171428571","2","1.076923077","0.785714286","0.423076923","0.342857143","0.184615385","1.785714286","0.961538462","39.28571429","16.10738255","53.84615385","4.273504274","7.936507937","6.837606838","12.6984127","35.61253561","66.13756614","42.45014245","78.83597884","4.8","29.8"
"","","MZP2013UMB-MT02","","","","","","","","","MZP2013UMB-MT02-00012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","MZP2013UMB-MT02","","","","","","","","","MZP2013UMB-MT02-00013","","","","26","4","1","3","4","2","0","0","0","0","0","3","","","","","","","","","0","","","","0","0","0","0","0","0","1.5","0.115384615","","0","7.692307692","0","0","0","0","4.273504274","55.55555556","4.273504274","55.55555556","0","3"
"","","MZP2013UMB-MT02","","","","","","","","","MZP2013UMB-MT02-00014","","","","26","16","1","1","7","7","2","0","7","0","2","13.5","1","1","7","1","7","5","3","14.37","7","","0.285714286","0.285714286","1","0.269230769","0","0","0.285714286","0.076923077","1.928571429","0.519230769","0","12.90322581","26.92307692","0","0","2.849002849","10.58201058","19.23076923","71.42857143","22.07977208","82.01058201","2","15.5"
"","","MZP2013UMB-MT02","","","","","","","","","MZP2013UMB-MT02-00015","","","","26","17","1","5","6","12","0","0","0","0","0","10","","","","","","","","","0","","","","0","0","0","0","0","0","0.833333333","0.384615385","","0","46.15384615","0","0","0","0","14.24501425","30.86419753","14.24501425","30.86419753","0","10"
"","","MZP2013UMB-MT02","","","","","","","","","MZP2013UMB-MT02-00016","","","","26","24","3","3","8","20","12","16","25","4.5","2.5","16","1","1","1","3","5","3","5","3.76","41","0.28125","0.1","0.170731707","2.05","1.576923077","0.8","0.615384615","0.35","0.269230769","0.8","0.615384615","39.02439024","30.43478261","76.92307692","6.41025641","8.333333333","9.971509972","12.96296296","22.79202279","29.62962963","32.76353276","42.59259259","7","23"
"","","MZP2013UMB-MT02","","","","","","","","","MZP2013UMB-MT02-00017","","","","26","9","1","1","5","7","3","6","7","2","1","14","3","5","1","3","3","3","3","3.76","13","0.333333333","0.142857143","0.230769231","1.857142857","0.5","0.857142857","0.230769231","0.428571429","0.115384615","2","0.538461538","46.15384615","17.64705882","26.92307692","2.849002849","10.58201058","4.273504274","15.87301587","19.94301994","74.07407407","24.21652422","89.94708995","3","17"
"","","MZP2013UMB-MT02","","","","","","","","","MZP2013UMB-MT02-00018","","","","26","19","1","1","7","14","12","71","20","13.5","2","17","1","1","1","7","1","3","5","0.15","91","0.190140845","0.1","0.17032967","6.5","3.5","5.071428571","2.730769231","1.107142857","0.596153846","1.214285714","0.653846154","78.02197802","47.69230769","53.84615385","19.23076923","35.71428571","22.07977208","41.00529101","24.21652422","44.97354497","46.2962963","85.97883598","15.5","32.5"
"","","MZP2013UMB-MT02","","","","","","","","","MZP2013UMB-MT02-00019","","","","26","20","1","1","8","19","6","6","2","3.5","0.1","61","7","7","1","7","1","7","7","0.12","8","0.583333333","0.05","0.45","0.421052632","0.307692308","0.315789474","0.230769231","0.189473684","0.138461538","3.210526316","2.346153846","75","5.572755418","73.07692308","4.985754986","6.822612086","5.128205128","7.01754386","86.89458689","118.9083821","92.02279202","125.9259259","3.6","64.6"
"","","MZP2013UMB-MT02","","","","","","","","","MZP2013UMB-MT02-00020","","","","26","25","1","1","7","12","11","22","8","7","0.6","23","1","1","1","7","3","1","3","0.12","30","0.318181818","0.075","0.253333333","2.5","1.153846154","1.833333333","0.846153846","0.633333333","0.292307692","1.916666667","0.884615385","73.33333333","24.83660131","46.15384615","9.971509972","21.60493827","10.82621083","23.45679012","32.76353276","70.98765432","43.58974359","94.44444444","7.6","30.6"
