"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","Number of storage roots after harvest per NET plot|CO_331:0000233","Average non-commercial storage root weight computation kg|CO_331:0002039","Percentage of commercial storage root|CO_331:0000682"
"","","MZP2019UMB-PT01","","","","","","","","","MZP2019UMB-PT01-00011","","","","36","36","28","28","40","115","4.4","3.4","22.4","1","5","5","7.8","30.2","0.11","0.050322581","5.535714286","4.305555556","1.428571429","1.111111111","0.278571429","0.216666667","0.8","0.622222222","25.82781457","77.77777778","4.526748971","5.82010582","8.024691358","10.31746032","23.04526749","29.62962963","31.06995885","39.94708995","155","0.029565217","25.80645161"
"","","MZP2019UMB-PT01","","","","","","","","","MZP2019UMB-PT01-00012","","","","36","34","26","15","33","28","9.8","2","22.4","1","5","5","11.8","34.2","0.296969697","0.193442623","2.346153846","1.694444444","1.269230769","0.916666667","0.453846154","0.327777778","0.861538462","0.622222222","34.50292398","72.22222222","10.08230453","13.96011396","12.1399177","16.80911681","23.04526749","31.90883191","35.18518519","48.71794872","61","0.071428571","54.09836066"
"","","MZP2019UMB-PT01","","","","","","","","","MZP2019UMB-PT01-00013","","","","36","34","26","24","50","55","8.4","2.6","16.4","1","3","3","11","27.4","0.168","0.104761905","4.038461538","2.916666667","1.923076923","1.388888889","0.423076923","0.305555556","0.630769231","0.455555556","40.1459854","72.22222222","8.641975309","11.96581197","11.31687243","15.66951567","16.87242798","23.36182336","28.18930041","39.03133903","105","0.047272727","47.61904762"
"","","MZP2019UMB-PT01","","","","","","","","","MZP2019UMB-PT01-00014","","","","36","36","28","17","31","40","6.4","1.6","27.6","1","3","3","8","35.6","0.206451613","0.112676056","2.535714286","1.972222222","1.107142857","0.861111111","0.285714286","0.222222222","0.985714286","0.766666667","22.47191011","77.77777778","6.58436214","8.465608466","8.230452675","10.58201058","28.39506173","36.50793651","36.6255144","47.08994709","71","0.04","43.66197183"
"","","MZP2019UMB-PT01","","","","","","","","","MZP2019UMB-PT01-00015","","","","36","33","25","16","24","62","3.2","2.2","16.2","1","5","5","5.4","21.6","0.133333333","0.062790698","3.44","2.388888889","0.96","0.666666667","0.216","0.15","0.648","0.45","25","69.44444444","3.29218107","4.740740741","5.555555556","8","16.66666667","24","22.22222222","32","86","0.035483871","27.90697674"
"","","MZP2019UMB-PT01","","","","","","","","","MZP2019UMB-PT01-00016","","","","36","36","28","19","50","40","8.2","2","17.4","1","3","3","10.2","27.6","0.164","0.113333333","3.214285714","2.5","1.785714286","1.388888889","0.364285714","0.283333333","0.621428571","0.483333333","36.95652174","77.77777778","8.436213992","10.84656085","10.49382716","13.49206349","17.90123457","23.01587302","28.39506173","36.50793651","90","0.05","55.55555556"
"","","MZP2019UMB-PT01","","","","","","","","","MZP2019UMB-PT01-00017","","","","36","36","28","27","58","111","14","9.4","23.4","1","3","3","23.4","46.8","0.24137931","0.138461538","6.035714286","4.694444444","2.071428571","1.611111111","0.835714286","0.65","0.835714286","0.65","50","77.77777778","14.40329218","18.51851852","24.07407407","30.95238095","24.07407407","30.95238095","48.14814815","61.9047619","169","0.084684685","34.31952663"
"","","MZP2019UMB-PT01","","","","","","","","","MZP2019UMB-PT01-00018","","","","36","33","25","23","84","68","9.2","2.6","17.8","1","5","5","11.8","29.6","0.10952381","0.077631579","6.08","4.222222222","3.36","2.333333333","0.472","0.327777778","0.712","0.494444444","39.86486486","69.44444444","9.465020576","13.62962963","12.1399177","17.48148148","18.3127572","26.37037037","30.4526749","43.85185185","152","0.038235294","55.26315789"
"","","MZP2019UMB-PT01","","","","","","","","","MZP2019UMB-PT01-00019","","","","36","35","27","25","88","55","13","2","25.4","1","3","3","15","40.4","0.147727273","0.104895105","5.296296296","3.972222222","3.259259259","2.444444444","0.555555556","0.416666667","0.940740741","0.705555556","37.12871287","75","13.3744856","17.83264746","15.43209877","20.57613169","26.13168724","34.84224966","41.56378601","55.41838134","143","0.036363636","61.53846154"
"","","MZP2019UMB-PT01","","","","","","","","","MZP2019UMB-PT01-00020","","","","36","35","27","17","36","46","5.4","2.4","12.2","1","3","5","7.8","20","0.15","0.095121951","3.037037037","2.277777778","1.333333333","1","0.288888889","0.216666667","0.451851852","0.338888889","39","75","5.555555556","7.407407407","8.024691358","10.69958848","12.55144033","16.73525377","20.57613169","27.43484225","82","0.052173913","43.90243902"
"","","MZP2019UMB-PT01","","","","","","","","","MZP2019UMB-PT01-00021","","","","36","28","20","13","22","42","2.4","1.2","13.2","1","3","7","3.6","16.8","0.109090909","0.05625","3.2","1.777777778","1.1","0.611111111","0.18","0.1","0.66","0.366666667","21.42857143","55.55555556","2.469135802","4.444444444","3.703703704","6.666666667","13.58024691","24.44444444","17.28395062","31.11111111","64","0.028571429","34.375"
"","","MZP2019UMB-PT01","","","","","","","","","MZP2019UMB-PT01-00022","","","","36","36","28","19","20","45","1.8","1.4","15.8","1","5","5","3.2","19","0.09","0.049230769","2.321428571","1.805555556","0.714285714","0.555555556","0.114285714","0.088888889","0.564285714","0.438888889","16.84210526","77.77777778","1.851851852","2.380952381","3.29218107","4.232804233","16.25514403","20.8994709","19.5473251","25.13227513","65","0.031111111","30.76923077"
"","","MZP2019UMB-PT01","","","","","","","","","MZP2019UMB-PT01-00023","","","","36","35","27","16","29","67","4","2.6","24.6","1","3","3","6.6","31.2","0.137931034","0.06875","3.555555556","2.666666667","1.074074074","0.805555556","0.244444444","0.183333333","0.911111111","0.683333333","21.15384615","75","4.115226337","5.48696845","6.790123457","9.053497942","25.30864198","33.74485597","32.09876543","42.79835391","96","0.03880597","30.20833333"
"","","MZP2019UMB-PT01","","","","","","","","","MZP2019UMB-PT01-00024","","","","36","14","6","0","0","0","0","0","4.8","","","","0","4.8","","","0","0","0","0","0","0","0.8","0.133333333","0","16.66666667","0","0","0","0","4.938271605","29.62962963","4.938271605","29.62962963","0","",""
"","","MZP2019UMB-PT01","","","","","","","","","MZP2019UMB-PT01-00025","","","","36","29","21","14","48","63","2.6","0.8","11.6","1","3","3","3.4","15","0.054166667","0.030630631","5.285714286","3.083333333","2.285714286","1.333333333","0.161904762","0.094444444","0.552380952","0.322222222","22.66666667","58.33333333","2.674897119","4.585537919","3.497942387","5.996472663","11.93415638","20.45855379","15.43209877","26.45502646","111","0.012698413","43.24324324"
"","","MZP2019UMB-PT01","","","","","","","","","MZP2019UMB-PT01-00026","","","","36","34","26","16","28","25","13","4","10.8","1","5","5","17","27.8","0.464285714","0.320754717","2.038461538","1.472222222","1.076923077","0.777777778","0.653846154","0.472222222","0.415384615","0.3","61.15107914","72.22222222","13.3744856","18.51851852","17.48971193","24.21652422","11.11111111","15.38461538","28.60082305","39.6011396","53","0.16","52.83018868"
"","","MZP2019UMB-PT01","","","","","","","","","MZP2019UMB-PT01-00027","","","","36","30","22","22","90","137","3","2","6.4","1","3","5","5","11.4","0.033333333","0.022026432","10.31818182","6.305555556","4.090909091","2.5","0.227272727","0.138888889","0.290909091","0.177777778","43.85964912","61.11111111","3.086419753","5.050505051","5.144032922","8.417508418","6.58436214","10.77441077","11.72839506","19.19191919","227","0.01459854","39.64757709"
"","","MZP2019UMB-PT01","","","","","","","","","MZP2019UMB-PT01-00028","","","","36","32","24","19","29","61","1.2","1.6","20.4","1","5","3","2.8","23.2","0.04137931","0.031111111","3.75","2.5","1.208333333","0.805555556","0.116666667","0.077777778","0.85","0.566666667","12.06896552","66.66666667","1.234567901","1.851851852","2.880658436","4.320987654","20.98765432","31.48148148","23.86831276","35.80246914","90","0.026229508","32.22222222"
"","","MZP2019UMB-PT01","","","","","","","","","MZP2019UMB-PT01-00029","","","","36","32","24","15","9","33","1.2","1.4","9.6","1","5","5","2.6","12.2","0.133333333","0.061904762","1.75","1.166666667","0.375","0.25","0.108333333","0.072222222","0.4","0.266666667","21.31147541","66.66666667","1.234567901","1.851851852","2.674897119","4.012345679","9.87654321","14.81481481","12.55144033","18.82716049","42","0.042424242","21.42857143"
"","","MZP2019UMB-PT01","","","","","","","","","MZP2019UMB-PT01-00030","","","","36","28","20","14","11","20","11","1.8","7.2","1","7","5","12.8","20","1","0.412903226","1.55","0.861111111","0.55","0.305555556","0.64","0.355555556","0.36","0.2","64","55.55555556","11.31687243","20.37037037","13.16872428","23.7037037","7.407407407","13.33333333","20.57613169","37.03703704","31","0.09","35.48387097"
