"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Content of total sugars estimating 1-9|CO_331:0000766","Content of starch in raw storage roots estimating 1-9|CO_331:0001055","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2012GUR-AT06","","","","","","","","","MZP2012GUR-AT06-00063","","","","39","20","1","5","5","19","17","4","16","1","2.6","18","3","1","3","1","7","5","3","4.39","1.96","1.44","25.46","57.75","2.59","4.31","8.7","0.51","3.6","21.6","20","0.25","0.1625","0.18","1.052631579","0.512820513","0.210526316","0.102564103","0.189473684","0.092307692","0.947368421","0.461538462","20","16.66666667","48.71794872","0.949667616","1.949317739","3.418803419","7.01754386","17.09401709","35.0877193","20.51282051","42.10526316"
"","","MZP2012GUR-AT06","","","","","","","","","MZP2012GUR-AT06-00064","","","","39","31","1","3","5","31","25","17","11","2.5","1.2","17.2","5","5","3","7","1","1","1","4.69","1.64","1.4","0","63.25","2.11","4.02","7.34","0.18","3.7","20.9","28","0.147058824","0.109090909","0.132142857","0.903225806","0.717948718","0.548387097","0.435897436","0.119354839","0.094871795","0.55483871","0.441025641","60.71428571","17.70334928","79.48717949","2.374169041","2.986857826","3.51377018","4.420549582","16.334283","20.54958184","19.84805318","24.97013142"
"","","MZP2012GUR-AT06","","","","","","","","","MZP2012GUR-AT06-00065","","","","39","13","1","3","7","9","9","0","13","0","3","5.4","5","5","5","1","7","7","5","11.39","3.59","2.69","68.47","32.82","3.71","6.76","27.43","2.81","3","8.4","13","","0.230769231","0.230769231","1.444444444","0.333333333","0","0","0.333333333","0.076923077","0.6","0.138461538","0","35.71428571","23.07692308","0","0","2.849002849","12.34567901","5.128205128","22.22222222","7.977207977","34.56790123"
"","","MZP2012GUR-AT06","","","","","","","","","MZP2012GUR-AT06-00066","","","","39","18","3","5","5","12","5","0","8","0","1.7","11.5","5","7","3","5","3","3","3","5.68","2.12","1.32","24.03","54.02","4.16","6.73","11.37","0.42","1.7","13.2","8","","0.2125","0.2125","0.666666667","0.205128205","0","0","0.141666667","0.043589744","0.958333333","0.294871795","0","12.87878788","30.76923077","0","0","1.614434948","5.24691358","10.92117759","35.49382716","12.53561254","40.74074074"
"","","MZP2012GUR-AT06","","","","","","","","","MZP2012GUR-AT06-00067","","","","39","22","1","1","7","17","17","5","16","1.2","2.7","23.3","5","5","1","7","1","1","3","5.45","1.71","1.32","42.79","58.81","2.88","4.85","10.38","0.24","3.9","27.2","21","0.24","0.16875","0.185714286","1.235294118","0.538461538","0.294117647","0.128205128","0.229411765","0.1","1.370588235","0.597435897","23.80952381","14.33823529","43.58974359","1.13960114","2.614379085","3.703703704","8.496732026","22.12725546","50.76252723","25.83095916","59.25925926"
"","","MZP2012GUR-AT06","","","","","","","","","MZP2012GUR-AT06-00068","","","","39","22","1","3","7","22","18","7","14","2","4","8.1","5","5","5","1","5","5","3","6.78","2.35","1.74","16.35","56.54","3.12","5.29","7.89","0.34","6","14.1","21","0.285714286","0.285714286","0.285714286","0.954545455","0.538461538","0.318181818","0.179487179","0.272727273","0.153846154","0.368181818","0.207692308","33.33333333","42.55319149","56.41025641","1.899335233","3.367003367","5.698005698","10.1010101","7.692307692","13.63636364","13.39031339","23.73737374"
"","","MZP2012GUR-AT06","","","","","","","","","MZP2012GUR-AT06-00069","","","","39","23","1","1","7","23","5","0","6","0","1.6","29","7","7","1","5","1","1","3","5.35","1.76","1.23","98.82","61.7","2.81","4.83","8.18","0.6","1.6","30.6","6","","0.266666667","0.266666667","0.260869565","0.153846154","0","0","0.069565217","0.041025641","1.260869565","0.743589744","0","5.22875817","58.97435897","0","0","1.519468186","2.576489533","27.54036087","46.69887279","29.05982906","49.27536232"
"","","MZP2012GUR-AT06","","","","","","","","","MZP2012GUR-AT06-00070","","","","39","22","1","1","7","18","15","12","7","2.6","1.2","15.7","5","5","3","7","1","1","3","6.67","1.92","1.56","0.32","65.38","1.69","3.25","4.37","0.14","3.8","19.5","19","0.216666667","0.171428571","0.2","1.055555556","0.487179487","0.666666667","0.307692308","0.211111111","0.097435897","0.872222222","0.402564103","63.15789474","19.48717949","46.15384615","2.469135802","5.349794239","3.608736942","7.818930041","14.90978158","32.30452675","18.51851852","40.12345679"
"","","MZP2012GUR-AT06","","","","","","","","","MZP2012GUR-AT06-00071","","","","39","18","1","1","5","8","8","0","10","0","2.5","4","5","5","5","1","7","7","5","8.77","3.33","2.22","76.78","38.97","4.05","7.51","22.08","2.05","2.5","6.5","10","","0.25","0.25","1.25","0.256410256","0","0","0.3125","0.064102564","0.5","0.102564103","0","38.46153846","20.51282051","0","0","2.374169041","11.57407407","3.798670465","18.51851852","6.172839506","30.09259259"
"","","MZP2012GUR-AT06","","","","","","","","","MZP2012GUR-AT06-00072","","","","39","20","1","1","7","17","1","0","2","0","0.3","12.4","7","7","1","5","1","1","1","6.1","2","1.37","88.48","62.37","2.27","4.24","7.66","0.21","0.3","12.7","2","","0.15","0.15","0.117647059","0.051282051","0","0","0.017647059","0.007692308","0.729411765","0.317948718","0","2.362204724","43.58974359","0","0","0.284900285","0.653594771","11.77587844","27.01525054","12.06077873","27.66884532"
"","","MZP2012GUR-AT06","","","","","","","","","MZP2012GUR-AT06-00073","","","","39","17","1","5","5","17","17","19","11","5","1.9","7.5","5","7","5","1","5","3","3","5.05","1.87","1.36","7.39","55.69","4.84","7.64","9.61","0.5","6.9","14.4","30","0.263157895","0.172727273","0.23","1.764705882","0.769230769","1.117647059","0.487179487","0.405882353","0.176923077","0.441176471","0.192307692","63.33333333","47.91666667","43.58974359","4.748338082","10.89324619","6.552706553","15.03267974","7.122507123","16.33986928","13.67521368","31.37254902"
"","","MZP2012GUR-AT06","","","","","","","","","MZP2012GUR-AT06-00074","","","","39","20","1","3","5","15","15","6","20","1.2","3.2","14.2","5","5","3","1","5","3","3","6.9","2.8","2.08","40.27","49.4","3.9","6.76","11.55","0.91","4.4","18.6","26","0.2","0.16","0.169230769","1.733333333","0.666666667","0.4","0.153846154","0.293333333","0.112820513","0.946666667","0.364102564","23.07692308","23.65591398","38.46153846","1.13960114","2.962962963","4.178537512","10.86419753","13.48528015","35.0617284","17.66381766","45.92592593"
"","","MZP2012GUR-AT06","","","","","","","","","MZP2012GUR-AT06-00075","","","","39","31","1","1","5","31","31","30","35","5","2","12","1","3","3","7","1","1","1","6.12","1.77","1.42","0","57.33","2.5","3.93","11.5","0.26","7","19","65","0.166666667","0.057142857","0.107692308","2.096774194","1.666666667","0.967741935","0.769230769","0.225806452","0.179487179","0.387096774","0.307692308","46.15384615","36.84210526","79.48717949","4.748338082","5.973715651","6.647673314","8.363201912","11.3960114","14.33691756","18.04368471","22.70011947"
"","","MZP2012GUR-AT06","","","","","","","","","MZP2012GUR-AT06-00076","","","","39","20","1","3","7","20","20","14","8","5","1.7","12.6","5","5","3","1","7","5","5","5.26","2.22","1.52","36.78","62.74","2.64","5.03","6.34","0.15","6.7","19.3","22","0.357142857","0.2125","0.304545455","1.1","0.564102564","0.7","0.358974359","0.335","0.171794872","0.63","0.323076923","63.63636364","34.71502591","51.28205128","4.748338082","9.259259259","6.362773029","12.40740741","11.96581197","23.33333333","18.328585","35.74074074"
"","","MZP2012GUR-AT06","","","","","","","","","MZP2012GUR-AT06-00077","","","","39","26","1","3","5","26","20","6","20","1.3","2","12.4","5","5","5","5","1","1","1","4.69","1.64","1.4","0","63.25","2.11","4.02","7.34","0.18","3.3","15.7","26","0.216666667","0.1","0.126923077","1","0.666666667","0.230769231","0.153846154","0.126923077","0.084615385","0.476923077","0.317948718","23.07692308","21.01910828","66.66666667","1.234567901","1.851851852","3.133903134","4.700854701","11.77587844","17.66381766","14.90978158","22.36467236"
"","","MZP2012GUR-AT06","","","","","","","","","MZP2012GUR-AT06-00078","","","","39","23","1","1","7","23","12","10","8","2.1","1.1","14.1","7","5","1","1","5","3","3","5.28","2.23","1.63","27.82","56.94","3.12","4.98","7.91","0.38","3.2","17.3","18","0.21","0.1375","0.177777778","0.782608696","0.461538462","0.434782609","0.256410256","0.139130435","0.082051282","0.613043478","0.361538462","55.55555556","18.49710983","58.97435897","1.994301994","3.381642512","3.038936372","5.152979066","13.39031339","22.70531401","16.42924976","27.85829308"
"","","MZP2012GUR-AT06","","","","","","","","","MZP2012GUR-AT06-00079","","","","39","25","1","1","7","25","9","4","7","1","1","23.3","5","5","1","5","1","3","1","4.86","2.02","1.41","101.22","48.89","3.25","5.31","19.93","1.32","2","25.3","11","0.25","0.142857143","0.181818182","0.44","0.282051282","0.16","0.102564103","0.08","0.051282051","0.932","0.597435897","36.36363636","7.90513834","64.1025641","0.949667616","1.481481481","1.899335233","2.962962963","22.12725546","34.51851852","24.02659069","37.48148148"
"","","MZP2012GUR-AT06","","","","","","","","","MZP2012GUR-AT06-00080","","","","39","20","1","3","5","14","5","0","8","0","2.1","7.7","5","7","7","1","7","7","5","9.24","3.56","2.3","60.9","25.73","5.29","8.7","30.02","1.34","2.1","9.8","8","","0.2625","0.2625","0.571428571","0.205128205","0","0","0.15","0.053846154","0.55","0.197435897","0","21.42857143","35.8974359","0","0","1.994301994","5.555555556","7.312440646","20.37037037","9.30674264","25.92592593"
"","","MZP2012GUR-AT06","","","","","","","","","MZP2012GUR-AT06-00081","","","","39","19","1","5","5","17","17","5","13","1.4","2.3","9","5","5","1","3","1","1","1","4.35","1.62","1.41","0","65.07","2.05","4.02","5.57","0","3.7","12.7","18","0.28","0.176923077","0.205555556","1.058823529","0.461538462","0.294117647","0.128205128","0.217647059","0.094871795","0.529411765","0.230769231","27.77777778","29.13385827","43.58974359","1.329534663","3.050108932","3.51377018","8.061002179","8.547008547","19.60784314","12.06077873","27.66884532"
"","","MZP2012GUR-AT06","","","","","","","","","MZP2012GUR-AT06-00082","","","","39","20","1","7","5","18","18","10","11","2.5","2","7.2","5","5","1","1","7","3","5","8.93","3.37","2.25","62.44","35.49","3.17","5.94","25.65","1.11","4.5","11.7","21","0.25","0.181818182","0.214285714","1.166666667","0.538461538","0.555555556","0.256410256","0.25","0.115384615","0.4","0.184615385","47.61904762","38.46153846","46.15384615","2.374169041","5.144032922","4.273504274","9.259259259","6.837606838","14.81481481","11.11111111","24.07407407"
"","","MZP2012GUR-AT06","","","","","","","","","MZP2012GUR-AT06-00083","","","","39","30","1","3","5","26","20","13","11","4","1.9","11.9","5","3","1","1","5","3","3","4.39","1.96","1.44","25.46","57.75","2.59","4.31","8.7","0.51","5.9","17.8","24","0.307692308","0.172727273","0.245833333","0.923076923","0.615384615","0.5","0.333333333","0.226923077","0.151282051","0.457692308","0.305128205","54.16666667","33.14606742","66.66666667","3.798670465","5.698005698","5.603038936","8.404558405","11.30104463","16.95156695","16.90408357","25.35612536"
"","","MZP2012GUR-AT06","","","","","","","","","MZP2012GUR-AT06-00084","","","","39","25","1","3","5","23","23","23","28","6.6","4.5","10.5","5","3","1","1","5","3","3","5.74","2.38","1.61","34.33","44.21","9.26","13.26","8.03","1.03","11.1","21.6","51","0.286956522","0.160714286","0.217647059","2.217391304","1.307692308","1","0.58974359","0.482608696","0.284615385","0.456521739","0.269230769","45.09803922","51.38888889","58.97435897","6.267806268","10.62801932","10.54131054","17.87439614","9.971509972","16.90821256","20.51282051","34.7826087"
"","","MZP2012GUR-AT06","","","","","","","","","MZP2012GUR-AT06-00085","","","","39","30","1","1","5","22","5","2","5","0.3","0.6","8.8","7","7","5","5","3","1","1","5.6","1.81","1.58","10.06","61.15","2.37","4.77","8.67","0.38","0.9","9.7","7","0.15","0.12","0.128571429","0.318181818","0.179487179","0.090909091","0.051282051","0.040909091","0.023076923","0.4","0.225641026","28.57142857","9.278350515","56.41025641","0.284900285","0.505050505","0.854700855","1.515151515","8.357075024","14.81481481","9.211775878","16.32996633"
"","","MZP2012GUR-AT06","","","","","","","","","MZP2012GUR-AT06-00086","","","","39","11","1","5","5","3","3","4","0","1.1","0","3.9","5","3","1","1","5","3","3","5.31","2.39","1.6","39.82","41.61","8.92","12.88","14.56","0.93","1.1","5","4","0.275","","0.275","1.333333333","0.102564103","1.333333333","0.102564103","0.366666667","0.028205128","1.3","0.1","100","22","7.692307692","1.044634378","13.58024691","1.044634378","13.58024691","3.703703704","48.14814815","4.748338082","61.72839506"
"","","MZP2012GUR-AT06","","","","","","","","","MZP2012GUR-AT06-00087","","","","39","20","1","3","7","14","10","4","8","1","1.1","9.6","5","5","3","5","3","5","3","5.62","1.81","1.4","8.39","66.37","1.31","2.9","6.3","0.13","2.1","11.7","12","0.25","0.1375","0.175","0.857142857","0.307692308","0.285714286","0.102564103","0.15","0.053846154","0.685714286","0.246153846","33.33333333","17.94871795","35.8974359","0.949667616","2.645502646","1.994301994","5.555555556","9.116809117","25.3968254","11.11111111","30.95238095"
"","","MZP2012GUR-AT06","","","","","","","","","MZP2012GUR-AT06-00088","","","","39","21","1","3","5","21","21","4","22","1","3","10","5","5","5","1","5","5","5","7.45","2.66","1.9","35.16","38.65","5.13","8.18","22","0.96","4","14","26","0.25","0.136363636","0.153846154","1.238095238","0.666666667","0.19047619","0.102564103","0.19047619","0.102564103","0.476190476","0.256410256","15.38461538","28.57142857","53.84615385","0.949667616","1.76366843","3.798670465","7.054673721","9.496676163","17.6366843","13.29534663","24.69135802"
"","","MZP2012GUR-AT06","","","","","","","","","MZP2012GUR-AT06-00089","","","","39","22","1","1","5","4","4","0","8","0","2","3","7","7","1","5","5","5","1","8.17","2.52","1.67","12.11","60.81","1.67","4.31","6.48","0.09","2","5","8","","0.25","0.25","2","0.205128205","0","0","0.5","0.051282051","0.75","0.076923077","0","40","10.25641026","0","0","1.899335233","18.51851852","2.849002849","27.77777778","4.748338082","46.2962963"
"","","MZP2012GUR-AT06","","","","","","","","","MZP2012GUR-AT06-00090","","","","39","19","1","1","5","15","15","7","13","2","2.2","3.2","5","5","1","1","5","5","3","5.73","2.11","1.53","23.34","62.18","1.82","3.46","6.69","0.14","4.2","7.4","20","0.285714286","0.169230769","0.21","1.333333333","0.512820513","0.466666667","0.179487179","0.28","0.107692308","0.213333333","0.082051282","35","56.75675676","38.46153846","1.899335233","4.938271605","3.988603989","10.37037037","3.038936372","7.901234568","7.027540361","18.27160494"
"","","MZP2012GUR-AT06","","","","","","","","","MZP2012GUR-AT06-00091","","","","39","37","1","1","5","37","37","10","40","2.3","5.5","10.3","5","5","3","1","5","5","3","8.32","2.8","2.03","48.71","49.65","2.87","5.14","13.32","0.84","7.8","18.1","50","0.23","0.1375","0.156","1.351351351","1.282051282","0.27027027","0.256410256","0.210810811","0.2","0.278378378","0.264102564","20","43.09392265","94.87179487","2.184235518","2.302302302","7.407407407","7.807807808","9.781576448","10.31031031","17.18898386","18.11811812"
"","","MZP2012GUR-AT06","","","","","","","","","MZP2012GUR-AT06-00092","","","","39","20","1","1","5","2","2","0","4","0","1","7.5","7","7","1","5","1","1","1","7.15","2.47","1.77","24.16","58.62","1.94","3.85","8.49","0.4","1","8.5","4","","0.25","0.25","2","0.102564103","0","0","0.5","0.025641026","3.75","0.192307692","0","11.76470588","5.128205128","0","0","0.949667616","18.51851852","7.122507123","138.8888889","8.072174739","157.4074074"
"","","MZP2012GUR-AT06","","","","","","","","","MZP2012GUR-AT06-00093","","","","39","15","1","3","5","15","8","0","10","0","3.1","8.5","5","5","1","3","3","5","3","5.68","2.12","1.32","24.03","54.02","4.16","6.73","11.37","0.42","3.1","11.6","10","","0.31","0.31","0.666666667","0.256410256","0","0","0.206666667","0.079487179","0.566666667","0.217948718","0","26.72413793","38.46153846","0","0","2.943969611","7.654320988","8.072174739","20.98765432","11.01614435","28.64197531"
"","","MZP2012GUR-AT06","","","","","","","","","MZP2012GUR-AT06-00094","","","","39","22","1","7","9","22","2","0","4","0","1","7.1","7","7","1","5","1","3","1","4.05","1.8","1.37","6.03","58.02","2.73","4.57","12.4","0.43","1","8.1","4","","0.25","0.25","0.181818182","0.102564103","0","0","0.045454545","0.025641026","0.322727273","0.182051282","0","12.34567901","56.41025641","0","0","0.949667616","1.683501684","6.742640076","11.95286195","7.692307692","13.63636364"
