"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Storage root texture in boiled samples estimating 1-9 by Gruneberg|CO_331:0000265","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of total carotenoids in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000290","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2012UMB-MT01","","","","","","","","","MZP2012UMB-MT01-00001","","","","26","23","1","3","8","14","14","21","52","8.5","29","42","9","9","1","50.6","14.3","1","1","5","5","3.76","2.08","1.1","","56.9","31.26","7.76","54.23","5.13","7.21","13.33","0.18","37.5","79.5","73","0.404761905","0.557692308","0.51369863","5.214285714","2.807692308","1.5","0.807692308","2.678571429","1.442307692","3","1.615384615","28.76712329","47.16981132","53.84615385","28.26086957","10.59782609","12.10826211","22.48677249","53.41880342","99.20634921","59.82905983","111.1111111","15.09661836","28.03657695","113.2478632","210.3174603"
"","","MZP2012UMB-MT01","","","","","","","","","MZP2012UMB-MT01-00002","","","","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","MZP2012UMB-MT01","","","","","","","","","MZP2012UMB-MT01-00003","","","","26","15","1","1","6","6","1","4","4","1","1.2","15","3","3","1","50.4","16.7","1","1","5","5","3.03","2.02","0.73","87.85","86.65","38.46","7.76","49.99","8.93","12.74","13.69","0.71","2.2","17.2","8","0.25","0.3","0.275","1.333333333","0.307692308","0.666666667","0.153846154","0.366666667","0.084615385","2.5","0.576923077","50","12.79069767","23.07692308","33.13492063","0.728968254","1.424501425","6.172839506","3.133903134","13.58024691","21.36752137","92.59259259","1.038416316","4.499804037","24.5014245","106.1728395"
"","","MZP2012UMB-MT01","","","","","","","","","MZP2012UMB-MT01-00004","","","","26","22","1","1","7","8","2","9","18","2.9","5.9","10.8","9","9","7","50.5","13.5","1","1","1","9","5","2.41","1.25","30.47","71.1","40.23","12.39","54.96","3.67","4.87","13.13","0.6","8.8","19.6","27","0.322222222","0.327777778","0.325925926","3.375","1.038461538","1.125","0.346153846","1.1","0.338461538","1.35","0.415384615","33.33333333","44.89795918","30.76923077","26.73267327","2.352475248","4.131054131","13.42592593","12.53561254","40.74074074","15.38461538","50","3.351104341","10.89108911","27.92022792","90.74074074"
"","","MZP2012UMB-MT01","","","","","","","","","MZP2012UMB-MT01-00005","","","","26","15","1","2","5","7","4","9","21","2","1.5","14.2","3","5","1","","","1","1","3","7","","","","","","","","","","","","","3.5","17.7","30","0.222222222","0.071428571","0.116666667","4.285714286","1.153846154","1.285714286","0.346153846","0.5","0.134615385","2.028571429","0.546153846","30","19.7740113","26.92307692","","","2.849002849","10.58201058","4.985754986","18.51851852","20.22792023","75.13227513","","","25.21367521","93.65079365"
"","","MZP2012UMB-MT01","","","","","","","","","MZP2012UMB-MT01-00006","","","","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","MZP2012UMB-MT01","","","","","","","","","MZP2012UMB-MT01-00007","","","","26","26","1","5","6","11","10","31","24","7.6","4.9","8.2","7","7","1","50.8","12.5","1","1","1","5","3.98","2.46","1.31","32.53","86.21","36.96","10.5","50.13","6.33","8.92","13.86","0.56","12.5","20.7","55","0.24516129","0.204166667","0.227272727","5","2.115384615","2.818181818","1.192307692","1.136363636","0.480769231","0.745454545","0.315384615","56.36363636","60.38647343","42.30769231","24.60629921","3.075787402","10.82621083","25.58922559","17.80626781","42.08754209","11.68091168","27.60942761","4.381463535","10.35618654","29.48717949","69.6969697"
"","","MZP2012UMB-MT01","","","","","","","","","MZP2012UMB-MT01-00008","","","","26","8","1","1","4","3","3","4","5","1.2","1","1.4","7","7","1","50.7","20.1","7","5","1","3","3.57","1.8","0.89","170.86","86.1","25.24","10.5","69.82","3.83","5.81","3.44","","2.2","3.6","9","0.3","0.2","0.244444444","3","0.346153846","1.333333333","0.153846154","0.733333333","0.084615385","0.466666667","0.053846154","44.44444444","61.11111111","11.53846154","39.64497041","0.872189349","1.709401709","14.81481481","3.133903134","27.16049383","1.994301994","17.28395062","1.24243497","10.76776974","5.128205128","44.44444444"
"","","MZP2012UMB-MT01","","","","","","","","","MZP2012UMB-MT01-00009","","","","26","23","1","1","7","10","10","7","34","1.2","8","12","3","3","7","50.6","16.3","3","7","3","3","4.49","1.99","1.09","17.22","63.49","27.52","4.61","63.3","3.27","4.87","8.87","0.49","9.2","21.2","41","0.171428571","0.235294118","0.224390244","4.1","1.576923077","0.7","0.269230769","0.92","0.353846154","1.2","0.461538462","17.07317073","43.39622642","38.46153846","32.21343874","2.963636364","1.709401709","4.444444444","13.10541311","34.07407407","17.09401709","44.44444444","4.221704222","10.97643098","30.1994302","78.51851852"
"","","MZP2012UMB-MT01","","","","","","","","","MZP2012UMB-MT01-00010","","","","26","15","1","1","6","10","10","12","22","4","3","13","1","1","1","50.6","16.1","1","1","7","7","3.02","2.1","1.03","42.95","79.44","29.55","0.02","58.64","5.95","8.41","9.12","0.43","7","20","34","0.333333333","0.136363636","0.205882353","3.4","1.307692308","1.2","0.461538462","0.7","0.269230769","1.3","0.5","35.29411765","35","38.46153846","31.81818182","2.227272727","5.698005698","14.81481481","9.971509972","25.92592593","18.51851852","48.14814815","3.172753173","8.249158249","28.49002849","74.07407407"
