"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Weight of vines per NET plot in kg|CO_331:0000227","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Fiber content in raw storage roots estimating 1-9|CO_331:0001038","Content of total sugars estimating 1-9|CO_331:0000766","Content of starch in raw storage roots estimating 1-9|CO_331:0001055","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Total storage root weight per NET plot in kg|CO_331:0000237","Total storage roots yield computation tons per ha|CO_331:0000296","Commercial storage root yield tons per ha|CO_331:0000809","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in kg per plot|CO_331:0000683","Harvest index computing percent|CO_331:0000302","Storage root dry matter content computing percent|CO_331:0000297","Survival index computing percent|CO_331:0000301","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2010CKE-AT05","","","","","","","","","MZP2010CKE-AT05-00040","","","","39","30","1","1","9","15.5","20","10","11","17","3.2","2","4","4","5","35.01","1.74","","","","","5.2","4.938271605","3.038936372","14.71984805","20.7","25.12077295","35.01","51.28205128","28","0.290909091","0.117647059","0.185714286","1.4","0.717948718","0.55","0.282051282","0.26","0.133333333","0.775","0.397435897","39.28571429","1.82052","5.925925926","9.62962963","28.7037037","1.728888889","3.371333333","19.65811966","38.33333333"
"","","MZP2010CKE-AT05","","","","","","","","","MZP2010CKE-AT05-00041","","","","39","34","6","1","9","25","30","30","71","38","18","3","4","4","4","27.26","6.12","","","","","21","19.94301994","17.09401709","23.74169041","46","45.65217391","27.26","76.92307692","109","0.253521127","0.078947368","0.19266055","3.633333333","2.794871795","2.366666667","1.820512821","0.7","0.538461538","0.833333333","0.641025641","65.13761468","5.7246","22.22222222","25.92592593","30.86419753","5.436467236","7.067407407","43.68471035","56.79012346"
"","","MZP2010CKE-AT05","","","","","","","","","MZP2010CKE-AT05-00042","","","","39","33","1","1","8","37","33","28","39","54","7","2.2","4","4","4","31.58","0.15","5","2","4","3","9.2","8.73694207","6.647673314","35.1377018","46.2","19.91341991","31.58","84.61538462","93","0.179487179","0.040740741","0.098924731","2.818181818","2.384615385","1.181818182","1","0.278787879","0.235897436","1.121212121","0.948717949","41.93548387","2.90536","7.85634119","10.32547699","41.52637486","2.759126306","3.260785634","43.87464387","51.85185185"
"","","MZP2010CKE-AT05","","","","","","","","","MZP2010CKE-AT05-00043","","","","39","36","6","1","9","22","30","22","13","20","3.2","2.8","4","4","4","37.24","1.5","5","2","5","4","6","5.698005698","3.038936372","20.89268756","28","21.42857143","37.24","76.92307692","33","0.246153846","0.14","0.181818182","1.1","0.846153846","0.433333333","0.333333333","0.2","0.153846154","0.733333333","0.564102564","39.39393939","2.2344","3.950617284","7.407407407","27.16049383","2.121937322","2.758518519","26.59069326","34.56790123"
"","","MZP2010CKE-AT05","","","","","","","","","MZP2010CKE-AT05-00044","","","","39","0","","","","0","0","0","0","0","0","0","","","","","","","","","","0","0","0","0","0","","","0","0","","","","","0","","0","","0","","0","","","","","","","","0",""
"","","MZP2010CKE-AT05","","","","","","","","","MZP2010CKE-AT05-00045","","","","39","39","1","1","9","16","26","16","32","16","8","1.5","4","4","4","27.93","12.39","2","3","3","3","9.5","9.021842355","7.597340931","15.19468186","25.5","37.25490196","27.93","66.66666667","48","0.25","0.09375","0.197916667","1.846153846","1.230769231","1.230769231","0.820512821","0.365384615","0.243589744","0.615384615","0.41025641","66.66666667","2.65335","11.3960114","13.53276353","22.79202279","2.51980057","3.779700855","24.21652422","36.32478632"
"","","MZP2010CKE-AT05","","","","","","","","","MZP2010CKE-AT05-00046","","","","39","33","1","1","8","11.5","22","22","33","47","7","4","5","5","5","37.64","7.23","5","2","4","4","11","10.44634378","6.647673314","10.92117759","22.5","48.88888889","37.64","56.41025641","80","0.212121212","0.085106383","0.1375","3.636363636","2.051282051","1.5","0.846153846","0.5","0.282051282","0.522727273","0.294871795","41.25","4.1404","11.78451178","18.51851852","19.36026936","3.932003799","6.97037037","21.36752137","37.87878788"
"","","MZP2010CKE-AT05","","","","","","","","","MZP2010CKE-AT05-00047","","","","39","37","4","1","9","21","26","10","27","3","5.2","0.2","5","5","5","30.94","7.23","4","2","4","4","5.4","5.128205128","4.938271605","19.94301994","26.4","20.45454545","30.94","66.66666667","30","0.192592593","0.066666667","0.18","1.153846154","0.769230769","1.038461538","0.692307692","0.207692308","0.138461538","0.807692308","0.538461538","90","1.67076","7.407407407","7.692307692","29.91452991","1.586666667","2.38","25.07122507","37.60683761"
"","","MZP2010CKE-AT05","","","","","","","","","MZP2010CKE-AT05-00048","","","","39","29","1","1","7","13","29","21","19","10","5.5","3","4","4","4","29.38","14.37","4","2","4","4","8.5","8.072174739","5.22317189","12.34567901","21.5","39.53488372","29.38","74.35897436","29","0.289473684","0.3","0.293103448","1","0.743589744","0.655172414","0.487179487","0.293103448","0.217948718","0.448275862","0.333333333","65.51724138","2.4973","7.024265645","10.85568327","16.60280971","2.371604938","3.189399745","20.41785375","27.45849298"
"","","MZP2010CKE-AT05","","","","","","","","","MZP2010CKE-AT05-00049","","","","39","31","1","1","7","16","31","31","59","28","13","4","4","4","4","30.71","12.39","5","2","4","4","17","16.14434948","12.34567901","15.19468186","33","51.51515152","30.71","79.48717949","87","0.220338983","0.142857143","0.195402299","2.806451613","2.230769231","1.903225806","1.512820513","0.548387097","0.435897436","0.516129032","0.41025641","67.81609195","5.2207","15.53166069","20.31063321","19.11589008","4.957929725","6.23739546","31.33903134","39.4265233"
"","","MZP2010CKE-AT05","","","","","","","","","MZP2010CKE-AT05-00050","","","","39","27","1","1","5","9","27","27","53","46","6","4","5","5","5","24.13","7.76","4","3","5","4","10","9.496676163","5.698005698","8.547008547","19","52.63157895","24.13","69.23076923","99","0.113207547","0.086956522","0.101010101","3.666666667","2.538461538","1.962962963","1.358974359","0.37037037","0.256410256","0.333333333","0.230769231","53.53535354","2.413","8.230452675","13.71742112","12.34567901","2.291547958","3.310013717","18.04368471","26.06310014"
"","","MZP2010CKE-AT05","","","","","","","","","MZP2010CKE-AT05-00051","","","","39","30","1","1","5","25","30","20","12","25","3.5","2","4","4","4","28.98","7.23","","","","","5.5","5.22317189","3.323836657","23.74169041","30.5","18.03278689","28.98","76.92307692","37","0.291666667","0.08","0.148648649","1.233333333","0.948717949","0.4","0.307692308","0.183333333","0.141025641","0.833333333","0.641025641","32.43243243","1.5939","4.320987654","6.790123457","30.86419753","1.513675214","1.967777778","28.9648623","37.65432099"
"","","MZP2010CKE-AT05","","","","","","","","","MZP2010CKE-AT05-00052","","","","39","34","1","1","9","43","24","11","10","10","2","1","4","4","4","33.31","0.02","","","","","3","2.849002849","1.899335233","40.8357075","46","6.52173913","33.31","61.53846154","20","0.2","0.1","0.15","0.833333333","0.512820513","0.416666667","0.256410256","0.125","0.076923077","1.791666667","1.102564103","50","0.9993","3.086419753","4.62962963","66.35802469","0.949002849","1.54212963","43.68471035","70.98765432"
"","","MZP2010CKE-AT05","","","","","","","","","MZP2010CKE-AT05-00053","","","","39","28","1","1","4","10","28","23","38","12","11","1","5","5","5","23.16","14.37","5","2","4","4","12","11.3960114","10.44634378","9.496676163","22","54.54545455","23.16","71.79487179","50","0.289473684","0.083333333","0.24","1.785714286","1.282051282","1.357142857","0.974358974","0.428571429","0.307692308","0.357142857","0.256410256","76","2.7792","14.55026455","15.87301587","13.22751323","2.639316239","3.676190476","20.89268756","29.1005291"
"","","MZP2010CKE-AT05","","","","","","","","","MZP2010CKE-AT05-00054","","","","39","25","1","1","8","21","23","19","16","24","5","5.6","5","5","4","25.52","5.46","5","2","4","4","10.6","10.06647673","4.748338082","19.94301994","31.6","33.5443038","25.52","58.97435897","40","0.3125","0.233333333","0.265","1.739130435","1.025641026","0.695652174","0.41025641","0.460869565","0.271794872","0.913043478","0.538461538","40","2.70512","8.051529791","17.06924316","33.81642512","2.568964862","4.356070853","30.00949668","50.88566828"
"","","MZP2010CKE-AT05","","","","","","","","","MZP2010CKE-AT05-00055","","","","39","38","6","1","9","20","24","17","22","60","3.5","4","4","4","4","26.36","10.5","5","3","4","4","7.5","7.122507123","3.323836657","18.99335233","27.5","27.27272727","26.36","61.53846154","82","0.159090909","0.066666667","0.091463415","3.416666667","2.102564103","0.916666667","0.564102564","0.3125","0.192307692","0.833333333","0.512820513","26.82926829","1.977","5.401234568","11.57407407","30.86419753","1.877492877","3.050925926","26.11585945","42.4382716"
"","","MZP2010CKE-AT05","","","","","","","","","MZP2010CKE-AT05-00056","","","","39","39","1","1","8","25","30","16","14","17","3","2.5","4","4","4","34.53","0.15","","","","","5.5","5.22317189","2.849002849","23.74169041","30.5","18.03278689","34.53","76.92307692","31","0.214285714","0.147058824","0.177419355","1.033333333","0.794871795","0.466666667","0.358974359","0.183333333","0.141025641","0.833333333","0.641025641","45.16129032","1.89915","3.703703704","6.790123457","30.86419753","1.803561254","2.34462963","28.9648623","37.65432099"
"","","MZP2010CKE-AT05","","","","","","","","","MZP2010CKE-AT05-00057","","","","39","28","1","1","9","11","28","17","18","66","5","9","4","4","5","32.8","0.15","5","2","4","4","14","13.29534663","4.748338082","10.44634378","25","56","32.8","71.79487179","84","0.277777778","0.136363636","0.166666667","3","2.153846154","0.642857143","0.461538462","0.5","0.358974359","0.392857143","0.282051282","21.42857143","4.592","6.613756614","18.51851852","14.55026455","4.360873694","6.074074074","23.74169041","33.06878307"
"","","MZP2010CKE-AT05","","","","","","","","","MZP2010CKE-AT05-00058","","","","39","37","1","1","2","12","4","4","17","6","3.5","0.8","4","3","4","34.23","1.74","4","2","5","4","4.3","4.08357075","3.323836657","11.3960114","16.3","26.3803681","34.23","10.25641026","23","0.205882353","0.133333333","0.186956522","5.75","0.58974359","4.25","0.435897436","1.075","0.11025641","3","0.307692308","73.91304348","1.47189","32.40740741","39.81481481","111.1111111","1.397806268","13.62861111","15.47958215","150.9259259"
"","","MZP2010CKE-AT05","","","","","","","","","MZP2010CKE-AT05-00059","","","","39","37","4","1","9","19","25","17","75","24","13","9","4","4","4","30.19","7.76","5","2","4","4","22","20.89268756","12.34567901","18.04368471","41","53.65853659","30.19","64.1025641","99","0.173333333","0.375","0.222222222","3.96","2.538461538","3","1.923076923","0.88","0.564102564","0.76","0.487179487","75.75757576","6.6418","19.25925926","32.59259259","28.14814815","6.307502374","9.839703704","38.93637227","60.74074074"
"","","MZP2010CKE-AT05","","","","","","","","","MZP2010CKE-AT05-00060","","","","39","30","1","1","9","16","22","18","14","49","3.2","2.8","4","4","5","","3.03","5","2","4","4","6","5.698005698","3.038936372","15.19468186","22","27.27272727","","56.41025641","63","0.228571429","0.057142857","0.095238095","2.863636364","1.615384615","0.636363636","0.358974359","0.272727273","0.153846154","0.727272727","0.41025641","22.22222222","","5.387205387","10.1010101","26.93602694","","","20.89268756","37.03703704"
"","","MZP2010CKE-AT05","","","","","","","","","MZP2010CKE-AT05-00061","","","","39","35","1","1","2","21","20","20","11","13","1","2","3","3","4","35.64","7.23","","","","","3","2.849002849","0.949667616","19.94301994","24","12.5","35.64","51.28205128","24","0.090909091","0.153846154","0.125","1.2","0.615384615","0.55","0.282051282","0.15","0.076923077","1.05","0.538461538","45.83333333","1.0692","1.851851852","5.555555556","38.88888889","1.015384615","1.98","22.79202279","44.44444444"
"","","MZP2010CKE-AT05","","","","","","","","","MZP2010CKE-AT05-00062","","","","39","31","4","1","9","18","22","22","13","38","3","2","4","4","4","","3.03","2","2","3","4","5","4.748338082","2.849002849","17.09401709","23","21.73913043","","56.41025641","51","0.230769231","0.052631579","0.098039216","2.318181818","1.307692308","0.590909091","0.333333333","0.227272727","0.128205128","0.818181818","0.461538462","25.49019608","","5.050505051","8.417508418","30.3030303","","","21.84235518","38.72053872"
"","","MZP2010CKE-AT05","","","","","","","","","MZP2010CKE-AT05-00063","","","","39","19","1","1","9","15","19","16","23","13","4.2","1","4","4","5","","6.12","3","3","3","3","5.2","4.938271605","3.988603989","14.24501425","20.2","25.74257426","","48.71794872","36","0.182608696","0.076923077","0.144444444","1.894736842","0.923076923","1.210526316","0.58974359","0.273684211","0.133333333","0.789473684","0.384615385","63.88888889","","8.187134503","10.13645224","29.23976608","","","19.18328585","39.37621832"
"","","MZP2010CKE-AT05","","","","","","","","","MZP2010CKE-AT05-00064","","","","39","32","6","1","9","20","29","29","75","30","16","2.2","5","5","4","38.17","10.5","5","2","4","4","18.2","17.28395062","15.19468186","18.99335233","38.2","47.64397906","38.17","74.35897436","105","0.213333333","0.073333333","0.173333333","3.620689655","2.692307692","2.586206897","1.923076923","0.627586207","0.466666667","0.689655172","0.512820513","71.42857143","6.94694","20.43422733","23.24393359","25.54278416","6.597283951","8.872209451","36.27730294","48.78671775"
"","","MZP2010CKE-AT05","","","","","","","","","MZP2010CKE-AT05-00065","","","","39","39","1","1","8","17","22","16","20","12","4.5","1.3","4","4","5","29.71","7.23","4","2","4","4","5.8","5.508072175","4.273504274","16.14434948","22.8","25.43859649","29.71","56.41025641","32","0.225","0.108333333","0.18125","1.454545455","0.820512821","0.909090909","0.512820513","0.263636364","0.148717949","0.772727273","0.435897436","62.5","1.72318","7.575757576","9.764309764","28.61952862","1.636448243","2.900976431","21.65242165","38.38383838"
"","","MZP2010CKE-AT05","","","","","","","","","MZP2010CKE-AT05-00066","","","","39","37","4","1","4","8","23","20","27","20","3","2","4","4","5","28.29","12.39","4","2","3","4","5","4.748338082","2.849002849","7.597340931","13","38.46153846","28.29","58.97435897","47","0.111111111","0.1","0.106382979","2.043478261","1.205128205","1.173913043","0.692307692","0.217391304","0.128205128","0.347826087","0.205128205","57.44680851","1.4145","4.830917874","8.051529791","12.88244767","1.343304843","2.277777778","12.34567901","20.93397746"
"","","MZP2010CKE-AT05","","","","","","","","","MZP2010CKE-AT05-00067","","","","39","30","4","1","9","17","30","18","17","34","2.2","4.5","4","4","4","26.15","14.37","","","","","6.7","6.362773029","2.089268756","16.14434948","23.7","28.27004219","26.15","76.92307692","51","0.129411765","0.132352941","0.131372549","1.7","1.307692308","0.566666667","0.435897436","0.223333333","0.171794872","0.566666667","0.435897436","33.33333333","1.75205","2.716049383","8.271604938","20.98765432","1.663865147","2.163024691","22.50712251","29.25925926"
"","","MZP2010CKE-AT05","","","","","","","","","MZP2010CKE-AT05-00068","","","","39","27","1","1","9","13","27","24","15","14","2","1","4","4","4","28.62","1.65","","","","","3","2.849002849","1.899335233","12.34567901","16","18.75","28.62","69.23076923","29","0.133333333","0.071428571","0.103448276","1.074074074","0.743589744","0.555555556","0.384615385","0.111111111","0.076923077","0.481481481","0.333333333","51.72413793","0.8586","2.743484225","4.115226337","17.83264746","0.815384615","1.177777778","15.19468186","21.9478738"
"","","MZP2010CKE-AT05","","","","","","","","","MZP2010CKE-AT05-00069","","","","39","18","3","1","9","20","18","18","15","37","4","5","4","4","4","29.75","0.15","","","","","9","8.547008547","3.798670465","18.99335233","29","31.03448276","29.75","46.15384615","52","0.266666667","0.135135135","0.173076923","2.888888889","1.333333333","0.833333333","0.384615385","0.5","0.230769231","1.111111111","0.512820513","28.84615385","2.6775","8.230452675","18.51851852","41.15226337","2.542735043","5.509259259","27.54036087","59.67078189"
"","","MZP2010CKE-AT05","","","","","","","","","MZP2010CKE-AT05-00070","","","","39","27","1","1","9","35","26","12","10","10","2.5","1","4","4","4","28.27","0.02","5","3","5","4","3.5","3.323836657","2.374169041","33.23836657","38.5","9.090909091","28.27","66.66666667","20","0.25","0.1","0.175","0.769230769","0.512820513","0.384615385","0.256410256","0.134615385","0.08974359","1.346153846","0.897435897","50","0.98945","3.561253561","4.985754986","49.85754986","0.939648623","1.409472934","36.56220323","54.84330484"
"","","MZP2010CKE-AT05","","","","","","","","","MZP2010CKE-AT05-00071","","","","39","39","3","1","8","12","32","23","46","22","11","1.8","5","5","5","24.65","14.37","4","2","3","4","12.8","12.15574549","10.44634378","11.3960114","24.8","51.61290323","24.65","82.05128205","68","0.239130435","0.081818182","0.188235294","2.125","1.743589744","1.4375","1.179487179","0.4","0.328205128","0.375","0.307692308","67.64705882","3.1552","12.73148148","14.81481481","13.88888889","2.996391263","3.651851852","23.55175689","28.7037037"
"","","MZP2010CKE-AT05","","","","","","","","","MZP2010CKE-AT05-00072","","","","39","38","1","1","8","10","17","13","8","11","2.2","2.8","4","4","4","24.93","7.23","5","2","4","4","5","4.748338082","2.089268756","9.496676163","15","33.33333333","24.93","43.58974359","19","0.275","0.254545455","0.263157895","1.117647059","0.487179487","0.470588235","0.205128205","0.294117647","0.128205128","0.588235294","0.256410256","42.10526316","1.2465","4.793028322","10.89324619","21.78649237","1.183760684","2.715686275","14.24501425","32.67973856"
