"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Weight of vines per NET plot in kg|CO_331:0000227","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Fiber content in raw storage roots estimating 1-9|CO_331:0001038","Content of total sugars estimating 1-9|CO_331:0000766","Content of starch in raw storage roots estimating 1-9|CO_331:0001055","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Total storage root weight per NET plot in kg|CO_331:0000237","Total storage roots yield computation tons per ha|CO_331:0000296","Commercial storage root yield tons per ha|CO_331:0000809","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in kg per plot|CO_331:0000683","Harvest index computing percent|CO_331:0000302","Storage root dry matter content computing percent|CO_331:0000297","Survival index computing percent|CO_331:0000301","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2010CKE-AT05","","","","","","","","","MZP2010CKE-AT05-00011","","","","39","39","1","1","9","19","30","28","73","27","13","3.8","4","5","5","30.71","7.23","5","2","3","4","16.8","15.95441595","12.34567901","18.04368471","35.8","46.9273743","30.71","76.92307692","100","0.178082192","0.140740741","0.168","3.333333333","2.564102564","2.433333333","1.871794872","0.56","0.430769231","0.633333333","0.487179487","73","5.15928","16.04938272","20.74074074","23.45679012","4.89960114","6.369481481","33.99810066","44.19753086"
"","","MZP2010CKE-AT05","","","","","","","","","MZP2010CKE-AT05-00012","","","","39","39","1","1","9","20.5","31","16","38","28","5","1.2","5","3","5","30.18","7.76","4","2","3","4","6.2","5.887939221","4.748338082","19.46818613","26.7","23.22097378","30.18","79.48717949","66","0.131578947","0.042857143","0.093939394","2.129032258","1.692307692","1.225806452","0.974358974","0.2","0.158974359","0.661290323","0.525641026","57.57575758","1.87116","5.973715651","7.407407407","24.49223417","1.776980057","2.235555556","25.35612536","31.89964158"
"","","MZP2010CKE-AT05","","","","","","","","","MZP2010CKE-AT05-00013","","","","39","39","1","1","9","18.5","22","19","20","57","6.8","6.5","4","4","4","26.24","14.37","4","2","3","5","13.3","12.6305793","6.457739791","17.5688509","31.8","41.82389937","26.24","56.41025641","77","0.34","0.114035088","0.172727273","3.5","1.974358974","0.909090909","0.512820513","0.604545455","0.341025641","0.840909091","0.474358974","25.97402597","3.48992","11.44781145","22.39057239","31.14478114","3.314264008","5.875286195","30.1994302","53.53535354"
"","","MZP2010CKE-AT05","","","","","","","","","MZP2010CKE-AT05-00014","","","","39","39","1","1","9","12.5","25","25","105","98","20","8","4","4","4","29.69","6.12","3","2","4","4","28","26.59069326","18.99335233","11.8708452","40.5","69.13580247","29.69","64.1025641","203","0.19047619","0.081632653","0.137931034","8.12","5.205128205","4.2","2.692307692","1.12","0.717948718","0.5","0.320512821","51.72413793","8.3132","29.62962963","41.48148148","18.51851852","7.894776828","12.31585185","38.46153846","60"
"","","MZP2010CKE-AT05","","","","","","","","","MZP2010CKE-AT05-00015","","","","39","39","1","1","9","37","24","18","11","39","2.8","2","4","3","5","","1.5","5","2","4","4","4.8","4.558404558","2.659069326","35.1377018","41.8","11.48325359","","61.53846154","50","0.254545455","0.051282051","0.096","2.083333333","1.282051282","0.458333333","0.282051282","0.2","0.123076923","1.541666667","0.948717949","22","","4.320987654","7.407407407","57.09876543","","","39.69610636","64.50617284"
"","","MZP2010CKE-AT05","","","","","","","","","MZP2010CKE-AT05-00016","","","","39","39","1","1","9","25.5","30","13","14","15","3","1.5","4","4","5","","0.02","5","3","5","3","4.5","4.273504274","2.849002849","24.21652422","30","15","","76.92307692","29","0.214285714","0.1","0.155172414","0.966666667","0.743589744","0.466666667","0.358974359","0.15","0.115384615","0.85","0.653846154","48.27586207","","3.703703704","5.555555556","31.48148148","","","28.49002849","37.03703704"
"","","MZP2010CKE-AT05","","","","","","","","","MZP2010CKE-AT05-00017","","","","39","39","1","1","9","23","32","30","83","80","14","4","4","4","4","26.05","14.37","4","2","4","4","18","17.09401709","13.29534663","21.84235518","41","43.90243902","26.05","82.05128205","163","0.168674699","0.05","0.110429448","5.09375","4.179487179","2.59375","2.128205128","0.5625","0.461538462","0.71875","0.58974359","50.9202454","4.689","16.2037037","20.83333333","26.62037037","4.452991453","5.427083333","38.93637227","47.4537037"
"","","MZP2010CKE-AT05","","","","","","","","","MZP2010CKE-AT05-00018","","","","39","30","1","1","8","19","28","15","24","20","9","2.5","5","5","4","25.17","7.23","4","2","4","4","11.5","10.92117759","8.547008547","18.04368471","30.5","37.70491803","25.17","71.79487179","44","0.375","0.125","0.261363636","1.571428571","1.128205128","0.857142857","0.615384615","0.410714286","0.294871795","0.678571429","0.487179487","54.54545455","2.89455","11.9047619","15.21164021","25.13227513","2.748860399","3.828769841","28.9648623","40.34391534"
"","","MZP2010CKE-AT05","","","","","","","","","MZP2010CKE-AT05-00019","","","","39","39","1","1","9","35","31","31","80","88","17","6","5","5","4","31.05","7.76","4","3","3","4","23","21.84235518","16.14434948","33.23836657","58","39.65517241","31.05","79.48717949","168","0.2125","0.068181818","0.136904762","5.419354839","4.307692308","2.580645161","2.051282051","0.741935484","0.58974359","1.129032258","0.897435897","47.61904762","7.1415","20.31063321","27.479092","41.81600956","6.782051282","8.532258065","55.08072175","69.29510155"
"","","MZP2010CKE-AT05","","","","","","","","","MZP2010CKE-AT05-00020","","","","39","39","1","1","9","29","24","20","30","16","7","2","4","4","4","","1.65","2","2","3","4","9","8.547008547","6.647673314","27.54036087","38","23.68421053","","61.53846154","46","0.233333333","0.125","0.195652174","1.916666667","1.179487179","1.25","0.769230769","0.375","0.230769231","1.208333333","0.743589744","65.2173913","","10.80246914","13.88888889","44.75308642","","","36.08736942","58.64197531"
"","","MZP2010CKE-AT05","","","","","","","","","MZP2010CKE-AT05-00021","","","","39","39","1","1","9","23","32","21","28","50","7","10","4","4","2","32.16","6.12","5","1","3","5","17","16.14434948","6.647673314","21.84235518","40","42.5","32.16","82.05128205","78","0.25","0.2","0.217948718","2.4375","2","0.875","0.717948718","0.53125","0.435897436","0.71875","0.58974359","35.8974359","5.4672","8.101851852","19.67592593","26.62037037","5.192022792","6.327777778","37.98670465","46.2962963"
"","","MZP2010CKE-AT05","","","","","","","","","MZP2010CKE-AT05-00022","","","","39","39","1","1","8","26","36","15","25","46","5.2","2","4","4","4","27.82","1.74","5","2","4","4","7.2","6.837606838","4.938271605","24.69135802","33.2","21.68674699","27.82","92.30769231","71","0.208","0.043478261","0.101408451","1.972222222","1.820512821","0.694444444","0.641025641","0.2","0.184615385","0.722222222","0.666666667","35.21126761","2.00304","5.349794239","7.407407407","26.74897119","1.902222222","2.060740741","31.52896486","34.1563786"
"","","MZP2010CKE-AT05","","","","","","","","","MZP2010CKE-AT05-00023","","","","39","39","1","1","9","21","25","22","65","26","14","5","4","4","4","28.43","1.5","5","3","3","4","19","18.04368471","13.29534663","19.94301994","40","47.5","28.43","64.1025641","91","0.215384615","0.192307692","0.208791209","3.64","2.333333333","2.6","1.666666667","0.76","0.487179487","0.84","0.538461538","71.42857143","5.4017","20.74074074","28.14814815","31.11111111","5.129819563","8.002518519","37.98670465","59.25925926"
"","","MZP2010CKE-AT05","","","","","","","","","MZP2010CKE-AT05-00024","","","","39","39","1","1","9","27","38","22","45","19","10","3","4","4","4","30.32","1.65","","","","","13","12.34567901","9.496676163","25.64102564","40","32.5","30.32","97.43589744","64","0.222222222","0.157894737","0.203125","1.684210526","1.641025641","1.184210526","1.153846154","0.342105263","0.333333333","0.710526316","0.692307692","70.3125","3.9416","9.746588694","12.6705653","26.31578947","3.743209877","3.8417154","37.98670465","38.98635478"
"","","MZP2010CKE-AT05","","","","","","","","","MZP2010CKE-AT05-00025","","","","39","39","1","1","9","11","23","14","11","20","1.8","1.2","4","4","4","","7.23","5","2","4","4","3","2.849002849","1.709401709","10.44634378","14","21.42857143","","58.97435897","31","0.163636364","0.06","0.096774194","1.347826087","0.794871795","0.47826087","0.282051282","0.130434783","0.076923077","0.47826087","0.282051282","35.48387097","","2.898550725","4.830917874","17.71336554","","","13.29534663","22.54428341"
"","","MZP2010CKE-AT05","","","","","","","","","MZP2010CKE-AT05-00026","","","","39","39","1","1","9","25","18","12","22","16","5","2.6","4","4","5","30.15","5.49","","","","","7.6","7.217473884","4.748338082","23.74169041","32.6","23.31288344","30.15","46.15384615","38","0.227272727","0.1625","0.2","2.111111111","0.974358974","1.222222222","0.564102564","0.422222222","0.194871795","1.388888889","0.641025641","57.89473684","2.2914","10.28806584","15.63786008","51.44032922","2.176068376","4.714814815","30.95916429","67.0781893"
"","","MZP2010CKE-AT05","","","","","","","","","MZP2010CKE-AT05-00027","","","","39","39","1","1","9","9","22","22","55","40","13","4","4","4","4","32.39","14.37","","","","","17","16.14434948","12.34567901","8.547008547","26","65.38461538","32.39","56.41025641","95","0.236363636","0.1","0.178947368","4.318181818","2.435897436","2.5","1.41025641","0.772727273","0.435897436","0.409090909","0.230769231","57.89473684","5.5063","21.88552189","28.61952862","15.15151515","5.229154796","9.26986532","24.69135802","43.77104377"
"","","MZP2010CKE-AT05","","","","","","","","","MZP2010CKE-AT05-00028","","","","39","39","1","1","9","24","30","21","90","89","19","6","5","5","4","35.52","7.23","5","2","5","4","25","23.74169041","18.04368471","22.79202279","49","51.02040816","35.52","76.92307692","179","0.211111111","0.06741573","0.139664804","5.966666667","4.58974359","3","2.307692308","0.833333333","0.641025641","0.8","0.615384615","50.27932961","8.88","23.45679012","30.86419753","29.62962963","8.433048433","10.96296296","46.5337132","60.49382716"
"","","MZP2010CKE-AT05","","","","","","","","","MZP2010CKE-AT05-00029","","","","39","39","1","1","9","33","23","11","46","30","10.2","2.2","5","4","4","32.27","5.46","4","2","5","4","12.4","11.77587844","9.686609687","31.33903134","45.4","27.31277533","32.27","58.97435897","76","0.22173913","0.073333333","0.163157895","3.304347826","1.948717949","2","1.179487179","0.539130435","0.317948718","1.434782609","0.846153846","60.52631579","4.00148","16.42512077","19.96779388","53.14009662","3.800075973","6.443607085","43.11490978","73.1078905"
