"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Weight of vines per NET plot in kg|CO_331:0000227","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Content of total sugars estimating 1-9|CO_331:0000766","Content of starch in raw storage roots estimating 1-9|CO_331:0001055","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2009CKE-AT02","","","","","","","","","MZP2009CKE-AT02-00045","","","","39","39","1","1","9","10.2","23","20","37","19","5.5","0.5","4","3","4","7.76","5","3","5","4","6","16.2","56","0.148648649","0.026315789","0.107142857","2.434782609","1.435897436","1.608695652","0.948717949","0.260869565","0.153846154","0.443478261","0.261538462","66.07142857","37.03703704","58.97435897","5.22317189","8.85668277","5.698005698","9.661835749","9.686609687","16.42512077","15.38461538","26.08695652"
"","","MZP2009CKE-AT02","","","","","","","","","MZP2009CKE-AT02-00046","","","","39","39","1","1","9","30","26","24","47","41","6.5","1.5","4","4","4","11.03","5","2","4","4","8","38","88","0.138297872","0.036585366","0.090909091","3.384615385","2.256410256","1.807692308","1.205128205","0.307692308","0.205128205","1.153846154","0.769230769","53.40909091","21.05263158","66.66666667","6.172839506","9.259259259","7.597340931","11.3960114","28.49002849","42.73504274","36.08736942","54.13105413"
"","","MZP2009CKE-AT02","","","","","","","","","MZP2009CKE-AT02-00047","","","","39","37","1","1","9","8.4","26","23","50","88","8","3.8","4","3","4","12.39","4","2","4","4","11.8","20.2","138","0.16","0.043181818","0.085507246","5.307692308","3.538461538","1.923076923","1.282051282","0.453846154","0.302564103","0.323076923","0.215384615","36.23188406","58.41584158","66.66666667","7.597340931","11.3960114","11.20607787","16.80911681","7.977207977","11.96581197","19.18328585","28.77492877"
"","","MZP2009CKE-AT02","","","","","","","","","MZP2009CKE-AT02-00048","","","","39","38","1","1","9","7.5","23","22","30","120","6","5","3","3","4","14.37","5","3","3","3","11","18.5","150","0.2","0.041666667","0.073333333","6.52173913","3.846153846","1.304347826","0.769230769","0.47826087","0.282051282","0.326086957","0.192307692","20","59.45945946","58.97435897","5.698005698","9.661835749","10.44634378","17.71336554","7.122507123","12.07729469","17.5688509","29.79066023"
"","","MZP2009CKE-AT02","","","","","","","","","MZP2009CKE-AT02-00049","","","","39","39","1","1","9","14","25","20","30","48","2.8","1.3","3","4","5","1.5","5","3","4","3","4.1","18.1","78","0.093333333","0.027083333","0.052564103","3.12","2","1.2","0.769230769","0.164","0.105128205","0.56","0.358974359","38.46153846","22.6519337","64.1025641","2.659069326","4.148148148","3.893637227","6.074074074","13.29534663","20.74074074","17.18898386","26.81481481"
"","","MZP2009CKE-AT02","","","","","","","","","MZP2009CKE-AT02-00050","","","","39","37","1","4","9","8","18","15","55","75","9.5","11.5","5","4","4","7.76","5","3","4","4","21","29","130","0.172727273","0.153333333","0.161538462","7.222222222","3.333333333","3.055555556","1.41025641","1.166666667","0.538461538","0.444444444","0.205128205","42.30769231","72.4137931","46.15384615","9.021842355","19.5473251","19.94301994","43.20987654","7.597340931","16.46090535","27.54036087","59.67078189"
"","","MZP2009CKE-AT02","","","","","","","","","MZP2009CKE-AT02-00051","","","","39","36","1","1","9","17.5","21","15","18","29","1","1.2","3","3","5","14.37","4","2","3","4","2.2","19.7","47","0.055555556","0.04137931","0.046808511","2.238095238","1.205128205","0.857142857","0.461538462","0.104761905","0.056410256","0.833333333","0.448717949","38.29787234","11.16751269","53.84615385","0.949667616","1.76366843","2.089268756","3.880070547","16.61918329","30.86419753","18.70845204","34.74426808"
"","","MZP2009CKE-AT02","","","","","","","","","MZP2009CKE-AT02-00052","","","","39","19","1","1","7","21.5","19","15","14","38","1.2","1","3","2","4","12.39","5","2","3","4","2.2","23.7","52","0.085714286","0.026315789","0.042307692","2.736842105","1.333333333","0.736842105","0.358974359","0.115789474","0.056410256","1.131578947","0.551282051","26.92307692","9.282700422","48.71794872","1.13960114","2.339181287","2.089268756","4.288499025","20.41785375","41.91033138","22.50712251","46.19883041"
"","","MZP2009CKE-AT02","","","","","","","","","MZP2009CKE-AT02-00053","","","","39","39","1","1","9","26","27","21","140","136","4.5","4.5","3","4","4","14.37","5","2","4","4","9","35","276","0.032142857","0.033088235","0.032608696","10.22222222","7.076923077","5.185185185","3.58974359","0.333333333","0.230769231","0.962962963","0.666666667","50.72463768","25.71428571","69.23076923","4.273504274","6.172839506","8.547008547","12.34567901","24.69135802","35.66529492","33.23836657","48.01097394"
"","","MZP2009CKE-AT02","","","","","","","","","MZP2009CKE-AT02-00054","","","","39","28","1","1","8","17","16","9","0","21","0","0.8","4","3","5","0.02","3","3","3","3","0.8","17.8","21","","0.038095238","0.038095238","1.3125","0.538461538","0","0","0.05","0.020512821","1.0625","0.435897436","0","4.494382022","41.02564103","0","0","0.759734093","1.851851852","16.14434948","39.35185185","16.90408357","41.2037037"
"","","MZP2009CKE-AT02","","","","","","","","","MZP2009CKE-AT02-00055","","","","39","33","1","1","8","8.5","20","18","75","107","13.5","4.2","4","4","4","14.37","","","","","17.7","26.2","182","0.18","0.039252336","0.097252747","9.1","4.666666667","3.75","1.923076923","0.885","0.453846154","0.425","0.217948718","41.20879121","67.55725191","51.28205128","12.82051282","25","16.80911681","32.77777778","8.072174739","15.74074074","24.88129155","48.51851852"
"","","MZP2009CKE-AT02","","","","","","","","","MZP2009CKE-AT02-00056","","","","39","39","1","1","9","10","18","16","23","46","3.8","5.2","4","4","3","4.92","5","2","3","4","9","19","69","0.165217391","0.113043478","0.130434783","3.833333333","1.769230769","1.277777778","0.58974359","0.5","0.230769231","0.555555556","0.256410256","33.33333333","47.36842105","46.15384615","3.608736942","7.818930041","8.547008547","18.51851852","9.496676163","20.57613169","18.04368471","39.09465021"
