"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Content of total sugars estimating 1-9|CO_331:0000766","Content of starch in raw storage roots estimating 1-9|CO_331:0001055","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","treatment_irrigation","treatment_non_irrigation"
"","","MZP2013UMB-ST02","","","","","","","","","MZP2013UMB-ST02-00001","","","","26","18","1","1","7","13","10","14","19","6","13","16","9","5","5","5","5","3","5","","","","","","","","","","","19","35","33","0.428571429","0.684210526","0.575757576","2.538461538","1.269230769","1.076923077","0.538461538","1.461538462","0.730769231","1.230769231","0.615384615","42.42424242","54.28571429","50","8.547008547","17.09401709","27.06552707","54.13105413","22.79202279","45.58404558","49.85754986","99.71509972","1",""
"","","MZP2013UMB-ST02","","","","","","","","","MZP2013UMB-ST02-00002","","","","26","19","1","1","7","9","7","11","18","5","1.2","12.8","3","3","1","3","3","3","5","","","","","","","","","","","6.2","19","29","0.454545455","0.066666667","0.213793103","3.222222222","1.115384615","1.222222222","0.423076923","0.688888889","0.238461538","1.422222222","0.492307692","37.93103448","32.63157895","34.61538462","7.122507123","20.57613169","8.831908832","25.51440329","18.23361823","52.67489712","27.06552707","78.18930041","1",""
"","","MZP2013UMB-ST02","","","","","","","","","MZP2013UMB-ST02-00003","","","","26","12","4","3","4","12","9","12","14","7","2","16","3","3","3","1","1","3","3","4.14","2.01","0.91","96.05","85.93","41.84","62.75","6.19","8.92","7.83","9","25","26","0.583333333","0.142857143","0.346153846","2.166666667","1","1","0.461538462","0.75","0.346153846","1.333333333","0.615384615","46.15384615","36","46.15384615","9.971509972","21.60493827","12.82051282","27.77777778","22.79202279","49.38271605","35.61253561","77.16049383","1",""
"","","MZP2013UMB-ST02","","","","","","","","","MZP2013UMB-ST02-00004","","","","26","8","1","1","2","8","7","4","8","1","3","2","1","3","3","1","1","3","5","2.33","2","0.74","35.9","72.68","52.07","32.13","11.25","15.83","33.42","4","6","12","0.25","0.375","0.333333333","1.5","0.461538462","0.5","0.153846154","0.5","0.153846154","0.25","0.076923077","33.33333333","66.66666667","30.76923077","1.424501425","4.62962963","5.698005698","18.51851852","2.849002849","9.259259259","8.547008547","27.77777778","1",""
"","","MZP2013UMB-ST02","","","","","","","","","MZP2013UMB-ST02-00005","","","","26","16","1","1","7","16","4","4","9","1","0.4","44","1","1","1","3","5","3","5","4.26","2.52","1.15","69.11","75.65","72.26","61.35","2.82","4.45","14.57","1.4","45.4","13","0.25","0.044444444","0.107692308","0.8125","0.5","0.25","0.153846154","0.0875","0.053846154","2.75","1.692307692","30.76923077","3.083700441","61.53846154","1.424501425","2.314814815","1.994301994","3.240740741","62.67806268","101.8518519","64.67236467","105.0925926","1",""
"","","MZP2013UMB-ST02","","","","","","","","","MZP2013UMB-ST02-00006","","","","26","18","1","1","9","12","9","29","10","8","1","40","1","3","1","1","3","1","1","3.76","2.46","1.27","197.24","108.12","79.6","54.09","4.24","6.23","22.67","9","49","39","0.275862069","0.1","0.230769231","3.25","1.5","2.416666667","1.115384615","0.75","0.346153846","3.333333333","1.538461538","74.35897436","18.36734694","46.15384615","11.3960114","24.69135802","12.82051282","27.77777778","56.98005698","123.4567901","69.8005698","151.2345679","1",""
"","","MZP2013UMB-ST02","","","","","","","","","MZP2013UMB-ST02-00007","","","","26","19","1","1","9","17","14","23","17","5","11","23","1","3","1","1","5","3","3","1.27","1.73","0.68","","25.25","41.99","40.81","12.86","17.3","12.88","16","39","40","0.217391304","0.647058824","0.4","2.352941176","1.538461538","1.352941176","0.884615385","0.941176471","0.615384615","1.352941176","0.884615385","57.5","41.02564103","65.38461538","7.122507123","10.89324619","22.79202279","34.8583878","32.76353276","50.10893246","55.55555556","84.96732026","1",""
"","","MZP2013UMB-ST02","","","","","","","","","MZP2013UMB-ST02-00008","","","","26","26","1","1","9","11","7","15","9","4","0.4","40","1","1","1","1","5","3","3","4.08","2.37","0.96","","72.87","61.71","57.89","2.93","4.32","19.43","4.4","44.4","24","0.266666667","0.044444444","0.183333333","2.181818182","0.923076923","1.363636364","0.576923077","0.4","0.169230769","3.636363636","1.538461538","62.5","9.90990991","42.30769231","5.698005698","13.46801347","6.267806268","14.81481481","56.98005698","134.6801347","63.24786325","149.4949495","1",""
"","","MZP2013UMB-ST02","","","","","","","","","MZP2013UMB-ST02-00009","","","","26","13","4","3","4","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.92307692","","","","","","","","","1",""
"","","MZP2013UMB-ST02","","","","","","","","","MZP2013UMB-ST02-00010","","","","26","15","1","1","6","15","12","21","46","6","3","10","1","1","3","1","3","3","3","","","","","","","","","","","9","19","67","0.285714286","0.065217391","0.134328358","4.466666667","2.576923077","1.4","0.807692308","0.6","0.346153846","0.666666667","0.384615385","31.34328358","47.36842105","57.69230769","8.547008547","14.81481481","12.82051282","22.22222222","14.24501425","24.69135802","27.06552707","46.91358025","1",""
"","","MZP2013UMB-ST02","","","","","","","","","MZP2013UMB-ST02-00011","","","","26","14","1","1","5","14","14","27","34","9.5","3","22","1","1","1","1","5","3","5","","","","","","","","","","","12.5","34.5","61","0.351851852","0.088235294","0.204918033","4.357142857","2.346153846","1.928571429","1.038461538","0.892857143","0.480769231","1.571428571","0.846153846","44.26229508","36.23188406","53.84615385","13.53276353","25.13227513","17.80626781","33.06878307","31.33903134","58.2010582","49.14529915","91.26984127","1",""
