"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2009GUR-OT01","","","","","","","","","MZP2009GUR-OT01-00011","","","","5","5","1","1","4","4","4","11","0","4.6","0","2.5","4","4","4","4.92","4.6","7.1","11","0.418181818","","0.418181818","2.75","2.2","2.75","2.2","1.15","0.92","0.625","0.5","100","64.78873239","80","34.07407407","42.59259259","34.07407407","42.59259259","18.51851852","23.14814815","52.59259259","65.74074074"
"","","MZP2009GUR-OT01","","","","","","","","","MZP2009GUR-OT01-00012","","","","5","5","1","1","4","4","4","4","11","1.5","0.7","8.5","3","3","5","7.23","2.2","10.7","15","0.375","0.063636364","0.146666667","3.75","3","1","0.8","0.55","0.44","2.125","1.7","26.66666667","20.56074766","80","11.11111111","13.88888889","16.2962963","20.37037037","62.96296296","78.7037037","79.25925926","99.07407407"
"","","MZP2009GUR-OT01","","","","","","","","","MZP2009GUR-OT01-00013","","","","5","5","1","1","5","4","4","9","19","3.4","1","3","3","3","5","10.5","4.4","7.4","28","0.377777778","0.052631579","0.157142857","7","5.6","2.25","1.8","1.1","0.88","0.75","0.6","32.14285714","59.45945946","80","25.18518519","31.48148148","32.59259259","40.74074074","22.22222222","27.77777778","54.81481481","68.51851852"
"","","MZP2009GUR-OT01","","","","","","","","","MZP2009GUR-OT01-00014","","","","5","5","1","1","5","4","4","6","3","3.1","0.3","2.5","4","4","4","0.15","3.4","5.9","9","0.516666667","0.1","0.377777778","2.25","1.8","1.5","1.2","0.85","0.68","0.625","0.5","66.66666667","57.62711864","80","22.96296296","28.7037037","25.18518519","31.48148148","18.51851852","23.14814815","43.7037037","54.62962963"
"","","MZP2009GUR-OT01","","","","","","","","","MZP2009GUR-OT01-00015","","","","5","5","1","1","4","4","4","10","9","3","1","4.9","3","3","4","5.46","4","8.9","19","0.3","0.111111111","0.210526316","4.75","3.8","2.5","2","1","0.8","1.225","0.98","52.63157895","44.94382022","80","22.22222222","27.77777778","29.62962963","37.03703704","36.2962963","45.37037037","65.92592593","82.40740741"
"","","MZP2009GUR-OT01","","","","","","","","","MZP2009GUR-OT01-00016","","","","5","5","1","1","4","4","3","8","5","2","1","3","3","3","5","3.03","3","6","13","0.25","0.2","0.230769231","3.25","2.6","2","1.6","0.75","0.6","0.75","0.6","61.53846154","50","80","14.81481481","18.51851852","22.22222222","27.77777778","22.22222222","27.77777778","44.44444444","55.55555556"
"","","MZP2009GUR-OT01","","","","","","","","","MZP2009GUR-OT01-00017","","","","5","5","1","1","5","4","4","8","10","4","0.9","3","4","4","5","5.46","4.9","7.9","18","0.5","0.09","0.272222222","4.5","3.6","2","1.6","1.225","0.98","0.75","0.6","44.44444444","62.02531646","80","29.62962963","37.03703704","36.2962963","45.37037037","22.22222222","27.77777778","58.51851852","73.14814815"
"","","MZP2009GUR-OT01","","","","","","","","","MZP2009GUR-OT01-00018","","","","5","5","2","3","5","3","3","8","6","4","0.7","3.7","4","5","5","7.23","4.7","8.4","14","0.5","0.116666667","0.335714286","4.666666667","2.8","2.666666667","1.6","1.566666667","0.94","1.233333333","0.74","57.14285714","55.95238095","60","29.62962963","49.38271605","34.81481481","58.02469136","27.40740741","45.67901235","62.22222222","103.7037037"
"","","MZP2009GUR-OT01","","","","","","","","","MZP2009GUR-OT01-00019","","","","5","5","1","1","4","4","4","15","2","4.3","0.3","3.8","4","5","4","4.61","4.6","8.4","17","0.286666667","0.15","0.270588235","4.25","3.4","3.75","3","1.15","0.92","0.95","0.76","88.23529412","54.76190476","80","31.85185185","39.81481481","34.07407407","42.59259259","28.14814815","35.18518519","62.22222222","77.77777778"
"","","MZP2009GUR-OT01","","","","","","","","","MZP2009GUR-OT01-00020","","","","5","5","1","2","5","4","4","7","16","1.6","1.3","4.1","3","3","5","3.03","2.9","7","23","0.228571429","0.08125","0.126086957","5.75","4.6","1.75","1.4","0.725","0.58","1.025","0.82","30.43478261","41.42857143","80","11.85185185","14.81481481","21.48148148","26.85185185","30.37037037","37.96296296","51.85185185","64.81481481"
