"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Content of total sugars estimating 1-9|CO_331:0000766","Content of starch in raw storage roots estimating 1-9|CO_331:0001055","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","treatment_irrigated","treatment_non_irrigated"
"","","MZP2012CKE-ST02","","","","","","","","","MZP2012CKE-ST02-00051","","","","26","26","1","1","9","19","17","38","85","5.5","6.5","25","6","5","1","3","3","7","7","5.4","1.96","1.19","67.55","11.833","57.56","4.1","5.95","9.37","12","37","123","0.144736842","0.076470588","0.097560976","6.473684211","4.730769231","2","1.461538462","0.631578947","0.461538462","1.315789474","0.961538462","30.89430894","32.43243243","73.07692308","7.834757835","10.72124756","17.09401709","23.39181287","35.61253561","48.73294347","52.70655271","72.12475634","1",""
"","","MZP2012CKE-ST02","","","","","","","","","MZP2012CKE-ST02-00052","","","","26","20","1","1","5","20","20","21","41","2.8","3.5","12.6","5","4","1","1","5","7","3","4.29","1.9","1.19","83.51","36.236","58.57","3.67","5.43","9.6","6.3","18.9","62","0.133333333","0.085365854","0.101612903","3.1","2.384615385","1.05","0.807692308","0.315","0.242307692","0.63","0.484615385","33.87096774","33.33333333","76.92307692","3.988603989","5.185185185","8.974358974","11.66666667","17.94871795","23.33333333","26.92307692","35","1",""
"","","MZP2012CKE-ST02","","","","","","","","","MZP2012CKE-ST02-00053","","","","26","26","1","1","9","14","14","19","15","6.2","2","20","6","6","1","1","3","7","7","5.21","1.67","1.05","36.48","0","70.93","1.75","3.13","2.01","8.2","28.2","34","0.326315789","0.133333333","0.241176471","2.428571429","1.307692308","1.357142857","0.730769231","0.585714286","0.315384615","1.428571429","0.769230769","55.88235294","29.07801418","53.84615385","8.831908832","16.4021164","11.68091168","21.69312169","28.49002849","52.91005291","40.17094017","74.6031746","1",""
"","","MZP2012CKE-ST02","","","","","","","","","MZP2012CKE-ST02-00054","","","","26","26","1","1","9","19","19","28","42","4","3.5","38","5","4","1","3","5","9","5","9.36","2.85","1.75","81.56","0","60.12","1.41","2.88","10.7","7.5","45.5","70","0.142857143","0.083333333","0.107142857","3.684210526","2.692307692","1.473684211","1.076923077","0.394736842","0.288461538","2","1.461538462","40","16.48351648","73.07692308","5.698005698","7.797270955","10.68376068","14.61988304","54.13105413","74.07407407","64.81481481","88.69395712","1",""
"","","MZP2012CKE-ST02","","","","","","","","","MZP2012CKE-ST02-00055","","","","26","26","1","1","9","17","1","0","3","0","0.1","38","5","4","1","","","","","5.7","2.23","1.33","93.59","39.225","54.56","5.23","7.61","6.41","0.1","38.1","3","","0.033333333","0.033333333","0.176470588","0.115384615","0","0","0.005882353","0.003846154","2.235294118","1.461538462","0","0.262467192","65.38461538","0","0","0.142450142","0.217864924","54.13105413","82.78867102","54.27350427","83.00653595","1",""
"","","MZP2012CKE-ST02","","","","","","","","","MZP2012CKE-ST02-00056","","","","26","26","1","1","9","21","21","34","27","9","2","35","7","6","1","3","7","7","1","5.94","2.03","1.28","72.9","22.538","61.88","2.87","4.32","7.3","11","46","61","0.264705882","0.074074074","0.180327869","2.904761905","2.346153846","1.619047619","1.307692308","0.523809524","0.423076923","1.666666667","1.346153846","55.73770492","23.91304348","80.76923077","12.82051282","15.87301587","15.66951567","19.40035273","49.85754986","61.72839506","65.52706553","81.1287478","1",""
"","","MZP2012CKE-ST02","","","","","","","","","MZP2012CKE-ST02-00057","","","","26","26","1","1","8","20","19","21","36","3.5","5.4","48","6","5","1","3","7","9","1","6.42","1.84","1.13","45.83","25.507","69.52","0.92","2.34","6.25","8.9","56.9","57","0.166666667","0.15","0.156140351","2.85","2.192307692","1.05","0.807692308","0.445","0.342307692","2.4","1.846153846","36.84210526","15.64147627","76.92307692","4.985754986","6.481481481","12.67806268","16.48148148","68.37606838","88.88888889","81.05413105","105.3703704","1",""
"","","MZP2012CKE-ST02","","","","","","","","","MZP2012CKE-ST02-00058","","","","26","26","1","1","9","20","19","48","44","8","4.5","34","6","5","1","3","5","7","5","3.53","1.63","0.98","52.41","21.655","62.73","3.09","4.6","7.75","12.5","46.5","92","0.166666667","0.102272727","0.135869565","4.6","3.538461538","2.4","1.846153846","0.625","0.480769231","1.7","1.307692308","52.17391304","26.88172043","76.92307692","11.3960114","14.81481481","17.80626781","23.14814815","48.43304843","62.96296296","66.23931624","86.11111111","1",""
"","","MZP2012CKE-ST02","","","","","","","","","MZP2012CKE-ST02-00059","","","","26","26","2","1","7","19","18","28","51","4.6","2.8","22.4","5","4","1","3","5","7","7","6.84","2","1.33","6.45","0","68.75","1.84","3.02","3.19","7.4","29.8","79","0.164285714","0.054901961","0.093670886","4.157894737","3.038461538","1.473684211","1.076923077","0.389473684","0.284615385","1.178947368","0.861538462","35.44303797","24.83221477","73.07692308","6.552706553","8.966861598","10.54131054","14.42495127","31.90883191","43.66471735","42.45014245","58.08966862","1",""
"","","MZP2012CKE-ST02","","","","","","","","","MZP2012CKE-ST02-00060","","","","26","22","1","1","8","17","16","45","59","7.8","3.6","19","6","6","1","3","7","5","3","4.53","1.54","1.06","54.59","0","56.26","5.75","8.08","9.26","11.4","30.4","104","0.173333333","0.061016949","0.109615385","6.117647059","4","2.647058824","1.730769231","0.670588235","0.438461538","1.117647059","0.730769231","43.26923077","37.5","65.38461538","11.11111111","16.99346405","16.23931624","24.83660131","27.06552707","41.39433551","43.3048433","66.23093682","1",""
"","","MZP2012CKE-ST02","","","","","","","","","MZP2012CKE-ST02-00061","","","","26","26","1","1","9","19","18","30","24","5.8","2","38.2","6","4","1","1","5","7","5","3.81","1.33","0.97","28.6","0","67.38","2.13","2.89","5.75","7.8","46","54","0.193333333","0.083333333","0.144444444","2.842105263","2.076923077","1.578947368","1.153846154","0.410526316","0.3","2.010526316","1.469230769","55.55555556","16.95652174","73.07692308","8.262108262","11.30604288","11.11111111","15.20467836","54.41595442","74.46393762","65.52706553","89.66861598","1",""
"","","MZP2012CKE-ST02","","","","","","","","","MZP2012CKE-ST02-00062","","","","26","26","1","1","8","16","8","7","0","2","0","20.6","5","5","1","1","7","7","1","4.54","2.3","1.35","121.86","52.357","46.2","6.95","10.4","14.15","2","22.6","7","0.285714286","","0.285714286","0.4375","0.269230769","0.4375","0.269230769","0.125","0.076923077","1.2875","0.792307692","100","8.849557522","61.53846154","2.849002849","4.62962963","2.849002849","4.62962963","29.34472934","47.68518519","32.19373219","52.31481481","1",""
"","","MZP2012CKE-ST02","","","","","","","","","MZP2012CKE-ST02-00063","","","","26","22","2","2","4","22","21","74","40","4.8","1","4.2","5","4","3","1","5","7","1","3.7","1.79","1.19","72.14","45.19","61.35","1.84","2.71","11.99","5.8","10","114","0.064864865","0.025","0.050877193","5.181818182","4.384615385","3.363636364","2.846153846","0.263636364","0.223076923","0.190909091","0.161538462","64.9122807","58","84.61538462","6.837606838","8.080808081","8.262108262","9.764309764","5.982905983","7.070707071","14.24501425","16.83501684","","1"
"","","MZP2012CKE-ST02","","","","","","","","","MZP2012CKE-ST02-00064","","","","26","18","1","1","5","14","9","15","15","0.8","0.2","2","4","4","2","1","7","9","1","3.49","1.95","1.37","102.8","40.65","61.85","2.85","4.46","6.69","1","3","30","0.053333333","0.013333333","0.033333333","2.142857143","1.153846154","1.071428571","0.576923077","0.071428571","0.038461538","0.142857143","0.076923077","50","33.33333333","53.84615385","1.13960114","2.116402116","1.424501425","2.645502646","2.849002849","5.291005291","4.273504274","7.936507937","","1"
"","","MZP2012CKE-ST02","","","","","","","","","MZP2012CKE-ST02-00065","","","","26","20","1","3","5","19","19","10","32","1.2","1.6","2.8","5","5","5","3","5","7","1","4.01","1.73","1.13","76.66","40.97","61.69","2.15","3.79","11.75","2.8","5.6","42","0.12","0.05","0.066666667","2.210526316","1.615384615","0.526315789","0.384615385","0.147368421","0.107692308","0.147368421","0.107692308","23.80952381","50","73.07692308","1.709401709","2.339181287","3.988603989","5.458089669","3.988603989","5.458089669","7.977207977","10.91617934","","1"
"","","MZP2012CKE-ST02","","","","","","","","","MZP2012CKE-ST02-00066","","","","26","25","1","1","5","25","17","33","24","3","0.4","5.2","7","7","2","1","5","9","1","3.51","1.49","1","31.84","24.98","64.62","1.79","3.06","9.56","3.4","8.6","57","0.090909091","0.016666667","0.059649123","2.28","2.192307692","1.32","1.269230769","0.136","0.130769231","0.208","0.2","57.89473684","39.53488372","96.15384615","4.273504274","4.444444444","4.843304843","5.037037037","7.407407407","7.703703704","12.25071225","12.74074074","","1"
"","","MZP2012CKE-ST02","","","","","","","","","MZP2012CKE-ST02-00067","","","","26","19","1","1","5","19","15","13","21","2.8","1.8","8","6","5","3","1","5","5","5","3.23","1.3","0.9","21.24","10.81","71.83","1.58","2.52","2.04","4.6","12.6","34","0.215384615","0.085714286","0.135294118","1.789473684","1.307692308","0.684210526","0.5","0.242105263","0.176923077","0.421052632","0.307692308","38.23529412","36.50793651","73.07692308","3.988603989","5.458089669","6.552706553","8.966861598","11.3960114","15.59454191","17.94871795","24.56140351","","1"
"","","MZP2012CKE-ST02","","","","","","","","","MZP2012CKE-ST02-00068","","","","26","22","1","1","7","22","22","39","70","5.5","3","7.2","6","5","3","1","9","7","1","3.41","1.32","0.98","32.95","0","64.98","3.44","5.17","6.75","8.5","15.7","109","0.141025641","0.042857143","0.077981651","4.954545455","4.192307692","1.772727273","1.5","0.386363636","0.326923077","0.327272727","0.276923077","35.77981651","54.14012739","84.61538462","7.834757835","9.259259259","12.10826211","14.30976431","10.25641026","12.12121212","22.36467236","26.43097643","","1"
"","","MZP2012CKE-ST02","","","","","","","","","MZP2012CKE-ST02-00069","","","","26","21","1","1","7","18","18","82","14","10.6","1","27.8","7","7","2","1","7","9","1","3.93","2.01","1.11","35","38.88","51.66","5.86","8.09","12.3","11.6","39.4","96","0.129268293","0.071428571","0.120833333","5.333333333","3.692307692","4.555555556","3.153846154","0.644444444","0.446153846","1.544444444","1.069230769","85.41666667","29.44162437","69.23076923","15.0997151","21.81069959","16.52421652","23.86831276","39.6011396","57.20164609","56.12535613","81.06995885","","1"
"","","MZP2012CKE-ST02","","","","","","","","","MZP2012CKE-ST02-00070","","","","26","23","1","1","8","15","15","24","21","2","0.8","5","5","4","2","1","9","9","1","4.32","1.68","1.05","89.95","21.88","66.61","4.07","5.96","3.32","2.8","7.8","45","0.083333333","0.038095238","0.062222222","3","1.730769231","1.6","0.923076923","0.186666667","0.107692308","0.333333333","0.192307692","53.33333333","35.8974359","57.69230769","2.849002849","4.938271605","3.988603989","6.913580247","7.122507123","12.34567901","11.11111111","19.25925926","","1"
