"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2018GUR-AT05","","","","","","","","","MZP2018GUR-AT05-00099","","","","39","25","3","5","5","23","22","54","5.5","12.3","17.6","6","3","3","1","17.8","35.4","76","0.25","0.227777778","0.234210526","3.304347826","1.948717949","0.956521739","0.564102564","0.773913043","0.456410256","0.765217391","0.451282051","28.94736842","50.28248588","58.97435897","5.22317189","8.85668277","16.90408357","28.66344605","16.71415005","28.34138486","33.61823362","57.00483092"
"","","MZP2018GUR-AT05","","","","","","","","","MZP2018GUR-AT05-00100","","","","39","37","1","3","5","37","41","60","9.9","13.5","30.5","4","3","3","3","23.4","53.9","101","0.241463415","0.225","0.231683168","2.72972973","2.58974359","1.108108108","1.051282051","0.632432432","0.6","0.824324324","0.782051282","40.59405941","43.41372913","94.87179487","9.401709402","9.90990991","22.22222222","23.42342342","28.9648623","30.53053053","51.18708452","53.95395395"
"","","MZP2018GUR-AT05","","","","","","","","","MZP2018GUR-AT05-00101","","","","39","36","1","1","7","36","30","39","6.8","10.2","18.6","5","1","3","3","17","35.6","69","0.226666667","0.261538462","0.246376812","1.916666667","1.769230769","0.833333333","0.769230769","0.472222222","0.435897436","0.516666667","0.476923077","43.47826087","47.75280899","92.30769231","6.457739791","6.995884774","16.14434948","17.48971193","17.66381766","19.13580247","33.80816714","36.6255144"
"","","MZP2018GUR-AT05","","","","","","","","","MZP2018GUR-AT05-00102","","","","39","30","3","5","5","29","30","38","7.5","11.1","19.5","6","5","5","1","18.6","38.1","68","0.25","0.292105263","0.273529412","2.344827586","1.743589744","1.034482759","0.769230769","0.64137931","0.476923077","0.672413793","0.5","44.11764706","48.81889764","74.35897436","7.122507123","9.578544061","17.66381766","23.75478927","18.51851852","24.90421456","36.18233618","48.65900383"
"","","MZP2018GUR-AT05","","","","","","","","","MZP2018GUR-AT05-00103","","","","39","30","1","1","7","29","19","71","4.6","14.9","19.5","6","5","5","1","19.5","39","90","0.242105263","0.209859155","0.216666667","3.103448276","2.307692308","0.655172414","0.487179487","0.672413793","0.5","0.672413793","0.5","21.11111111","50","74.35897436","4.368471035","5.874840358","18.51851852","24.90421456","18.51851852","24.90421456","37.03703704","49.80842912"
"","","MZP2018GUR-AT05","","","","","","","","","MZP2018GUR-AT05-00104","","","","39","29","1","1","5","28","29","42","7.8","11.2","26.1","4","5","5","5","19","45.1","71","0.268965517","0.266666667","0.267605634","2.535714286","1.820512821","1.035714286","0.743589744","0.678571429","0.487179487","0.932142857","0.669230769","40.84507042","42.1286031","71.79487179","7.407407407","10.31746032","18.04368471","25.13227513","24.78632479","34.52380952","42.8300095","59.65608466"
"","","MZP2018GUR-AT05","","","","","","","","","MZP2018GUR-AT05-00105","","","","39","27","1","1","5","25","18","36","4.4","10","34.5","1","5","5","1","14.4","48.9","54","0.244444444","0.277777778","0.266666667","2.16","1.384615385","0.72","0.461538462","0.576","0.369230769","1.38","0.884615385","33.33333333","29.44785276","64.1025641","4.178537512","6.518518519","13.67521368","21.33333333","32.76353276","51.11111111","46.43874644","72.44444444"
"","","MZP2018GUR-AT05","","","","","","","","","MZP2018GUR-AT05-00106","","","","39","31","1","1","5","30","28","38","8.1","11.2","33.3","5","3","5","3","19.3","52.6","66","0.289285714","0.294736842","0.292424242","2.2","1.692307692","0.933333333","0.717948718","0.643333333","0.494871795","1.11","0.853846154","42.42424242","36.69201521","76.92307692","7.692307692","10","18.328585","23.82716049","31.62393162","41.11111111","49.95251662","64.9382716"
"","","MZP2018GUR-AT05","","","","","","","","","MZP2018GUR-AT05-00107","","","","39","36","1","3","7","30","30","35","7.5","9","40.2","6","3","3","1","16.5","56.7","65","0.25","0.257142857","0.253846154","2.166666667","1.666666667","1","0.769230769","0.55","0.423076923","1.34","1.030769231","46.15384615","29.1005291","76.92307692","7.122507123","9.259259259","15.66951567","20.37037037","38.17663818","49.62962963","53.84615385","70"
"","","MZP2018GUR-AT05","","","","","","","","","MZP2018GUR-AT05-00108","","","","39","32","1","1","5","30","40","68","9.8","14.5","24.1","7","3","3","3","24.3","48.4","108","0.245","0.213235294","0.225","3.6","2.769230769","1.333333333","1.025641026","0.81","0.623076923","0.803333333","0.617948718","37.03703704","50.20661157","76.92307692","9.30674264","12.09876543","23.07692308","30","22.88698955","29.75308642","45.96391263","59.75308642"
"","","MZP2018GUR-AT05","","","","","","","","","MZP2018GUR-AT05-00109","","","","39","30","3","7","5","30","22","41","5.5","11.5","27.1","5","3","1","3","17","44.1","63","0.25","0.280487805","0.26984127","2.1","1.615384615","0.733333333","0.564102564","0.566666667","0.435897436","0.903333333","0.694871795","34.92063492","38.54875283","76.92307692","5.22317189","6.790123457","16.14434948","20.98765432","25.7359924","33.45679012","41.88034188","54.44444444"
"","","MZP2018GUR-AT05","","","","","","","","","MZP2018GUR-AT05-00110","","","","39","35","1","1","5","34","24","44","5.1","9.8","20.1","6","1","1","1","14.9","35","68","0.2125","0.222727273","0.219117647","2","1.743589744","0.705882353","0.615384615","0.438235294","0.382051282","0.591176471","0.515384615","35.29411765","42.57142857","87.17948718","4.843304843","5.555555556","14.15004748","16.23093682","19.08831909","21.89542484","33.23836657","38.12636166"
"","","MZP2018GUR-AT05","","","","","","","","","MZP2018GUR-AT05-00111","","","","39","31","1","7","5","30","20","29","4.9","7.4","22.3","2","3","3","1","12.3","34.6","49","0.245","0.255172414","0.251020408","1.633333333","1.256410256","0.666666667","0.512820513","0.41","0.315384615","0.743333333","0.571794872","40.81632653","35.54913295","76.92307692","4.65337132","6.049382716","11.68091168","15.18518519","21.17758784","27.5308642","32.85849953","42.71604938"
"","","MZP2018GUR-AT05","","","","","","","","","MZP2018GUR-AT05-00112","","","","39","29","1","5","5","29","24","40","6","9.5","18.9","2","1","1","3","15.5","34.4","64","0.25","0.2375","0.2421875","2.206896552","1.641025641","0.827586207","0.615384615","0.534482759","0.397435897","0.651724138","0.484615385","37.5","45.05813953","74.35897436","5.698005698","7.662835249","14.71984805","19.79565773","17.94871795","24.13793103","32.668566","43.93358876"
"","","MZP2018GUR-AT05","","","","","","","","","MZP2018GUR-AT05-00113","","","","39","30","1","1","5","30","20","29","5","8.2","21.3","6","3","3","1","13.2","34.5","49","0.25","0.282758621","0.269387755","1.633333333","1.256410256","0.666666667","0.512820513","0.44","0.338461538","0.71","0.546153846","40.81632653","38.26086957","76.92307692","4.748338082","6.172839506","12.53561254","16.2962963","20.22792023","26.2962963","32.76353276","42.59259259"
"","","MZP2018GUR-AT05","","","","","","","","","MZP2018GUR-AT05-00114","","","","39","24","1","1","5","23","30","54","8","13.2","25.5","7","1","1","1","21.2","46.7","84","0.266666667","0.244444444","0.252380952","3.652173913","2.153846154","1.304347826","0.769230769","0.92173913","0.543589744","1.108695652","0.653846154","35.71428571","45.39614561","58.97435897","7.597340931","12.88244767","20.13295347","34.13848631","24.21652422","41.06280193","44.34947768","75.20128824"
"","","MZP2018GUR-AT05","","","","","","","","","MZP2018GUR-AT05-00115","","","","39","30","3","5","5","30","28","40","7.6","10.2","27.3","5","3","3","3","17.8","45.1","68","0.271428571","0.255","0.261764706","2.266666667","1.743589744","0.933333333","0.717948718","0.593333333","0.456410256","0.91","0.7","41.17647059","39.46784922","76.92307692","7.217473884","9.382716049","16.90408357","21.97530864","25.92592593","33.7037037","42.8300095","55.67901235"
"","","MZP2018GUR-AT05","","","","","","","","","MZP2018GUR-AT05-00116","","","","39","30","1","1","5","30","27","41","8.9","10.2","32.7","2","3","3","1","19.1","51.8","68","0.32962963","0.248780488","0.280882353","2.266666667","1.743589744","0.9","0.692307692","0.636666667","0.48974359","1.09","0.838461538","39.70588235","36.87258687","76.92307692","8.452041785","10.98765432","18.13865147","23.58024691","31.05413105","40.37037037","49.19278253","63.95061728"
"","","MZP2018GUR-AT05","","","","","","","","","MZP2018GUR-AT05-00117","","","","39","30","1","1","5","28","41","40","11.2","9.8","19.5","4","3","3","1","21","40.5","81","0.273170732","0.245","0.259259259","2.892857143","2.076923077","1.464285714","1.051282051","0.75","0.538461538","0.696428571","0.5","50.61728395","51.85185185","71.79487179","10.6362773","14.81481481","19.94301994","27.77777778","18.51851852","25.79365079","38.46153846","53.57142857"
"","","MZP2018GUR-AT05","","","","","","","","","MZP2018GUR-AT05-00118","","","","39","38","3","5","5","33","27","51","7.3","12.9","38.5","2","3","3","1","20.2","58.7","78","0.27037037","0.252941176","0.258974359","2.363636364","2","0.818181818","0.692307692","0.612121212","0.517948718","1.166666667","0.987179487","34.61538462","34.41226576","84.61538462","6.932573599","8.193041526","19.18328585","22.671156","36.56220323","43.20987654","55.74548908","65.88103255"
"","","MZP2018GUR-AT05","","","","","","","","","MZP2018GUR-AT05-00119","","","","39","36","3","5","5","35","21","32","5.4","7.5","19.5","2","3","3","3","12.9","32.4","53","0.257142857","0.234375","0.243396226","1.514285714","1.358974359","0.6","0.538461538","0.368571429","0.330769231","0.557142857","0.5","39.62264151","39.81481481","89.74358974","5.128205128","5.714285714","12.25071225","13.65079365","18.51851852","20.63492063","30.76923077","34.28571429"
"","","MZP2018GUR-AT05","","","","","","","","","MZP2018GUR-AT05-00120","","","","39","31","1","1","5","30","27","38","7","11","41.5","2","1","1","1","18","59.5","65","0.259259259","0.289473684","0.276923077","2.166666667","1.666666667","0.9","0.692307692","0.6","0.461538462","1.383333333","1.064102564","41.53846154","30.25210084","76.92307692","6.647673314","8.641975309","17.09401709","22.22222222","39.41120608","51.2345679","56.50522317","73.45679012"
"","","MZP2018GUR-AT05","","","","","","","","","MZP2018GUR-AT05-00121","","","","39","28","1","1","7","28","21","42","5","10.1","19.5","6","3","3","1","15.1","34.6","63","0.238095238","0.24047619","0.23968254","2.25","1.615384615","0.75","0.538461538","0.539285714","0.387179487","0.696428571","0.5","33.33333333","43.6416185","71.79487179","4.748338082","6.613756614","14.33998101","19.97354497","18.51851852","25.79365079","32.85849953","45.76719577"
"","","MZP2018GUR-AT05","","","","","","","","","MZP2018GUR-AT05-00122","","","","39","29","1","7","5","28","18","30","4.5","7.6","19.5","2","3","5","3","12.1","31.6","48","0.25","0.253333333","0.252083333","1.714285714","1.230769231","0.642857143","0.461538462","0.432142857","0.31025641","0.696428571","0.5","37.5","38.29113924","71.79487179","4.273504274","5.952380952","11.49097816","16.00529101","18.51851852","25.79365079","30.00949668","41.7989418"
"","","MZP2018GUR-AT05","","","","","","","","","MZP2018GUR-AT05-00123","","","","39","32","1","1","5","29","21","51","5.3","11.2","22.1","7","5","5","3","16.5","38.6","72","0.252380952","0.219607843","0.229166667","2.482758621","1.846153846","0.724137931","0.538461538","0.568965517","0.423076923","0.762068966","0.566666667","29.16666667","42.74611399","74.35897436","5.033238367","6.768837803","15.66951567","21.07279693","20.98765432","28.2247765","36.65716999","49.29757344"
