"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root size estimating 1-9|CO_331:0000184","Storage root dry matter content computing percent|CO_331:0000297","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2017UMB-ST01","","","","","","","","","MZP2017UMB-ST01-00002","","","","90","65","28","53","81","6.9","3.3","58.7","5","1","26.109","1.3","66.69","1.3","11.23","10.2","68.9","134","0.130188679","0.040740741","0.076119403","2.061538462","1.488888889","0.815384615","0.588888889","0.156923077","0.113333333","0.903076923","0.652222222","39.55223881","14.80406386","72.22222222","2.663118","2.839506173","3.931623932","4.197530864","5.811965812","24.1563786","33.44729345","1.095933333","1.517446154","28.35390947","39.25925926"
"","","MZP2017UMB-ST01","","","","","","","","","MZP2017UMB-ST01-00066","","","","90","43","27","33","174","5.8","5.3","37","1","3","28.3","1.63","66.32","1.14","7.88","11.1","48.1","207","0.175757576","0.03045977","0.053623188","4.813953488","2.3","0.76744186","0.366666667","0.258139535","0.123333333","0.860465116","0.411111111","15.94202899","23.07692308","47.77777778","3.1413","2.386831276","4.995693368","4.567901235","9.560723514","15.22633745","31.86907838","1.292716049","2.705684755","19.79423868","41.42980189"
"","","MZP2017UMB-ST01","","","","","","","","","MZP2017UMB-ST01-00033","","","","90","38","33","74","112","10.8","4.2","20.3","3","3","33.56","1.31","66.69","0.98","3.12","15","35.3","186","0.145945946","0.0375","0.080645161","4.894736842","2.066666667","1.947368421","0.822222222","0.394736842","0.166666667","0.534210526","0.225555556","39.78494624","42.49291785","42.22222222","5.034","4.444444444","10.52631579","6.172839506","14.61988304","8.353909465","19.78557505","2.071604938","4.906432749","14.52674897","34.40545809"
"","","MZP2017UMB-ST01","","","","","","","","","MZP2017UMB-ST01-00056","","","","90","58","56","305","480","28.7","17.5","67.5","3","5","31.85","1.55","50.96","0.91","4.65","46.2","113.7","785","0.094098361","0.036458333","0.058853503","13.53448276","8.722222222","5.25862069","3.388888889","0.796551724","0.513333333","1.163793103","0.75","38.85350318","40.63324538","64.44444444","14.7147","11.81069959","18.32694764","19.01234568","29.50191571","27.77777778","43.10344828","6.055432099","9.396360153","46.79012346","72.60536398"
"","","MZP2017UMB-ST01","","","","","","","","","MZP2017UMB-ST01-00029","","","","90","60","9","11","46","1.3","1.5","55.7","1","7","35.57","1.43","67.88","0.93","6.54","2.8","58.5","57","0.118181818","0.032608696","0.049122807","0.95","0.633333333","0.183333333","0.122222222","0.046666667","0.031111111","0.928333333","0.618888889","19.29824561","4.786324786","66.66666667","0.99596","0.534979424","0.802469136","1.152263374","1.728395062","22.9218107","34.38271605","0.409860082","0.614790123","24.07407407","36.11111111"
"","","MZP2017UMB-ST01","","","","","","","","","MZP2017UMB-ST01-00041","","","","90","64","20","18","40","1.7","1.6","64.6","3","7","36.57","1.48","63.44","0.95","2.45","3.3","67.9","58","0.094444444","0.04","0.056896552","0.90625","0.644444444","0.28125","0.2","0.0515625","0.036666667","1.009375","0.717777778","31.03448276","4.860088365","71.11111111","1.20681","0.699588477","0.983796296","1.358024691","1.909722222","26.58436214","37.38425926","0.49662963","0.698385417","27.94238683","39.29398148"
"","","MZP2017UMB-ST01","","","","","","","","","MZP2017UMB-ST01-00018","","","","90","56","49","38","252","25.8","8.9","46.9","5","3","29.23","1.43","65.26","0.8","11.26","34.7","81.6","290","0.678947368","0.03531746","0.119655172","5.178571429","3.222222222","0.678571429","0.422222222","0.619642857","0.385555556","0.8375","0.521111111","13.10344828","42.5245098","62.22222222","10.14281","10.61728395","17.06349206","14.27983539","22.94973545","19.30041152","31.01851852","4.173995885","6.708207672","33.58024691","53.96825397"
"","","MZP2017UMB-ST01","","","","","","","","","MZP2017UMB-ST01-00054","","","","90","67","66","265","210","40.7","9","50.4","3","1","28.92","1.62","60.49","0.96","11.41","49.7","100.1","475","0.153584906","0.042857143","0.104631579","7.089552239","5.277777778","3.955223881","2.944444444","0.741791045","0.552222222","0.752238806","0.56","55.78947368","49.65034965","74.44444444","14.37324","16.74897119","22.49861802","20.4526749","27.4737424","20.74074074","27.86069652","5.91491358","7.945406302","41.19341564","55.33443892"
"","","MZP2017UMB-ST01","","","","","","","","","MZP2017UMB-ST01-00021","","","","90","82","9","18","14","4.5","1.1","84.8","1","5","38.63","1.03","72.42","0.75","","5.6","90.4","32","0.25","0.078571429","0.175","0.390243902","0.355555556","0.219512195","0.2","0.068292683","0.062222222","1.034146341","0.942222222","56.25","6.194690265","91.11111111","2.16328","1.851851852","2.032520325","2.304526749","2.529358627","34.89711934","38.30171635","0.890238683","0.977091238","37.20164609","40.83107498"
"","","MZP2017UMB-ST01","","","","","","","","","MZP2017UMB-ST01-00059","","","","90","57","30","38","40","7.5","3.5","66","3","3","35.83","1.4","63.51","0.73","","11","77","78","0.197368421","0.0875","0.141025641","1.368421053","0.866666667","0.666666667","0.422222222","0.192982456","0.122222222","1.157894737","0.733333333","48.71794872","14.28571429","63.33333333","3.9413","3.086419753","4.873294347","4.526748971","7.147498376","27.16049383","42.88499025","1.621934156","2.560948668","31.6872428","50.03248863"
