"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Content of total sugars estimating 1-9|CO_331:0000766","Content of starch in raw storage roots estimating 1-9|CO_331:0001055","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","treatment_irrigation","treatment_non_irrigation"
"","","MZP2012UMB-ST03","","","","","","","","","MZP2012UMB-ST03-00011","","","","26","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1",""
"","","MZP2012UMB-ST03","","","","","","","","","MZP2012UMB-ST03-00012","","","","26","26","1","1","6","24","24","63","62","8.2","3","11.5","5","5","2","1","9","9","1","4.36","2.41","1.16","184.42","96.63","88.5","59.32","2.44","5.21","20.14","11.2","22.7","125","0.13015873","0.048387097","0.0896","5.208333333","4.807692308","2.625","2.423076923","0.466666667","0.430769231","0.479166667","0.442307692","50.4","49.33920705","92.30769231","11.68091168","12.65432099","15.95441595","17.28395062","16.38176638","17.74691358","32.33618234","35.0308642","1",""
"","","MZP2012UMB-ST03","","","","","","","","","MZP2012UMB-ST03-00013","","","","26","2","1","1","2","2","2","0","4","0","0.3","3.2","7","5","1","1","9","7","3","3.65","1.18","0.79","63.17","62.95","0","68.84","3.12","5.26","8.7","0.3","3.5","4","","0.075","0.075","2","0.153846154","0","0","0.15","0.011538462","1.6","0.123076923","0","8.571428571","7.692307692","0","0","0.427350427","5.555555556","4.558404558","59.25925926","4.985754986","64.81481481","1",""
"","","MZP2012UMB-ST03","","","","","","","","","MZP2012UMB-ST03-00014","","","","26","21","1","1","4","18","18","18","50","1.6","1.5","4","5","5","1","1","7","7","3","4.35","2.04","1.21","193.95","144.29","28.96","49.56","7.67","11.6","10.54","3.1","7.1","68","0.088888889","0.03","0.045588235","3.777777778","2.615384615","1","0.692307692","0.172222222","0.119230769","0.222222222","0.153846154","26.47058824","43.66197183","69.23076923","2.279202279","3.29218107","4.415954416","6.378600823","5.698005698","8.230452675","10.11396011","14.6090535","1",""
"","","MZP2012UMB-ST03","","","","","","","","","MZP2012UMB-ST03-00015","","","","26","22","3","3","5","15","11","9","11","2.2","2","11","1","1","1","3","7","9","5","","","","","","","","","","","4.2","15.2","20","0.244444444","0.181818182","0.21","1.333333333","0.769230769","0.6","0.346153846","0.28","0.161538462","0.733333333","0.423076923","45","27.63157895","57.69230769","3.133903134","5.432098765","5.982905983","10.37037037","15.66951567","27.16049383","21.65242165","37.5308642","1",""
"","","MZP2012UMB-ST03","","","","","","","","","MZP2012UMB-ST03-00016","","","","26","20","5","3","3","2","2","0","6","0","0.3","2.2","7","8","1","3","7","7","3","4.11","2.22","1.35","259.21","137.58","27.17","49.4","6.35","10.28","16.18","0.3","2.5","6","","0.05","0.05","3","0.230769231","0","0","0.15","0.011538462","1.1","0.084615385","0","12","7.692307692","0","0","0.427350427","5.555555556","3.133903134","40.74074074","3.561253561","46.2962963","1",""
"","","MZP2012UMB-ST03","","","","","","","","","MZP2012UMB-ST03-00017","","","","26","24","1","2","8","18","18","18","25","6.4","2.8","31","5","5","1","1","9","9","1","","","","","","","","","","","9.2","40.2","43","0.355555556","0.112","0.213953488","2.388888889","1.653846154","1","0.692307692","0.511111111","0.353846154","1.722222222","1.192307692","41.86046512","22.88557214","69.23076923","9.116809117","13.16872428","13.10541311","18.93004115","44.15954416","63.78600823","57.26495726","82.71604938","1",""
"","","MZP2012UMB-ST03","","","","","","","","","MZP2012UMB-ST03-00018","","","","26","24","1","2","6","23","23","51","97","4","2.9","11","5","5","1","","","","","4.32","1.79","1.16","215.61","112.8","0","55.04","4.32","7.2","19.56","6.9","17.9","148","0.078431373","0.029896907","0.046621622","6.434782609","5.692307692","2.217391304","1.961538462","0.3","0.265384615","0.47826087","0.423076923","34.45945946","38.54748603","88.46153846","5.698005698","6.441223833","9.829059829","11.11111111","15.66951567","17.71336554","25.4985755","28.82447665","1",""
"","","MZP2012UMB-ST03","","","","","","","","","MZP2012UMB-ST03-00019","","","","26","26","1","1","7","22","22","20","43","9","4.4","30","5","3","1","3","7","9","1","4.85","1.94","1.1","159.63","95.35","26.95","58.99","4.51","7.9","11.32","13.4","43.4","63","0.45","0.102325581","0.212698413","2.863636364","2.423076923","0.909090909","0.769230769","0.609090909","0.515384615","1.363636364","1.153846154","31.74603175","30.87557604","84.61538462","12.82051282","15.15151515","19.08831909","22.55892256","42.73504274","50.50505051","61.82336182","73.06397306","1",""
"","","MZP2012UMB-ST03","","","","","","","","","MZP2012UMB-ST03-00020","","","","26","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1",""
