"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Weight of vines per NET plot in kg|CO_331:0000227","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root dry matter content computing percent|CO_331:0000297","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Content of total sugars estimating 1-9|CO_331:0000766","Content of starch in raw storage roots estimating 1-9|CO_331:0001055","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2010UMB-AT02","","","","","","","","","MZP2010UMB-AT02-00011","","","","39","39","2","2","9","24.5","20","7","12","4","2.5","0.1","4","3","5","30.23","","","","","","2.6","27.1","16","0.208333333","0.025","0.1625","0.8","0.41025641","0.6","0.307692308","0.13","0.066666667","1.225","0.628205128","75","9.594095941","51.28205128","0.78598","2.374169041","4.62962963","2.469135802","4.814814815","23.2668566","45.37037037","0.746419753","1.455518519","25.7359924","50.18518519"
"","","MZP2010UMB-AT02","","","","","","","","","MZP2010UMB-AT02-00012","","","","39","20","1","1","5","4.2","13","11","17","21","2","1","3","4","5","30.2","10.5","5","2","4","4","3","7.2","38","0.117647059","0.047619048","0.078947368","2.923076923","0.974358974","1.307692308","0.435897436","0.230769231","0.076923077","0.323076923","0.107692308","44.73684211","41.66666667","33.33333333","0.906","1.899335233","5.698005698","2.849002849","8.547008547","3.988603989","11.96581197","0.86039886","2.581196581","6.837606838","20.51282051"
"","","MZP2010UMB-AT02","","","","","","","","","MZP2010UMB-AT02-00013","","","","39","28","1","1","6","7","14","9","2","30","2","0.6","3","2","3","30.15","1.76","5","2","4","4","2.6","9.6","32","1","0.02","0.08125","2.285714286","0.820512821","0.142857143","0.051282051","0.185714286","0.066666667","0.5","0.179487179","6.25","27.08333333","35.8974359","0.7839","1.899335233","5.291005291","2.469135802","6.878306878","6.647673314","18.51851852","0.744444444","2.073809524","9.116809117","25.3968254"
"","","MZP2010UMB-AT02","","","","","","","","","MZP2010UMB-AT02-00020","","","","39","39","3","6","7","7.5","14","12","29","41","2.5","3","3","4","3","30.18","0.15","4","2","4","4","5.5","13","70","0.086206897","0.073170732","0.078571429","5","1.794871795","2.071428571","0.743589744","0.392857143","0.141025641","0.535714286","0.192307692","41.42857143","42.30769231","35.8974359","1.6599","2.374169041","6.613756614","5.22317189","14.55026455","7.122507123","19.84126984","1.576353276","4.391269841","12.34567901","34.39153439"
"","","MZP2010UMB-AT02","","","","","","","","","MZP2010UMB-AT02-00018","","","","39","19","3","5","7","2","8","5","8","11","1","0.5","3","3","3","30.55","14.37","5","2","5","4","1.5","3.5","19","0.125","0.045454545","0.078947368","2.375","0.487179487","1","0.205128205","0.1875","0.038461538","0.25","0.051282051","42.10526316","42.85714286","20.51282051","0.45825","0.949667616","4.62962963","1.424501425","6.944444444","1.899335233","9.259259259","0.435185185","2.121527778","3.323836657","16.2037037"
"","","MZP2010UMB-AT02","","","","","","","","","MZP2010UMB-AT02-00022","","","","39","18","4","6","7","8.2","13","11","11","26","2","1.5","3","3","3","30.35","14.37","5","2","5","4","3.5","11.7","37","0.181818182","0.057692308","0.094594595","2.846153846","0.948717949","0.846153846","0.282051282","0.269230769","0.08974359","0.630769231","0.21025641","29.72972973","29.91452991","33.33333333","1.06225","1.899335233","5.698005698","3.323836657","9.971509972","7.787274454","23.36182336","1.008784425","3.026353276","11.11111111","33.33333333"
"","","MZP2010UMB-AT02","","","","","","","","","MZP2010UMB-AT02-00019","","","","39","39","1","1","8","16.8","20","19","32","90","5","3.5","3","2","4","25.63","0.69","4","2","4","4","8.5","25.3","122","0.15625","0.038888889","0.069672131","6.1","3.128205128","1.6","0.820512821","0.425","0.217948718","0.84","0.430769231","26.2295082","33.59683794","51.28205128","2.17855","4.748338082","9.259259259","8.072174739","15.74074074","15.95441595","31.11111111","2.068898386","4.034351852","24.02659069","46.85185185"
"","","MZP2010UMB-AT02","","","","","","","","","MZP2010UMB-AT02-00026","","","","39","34","4","6","7","9.5","21","18","26","73","4","4","3","3","5","30.38","0.15","5","2","3","4","8","17.5","99","0.153846154","0.054794521","0.080808081","4.714285714","2.538461538","1.238095238","0.666666667","0.380952381","0.205128205","0.452380952","0.243589744","26.26262626","45.71428571","53.84615385","2.4304","3.798670465","7.054673721","7.597340931","14.10934744","9.021842355","16.75485009","2.308072175","4.286419753","16.61918329","30.86419753"
"","","MZP2010UMB-AT02","","","","","","","","","MZP2010UMB-AT02-00025","","","","39","38","1","1","6","6","18","18","37","23","8.5","3","4","4","4","30.15","11.03","5","2","4","4","11.5","17.5","60","0.22972973","0.130434783","0.191666667","3.333333333","1.538461538","2.055555556","0.948717949","0.638888889","0.294871795","0.333333333","0.153846154","61.66666667","65.71428571","46.15384615","3.46725","8.072174739","17.48971193","10.92117759","23.66255144","5.698005698","12.34567901","3.292735043","7.134259259","16.61918329","36.00823045"
"","","MZP2010UMB-AT02","","","","","","","","","MZP2010UMB-AT02-00023","","","","39","36","1","1","8","13.8","21","18","8","200","1","2","2","3","5","30.49","7.76","5","2","3","4","3","16.8","208","0.125","0.01","0.014423077","9.904761905","5.333333333","0.380952381","0.205128205","0.142857143","0.076923077","0.657142857","0.353846154","3.846153846","17.85714286","53.84615385","0.9147","0.949667616","1.76366843","2.849002849","5.291005291","13.10541311","24.33862434","0.868660969","1.613227513","15.95441595","29.62962963"
