"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root size estimating 1-9|CO_331:0000184","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of commercial storage roots per plant harvested|CO_331:2000036","Storage roots yield in kg per plant harvested|CO_331:0000681","Vine weight in kg per plant harvested|CO_331:0000990","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","treatment_late_season_drought","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2019CHL-ST02","","","","","","","","","MZP2019CHL-ST02-00131","","","","84","51","51","44","50","310","5.2","10.4","9","1","3","15.6","24.6","360","0.104","0.033548387","0.043333333","7.058823529","0.980392157","0.305882353","0.176470588","13.88888889","63.41463415","2.292768959","6.878306878","3.968253968","10.84656085","1","4.285714286","0.595238095","0.185714286","0.107142857","60.71428571","3.776325345","11.32897603","6.535947712","17.86492375"
"","","MZP2019CHL-ST02","","","","","","","","","MZP2019CHL-ST02-00132","","","","84","19","19","16","26","104","3.4","4","25.8","1","3","7.4","33.2","130","0.130769231","0.038461538","0.056923077","6.842105263","1.368421053","0.389473684","1.357894737","20","22.28915663","1.499118166","3.262786596","11.37566138","14.63844797","1","1.547619048","0.30952381","0.088095238","0.307142857","22.61904762","6.627680312","14.42495127","50.29239766","64.71734893"
"","","MZP2019CHL-ST02","","","","","","","","","MZP2019CHL-ST02-00133","","","","84","41","41","24","51","44","10","2","21.6","1","3","12","33.6","95","0.196078431","0.045454545","0.126315789","2.317073171","1.243902439","0.292682927","0.526829268","53.68421053","35.71428571","4.409171076","5.291005291","9.523809524","14.81481481","1","1.130952381","0.607142857","0.142857143","0.257142857","48.80952381","9.033423668","10.8401084","19.51219512","30.35230352"
"","","MZP2019CHL-ST02","","","","","","","","","MZP2019CHL-ST02-00134","","","","84","47","47","27","16","150","1.4","4","17.6","1","3","5.4","23","166","0.0875","0.026666667","0.03253012","3.531914894","0.340425532","0.114893617","0.374468085","9.638554217","23.47826087","0.617283951","2.380952381","7.760141093","10.14109347","1","1.976190476","0.19047619","0.064285714","0.20952381","55.95238095","1.10323089","4.255319149","13.86918834","18.12450749"
"","","MZP2019CHL-ST02","","","","","","","","","MZP2019CHL-ST02-00135","","","","84","42","42","42","49","194","5.4","6.8","40.8","1","3","12.2","53","243","0.110204082","0.035051546","0.050205761","5.785714286","1.166666667","0.29047619","0.971428571","20.16460905","23.01886792","2.380952381","5.379188713","17.98941799","23.3686067","1","2.892857143","0.583333333","0.145238095","0.485714286","50","4.761904762","10.75837743","35.97883598","46.7372134"
"","","MZP2019CHL-ST02","","","","","","","","","MZP2019CHL-ST02-00136","","","","84","22","22","12","10","29","1","1.6","15.4","1","5","2.6","18","39","0.1","0.055172414","0.066666667","1.772727273","0.454545455","0.118181818","0.7","25.64102564","14.44444444","0.440917108","1.14638448","6.790123457","7.936507937","1","0.464285714","0.119047619","0.030952381","0.183333333","26.19047619","1.683501684","4.377104377","25.92592593","30.3030303"
"","","MZP2019CHL-ST02","","","","","","","","","MZP2019CHL-ST02-00137","","","","84","32","32","5","0","33","0","0.6","5.8","1","5","0.6","6.4","33","","0.018181818","0.018181818","1.03125","0","0.01875","0.18125","0","9.375","0","0.264550265","2.557319224","2.821869489","1","0.392857143","0","0.007142857","0.069047619","38.0952381","0","0.694444444","6.712962963","7.407407407"
"","","MZP2019CHL-ST02","","","","","","","","","MZP2019CHL-ST02-00138","","","","84","29","29","8","2","38","0.4","0.8","9.2","1","3","1.2","10.4","40","0.2","0.021052632","0.03","1.379310345","0.068965517","0.04137931","0.317241379","5","11.53846154","0.176366843","0.529100529","4.05643739","4.585537919","1","0.476190476","0.023809524","0.014285714","0.10952381","34.52380952","0.510855683","1.53256705","11.74968072","13.28224777"
"","","MZP2019CHL-ST02","","","","","","","","","MZP2019CHL-ST02-00139","","","","84","43","43","33","19","100","2.2","3.2","18.8","1","3","5.4","24.2","119","0.115789474","0.032","0.045378151","2.76744186","0.441860465","0.125581395","0.437209302","15.96638655","22.31404959","0.970017637","2.380952381","8.289241623","10.670194","1","1.416666667","0.226190476","0.064285714","0.223809524","51.19047619","1.894918174","4.651162791","16.19293712","20.84409991"
"","","MZP2019CHL-ST02","","","","","","","","","MZP2019CHL-ST02-00140","","","","84","17","17","12","14","20","2","0.8","4.6","1","3","2.8","7.4","34","0.142857143","0.04","0.082352941","2","0.823529412","0.164705882","0.270588235","41.17647059","37.83783784","0.881834215","1.234567901","2.028218695","3.262786596","1","0.404761905","0.166666667","0.033333333","0.054761905","20.23809524","4.357298475","6.100217865","10.02178649","16.12200436"
