"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Storage root sweetness in cooked samples estimating 1-9|CO_331:0000261","Storage root texture in boiled samples estimating 1-9 by Gruneberg|CO_331:0000265","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of total carotenoids in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000290","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2013UMB-AT09","","","","","","","","","MZP2013UMB-AT09-00011","","","","26","13","1","1","6","10","6","9","14","1.8","0.8","7","5","3","1","","","3","1","3","3","","","","","","","7.76","","","","","","2.6","9.6","23","0.2","0.057142857","0.113043478","2.3","0.884615385","0.9","0.346153846","0.26","0.1","0.7","0.269230769","39.13043478","27.08333333","38.46153846","","","2.564102564","6.666666667","3.703703704","9.62962963","9.971509972","25.92592593","","","13.67521368","35.55555556"
"","","MZP2013UMB-AT09","","","","","","","","","MZP2013UMB-AT09-00012","","","","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","MZP2013UMB-AT09","","","","","","","","","MZP2013UMB-AT09-00013","","","","26","1","4","1","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.846153846","","","","","","","","","","","",""
"","","MZP2013UMB-AT09","","","","","","","","","MZP2013UMB-AT09-00014","","","","26","3","1","1","3","3","2","9","10","2","0.6","3","3","3","1","50.5","13.8","1","5","5","3","4.97","2.14","1.26","169.3","112.42","35.63","4.61","54.51","3.45","5.56","18.28","0.45","2.6","5.6","19","0.222222222","0.06","0.136842105","6.333333333","0.730769231","3","0.346153846","0.866666667","0.1","1","0.115384615","47.36842105","46.42857143","11.53846154","27.32673267","0.71049505","2.849002849","24.69135802","3.703703704","32.09876543","4.273504274","37.03703704","1.01210121","8.771543821","7.977207977","69.13580247"
"","","MZP2013UMB-AT09","","","","","","","","","MZP2013UMB-AT09-00015","","","","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","MZP2013UMB-AT09","","","","","","","","","MZP2013UMB-AT09-00016","","","","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","MZP2013UMB-AT09","","","","","","","","","MZP2013UMB-AT09-00017","","","","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","MZP2013UMB-AT09","","","","","","","","","MZP2013UMB-AT09-00018","","","","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","MZP2013UMB-AT09","","","","","","","","","MZP2013UMB-AT09-00019","","","","26","7","1","1","4","2","2","3","2","1","0.2","2.5","3","3","3","","","1","3","3","1","","","","","","","1.04","","","","","","1.2","3.7","5","0.333333333","0.1","0.24","2.5","0.192307692","1.5","0.115384615","0.6","0.046153846","1.25","0.096153846","60","32.43243243","7.692307692","","","1.424501425","18.51851852","1.709401709","22.22222222","3.561253561","46.2962963","","","5.270655271","68.51851852"
"","","MZP2013UMB-AT09","","","","","","","","","MZP2013UMB-AT09-00020","","","","26","2","1","1","2","1","1","3","","1","","1","1","3","1","50.7","14.5","3","5","3","5","4.7","2","1.01","43.92","79.62","27.69","7.23","58.36","3.8","5.62","14.76","0.12","","","","0.333333333","","","","","3","0.115384615","","","1","0.038461538","","","3.846153846","28.59960552","","1.424501425","37.03703704","","","1.424501425","37.03703704","","","",""
"","","MZP2013UMB-AT09","","","","","","","","","MZP2013UMB-AT09-00021","","","","26","4","1","1","4","2","1","","1","","0.4","5","1","3","1","50.1","13.5","5","3","3","3","4.71","2.16","1.33","163.15","93.46","48.68","12.39","50.47","3.4","5.2","20.13","0.45","","","","","0.4","","","","","","","","2.5","0.192307692","","","7.692307692","26.94610778","","","","","","7.122507123","92.59259259","","","",""
