"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Dry weight of storage root samples measuring g|CO_331:0000247","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Fresh weight of storage root samples measuring g|CO_331:0000243","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2010FMS-AT02","","","","","","","","","GHP2010FMS-AT02-00024","","","","2","50.8","2","200","2","13","18","28","45","17","2","3","3","8","3","1.4","0.4","3.4","1.8","5.2","31","0.107692308","0.022222222","0.058064516","1.107142857","0.688888889","0.464285714","0.288888889","0.064285714","0.04","0.121428571","0.075555556","41.93548387","34.61538462","62.22222222","25.4","0.4572","1.037037037","1.666666667","1.333333333","2.142857143","2.518518519","4.047619048","0.338666667","0.544285714","3.851851852","6.19047619"
"","","GHP2010FMS-AT02","","","","","","","","","GHP2010FMS-AT02-00025","","","","2","66","1","200","2","3","11","26","45","10","2","2","2","4","2","0.6","0.1","8.5","0.7","9.2","14","0.2","0.009090909","0.05","0.538461538","0.311111111","0.115384615","0.066666667","0.026923077","0.015555556","0.326923077","0.188888889","21.42857143","7.608695652","57.77777778","33","0.231","0.444444444","0.769230769","0.518518519","0.897435897","6.296296296","10.8974359","0.171111111","0.296153846","6.814814815","11.79487179"
"","","GHP2010FMS-AT02","","","","","","","","","GHP2010FMS-AT02-00026","","","","2","45","2","200","3","22","29","30","45","28","1","3","2","4","7","1.9","1","1.8","2.9","4.7","51","0.086363636","0.034482759","0.056862745","1.7","1.133333333","0.733333333","0.488888889","0.096666667","0.064444444","0.06","0.04","43.1372549","61.70212766","66.66666667","22.5","0.6525","1.407407407","2.111111111","2.148148148","3.222222222","1.333333333","2","0.483333333","0.725","3.481481481","5.222222222"
"","","GHP2010FMS-AT02","","","","","","","","","GHP2010FMS-AT02-00003","","","","2","55.8","1","200","2","31","49","45","45","45","1","3","3","5","8","3.6","1.5","6.1","5.1","11.2","80","0.116129032","0.030612245","0.06375","1.777777778","1.777777778","0.688888889","0.688888889","0.113333333","0.113333333","0.135555556","0.135555556","38.75","45.53571429","100","27.9","1.4229","2.666666667","2.666666667","3.777777778","3.777777778","4.518518519","4.518518519","1.054","1.054","8.296296296","8.296296296"
"","","GHP2010FMS-AT02","","","","","","","","","GHP2010FMS-AT02-00004","","","","4","48.9","3","200","3","22","23","25","45","21","1","4","4","2","9","4.1","2.1","2.7","6.2","8.9","45","0.186363636","0.091304348","0.137777778","1.8","1","0.88","0.488888889","0.248","0.137777778","0.108","0.06","48.88888889","69.66292135","55.55555556","24.45","1.5159","3.037037037","5.466666667","4.592592593","8.266666667","2","3.6","1.122888889","2.0212","6.592592593","11.86666667"
"","","GHP2010FMS-AT02","","","","","","","","","GHP2010FMS-AT02-00005","","","","2","75.1","1","200","2","32","37","43","45","35","1","3","2","5","8","2.6","0.9","11","3.5","14.5","69","0.08125","0.024324324","0.050724638","1.604651163","1.533333333","0.744186047","0.711111111","0.081395349","0.077777778","0.255813953","0.244444444","46.37681159","24.13793103","95.55555556","37.55","1.31425","1.925925926","2.015503876","2.592592593","2.713178295","8.148148148","8.527131783","0.973518519","1.01879845","10.74074074","11.24031008"
"","","GHP2010FMS-AT02","","","","","","","","","GHP2010FMS-AT02-00006","","","","2","59.9","2","200","3","76","47","44","45","44","1","4","4","5","8","11.6","2.2","4.7","13.8","18.5","123","0.152631579","0.046808511","0.112195122","2.795454545","2.733333333","1.727272727","1.688888889","0.313636364","0.306666667","0.106818182","0.104444444","61.78861789","74.59459459","97.77777778","29.95","4.1331","8.592592593","8.787878788","10.22222222","10.45454545","3.481481481","3.560606061","3.061555556","3.131136364","13.7037037","14.01515152"
"","","GHP2010FMS-AT02","","","","","","","","","GHP2010FMS-AT02-00007","","","","3","65.7","2","200","2","98","57","45","45","45","2","5","4","8","3","18.6","3","19.7","21.6","41.3","155","0.189795918","0.052631579","0.139354839","3.444444444","3.444444444","2.177777778","2.177777778","0.48","0.48","0.437777778","0.437777778","63.22580645","52.30024213","100","32.85","7.0956","13.77777778","13.77777778","16","16","14.59259259","14.59259259","5.256","5.256","30.59259259","30.59259259"
"","","GHP2010FMS-AT02","","","","","","","","","GHP2010FMS-AT02-00008","","","","3","69.5","2","200","2","22","21","24","45","21","2","4","5","7","4","5.6","1.4","16.5","7","23.5","43","0.254545455","0.066666667","0.162790698","1.791666667","0.955555556","0.916666667","0.488888889","0.291666667","0.155555556","0.6875","0.366666667","51.1627907","29.78723404","53.33333333","34.75","2.4325","4.148148148","7.777777778","5.185185185","9.722222222","12.22222222","22.91666667","1.801851852","3.378472222","17.40740741","32.63888889"
"","","GHP2010FMS-AT02","","","","","","","","","GHP2010FMS-AT02-00009","","","","2","75.9","1","200","3","4","7","30","45","6","2","2","2","7","2","0.5","0.3","14.7","0.8","15.5","11","0.125","0.042857143","0.072727273","0.366666667","0.244444444","0.133333333","0.088888889","0.026666667","0.017777778","0.49","0.326666667","36.36363636","5.161290323","66.66666667","37.95","0.3036","0.37037037","0.555555556","0.592592593","0.888888889","10.88888889","16.33333333","0.224888889","0.337333333","11.48148148","17.22222222"
