"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2010FMS-AT01","","","","","","","","","GHP2010FMS-AT01-00011","","","","30","6","7","22","18","19","20","2.6","1","10.9","2","2","2","3","2","200","60","3.6","14.5","39","0.136842105","0.05","0.092307692","1.772727273","1.3","0.863636364","0.633333333","0.163636364","0.12","0.495454545","0.363333333","48.71794872","24.82758621","73.33333333","30","1.08","2.888888889","3.939393939","4","5.454545455","12.11111111","16.51515152","1.2","1.636363636","16.11111111","21.96969697"
"","","GHP2010FMS-AT01","","","","","","","","","GHP2010FMS-AT01-00012","","","","30","9","2","20","8","0","18","0","0.7","3.3","1","1","2","2","1","184","72.1","0.7","4","18","","0.038888889","0.038888889","0.9","0.6","0","0","0.035","0.023333333","0.165","0.11","0","17.5","66.66666667","39.18478261","0.274293478","0","0","0.777777778","1.166666667","3.666666667","5.5","0.304770531","0.457155797","4.444444444","6.666666667"
"","","GHP2010FMS-AT01","","","","","","","","","GHP2010FMS-AT01-00013","","","","30","2","6","29","29","42","79","8.8","9.2","1.9","4","3","3","2","1","200","32.1","18","19.9","121","0.20952381","0.116455696","0.148760331","4.172413793","4.033333333","1.448275862","1.4","0.620689655","0.6","0.065517241","0.063333333","34.7107438","90.45226131","96.66666667","16.05","2.889","9.777777778","10.11494253","20","20.68965517","2.111111111","2.183908046","3.21","3.320689655","22.11111111","22.87356322"
"","","GHP2010FMS-AT01","","","","","","","","","GHP2010FMS-AT01-00014","","","","30","3","7","24","22","36","70","4.2","3.3","11.4","3","3","2","2","2","200","62.7","7.5","18.9","106","0.116666667","0.047142857","0.070754717","4.416666667","3.533333333","1.5","1.2","0.3125","0.25","0.475","0.38","33.96226415","39.68253968","80","31.35","2.35125","4.666666667","5.833333333","8.333333333","10.41666667","12.66666667","15.83333333","2.6125","3.265625","21","26.25"
"","","GHP2010FMS-AT01","","","","","","","","","GHP2010FMS-AT01-00015","","","","30","2","7","28","23","31","42","5.2","1.3","16","2","3","2","2","1","200","78.7","6.5","22.5","73","0.167741935","0.030952381","0.089041096","2.607142857","2.433333333","1.107142857","1.033333333","0.232142857","0.216666667","0.571428571","0.533333333","42.46575342","28.88888889","93.33333333","39.35","2.55775","5.777777778","6.19047619","7.222222222","7.738095238","17.77777778","19.04761905","2.841944444","3.044940476","25","26.78571429"
"","","GHP2010FMS-AT01","","","","","","","","","GHP2010FMS-AT01-00016","","","","30","4","7","9","2","0","3","0","0.5","16.7","2","3","1","1","1","200","73","0.5","17.2","3","","0.166666667","0.166666667","0.333333333","0.1","0","0","0.055555556","0.016666667","1.855555556","0.556666667","0","2.906976744","30","36.5","0.1825","0","0","0.555555556","1.851851852","18.55555556","61.85185185","0.202777778","0.675925926","19.11111111","63.7037037"
"","","GHP2010FMS-AT01","","","","","","","","","GHP2010FMS-AT01-00017","","","","30","8","7","30","30","16","44","19.5","1.9","14.1","4","4","2","2","1","200","51.8","21.4","35.5","60","1.21875","0.043181818","0.356666667","2","2","0.533333333","0.533333333","0.713333333","0.713333333","0.47","0.47","26.66666667","60.28169014","100","25.9","5.5426","21.66666667","21.66666667","23.77777778","23.77777778","15.66666667","15.66666667","6.158444444","6.158444444","39.44444444","39.44444444"
"","","GHP2010FMS-AT01","","","","","","","","","GHP2010FMS-AT01-00018","","","","30","3","6","24","19","16","18","2.6","0.8","9.7","3","4","2","2","2","200","83.8","3.4","13.1","34","0.1625","0.044444444","0.1","1.416666667","1.133333333","0.666666667","0.533333333","0.141666667","0.113333333","0.404166667","0.323333333","47.05882353","25.95419847","80","41.9","1.4246","2.888888889","3.611111111","3.777777778","4.722222222","10.77777778","13.47222222","1.582888889","1.978611111","14.55555556","18.19444444"
"","","GHP2010FMS-AT01","","","","","","","","","GHP2010FMS-AT01-00019","","","","30","4","7","27","27","49","69","13.3","3.4","9.9","4","4","2","2","2","200","68.9","16.7","26.6","118","0.271428571","0.049275362","0.141525424","4.37037037","3.933333333","1.814814815","1.633333333","0.618518519","0.556666667","0.366666667","0.33","41.52542373","62.78195489","90","34.45","5.75315","14.77777778","16.41975309","18.55555556","20.61728395","11","12.22222222","6.392388889","7.102654321","29.55555556","32.83950617"
"","","GHP2010FMS-AT01","","","","","","","","","GHP2010FMS-AT01-00020","","","","30","8","3","27","27","32","19","8.1","1.5","3.6","4","4","2","2","1","200","68.3","9.6","13.2","51","0.253125","0.078947368","0.188235294","1.888888889","1.7","1.185185185","1.066666667","0.355555556","0.32","0.133333333","0.12","62.74509804","72.72727273","90","34.15","3.2784","9","10","10.66666667","11.85185185","4","4.444444444","3.642666667","4.047407407","14.66666667","16.2962963"
"","","GHP2010FMS-AT01","","","","","","","","","GHP2010FMS-AT01-00021","","","","30","9","2","20","10","0","16","0","0.7","4","1","2","2","2","2","","","0.7","4.7","16","","0.04375","0.04375","0.8","0.533333333","0","0","0.035","0.023333333","0.2","0.133333333","0","14.89361702","66.66666667","","","0","0","0.777777778","1.166666667","4.444444444","6.666666667","","","5.222222222","7.833333333"
"","","GHP2010FMS-AT01","","","","","","","","","GHP2010FMS-AT01-00022","","","","30","4","8","29","29","72","70","14.7","1.7","14.2","4","4","2","1","1","","","16.4","30.6","142","0.204166667","0.024285714","0.115492958","4.896551724","4.733333333","2.482758621","2.4","0.565517241","0.546666667","0.489655172","0.473333333","50.70422535","53.59477124","96.66666667","","","16.33333333","16.89655172","18.22222222","18.85057471","15.77777778","16.32183908","","","34","35.17241379"
"","","GHP2010FMS-AT01","","","","","","","","","GHP2010FMS-AT01-00023","","","","30","8","8","30","30","69","42","18.8","2","17.6","4","4","2","2","1","","","20.8","38.4","111","0.272463768","0.047619048","0.187387387","3.7","3.7","2.3","2.3","0.693333333","0.693333333","0.586666667","0.586666667","62.16216216","54.16666667","100","","","20.88888889","20.88888889","23.11111111","23.11111111","19.55555556","19.55555556","","","42.66666667","42.66666667"
"","","GHP2010FMS-AT01","","","","","","","","","GHP2010FMS-AT01-00024","","","","30","2","8","26","25","36","32","7.7","1.8","21","3","3","2","2","1","","","9.5","30.5","68","0.213888889","0.05625","0.139705882","2.615384615","2.266666667","1.384615385","1.2","0.365384615","0.316666667","0.807692308","0.7","52.94117647","31.14754098","86.66666667","","","8.555555556","9.871794872","10.55555556","12.17948718","23.33333333","26.92307692","","","33.88888889","39.1025641"
"","","GHP2010FMS-AT01","","","","","","","","","GHP2010FMS-AT01-00025","","","","30","3","7","16","14","18","11","1.9","0.4","13","2","3","1","1","1","","","2.3","15.3","29","0.105555556","0.036363636","0.079310345","1.8125","0.966666667","1.125","0.6","0.14375","0.076666667","0.8125","0.433333333","62.06896552","15.03267974","53.33333333","","","2.111111111","3.958333333","2.555555556","4.791666667","14.44444444","27.08333333","","","17","31.875"
"","","GHP2010FMS-AT01","","","","","","","","","GHP2010FMS-AT01-00026","","","","30","3","4","22","21","34","80","5","3.1","8.4","3","4","2","2","1","","","8.1","16.5","114","0.147058824","0.03875","0.071052632","5.181818182","3.8","1.545454545","1.133333333","0.368181818","0.27","0.381818182","0.28","29.8245614","49.09090909","73.33333333","","","5.555555556","7.575757576","9","12.27272727","9.333333333","12.72727273","","","18.33333333","25"
"","","GHP2010FMS-AT01","","","","","","","","","GHP2010FMS-AT01-00027","","","","30","5","7","20","19","30","31","7.1","2.2","9.7","4","4","2","2","1","","","9.3","19","61","0.236666667","0.070967742","0.152459016","3.05","2.033333333","1.5","1","0.465","0.31","0.485","0.323333333","49.18032787","48.94736842","66.66666667","","","7.888888889","11.83333333","10.33333333","15.5","10.77777778","16.16666667","","","21.11111111","31.66666667"
"","","GHP2010FMS-AT01","","","","","","","","","GHP2010FMS-AT01-00028","","","","30","2","5","27","27","37","70","7.5","7.5","4.9","4","3","3","2","1","","","15","19.9","107","0.202702703","0.107142857","0.140186916","3.962962963","3.566666667","1.37037037","1.233333333","0.555555556","0.5","0.181481481","0.163333333","34.57943925","75.37688442","90","","","8.333333333","9.259259259","16.66666667","18.51851852","5.444444444","6.049382716","","","22.11111111","24.56790123"
"","","GHP2010FMS-AT01","","","","","","","","","GHP2010FMS-AT01-00029","","","","30","5","6","6","1","0","5","0","0.4","8.5","3","2","1","1","1","","","0.4","8.9","5","","0.08","0.08","0.833333333","0.166666667","0","0","0.066666667","0.013333333","1.416666667","0.283333333","0","4.494382022","20","","","0","0","0.444444444","2.222222222","9.444444444","47.22222222","","","9.888888889","49.44444444"
"","","GHP2010FMS-AT01","","","","","","","","","GHP2010FMS-AT01-00030","","","","30","8","4","27","26","30","29","7.4","2","3.5","4","4","2","2","2","","","9.4","12.9","59","0.246666667","0.068965517","0.159322034","2.185185185","1.966666667","1.111111111","1","0.348148148","0.313333333","0.12962963","0.116666667","50.84745763","72.86821705","90","","","8.222222222","9.135802469","10.44444444","11.60493827","3.888888889","4.320987654","","","14.33333333","15.92592593"
