"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Alternaria symptoms estimating 1-9|CO_331:0000198","Number of commercial storage roots per NET plot|CO_331:0000214","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root shape estimating 1-9 CIP|CO_331:0000181","Sprouting ability estimating 1-9|CO_331:0000277","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2012KAC-FT01","","","","","","","","","UGP2012KAC-FT01-00001","","","","54","50","2","2","1","41","7.2","40","2.5","20.5","1","9","3","8","1.38","9.7","30.2","81","0.175609756","0.0625","0.119753086","1.62","1.5","0.82","0.759259259","0.194","0.17962963","0.41","0.37962963","50.61728395","32.1192053","92.59259259","4.444444444","5.987654321","12.65432099","18.64197531","4.8","6.466666667","13.66666667","20.13333333"
"","","UGP2012KAC-FT01","","","","","","","","","UGP2012KAC-FT01-00002","","","","54","47","1","3","1","10","2","50","2.5","16","1","9","1","2","1.65","4.5","20.5","60","0.2","0.05","0.075","1.276595745","1.111111111","0.212765957","0.185185185","0.095744681","0.083333333","0.340425532","0.296296296","16.66666667","21.95121951","87.03703704","1.234567901","2.777777778","9.87654321","12.65432099","1.418439716","3.191489362","11.34751773","14.53900709"
"","","UGP2012KAC-FT01","","","","","","","","","UGP2012KAC-FT01-00003","","","","54","53","1","1","1","83","16","42","2.5","21.5","1","4","5","8","1.38","18.5","40","125","0.192771084","0.05952381","0.148","2.358490566","2.314814815","1.566037736","1.537037037","0.349056604","0.342592593","0.405660377","0.398148148","66.4","46.25","98.14814815","9.87654321","11.41975309","13.27160494","24.69135802","10.06289308","11.63522013","13.52201258","25.1572327"
"","","UGP2012KAC-FT01","","","","","","","","","UGP2012KAC-FT01-00004","","","","54","49","3","1","1","25","2.5","57","3.5","5","1","9","1","2","1.65","6","11","82","0.1","0.061403509","0.073170732","1.673469388","1.518518519","0.510204082","0.462962963","0.12244898","0.111111111","0.102040816","0.092592593","30.48780488","54.54545455","90.74074074","1.543209877","3.703703704","3.086419753","6.790123457","1.700680272","4.081632653","3.401360544","7.482993197"
"","","UGP2012KAC-FT01","","","","","","","","","UGP2012KAC-FT01-00005","","","","54","53","3","2","1","0","0","47","3.5","8","1","9","1","8","1.38","3.5","11.5","47","","0.074468085","0.074468085","0.886792453","0.87037037","0","0","0.066037736","0.064814815","0.150943396","0.148148148","0","30.43478261","98.14814815","0","2.160493827","4.938271605","7.098765432","0","2.201257862","5.031446541","7.232704403"
"","","UGP2012KAC-FT01","","","","","","","","","UGP2012KAC-FT01-00006","","","","54","54","3","1","1","0","0","11","1","16","1","9","1","2","1.65","1","17","11","","0.090909091","0.090909091","0.203703704","0.203703704","0","0","0.018518519","0.018518519","0.296296296","0.296296296","0","5.882352941","100","0","0.617283951","9.87654321","10.49382716","0","0.617283951","9.87654321","10.49382716"
"","","UGP2012KAC-FT01","","","","","","","","","UGP2012KAC-FT01-00007","","","","54","54","1","2","2","35","6","56","3","11","1","9","3","8","1.38","9","20","91","0.171428571","0.053571429","0.098901099","1.685185185","1.685185185","0.648148148","0.648148148","0.166666667","0.166666667","0.203703704","0.203703704","38.46153846","45","100","3.703703704","5.555555556","6.790123457","12.34567901","3.703703704","5.555555556","6.790123457","12.34567901"
"","","UGP2012KAC-FT01","","","","","","","","","UGP2012KAC-FT01-00008","","","","54","41","1","1","1","42","10","65","4.5","17","1","9","2","2","1.65","14.5","31.5","107","0.238095238","0.069230769","0.135514019","2.609756098","1.981481481","1.024390244","0.777777778","0.353658537","0.268518519","0.414634146","0.314814815","39.25233645","46.03174603","75.92592593","6.172839506","8.950617284","10.49382716","19.44444444","8.130081301","11.78861789","13.82113821","25.6097561"
"","","UGP2012KAC-FT01","","","","","","","","","UGP2012KAC-FT01-00009","","","","54","52","1","1","1","37","5","48","3","7.5","1","9","2","8","1.38","8","15.5","85","0.135135135","0.0625","0.094117647","1.634615385","1.574074074","0.711538462","0.685185185","0.153846154","0.148148148","0.144230769","0.138888889","43.52941176","51.61290323","96.2962963","3.086419753","4.938271605","4.62962963","9.567901235","3.205128205","5.128205128","4.807692308","9.935897436"
"","","UGP2012KAC-FT01","","","","","","","","","UGP2012KAC-FT01-00010","","","","54","53","2","4","1","0","0","40","2.5","23","1","9","1","2","1.65","2.5","25.5","40","","0.0625","0.0625","0.754716981","0.740740741","0","0","0.047169811","0.046296296","0.433962264","0.425925926","0","9.803921569","98.14814815","0","1.543209877","14.19753086","15.74074074","0","1.572327044","14.46540881","16.03773585"
"","","UGP2012KAC-FT01","","","","","","","","","UGP2012KAC-FT01-00011","","","","54","49","2","1","1","23","3.4","105","3.5","25.5","3","9","5","8","1.38","6.9","32.4","128","0.147826087","0.033333333","0.05390625","2.612244898","2.37037037","0.469387755","0.425925926","0.140816327","0.127777778","0.520408163","0.472222222","17.96875","21.2962963","90.74074074","2.098765432","4.259259259","15.74074074","20","2.31292517","4.693877551","17.34693878","22.04081633"
