"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2014SER-PT05","","","","","","","","","UGP2014SER-PT05-00001","","","","30","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","","0","0","0","0","","","",""
"","","UGP2014SER-PT05","","","","","","","","","UGP2014SER-PT05-00002","","","","30","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","","0","0","0","0","","","",""
"","","UGP2014SER-PT05","","","","","","","","","UGP2014SER-PT05-00003","","","","30","28","2","2","7","2","2","20","0","0","0","0","37","","","","","","","0","37","","","0","0","0","0","0","0","0","1.85","1.233333333","","0","66.66666667","","0","0","41.11111111","41.11111111","0","0","61.66666667","61.66666667"
"","","UGP2014SER-PT05","","","","","","","","","UGP2014SER-PT05-00004","","","","30","30","2","3","7","1","2","15","50","0","7.5","0","32.4","6","4","3","3","3","0","7.5","39.9","0.15","","50","3.333333333","1.666666667","3.333333333","1.666666667","0.5","0.25","2.16","1.08","100","18.79699248","50","0.15","8.333333333","8.333333333","36","44.33333333","16.66666667","16.66666667","72","88.66666667"
"","","UGP2014SER-PT05","","","","","","","","","UGP2014SER-PT05-00005","","","","30","26","5","5","7","2","3","13","4","0","0.28","0","40","2","1","1","1","7","0","0.28","40.28","0.07","","4","0.307692308","0.133333333","0.307692308","0.133333333","0.021538462","0.009333333","3.076923077","1.333333333","100","0.695134062","43.33333333","0.07","0.311111111","0.311111111","44.44444444","44.75555556","0.717948718","0.717948718","102.5641026","103.2820513"
"","","UGP2014SER-PT05","","","","","","","","","UGP2014SER-PT05-00006","","","","30","27","1","2","8","1","2","14","50","10","16.2","0.22","40.4","2","5","5","5","1","0.12","16.42","56.82","0.324","0.022","60","4.285714286","2","3.571428571","1.666666667","1.172857143","0.547333333","2.885714286","1.346666667","83.33333333","28.89827526","46.66666667","0.273666667","18","18.24444444","44.88888889","63.13333333","38.57142857","39.0952381","96.19047619","135.2857143"
"","","UGP2014SER-PT05","","","","","","","","","UGP2014SER-PT05-00007","","","","30","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","","0","0","0","0","","","",""
"","","UGP2014SER-PT05","","","","","","","","","UGP2014SER-PT05-00008","","","","30","26","5","6","7","1","2","22","8","0","0.88","0","24.6","5","4","2","5","5","0.12","0.88","25.48","0.11","","8","0.363636364","0.266666667","0.363636364","0.266666667","0.04","0.029333333","1.118181818","0.82","100","3.453689168","73.33333333","0.11","0.977777778","0.977777778","27.33333333","28.31111111","1.333333333","1.333333333","37.27272727","38.60606061"
"","","UGP2014SER-PT05","","","","","","","","","UGP2014SER-PT05-00009","","","","30","27","4","6","7","1","3","23","0","0","0","0","24.5","","","","","","","0","24.5","","","0","0","0","0","0","0","0","1.065217391","0.816666667","","0","76.66666667","","0","0","27.22222222","27.22222222","0","0","35.50724638","35.50724638"
"","","UGP2014SER-PT05","","","","","","","","","UGP2014SER-PT05-00010","","","","30","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","","0","0","0","0","","","",""
